	Tneg1	T45	T60	T90	T180	T300	Galactose.minusLys	Galactose.plusLys
Q0045	2.38746754808199	1.14963048283808	1.39417670707715	1.398229676970895				-0.9817142218778916
Q0130		0.8774598919170825			1.3960543241246048	-2.2893885819643454		-0.6614825554583854
Q0160	1.84407434411568		1.125795547671589	1.1514180992001302				-0.783920437081379
YAL001C					0.326536804299818		-0.6917001345861925	-0.562438983494614
YAL002W					0.5657251365387465			-0.6426579701938105
YAL003W							0.414130897030311	
YAL005C		1.54761812755884	1.831801502858485	1.4181316928054601	0.8403860953834394		1.19249279448917	1.259093295839485
YAL007C							0.592849309595806	
YAL008W		-0.8531541780833536	-0.8189429509928665	-0.6210221667735656	-0.6634511944184436		-0.6924498221253785	-0.974346574270448
YAL009W			-0.2610314325151595					
YAL010C			0.270722115189941	0.2719195238644425				
YAL011W	0.4906913438944235		0.4257409495261475	0.39687318096557955	0.444190715239885		-0.5215797998588125	-0.492548752241186
YAL012W							2.1690883867322555	2.65038543694859
YAL013W			-0.211906183029832					
YAL014C					-0.38421773908007556			-0.4175351453660945
YAL016W							-0.6261107071555915	-0.660333106225902
YAL017W					0.6801128525834155		-0.49490682061859304	-0.5874960572400925
YAL019W		0.505695511480496	0.52350825279346		0.5340422965892679		0.7245671874621056	
YAL020C			-0.33918055093816					
YAL021C							-0.49588280559786646	-1.1097668087418948
YAL023C							0.39673688449669753	
YAL024C		0.6570943000078191	0.816189272774958	0.6643790427542129	1.00731023636785		0.7969654522671065	
YAL025C					-0.522753084696302		0.9775123141106699	
YAL026C					0.707541087132225			
YAL027W				-0.3711222024317855	-0.6767535959332245			
YAL029C		0.41274978037476157	0.4777067738799115		0.5610843963193735		0.6751243956630171	0.886165741337749
YAL030W		-0.6474080937678386	-0.6204182723645185	-0.5562905674505825	-0.8574501547918756		-0.541348383361961	-0.5196772111873029
YAL031C					0.7203395942672841			
YAL033W		-0.4108379103313575	-0.599882821635934		-0.8374823114815134		0.6360026156956305	
YAL034C			0.39628281137960697	0.588873753972932	0.599683599134182		-0.9518230741099065	-1.148872036908385
YAL034W-A								-0.6425758940013955
YAL035W		0.5275766735280965	0.7281108545477231	0.667618342585911	0.6998273858163564			
YAL036C					-0.41494511859998795			
YAL037C-A	1.599123517602535	1.58593964981462	2.67940908310901	2.565757535271505	3.472985528082685	2.56547721422717		
YAL037C-B		1.045240963921126	1.559826190684135	1.592666406954515	1.932526931145015			-1.3430946518615652
YAL037W							1.0611000825096752	1.803216297547665
YAL038W				-0.48077403912433		0.776157759076415		-2.8544614450168098
YAL039C					-0.7527393851108464			
YAL040C		0.8041620841206216	0.932320910184079	0.7676582607320959	1.0027937288613116		0.7047977200737895	
YAL041W		0.298350370840302	0.28167554553465596	0.24788015641682348	0.30967258581334345		0.48552308669060995	
YAL042W		-0.413094435678767	-0.5278896997490194	-0.34685418612626195	-0.574466934436787			
YAL043C							-0.48246744509118544	-0.6173691790808695
YAL044C	-0.5164260103302525	-0.5192377799357275	-0.676393691113377	-0.602440815131114	-1.0811279958463649			
YAL044W-A		-0.5868997379271425	-0.6360820772670706					
YAL046C	-0.6729989977631621	-0.6644813100404775	-0.6114985750350845	-0.441969420097888	-0.7726442879961805			
YAL047C			0.2875754763207945		0.5580161978369584			
YAL048C		0.594863898173892	0.4098443036990255		0.8114115625724101			
YAL049C			-0.34302809439745596				-0.749082355150597	-0.6339602295287575
YAL051W		0.5837064874893656	0.408932190528991		0.5946861587701644			
YAL053W		0.6061632929243581	0.3535443174131201	0.34195505569625595	0.633023549158967	0.7407315522994771	-0.3791607748640315	-0.556929593316501
YAL054C							-1.23012194714306	-1.5726143101180199
YAL055W		-0.42145143163867343			-0.516111935405383		-1.467359282388325	-1.55756185338217
YAL056W						-0.654740990469957	-0.6589737707602896	-0.44952490533684747
YAL058W			-0.397719539745523					
YAL059W		-0.557809682226033	-0.46471161856781495		-1.029831024551716			
YAL060W		0.6028148724428091	0.5768954446125101			-1.0042022582560228	-0.442348927974457	
YAL061W	-1.500116915763535					-1.50348361965837		0.75491101503829
YAL062W				0.5309729665216889		-1.503155806402075	-1.0462529283547526	-1.5809260171558701
YAL063C			0.5498593534341161	0.5339432169669791	0.6370259058031205		0.5743978272170225	
YAR002C-A		-0.569089999352702	-0.4835455375505825	-0.361167391478053				-0.46600582274496405
YAR007C							-0.7147020386450146	-0.5270774786395376
YAR008W	-0.7142848973284321	-0.663012707148505	-0.48043094488566795		-0.498647185010983			
YAR014C			0.2779477736829805					-0.44947268532170903
YAR015W	-1.25119858033237					0.7021185653229536		-0.6307271139997855
YAR019C		0.4406048468418585	0.43342541926414246	0.372116468597427	0.6396229631022335			
YAR023C							-0.47651669847856704	
YAR027W		0.5190851210614049						
YAR028W							0.9526755110933195	1.7569053364068048
YAR035W	2.5334848523652402	1.1816888518013302	1.17603882728301	1.12020175820731	1.3408703311270251			-0.6188867450516949
YAR042W	0.6346795836175155	0.542801047671276	0.4847020984171915		0.660102736653275		0.43731914369197344	
YAR050W	1.0238713410127755	0.703956718993011	0.9697422825510924	0.7410977836852495	1.2180437640548498		0.3343360030947305	
YBL001C	-0.66573344132431	-0.9152481528814275	-0.843959912529947	-0.8480921625447115	-1.2243782229223	-1.08934166750403	-0.914434664016051	-0.7094751989667301
YBL002W	-1.1645998313117052	-0.914169047768961	-0.566792270482116				0.9760067667874235	
YBL003C	-1.5300313967451349	-1.876752152454265	-1.38899019109766	-1.05808614438441	-1.20512510971474		1.22113937909732	
YBL004W		0.7608686627803114	0.831034968390187	0.7999138097488845	0.8865194969696659		0.36770981343276593	
YBL005W	0.8842439573901091	0.928477128561162	0.9816066133475375	0.8769969632550125	0.8465236806437515			
YBL006C	-0.8487116961397481	-0.9362593959965686	-1.0699708661715701	-0.87756769983512	-1.53179989066874			
YBL007C								-0.460160086498195
YBL008W							0.4440116103101685	0.5956266523932435
YBL010C		-0.7967112805628791	-0.632818533111863	-0.614580678401212				0.9015543289503806
YBL011W			0.5948474082573256	0.3888966843857705	0.6254741625944604			
YBL014C			0.43794624896842155	0.41655166690402445	0.590976202612327			0.6103075532272595
YBL015W							-0.3545581686236525	
YBL017C			0.49849696404551547		0.78930723663726			-0.431404453329294
YBL018C		-0.5951693408287715	-0.5187740640531755	-0.48119167802399754	-0.7971366253137735			
YBL020W			0.3099340868176735		0.620531720253872			
YBL021C					-0.84807811661114		0.8759364033661525	1.018962183874035
YBL022C		0.44117289533437	0.5892637984194755	0.404680503607346				
YBL023C		0.2674370513676505	0.30528385477642955				0.8091666776989079	
YBL025W		-0.4632757521153086	-0.33695022146808756	-0.5042174619338929	-0.5218297692112566			
YBL027W							1.2659792524823152	
YBL028C		-0.5125437564312809	-0.448794525726269		-0.8065799734428946			
YBL029C-A				-0.46204588147364845	-0.6815692596220134		-0.60386959158313	-0.5957355855692029
YBL029W							-1.100720440970185	-1.00768586467863
YBL030C							0.626730542214741	0.7928574592567554
YBL032W		-0.3169036384731725						
YBL033C			-0.411136636540399	-0.535872521105432	-0.5202071168663209		0.737051659232879	0.63706054929543
YBL034C	0.5915787750503455	0.7049380494595939	0.774947900011841	0.795909163310887	1.1327975047881398			
YBL035C					0.5566391302802305			
YBL036C				0.22950948242367347				
YBL037W			0.3345731133312485		0.44835593010989105			-0.41106251705429153
YBL038W	-0.615661538203685	-0.703292178613978	-0.676416785098644	-0.5815664516981445	-0.9971707548633275			
YBL039W-B							-1.2678891230639	-1.545748809056295
YBL040C		-0.444105909545241					-0.530547876936849	
YBL041W					-0.533576951254686			
YBL042C		0.7932995298990726	0.547330764751903	0.587754396970966			0.9015345056495354	
YBL043W						-2.56892357836249	1.5543994841175999	2.016934025388505
YBL045C		-0.44682143572568545	-0.505911980207273	-0.5145659286922725	-0.5002749733308505	0.6740105503510585		
YBL046W	-0.5724572809744011	-0.543643986909439	-0.4308166118403415	-0.27620223891030304	-0.3633100342523735			
YBL047C		0.505058701190885	0.5113885234600095	0.3142285481959865	0.6176014866438764		-0.46635653817934747	-0.7047176631972305
YBL048W	1.07473086605422	0.55458906549885	0.8793127311080245		0.7667904860106736		-0.39460511259191455	
YBL049W		0.5373766580080355	0.45972111512770153	0.6630189296707795			-0.624792091611966	-0.3473913176343275
YBL050W							-0.352807972355379	
YBL051C	0.8007553124703666		0.602274689667206	0.37424524175248897	0.760257697672071			
YBL052C					0.31082396576886195			-0.7821054626608466
YBL054W							0.7248064448237459	0.8578980765651945
YBL055C			-0.2419168421253155				0.48736769255047646	1.129697572327395
YBL057C		-0.6098723466864935	-0.6371149328513175	-0.407754249022212	-0.668592779360048			
YBL058W					-0.2946168428491655		-0.513826465234424	-0.554540071949762
YBL059C-A		-0.8827156260029281			-0.7860457780070655			0.5833264247892525
YBL059W			-0.39591393446537293		-0.6204769620780125			
YBL060W		0.31066728067523597	0.34501946213924994	0.3984930836148895	0.33980517610430694			
YBL061C	0.535681820593304	0.3678459175457085	0.350805932458946	0.3793563943362125	0.5409232284186665	0.690114105540083	0.4919926749577075	0.7056686254323359
YBL063W	0.4945106680049455		0.6866944566060814	0.622761827435269	0.9394696233103049		-0.424711546915915	
YBL064C		-0.659498725840737	-0.385552701362315		-0.3463737443125805			
YBL066C					0.630835500107943		0.314690254762255	
YBL067C				0.341507720938129	0.5452273369917435			-0.9436976002956374
YBL068W							0.456304104978265	0.8334249101157529
YBL069W		-0.4108974044020791	-0.516769634351801	-0.411053622638428		-1.591546889052365	1.9369064449508002	2.39847604186227
YBL071C				0.42043343291721647		-1.010099547960474	0.9882043884028535	0.8544487362874089
YBL071W-A				-0.5724639716011145	-0.8926000867147915	-1.387433607549165	0.94966736974168	0.799041340494275
YBL072C		-0.32860261130155655	-0.3181393537171085				0.8230420289141005	
YBL075C			0.45719463450789555	0.4843083373304815	0.70149032050211		-2.236807424259265	-1.042011804638395
YBL076C							0.823583366165251	0.7216697573661135
YBL078C		0.6270727367406566	0.47341388963450803				-0.6029281923429245	-0.775868664976237
YBL079W	0.8448966387729375	0.617840147845687	0.6576360480154009	0.593413870355086	0.8024368893008889		-0.299887067047095	
YBL084C		0.28016107356404907	0.29090999798577					
YBL085W					0.402288754180392		0.8688870742651691	
YBL086C							-0.379685188458581	
YBL087C		-0.6585917906128451	-0.766477967172367	-0.5791601456497986	-1.015332783072005		0.8824576221759024	
YBL088C	0.6795868312017574	0.510368095944326	0.6589579092528071	0.47582718453534	0.8393071438692565			-0.975315616765596
YBL089W								0.5164015516353385
YBL090W					-0.6944530895519501			
YBL091C		-0.3731160249143975	-0.38450840212382553	-0.352391807913546				
YBL091C-A			-0.33635782512081447		-0.42683395327463547			-0.43469976956675
YBL092W							1.33349536228095	
YBL093C					-0.7959339644966861			
YBL095W	-0.8392906257953119	-0.8182193327588675	-0.9674775499168864	-0.5081075938213685	-0.8455025689303916	-1.9503286101479749		-0.584810114665438
YBL098W	-1.0021364507072499	0.3564225330550139						
YBL101C		1.073935571486055	1.069737580072185	0.76310099683744	1.083768283164245		-0.5222709670484049	-0.5371299468916305
YBL102W		-0.5249209789586375	-0.6362064437713235	-0.574917140816829	-0.48976681961096447	-1.13256060130564	-0.395615149117127	
YBL103C							-0.542420600361097	-0.6724367446586731
YBL104C								-0.45074331921360855
YBL105C					0.480696822992881		-0.509321524069497	-0.9514214227807896
YBL106C	0.514819324490348				0.5096636991240244			-0.7283200495496875
YBL107C		0.40499594437758646	0.6173967250959496	0.639797667119699		0.7271717924914654	0.7302540037025985	0.6753983558933065
YBR001C		0.4037777155127595	0.558197759144809				-0.408820023748973	
YBR002C		-0.3146822057207525	-0.26987276194824394		-0.6980636776536085			
YBR003W		-0.633267473620171	-0.3621341006836915					
YBR004C		0.689841068739865	0.834399667235209	0.6936144638031034	0.7063139028149157		0.8133458854312601	0.740177120002321
YBR005W	-1.19115357635418	0.8161769227520516	0.46059841740917057	0.5801844690094009			-0.5313922810234395	
YBR006W			-0.7921324783183415	-0.9617928942596163	-0.7049434384807776		-0.8749878718749735	
YBR007C		0.393595049373179	0.340688332972596		0.511630964387352		1.76903821321751	2.047199138346485
YBR008C								-0.8277588160753764
YBR009C	-1.3806689636032452	-1.3413600012046452	-1.036287796011019	-0.7668467408271624	-0.9554438592698395		0.419664137393659	
YBR010W		-1.026426537323934	-0.848480029195432	-0.6144975846969285	-1.071986307599515			
