	Tneg1	T45	T60	T90	T180	T300
Q0045	1.46526623172372		2.39772896911664			
Q0130			2.02252421610802			
Q0160			2.47912569744318			
YAL005C		5.224744572454444	5.027006504409	5.4401059347116245	3.386448529070605	1.931901836160975
YAL012W		1.03985783531625				
YAL017W		1.29576245464491	1.8160383965489149		1.28651944434278	
YAL024C					1.120016242262765	
YAL025C			-1.3767479364184598		-1.2830788040419652	
YAL033W		-1.14249189988251			-1.6565116874045902	
YAL034C					1.385027432222565	1.088285997224545
YAL034W-A					-1.0871190641940052	
YAL037C-A	1.9321537806881601		1.2983500467659599			
YAL037C-B	1.2346822119468799					
YAL037W	1.123166791495445					
YAL038W			-1.090655786486175			
YAL040C					1.442479115836285	1.18394156839384
YAL044C		-1.0589950833120851	-1.105782247015175	-1.7327461524620549	-2.02333005138844	
YAL048C					1.2061404785385998	
YAL053W					1.47982896353938	
YAL054C		1.29378378457006	1.6562573705523251		1.3327567210384048	
YAL059W		-1.14438313311164	-1.154378769079015		-1.597780529226525	
YAL062W					1.1207683389538001	
YAL063C			1.319587560331005	1.36091710974885	1.43716982064075	1.152178779624065
YAR015W			-1.10728613870145	-1.6372606348682748	-1.3768733101953199	
YAR023C			1.1810724362680451			
YAR028W	1.39089306746183					
YAR050W			1.18285986157867		1.55246765713001	
YBL001C					-1.3880356412631252	
YBL002W	-1.116768695631575			-1.58154340342912	-2.0384328837916703	
YBL003C	-1.9555083815676548	-1.206202684654695		-2.527259803336775	-3.163781561237025	-2.1098932300320348
YBL004W	1.11221062120595					
YBL005W	1.55562466458632	1.20869320035162	1.343577520282925			
YBL006C		-1.34369166496774	-1.224962582744355		-1.7172093399660349	
YBL015W	-2.1625662947642					
YBL018C		-1.0781236383904051		-1.285580877441645	-1.967985607549445	-1.39979284437893
YBL021C	-1.03907559784553				-1.3754934318062702	
YBL022C		1.1752263931399352	1.2783470426362902	1.09873878279133		
YBL026W					-1.5284624287020652	-1.17168313133807
YBL027W					-1.2605841616690352	
YBL028C		-1.161245723879135	-1.27398066771753	-1.079932443137635	-1.8778895796400201	-1.356870192394815
YBL029C-A	-1.1364020668418449					
YBL029W				-1.070421911980735		
YBL030C	-1.107134164295665					
YBL038W	-1.35852655112271				-1.1443791084716102	
YBL039C			-1.109473286082845			
YBL039W-B			1.317621980428155			
YBL045C						1.4027385543989102
YBL048W			1.09957289383695	1.1448548160887748	1.883705850534265	
YBL049W					1.77113200017204	
YBL057C					-1.23933729891136	
YBL058W		1.11881514392141				
YBL059W	-1.3312231449214749					
YBL061C	1.190255191511815					
YBL063W			1.3524577092614551			
YBL064C		1.4888073015162349	1.17659773442345	1.616715328081555	1.3949753242844798	1.2274828547561998
YBL066C					1.2258229900585849	
YBL069W	1.247317109315655	-1.52938417849171	-1.35689963040803			
YBL071C		-1.211624937032785				
YBL071W-A		-1.31298894751035	-1.5018978195120551	-1.0497394237093851	-1.290166252961395	-1.48389998963169
YBL072C					-1.13617182300402	
YBL074C					1.169244230146455	1.127985871135525
YBL075C		1.093850154515315	1.8398082030792051	1.6536931852591148	1.7516898939975052	1.43199927421596
YBL078C		1.6267908255737802		1.568739991183775	1.1762968397989297	
YBL087C			-1.328480770196095	-1.3571132154616201	-2.043703174821525	
YBL088C			1.307011724498245		1.154353176507835	
YBL092W					-1.192324201419005	
YBL095W	-1.4468784701403152					
YBR002C		-1.0456385536058952	-1.19737259359876			
YBR004C					1.210954932919955	
YBR005W		1.078763434989885		1.27650702665857		
YBR006W		1.36135111880562				
YBR009C	-1.68462533898917		-1.15517781521968	-1.805882215484915	-2.4178827270169747	-1.5811349238657049
YBR010W	-1.3966733100329498		-1.12458688280869	-1.383097658949965	-2.088937330882865	
YBR012C	2.04989106119442				-2.114866421597875	-2.6369273846058547
YBR013C		1.126251420169735		1.402737448760245		
YBR016W	-1.854652898492565					-1.54683313483232
YBR020W			1.329085585881815	1.13544126936398	1.33861165657882	
YBR021W	1.46240972762918					
YBR023C					1.419964490404785	1.33678065048943
YBR033W		1.1003529229509998	1.61510673661787	1.576081483748265	2.1897180109398153	1.45158619615452
YBR034C			-1.210886077850595			
YBR037C	-1.2725151313709602					
YBR043C				-1.06732545794044		
