	Tneg1	T45	T60	T90	T180	T300
Q0045	2.1965521417679597					
YBL003C	-1.8320007046658002			-1.1534906798076099	-1.0708634665081949	
YBL047C	1.9046387513950398					
YBR059C	2.017081458224625					
YBR067C						-1.225745442778365
YBR298C		1.91750372798764		1.1549710096438		1.226907054500475
YCL057C-A	-1.52757425911989				-1.124354455418405	
YCR005C		1.4747216214812502		1.677249226711315		
YDL005C	1.74137999261478					
YDL014W	2.658329922391015					
YDL130W	2.257380875302735	-1.25673268609337	-1.31662043334696	-1.410486331349365	-1.445552130788295	
YDL183C					1.25411865669599	
YDR155C	-1.55487217265925				-1.17188205383823	
YDR216W		1.519109842327925				
YDR264C						-1.43294961203892
YDR270W						-2.650338140911335
YDR276C	-1.653895379024965					
YDR345C	6.808079735242965	1.40824042444265				
YDR524W-C				1.538964543208865	1.461467017146545	1.17753481435354
YEL033W		-2.4634513344891147		-2.4611029074144652	-2.572931447726435	-1.86869523284849
YER098W		1.66198480158676				
YER145C					-1.785949745123865	-2.177624567394165
YFL039C	3.38534390396516					
YFL054C		1.1802348749890048				
YFR032C-A	-1.947218262361055	-1.54850736955112	-1.47047533617484	-2.07388709657307	-1.9872409370378499	
YGL055W					-1.254668216456655	
YGL071W						-1.24855460755352
YGL126W	2.91728091327331				-1.2471599852475101	
YGL168W		-1.1589890846699848			-1.22313657937109	
YGL209W	2.758386515723855	1.422306242866925				
YGR060W						-1.080813006581365
YGR204W	1.4772693479163					
YGR286C						1.27927447111893
YHL047C						-4.06594982219743
YHR042W						-1.566456484341475
YHR094C		-1.7300862100448002	-1.9943380229495251	-2.04440440959859	-2.325332243350215	-1.8451348275512847
YHR097C						1.04381142619311
YIL030C	2.15207270661836					
YJL078C						-1.5035484231691951
YJL116C		1.49675204817907				
YJL138C		1.23174775413792		1.291415633277805	1.396148641840885	1.1293559245243299
YJL153C		2.306794245740675				
YJR094W-A		-1.125645847458085	-1.1696521768644799			
YKL148C						1.76239296579885
YKL163W		1.44522285033727		1.2750732543223702		
YKL198C	2.9737989208462654					
YKR049C					-1.197216892747385	
YKR071C	1.553476819057865					
YLL010C	2.6819799230886					
YLL051C						-1.2633805916383052
YLR034C						-1.5639977157594052
YLR056W						-1.8570714304494649
YLR089C				1.09412300230278	1.2009129790301198	
YLR237W						-1.30495670755062
YLR257W						1.2354586098063098
YLR262C-A					-1.2093874883132498	
YLR264W				-1.46783794527994	-1.456347072610035	-1.093557423738495
YLR343W					1.076948574305355	
YLR409C	2.24158563401235					
YMR011W	2.85400956568451	1.80789111123905				
YMR058W						-3.0838051124361154
YMR070W	2.231968831061015					
YMR276W	2.296390078885935					
YMR304C-A					-1.130717814712565	
YNL065W		-1.46517607230206	-1.407164520473325	-1.331482104475405		-1.5077286437910649
YNL112W	5.129109109462886		3.38281668765299			
YNL208W					-1.515651201961075	
YOL109W	-1.645867202707025					
YOL136C	1.9920033531008348					
YOL158C						-2.9707356903559203
YOR001W	1.945570271288555					
YOR047C	2.034705853706035					
YOR316C						-1.4414724745889849
YPL015C	2.0582170612716597					
YPL265W				1.2994369667664247		
YPR144C	3.32638184237868					
