	Tneg1	T45	T60	T90	T180	T300
Q0045	1.2587596074869398					
Q0130						-1.361698210579065
YAL037C-A	2.4695223229694747	1.57783996256145	2.7534676945193146		2.754617749976675	1.68288527861358
YAL037C-B	1.4566428683547352	1.3788717170315299	1.39654180451853	1.397166618335895	1.6101915081138651	
YBL002W						1.187867830400905
YBL006C			-1.176731136657465	-1.0972679039659252	-1.40322635792303	
YBL043W					1.34023076935001	
YBL095W						-1.1894773889647552
YBR016W		-1.095418579489705			-1.14390977905325	-1.0612213661947298
YBR054W					1.3056648648838198	-1.8629664106506048
YBR072W						-1.7737499414856353
YBR092C		-1.215874443540905	-1.235111301990465			
YBR169C						-1.151040843841715
YBR191W-A	2.44548253233582	1.857236311316455	2.32491247205106		2.199043286181655	2.020307084798495
YBR203W		1.55838720104827	1.7230665564916898			
YBR207W						-1.510879690719605
YBR230W-A					-1.560105964465365	
YBR238C					1.309604681784405	
YBR262C					-1.1584291519903251	
YBR264C					-1.082522889883815	
YBR269C					-1.1096642700534298	-1.57557850661846
YBR297W		1.255008551263845	1.21155728905031			2.0484672179262198
YBR298C		1.545339393439535	1.18597976064525			1.8448802441633498
YCL021W-A	1.144594535028225	1.163310208808935	1.272244576085715	1.4165830135025352		
YCL026C-B			1.2077545916755899			
YCL033C		-1.307480866310235			-1.370825495187145	-1.27397881683248
YCR013C	-2.121691021667185	-2.78332332344019	-2.5348083776544303	-2.5732881807659798	-2.1705652310915653	-2.66548845071901
YCR020C-A					-1.2350437757816302	
YCR021C					1.4979141728845249	
YDL037C					1.1666670185285999	
YDL039C					1.437008263863245	
YDL048C			1.088755047205105		1.226971784595875	
YDL059C						-1.606176860718465
YDL067C		-1.1587746885495				
YDL110C						-1.1803826739896852
YDL133C-A	-1.931993339789185				-1.867785579429485	
YDL158C				1.1719877109235048		
YDL183C						1.0897321839826049
YDL194W		1.340433933105555	1.133415487858755			1.1710190891937
YDL228C	1.68751069001493		1.46918511222495		1.5544367345439802	1.334194436191605
YDR009W		1.139307296292405	1.136327884648265		1.035633783940475	
YDR024W	1.14759711528087					
YDR031W	-1.17650318379678	-1.539607391624825	-1.5464822492443848		-1.52796405482765	
YDR055W						-1.456113923044405
YDR079C-A			-1.14747302907168		-1.1809919805661249	
YDR155C		-1.67586314914441	-1.53755965588163	-1.758096067616485	-1.2866652716411702	
YDR171W						-1.148075654966135
YDR216W		2.1732790725437345	2.04092770611707	1.6551522470852151	2.1146377280657602	1.848163538320215
YDR234W						1.0986176317700749
YDR270W						-1.875214423165805
YDR277C		2.8723171958096803	3.04314081237631	2.04227854661573	1.5264031100294448	3.069193195430525
YDR320C-A	-1.2114068431762899	-1.657749085654455	-1.372783437326085		-1.7463826766040897	-1.14636512485259
YDR322C-A					-1.19976899410236	
YDR328C					-1.14905724507627	
YDR345C		1.616727274088265	1.46588934615876			1.463525352387635
YDR378C					-1.2643924647482951	
YDR383C			1.22670704437902	2.02681027749874		
YDR385W	1.383885031199385	1.534039699475	1.45552251877444		1.7219101058226252	1.627056020726415
