	Tneg1	T45	T60	T90	T180	T300
YAL005C				1.252279177792265		
YAL037C-A			1.589204985102565		1.387120272964055	
YAL040C						-1.230195434563225
YAL044C						-1.44350155104483
YBL002W						1.214958944459405
YBL003C	-1.448500696999375	-1.3217187973817501	-1.43777180711874	-1.364938871935545		
YBL018C			-1.09862085037167			
YBL043W						1.4545497485668348
YBL095W		-1.14319254272255	-1.112826506639585	-1.154737322778965	-1.5642952300669	-1.5528328009163799
YBR004C						1.147650208191325
YBR009C						1.075012430041185
YBR010W			-1.21925656963193			
YBR016W					-1.1949197656920152	-1.1626414608185949
YBR033W						2.0792338812811453
YBR083W		1.56695077667964	1.542166584749175	1.2289702202739101		
YBR092C		-1.3884997709297098	-1.4140791596057802	-1.34689341370313		-1.0525060349562252
YBR139W						-1.492486345593115
YBR187W			-1.0520402653762848			
YBR203W		2.14835270077443	2.5370777792615398	2.2623738056106504		
YBR213W						-1.74260130849606
YBR230W-A	-1.653997132676405	-1.383892398613225	-1.422485384299665	-1.1464695903462498	-1.6774181642880501	-1.65020932918373
YBR264C					-1.152478787880175	
YBR269C					-1.0764215262474401	
YBR295W						-1.5689143226174198
YBR297W		3.5626663536216903	3.431544622665985	3.5422836047059647	3.0754913984525905	3.14481065738308
YBR298C		2.370967454920035	2.1831201651706147	2.3658608950713003	1.86521903085066	3.57513878775163
YCL005W-A						-1.54213476414374
YCL026C-B		1.6061818242051649	1.4154075497621101			
YCL054W-A		-1.60860210724994	-1.6360067024385252		-1.71988270070133	
YCR021C						2.71328972043181
YCR068W						-1.055110974786075
YDL048C						1.2919559582509499
YDL079C				1.544462765714155	1.443474199230585	2.8373743822016397
YDL086W	-1.1397169794651751	-1.032949415351595				-1.260570794813955
YDL094C		-1.68765140886467	-1.3094337387430899			
YDL129W						1.081131148663145
YDL130W		-1.2652883111896198	-1.4291825143444	-1.212012080621105	-1.2251313348064352	
YDL133C-A	-2.2984459889240547	-2.138822227048905	-2.5102873869510454	-1.9606866489493902	-2.326747968672265	-1.63699106177871
YDL184C	-2.48442664633511	-2.983021502403825	-2.7387233288363997	-2.3413098555194454	-2.47654413429249	-1.7935375155362299
YDL194W		1.765804410418525	1.4906615390693503	1.46625652324514	1.1422979755386349	1.368380650358935
YDL234C				1.47941358562959		1.364179185165075
YDR009W		1.4270903293788	1.3739215222038799	1.285764776213875	1.49014110557499	1.36100715198728
YDR019C						-1.2457523682089149
YDR031W		-1.5289885933426	-1.26176284163724			
YDR040C						1.2230195055796
YDR044W						2.5370076373687103
YDR046C						1.65574221902451
YDR079C-A			-1.295326855220145			
YDR085C		1.079560444405805	1.145082922147075	1.31341133239409		1.146810290249905
YDR096W		1.49200745287033	1.4371420846379899	1.5109713072634299		
YDR115W	-1.095624063623295					
YDR155C				-1.15768656996423	-1.4537786864075648	
YDR171W						1.1643910562141149
YDR213W						1.7130643928811198
