	Tneg1	T45	T60	T90	T180	T300
YAL038W	1.11946287606724					
YAL063C				1.268395109842		
YBL002W				-2.230653055176		
YBL003C			-1.35747390663764	-2.60342743712903		
YBL032W				-1.20846133617314		
YBR009C				-2.053102854027655		
YBR010W			-1.1550562177019201	-1.61384570486026		
YBR012C				1.34460032315608		
YBR045C		1.2361614966142302				
YBR046C		1.401718934227985				
YBR047W		1.6585589948199402	1.340478983187615			
YBR056W		1.4653157640299102	1.233637394427755			
YBR088C		-1.76196726505887				
YBR148W				1.508311261845035		
YBR157C			1.24146276965003	1.4952831062362801		
YBR207W		1.376548799107				
YBR208C			1.2159350247072849	1.4628745115872999		
YBR295W			1.266001810481675			
YBR297W		-1.3076690228528802				
YCL005W-A						-1.2422589896282101
YCL027W		1.21956388323664	1.11034246228973	1.81733646633946	1.1742245179516702	
YCL038C						-1.66109840838369
YCL055W				1.3498147031293701		
YCR004C				-1.126795673676445		
YCR005C				1.14691097047055		
YCR007C				1.3712695180911052		
YCR073W-A					-1.1915767748855801	
YCR089W		1.150180521761795		1.588885856037465		
YDL003W				-1.215759657155165		
YDL018C		-1.346735228712255				
YDL039C					1.24020320473926	
YDL048C				-2.85773667996523		
YDL064W				-1.1509815607375349		
YDL086W				-1.41578242430254		
YDL094C		-1.5098603718871102			-1.336833480449375	
YDL133C-A			-1.38905419439918			
YDL183C				1.45461807776579		
YDL198C	-1.1517993623447949					
YDL210W				1.3616109015368751		
YDL227C				-1.948970348459135		
YDL239C			1.200470169375395			-1.54573981173389
YDR040C	1.44069370068031	1.446036747226535	1.5377522272320499	1.8644959545830249	1.4770611901753499	
YDR077W				1.475541349444455		
YDR113C				-1.100416177241425		
YDR133C	-1.6598924701016902					
YDR171W						1.068188699105265
YDR224C			-1.1675787024918751	-2.106019344475885		
YDR225W				-1.6372871856668498		
YDR258C		1.221908280730275	1.84609072678857	1.73581156211015		
YDR270W		1.442839786121715	1.198357826667455			
YDR314C				-1.3760482821262		
YDR322C-A			-1.16626435757749	-1.380020901915585		
YDR345C	6.84704896515054			-1.7359572415267999		
YDR358W		1.11595961218868				
YDR385W	1.4332378545417699		1.166184915611915		1.47193995575843	
YDR451C				-1.34522522795455		
YDR492W				1.17446027607531		
YDR510C-A	-1.42452465233485	-1.3727016295213001	-1.7201916773217198	-2.44858113308119	-1.618895757960375	
YEL017W				-1.19130503813813		
YEL024W				-1.346476864675395		
YEL033W	-3.06378578702788	-2.98935631098404	-2.52594522982569	-2.851110317493995	-2.663428927244915	-2.501823187603685
YEL060C			1.3925518268628299	1.34250066571852		
YEL065W		1.4009207455102501	1.456269908362745			
YER003C		-1.2392645621347849		-1.2742634445367051		
YER015W						-1.592324442000395
YER028C		-2.2152769238696752	-1.9829315680378152	-1.89926940486809		
YER058W	-1.366080133425715					
YER147C-A		-1.2009063842054348				
YER158C			1.269005190080775	1.3544990783155801		
YER175C		1.57083904581337				
YFL026W	-4.540923031770214	-4.7545898630872205	-6.1197937162302	-5.56014113351539	-5.160885060602276	-6.145277631341916
YFL027C		-1.7099785359868802	-1.4242041467891902	-1.362195791520775		-1.2563002120673148
YFL030W	-1.4976968251627598					
YFR032C-A			-1.404463117373	-1.3193223592979249		
YGL089C	1.22389328602805	4.6986898433448	4.690097205813765	5.502426307414345	4.50970800679391	2.631031292085215
YGL102C		-1.2901407210516251	-1.2228917674495552		-1.288612214386765	
YGL121C			1.2693355292520652	1.8145127920838102		
YGL157W	1.484173119380595					
YGL253W				-1.410337777361255		
YGL255W	2.25371265026433					
YGL256W						1.4736524904262298
YGR023W				1.335037261356085		
YGR032W			1.4146926509121251	1.67925258769104		
YGR043C				1.521391091889515		
YGR048W					-1.16543445039719	
YGR060W		1.078524068203365				
YGR079W				1.222184843325735		
YGR138C	2.42976854214713					
YGR142W						1.212373743414205
YGR146C				1.116469441321255		
YGR161C	1.1408771051356599					
YGR174C			-1.58478097920713			
YGR212W			1.095591420532675			
YGR213C		1.5106823319964051	1.67038883795121	1.76215393717372		
YGR239C		1.165801317248625				
YGR243W	-1.438740410957305					
YHL016C		1.4131489565251352	1.56977938777584	1.919990820352135		
YHL035C			1.24503706870156			
YHL040C		2.0354955441908604	1.91584696994714			
YHR001W-A				-1.4379806808773399		
YHR030C				1.0985073233218952		
YHR092C	2.7590777178867003				3.008802084379285	
YHR094C	2.739805466040115	-3.08183904715336	-2.86522687855897	-3.61429920075299	-2.534613564097855	-2.00718257305236
YHR096C				1.321860866471535		
YHR116W						1.31229072253941
YHR141C						1.235198321309565
