	Tneg1	T45	T60	T90	T180	T300	Galactose.minusLys	Galactose.plusLys
Q0130	-1.3172687498969249					-1.2792215431586649		-1.251415386785355
YAL005C					1.12202038779464			
YAL017W					1.1466459650510499			
YAL030W								-1.0968506895693348
YAL037W								1.130686886393585
YAL038W								-1.499287002128205
YAL040C					1.09274909853658			
YAL044C			-1.30132110041095		-1.353251525037195			
YAL055W								-1.4171123832723298
YAR015W					-1.11106286660465			
YAR035W					1.26134614442672			
YAR050W					1.198087161615685			
YBL001C								-1.277788763180185
YBL006C			-1.23762809557125		-1.719631455319485	-1.355065481374745		
YBL009W								1.504624506321265
YBL023C								1.108040503044135
YBL027W							1.04675337633354	
YBL029W								-1.040235360873365
YBL033C						-1.088274695971785		
YBL034C					1.066396438347295			
YBL043W								1.54801275348011
YBL045C						1.24148271734824		
YBL048W			1.25783342397076		1.36670829093269			
YBL049W					1.12680239049243			
YBL057C					-1.0400137719919251			
YBL063W						1.1674892241057302		
YBL069W							-1.296217629775425	
YBL071W-A					-1.2728092010232448	-1.47587697873213		
YBL075C								-1.9408655845207101
YBL078C								-1.1021958866044899
YBL087C					-1.55681328405657			
YBL092W							1.0685796058723551	
YBL095W						-1.401500923934695		
YBR002C					-1.106140782082075			
YBR005W					-1.161625724871545	-1.723342625997605		
YBR007C								1.21434425427508
YBR016W						-1.1796355709050848		
YBR020W							1.28463483010137	
YBR026C								-1.16301603738567
YBR029C						1.257449190025965		
YBR033W					1.0643075093528798			
YBR045C				1.18305328672645			1.17936863867971	
YBR046C						-1.1958461829122		
YBR047W						-1.183413336624065		
YBR054W							1.2249216638114802	
YBR067C							1.613523024146855	
YBR072W								-1.890366157382285
YBR084C-A							1.1751595119791398	
YBR084W								1.268972638837865
YBR091C					-1.42654188854455			
YBR092C						1.0722298009655051		
YBR093C					1.8584607381678953			
YBR104W								1.33172852495626
YBR105C		-1.2591190949787252				-1.1392857303059598		1.2136201214057052
YBR106W					-1.16166870903606			
YBR117C								-1.253758098007165
YBR130C								1.362737093499625
YBR135W					-1.0281156428408			
YBR136W					1.07674968099426			
YBR140C			1.11278815889273		1.363333496247825			
YBR145W						-1.829732483702335		
YBR147W						-1.7276259847331952		
YBR169C					1.188271548763			
YBR181C							1.301041066334995	
YBR182C			1.1129000924153352		1.340618513634995			
YBR189W							1.300223286204385	
YBR191W							1.662955904272255	
YBR196C								-1.45472902682785
YBR203W					1.235270164972245			
YBR208C		2.12793887486168	1.79442174768677	1.17541635838309				
YBR214W								-1.07452315195515
YBR230W-A	-1.30722992723129	-1.57266237709282			-1.13685984020338			-1.2484457351319351
YBR233W-A					-1.1903587687921449			
YBR238C								1.120665599624405
YBR241C								-1.154675659831355
YBR252W					-1.07046687521288			
YBR256C						-1.743580569392965		
YBR262C					-1.0478687358529601	-1.255054431169285		
YBR264C		-1.13264623496584			-1.0867695727897			
YBR269C						-1.2060526813623		
YBR294W						-1.25413337774848		-1.1416965464278501
YBR295W					1.44143969987201			
YCL005W-A						-1.04155367328012		
YCL012C								-1.3453783354391549
YCL014W					1.1216254806704051			
YCL025C								1.12729173545431
YCL027W						-1.294220816963965		
YCL030C	1.1481235727534351					-1.125060180602535		
YCL040W			1.22446039572108					
YCL055W							-1.137112167500695	
YCL064C						-1.44390802391469		-2.1541102373510204
YCR002C								1.047838876736345
YCR003W							-1.0614254227919298	1.093163601451535
YCR005C			1.33218287104306					
YCR012W								-1.84013372569596
YCR020C-A					-1.22563569840668			
YCR020W-B					-1.0775040225887549			
YCR021C						-1.513283604708145		
YCR023C								-1.0598938001292102
YCR047C			-1.0560263664012601		-1.2568033393763098			
YCR081W					1.1677071634342102			
YCR083W								-1.08666584331777
YCR093W					1.065659852260255			
YDL003W						1.15903398321051		
YDL009C				1.22033225841689				
YDL022W								-1.559359573346285
YDL027C			1.1963194014584402					
YDL037C			1.1261326823432352		1.3155453085726152			
YDL039C			1.110039513455645		1.485422073089615			
YDL048C			-1.11113330684382	-1.40929441032296				
YDL049C							1.098853038489965	
YDL054C						-1.83225294633067		
