	Tneg1	T45	T60	T90	T180	T300	Galactose.minusLys	Galactose.plusLys
Q0045								-0.5840029937940445
Q0130	-1.3172687498969249	-0.963044734299303				-1.2792215431586649		-1.251415386785355
YAL001C			0.513168358250167		0.5487810824586485			
YAL002W					0.7975436991974605			
YAL003W					-0.5929624003819556			-0.6770271500590365
YAL005C				0.45211814232653846	1.12202038779464			0.3165448031483925
YAL007C					-0.40678923892090846			0.9005623699615075
YAL008W		-0.8063961687551424						-0.9295750384028646
YAL009W						-0.6071599054811121		
YAL010C							-0.5788491263664091	
YAL012W								0.791814309181772
YAL013W			-0.48879963668757853	-0.3873606940323475	-0.45491092367550157			
YAL014C		-0.43826609382500853	-0.5105675913293799	-0.4023488836282745	-0.7073607331948815	-0.5912168373321921		-0.350825530705437
YAL015C						-0.8413458582195865		
YAL017W			0.7981991739625759		1.1466459650510499			-0.4174115936852855
YAL019W							0.4913384446779075	
YAL020C			-0.6393196619232521		-0.9810216913263495	-0.7766302310005475		-0.6943368405653689
YAL021C								-0.6695912416978435
YAL024C	1.050660556046953		0.815638928556538		0.953231531647495	0.960345124966115	0.8088041834626241	
YAL025C					-0.620697469477989		0.8011337356089605	
YAL026C					0.60926243445671			
YAL027W			-0.6411290512385726	-0.6963571891820755	-1.034341359910223			
YAL029C			0.5395461463653859		0.7394729527378765			0.7454621627081535
YAL030W		-0.6965012503159544	-0.49999382818622595		-0.759314087279767	-0.5723534145383256		-1.0968506895693348
YAL031C					0.6574646178621426			
YAL033W			-0.7262195730520344		-0.9878896932234464			
YAL034C					0.686529610413912			-0.687713969730567
YAL034W-A						0.5550615383171085		
YAL035W						0.8444318935465299		
YAL036C		-0.3291304708546065	-0.5652969537685775	-0.4821012550715065	-0.7251880207913035		0.7525694253786076	
YAL037W								1.130686886393585
YAL038W	0.9116068075941436						0.910419131752269	-1.499287002128205
YAL039C		-0.693062275728087	-0.989009777817451		-0.6175387093143125	-0.4400663119438995		-0.722343670939988
YAL040C			0.5084138993938241		1.09274909853658	0.609576684336594		
YAL041W			0.42012171416846256		0.412552964831872			0.5950030275230115
YAL042W			-0.496854774511294		-0.6865581849501635			
YAL044C		-0.662947910369829	-1.30132110041095		-1.353251525037195	-0.8013579944636264	0.4952435707593166	-0.412965874565024
YAL044W-A							0.5766922618055725	
YAL046C		-0.5737016088096949	-0.5877946024858295					
YAL047C					0.5212951774125945			0.527839697312527
YAL048C					0.7627873084690251			
YAL049C								-0.338603270466847
YAL051W					0.6618368304014095			
YAL053W		0.7279489093895796	0.673935171425835	0.6356781283253224	0.9997957999451086	0.6973514091629109		
YAL055W		-0.5473296377708354	-0.518924900610102		-0.511820919685352			-1.4171123832723298
YAL058W			-0.493094646497861	-0.5519711223079555	-0.440699256074234	-0.5586326249544056		
YAL060W			-0.6891723465217929				-0.3968759989370685	-0.540085964425939
YAL061W						-0.8494328740312616	-0.8832358926828675	
YAL062W						-0.7380221226517775		-0.8329057315722175
