	galpluslys	galminuslys	highgluc	lowgluc
Q0045		-1.3983647549798701	1.655751247875045	2.6598111070017003
Q0130		-1.01524213548845	-0.7716537524266852	
Q0160		-1.1256639873562901	1.3486487932473832	2.09476856826793
YAL005C	1.16988998691748	1.11270412703945	1.4964040260469769	
YAL008W		-1.00556642947521		
YAL012W	2.9502954083441204	2.54354973947017		
YAL021C		-1.25234128398996		
YAL024C			1.1515828053797201	
YAL025C	1.09237481929972			
YAL029C		1.06926962324954		
YAL034C		-1.22235048854452		
YAL037W	1.17476775698287	1.9616535577026		
YAL038W		-2.33302978361563		
YAL040C			1.07039022121865	
YAL044C			-1.10885623162139	
YAL055W	-1.48857158815682	-1.7634377907618302		
YAL060W			-1.03235385591325	
YAL061W			-1.7996864904974	-2.9240828364149998
YAL062W	-1.08892871331902	-1.6221042536980501	-1.78411381375076	
YAR015W				-1.319461497671
YAR028W		1.8741176976384801		
YAR035W			1.2786952451055174	3.65504896567779
YBL001C			-1.2360638596903	
YBL002W				-1.18843319950236
YBL003C	1.2500228675976102		-1.4471981276000976	-1.61252412365783
YBL005W			1.0172199926355199	
YBL006C			-1.25300717669765	
YBL010C		1.33524603218889		
YBL021C		1.2464748374978798		
YBL027W	1.2927264648164098			
YBL034C			1.23893203750642	
YBL038W			-1.02202561172141	
YBL039W-B	-1.25829279255856	-1.53535043563714		
YBL043W	1.57045093701959	2.0049129342268204	-2.72690941368375	
YBL055C		1.1606272648449198		
YBL063W			1.08301391177694	
YBL068W		1.05460713420449		
YBL069W	1.9850866669487601	2.37138425810011	-1.66046850204443	
YBL071W-A			-1.0603548780637801	
YBL075C	-2.39859205558963			
YBL088C		-1.0171030758975301		
YBL092W	1.3609678378649097			
YBL095W			-1.71218388514225	
YBL098W				-1.00691967087068
YBL101C			1.09925716218312	
YBL102W			-1.17094228444438	
YBR005W				-1.21590748104863
YBR006W			-1.064961425892725	
YBR007C	2.3119076832979903	2.6141431029143303		
YBR009C			-1.200489796370685	-1.33010392792469
YBR010W			-1.05391834846221	
YBR020W	1.3212109279545199	2.10416419367704		
YBR026C	-1.43500261623891	-1.55574419331515	-1.1662993300715399	
YBR029C			1.1309011999147098	
YBR034C	1.5084239230247802	1.12958963998998		
YBR035C			-1.2693950810669699	
YBR037C				-1.08242569483695
YBR046C		-1.2362266356035299	-3.10291996138178	
YBR047W			-3.7666734269116198	1.0905427780911099
YBR048W	1.63025572293862			
YBR053C	-1.0841282243916899		-1.0967521589501033	
YBR054W	1.6770374972211102	1.25765865093321	-2.470759227182065	-1.4115575869041201
YBR056W	-1.35237864556584	-1.04654674554436		
YBR056W-A				-1.4115133452916797
YBR058C-A			-1.00644832706963	
YBR066C		1.1573721185064199		
YBR067C	1.33709007414367		-1.9110218088420798	
YBR068C			-1.1652081323876	
YBR069C		1.00382203941656		
YBR071W		-1.11220036974289		
YBR082C	1.83785206927196	1.6612714002825901	1.1443253064469299	
YBR084C-A	1.19777437665823			
YBR084W	1.5403687611756598	1.68140884185658		
YBR086C	-1.20031912852108	-1.53193419114968		
YBR093C			2.4219254775332177	2.02503183573188
YBR096W	1.4027381034456299	1.16339598127671		
YBR101C	1.3432019319933701	1.5636343398068797		
YBR104W	1.44768659240435	1.70103913022752		
YBR105C	1.66318540197277	1.63037881363881	-1.97786359275929	
YBR106W	1.09634822158166			
YBR107C			-1.37800673535108	
YBR110W			-1.00806008561425	
YBR111C			-1.23630083018424	
YBR114W	1.1014089632553898			
YBR126C	-1.12866137229326	-1.2661081796571498		
YBR127C		-1.04957254891952		
YBR136W			1.1569286037806001	1.04544309044116
YBR138C		-1.03607357652104		
YBR139W	-1.06366699353531	-1.2781934473418	-1.111292415414375	
YBR140C	-1.11751595151937	-1.72003531001375		
YBR141C	1.08649266174467	1.3670013857485699		
YBR145W			-2.3170704335671	
YBR147W	-1.19816103566942	-1.21816584934323	-3.1161968341126602	
YBR149W	-1.10010162885177			
YBR150C	-1.23932708555884	-1.20639104045753		
YBR153W			-1.03335181516594	
YBR154C		1.1570684730969598		
YBR155W	1.3351708741961201	1.08622944751556		
YBR158W	1.3949071090349998	1.49355994237151		
YBR162C	1.36597102392678			
YBR181C	1.9743743849223199			
YBR182C	1.4226549241523	1.7139481360674798	1.03165801452733	
YBR185C		1.07854070602547		
YBR189W	1.40805150481736			
YBR191W	2.023050375005			
YBR195C	1.33788169867632			
YBR196C		-1.97694345556807		
YBR207W			-2.5061729155996	
YBR208C			1.4997606186475625	
YBR212W		-1.4658500903143001		
YBR214W	-1.30595413364979	-1.6499743189166698	1.06650255103292	
YBR225W		-1.5146252438241101		
YBR229C		-1.20702272514198		
YBR230C			-1.08415896630316	
YBR230W-A			-1.873849949448608	-1.1081414461249999
YBR233W			1.2741607414138703	
YBR233W-A			-1.31102897893382	
YBR241C	-1.67254209279729	-1.92574258431891		
YBR247C	1.20628741676102			
YBR248C			-1.52994851128024	
YBR249C	1.47902319691251			
YBR261C	1.24562640349717			
YBR262C			-1.60433224191797	
YBR265W			-1.0188057514909201	-1.38750106058722
YBR268W			-1.24622712910883	
YBR269C			-1.4567238704651149	
YBR280C	-1.74669583326157	-1.78588786983722		
YBR286W	-1.5738470848492399	-1.45442536241687		
