	Tneg1	T45	T60	T90	T180	T300
Q0045	1.535279662865515					
YAL005C	1.1005595416324199					
YAL017W					1.1833429418994	
YAL024C					1.137356559488515	
YAL037C-A	2.0381779672782003		2.2477210179867297	2.617910643282455	3.0765792235225753	
YAL037C-B	1.65650429717947		1.365613209320185		1.6074027568815201	
YAL039C					-1.18572508870408	
YAL044C					-1.395553219144125	
YAL054C	1.69045414606221					
YAR015W					-1.15759976082474	
YAR035W	1.369722570947965					
YBL003C	-1.336279355056305					
YBL006C	-1.31778120077524		-1.255367141105655		-1.4107243981282749	-1.238478542208165
YBL034C					1.17195524852364	
YBL048W	1.33915734526675					
YBL071W-A					-1.30526195628947	
YBL075C	1.5106048907331					
YBL087C					-1.21872994738579	
YBR005W			-1.10585603709074		-1.1785206577392549	
YBR016W					-1.154013417013735	-1.03666465698034
YBR033W					1.279329905986075	
YBR045C	1.587284151540445					
YBR046C	1.130222278762485					
YBR047W	1.201853697689705					
YBR063C	1.054182127345465				1.1922963131137552	
YBR072W	1.861291991264595					
YBR091C	-1.125231775550135					
YBR097W					1.25947626001599	
YBR104W	1.204509805802745					
YBR117C	2.2290368266423504					
YBR136W	1.027945048875265				1.1479185218812549	
YBR140C	1.08413537524628				1.4079172894748	
YBR157C	1.5257833765749					
YBR182C						1.3590419475710949
YBR191W-A	2.03947957410868	1.46569685512987	1.863795141571245	2.11159632186731	1.8047958395093149	1.4946997319221649
YBR230W-A	-1.28799417322495					
YBR268W	-1.2311832662066					
YCL005W-A						-1.4322075373651248
YCL014W					1.0969602643813952	
YCL021W-A					1.2568723160023652	
YCL030C	1.2156786678344649					
YCR005C	1.187722428767065					
YCR013C	-2.1413394666459302	-2.4563915796778253	-2.38041679712216	-2.762670081827825	-2.5432161522398102	-3.7273567864326003
YCR046C	-1.2976242989572198					
YCR047C					-1.489365724972585	
YCR081W					1.0852135346637102	
YCR093W					1.100611582030945	
YCR107W	1.0657804334901					
YDL049C			-1.03202348186853			
YDL051W					-1.09577136982154	
YDL058W					1.1864384074665102	
YDL067C	-1.3253067588660248		-1.18305953782264			
YDL081C					-1.115146240953915	
YDL094C						-1.36420075402793
YDL130W	-1.0776846123439001			-1.148695783561825	-1.26918210691374	
YDL133C-A	-2.10543170517354		-1.2907927209515049		-2.0083915435936897	
YDL160C-A					-1.24140202442883	
YDL170W	1.12287369462701					
