baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
YGL158W	2575.36805614473	6.75994596061689	0.153298915338946	44.0965022203226	0	0
YGR144W	7819.156816965	5.66834736069407	0.128379766724674	44.1529651074266	0	0
YJL052W	57499.6801202893	3.4068023455805	0.0954323797264284	35.6985999442393	4.15592894781167e-279	8.47670974388655e-276
YBR296C	5376.2957577402	-4.07974993132814	0.12381591271449	-32.9501260531491	4.212866479113e-238	6.44463249642311e-235
YGR254W	53390.0079875316	2.9645649495636	0.101911137142032	29.0897053325185	4.84523218882532e-186	5.92959515268443e-183
YDR034C	1027.94093352028	-6.44464350742689	0.227843062822066	-28.2854497635499	5.21874685635838e-176	5.32225200234282e-173
YOR178C	8957.9862218205	2.66920890694801	0.0945685256410375	28.2251297549015	2.87531158183913e-175	2.51343308132481e-172
YDR342C	2041.60624287661	4.15320232289037	0.151228741001314	27.4630489904977	4.85321426606293e-166	3.71210226175488e-163
YMR323W	1685.49599698999	4.38604465055254	0.161969492667497	27.0794492118126	1.71942445700751e-161	1.16901758360322e-158
YFR052C-A	2049.12173975006	3.11383248086032	0.116051762283659	26.8314105670308	1.39013289609286e-158	8.50622319119221e-156
YGL162W	2431.48444302211	3.33371817419439	0.127404133485564	26.166483637457	6.39930980984256e-151	3.55976152058424e-148
YFR053C	33388.1801520564	3.27411226343608	0.133434814824185	24.5371664640154	5.92934599254965e-133	3.02347234403427e-130
YPL187W	625.555846419747	4.28514034174932	0.176061047076756	24.3389461377063	7.59087953595526e-131	3.57296860619309e-128
YCR097W	1434.03393616722	-8.81937464671825	0.36666203281768	-24.053143923695	7.73880659565537e-128	3.38241125420108e-125
YDR050C	8397.07402165742	2.27607216987565	0.0971009718930127	23.4402614670372	1.66164678688717e-121	6.77841112597507e-119
YGL035C	1381.85464524194	2.53988673662231	0.110422339346436	23.0015660930143	4.49605166868977e-117	1.71945876004454e-114
YGL256W	4074.28759961654	3.4045479684406	0.14826669515196	22.9623245122665	1.10978185071516e-116	3.99456184972121e-114
YKL152C	2629.52746701783	2.37339132531028	0.110608524558985	21.4575805506258	3.87974091104251e-102	1.31889636859273e-99
YLR303W	395.588711993561	8.28560046427638	0.388832781792303	21.3089041157599	9.38666816830369e-101	3.02300118536054e-98
YLR237W	1572.98100386132	2.41335761904638	0.119609841312426	20.1769151481657	1.56194835191162e-90	4.77878098267361e-88
YDR508C	984.223312861967	2.93887711227003	0.147140559198516	19.9732631728347	9.4100222743119e-89	2.74190125221498e-86
