baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
YDR345C	19010.1121353349	7.36358330060253	0.139358638603873	52.8390875109904	0	0
YHR092C	2363.60309986131	6.18291359891709	0.180763087884389	34.2045141587286	2.07173721313916e-256	6.20174534753208e-253
YKL038W	2582.00069972659	-6.93832705819746	0.207934998059003	-33.3677693652546	4.02477315757808e-244	8.03210563147331e-241
YDR342C	6856.95491730818	5.41853955270336	0.177239428186922	30.5718632029709	2.89676817353081e-205	4.33573776373224e-202
YKR075C	2725.03524109731	3.72089023442859	0.143332692675888	25.9598153426342	1.40884174810526e-148	1.68694710918124e-145
YHR094C	895.673121152761	4.17062154503975	0.161513495992673	25.8221241476251	5.00503177697162e-147	4.99418754145485e-144
YFL054C	3210.34724895443	4.14124954157792	0.164306428925953	25.2044279012615	3.58207076336718e-140	3.06369395146847e-137
YMR011W	2742.143746299	3.48185182359188	0.183313461728911	18.9939778058468	1.91275532537491e-80	1.43145826662745e-77
YOR047C	451.106036192455	3.75555511593769	0.201329799514355	18.6537468620978	1.17730068915113e-77	7.83166580660868e-75
YOR062C	1717.49881089362	2.50617063163707	0.142301546693632	17.6116893306348	2.00374561472259e-69	1.19964249953442e-66
YGL035C	1930.90998463427	2.66231207262086	0.15131982378669	17.5939411373742	2.74131643763435e-69	1.49202377382881e-66
YDR343C	5483.41643038872	2.69999500755725	0.154537785969934	17.4714228666544	2.36521829753862e-68	1.18004682894698e-65
YJL133C-A	6731.04323428936	2.04687098008559	0.126745149153366	16.1495015293154	1.14483079587908e-58	5.27238613456005e-56
YDR277C	5341.30645654313	2.27060507241455	0.140940659088648	16.110362241079	2.15756247415681e-58	9.22666180912631e-56
YPL026C	3969.63221887604	1.95440315502785	0.134979539958193	14.4792548236065	1.63864007422872e-47	6.54035874960489e-45
YIL162W	984.935291681807	1.95747417689228	0.14523528573476	13.4779517731468	2.1088001943498e-41	7.89086672723265e-39
YPL058C	1564.72203966442	2.16981626217143	0.163201095857317	13.295353507114	2.46306372836003e-40	8.67433090687734e-38
YER062C	521.97937706328	2.07990037644333	0.164893367714973	12.6136084505142	1.77668141958035e-36	5.90943981057088e-34
YJR094C	2195.33500685216	-1.77673895540403	0.148456548822292	-11.9680739549648	5.22269384454042e-33	1.64569831827703e-30
YPR035W	4473.53696862401	1.47018410410883	0.132357877810938	11.1076433713214	1.15158599128459e-28	3.44727266491041e-26
YJL217W	1496.84484297793	1.52966932236765	0.144175833927987	10.6097483932827	2.68471045451012e-26	7.65398166245338e-24
YKL216W	2481.7458611712	-2.01563371398304	0.191316904961451	-10.5355755906107	5.9219877345549e-26	1.61158820758092e-23
