baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
YBR296C	2841.58833976165	-4.66810665473814	0.161428304560155	-28.9175226578596	7.18982903857347e-184	4.54972381560929e-180
YDR034C	571.951732468624	-5.86554867514312	0.219904609078424	-26.6731502342058	9.64595279238684e-157	3.05197946351119e-153
YCR097W	805.743045416682	-7.54880302593746	0.285374521208094	-26.4522669857864	3.43608483589722e-154	7.24784828051921e-151
YDL059C	462.654906367505	-3.49282116753391	0.169315050660257	-20.6291239550966	1.50349102811812e-94	2.37852280648286e-91
YNL142W	1266.1678314811	3.13355709670294	0.154139199121915	20.3293978076562	7.06643711819194e-92	8.94328281678372e-89
YKR039W	1252.20552933632	2.87892554386987	0.14381453842747	20.0183206465027	3.81359852295324e-89	4.02207524220802e-86
YBR033W	235.285897875651	-6.30135589358472	0.330459567913752	-19.0684625455582	4.61680030075635e-81	4.17358747188374e-78
YLR303W	258.439277802818	7.05381846828634	0.381244109884851	18.5021047811514	1.98565812230966e-76	1.57065557474694e-73
YJR016C	3845.19405354676	3.00388719506016	0.162689440977579	18.4639345799592	4.02894365035513e-76	2.83279504660525e-73
YMR120C	1834.55785429022	2.32474064802387	0.129908022221908	17.8952816636124	1.28346264737798e-71	8.12175163260784e-69
YDR158W	2118.99403928982	2.81956427825457	0.167501769661655	16.8330417281557	1.39735378112276e-63	8.03859520631346e-61
YGL162W	830.200163683078	3.31397694531597	0.197765279732577	16.7571221288045	5.02359111856614e-63	2.64910704985721e-60
YGR035C	164.180617830013	3.72660648797341	0.228124693999907	16.3358311747475	5.48792594674959e-60	2.6713534916178e-57
YGL009C	12178.3764432554	3.22885712456332	0.198193402330076	16.2914460653232	1.13513161480683e-59	5.13079489892686e-57
YGL158W	322.512147976658	4.5519901041776	0.281815511500957	16.1523759992258	1.09270341817035e-58	4.60975148678797e-56
YFL055W	682.483746171415	-2.1017090841458	0.130188050129761	-16.1436405419006	1.25891715800878e-58	4.97901735992473e-56
YFR053C	13730.0631995674	1.86913230528652	0.118622805274386	15.7569389879378	6.15424422237024e-56	2.29082690818582e-53
YFL026W	176.091288697266	-3.20481962116593	0.203446896325005	-15.7526100375906	6.59041419030235e-56	2.31689672201296e-53
YBR020W	922.813647216283	-2.49799904076777	0.163730428284337	-15.2567794938501	1.4839364986765e-52	4.94228955980257e-50
YLR134W	318.112660427648	2.87857301671449	0.190750448711655	15.0907797919041	1.86228296871976e-51	5.89226331302931e-49
YDR035W	2482.13884844614	1.82741126339485	0.121305463091264	15.0645421634473	2.7707842072654e-51	8.3492964112264e-49
YHR018C	1187.73230508444	2.27357770200008	0.151042925785311	15.0525268904794	3.32295287470296e-51	9.55802081414562e-49
YMR108W	5143.95574440395	2.48278749029453	0.1661179637363	14.9459301959406	1.65563052789757e-50	4.55514346979819e-48
YLR237W	924.908449158936	2.16047213927138	0.145333671710339	14.8655993745026	5.51193671127946e-50	1.45331397954068e-47
YBR294W	1668.93726690536	-1.88910238470351	0.127834367381091	-14.7777348408339	2.03909315370136e-49	5.16135259064889e-47
YGR055W	1132.83544122029	-2.18340074627574	0.148860159173871	-14.6674621227933	1.04168910002519e-48	2.53531100959978e-46
YER175C	951.362388263684	2.18912428546721	0.149905565827308	14.6033556084841	2.67355445172114e-48	6.26601947055237e-46
YPL187W	133.997834737676	3.6722303333098	0.251584635395181	14.5964014358094	2.96065600773162e-48	6.69108257747346e-46
YLR004C	923.112393632311	2.71840942002458	0.187725209966066	14.480790409109	1.60243813170869e-47	3.49663051636295e-45
YOL058W	1319.17280023656	2.53274082170213	0.174972311160352	14.4750949730613	1.7408512513945e-47	3.67203557294147e-45
YLL057C	562.393451187169	-2.37654969021857	0.164258300435617	-14.4683689281814	1.91970623617349e-47	3.91867776209865e-45
YLR081W	1373.23978971966	-2.7577801548699	0.190963370525982	-14.4414090894708	2.83976502458693e-47	5.61563533612065e-45
YOL154W	452.043573216082	2.18459895499873	0.152308934821542	14.3432094614698	1.17493682385956e-46	2.25303037011615e-44
YMR085W	1110.71095434441	-2.14523752915217	0.14992259728349	-14.3089672138999	1.92348626353238e-46	3.57994737518615e-44
YCL030C	2440.69523534167	2.57832132735988	0.181416672387479	14.2121520223509	7.70216896015417e-46	1.39255214799587e-43
YGR279C	1441.9193293385	-1.99935540111182	0.142336486442554	-14.0466822743917	8.07283420659971e-45	1.41902485720453e-42
YGL234W	1184.14120955379	1.8193776092183	0.129856664443193	14.0106602693018	1.34151917729803e-44	2.29436036593026e-42
YER103W	5646.22525703215	1.63203986436101	0.120023288333312	13.5976933062251	4.13262830757994e-42	6.88191366588575e-40
YLR249W	4681.20585354908	1.93155991523611	0.142385430608305	13.5657131982115	6.39545587622975e-42	1.03521507969988e-39
YPR010C-A	1915.54252118854	-1.48456485461942	0.10944863335179	-13.5640328175477	6.54371099683871e-42	1.03521507969988e-39
YDL070W	4705.30643434611	-1.44358424639762	0.107012558915086	-13.4898582094752	1.79445319120197e-41	2.70364280807763e-39
YMR084W	424.787049293457	-2.21735836156883	0.164362521655865	-13.4906567460156	1.77512230168091e-41	2.70364280807763e-39
YML081C-A	2005.70217939625	-1.43720201356311	0.107534164544158	-13.3650735062245	9.67393982388004e-41	1.42364398152356e-38
YNL104C	8595.82286081083	1.70038784295609	0.127440682123276	13.34258271869	1.30846476107497e-40	1.88181022910964e-38
YDR342C	1810.19128346973	2.19708892439231	0.165890359069348	13.2442230923971	4.87298336586103e-40	6.85249749759303e-38
YOR153W	2710.68436825958	1.63020643581762	0.12384649259533	13.1631215519711	1.43051320085261e-39	1.9678885945642e-37
YDR127W	2110.40553039659	2.0311505633844	0.155659275151516	13.0486960151094	6.46443733474741e-39	8.70360839452801e-37
YPR145W	1107.00226037153	2.51183373552821	0.192579184157324	13.0431216983255	6.95499710843374e-39	9.16900452128515e-37
YNL145W	85.9089380996141	-3.42992289782513	0.264044662521677	-12.9899346007176	1.39546253421439e-38	1.80214018704259e-36
YHR020W	493.998190761022	2.1911198842752	0.16889496702026	12.9732692627387	1.73470552623963e-38	2.19544331400887e-36
