baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
YDR034C	716.465485981984	-4.45994161134517	0.122949634208486	-36.2745415230958	4.0782149626175e-288	2.03095105138352e-284
YBR020W	1417.86950880799	-1.00881291545875	0.109548907815858	-9.2087902615559	3.2982094598735e-20	8.21254155508501e-17
YIL094C	426.427174296873	-1.12624425008309	0.130015485716157	-8.66238543723823	4.61993196045401e-18	7.66908705435365e-15
YBR294W	2494.32986317422	-0.847535791981302	0.0999464918732711	-8.47989535296497	2.25396576126499e-17	2.80618737277491e-14
YDL059C	787.70938575725	-0.907524342403614	0.108459800561343	-8.36737978224784	5.89135786842704e-17	5.86779243695334e-14
YBR115C	686.267380357875	-0.834572787896549	0.100131956423965	-8.33472966774881	7.76754588672404e-17	6.44706308598095e-14
YLL057C	841.758266139401	-1.00243422580296	0.121593689518989	-8.24413034729421	1.6636572369276e-16	1.1835732914142e-13
YOL052C-A	4698.95318615091	-0.760618928545709	0.0958859849941206	-7.93253496423223	2.14717239130483e-15	1.33661481358726e-12
YNR050C	279.513784861624	-1.0122000708399	0.131649412358592	-7.68860303062215	1.48750206046475e-14	8.23084473457164e-12
YDL182W	2402.28834277156	0.665222459376565	0.0892097582370192	7.45683513242074	8.86254855495445e-14	4.41354918036731e-11
YDR234W	556.274206728987	0.78073132641519	0.104893435347038	7.44309044538544	9.83566961653268e-14	4.45287588093934e-11
YCR021C	24656.8874638443	-0.727437998614823	0.0979845347761015	-7.4240082914824	1.1362804201759e-13	4.71556374372998e-11
YBR019C	2793.63910023963	-0.882562538949668	0.125001025860905	-7.06044236734297	1.65973373726403e-12	6.35805693198068e-10
YEL017C-A	242.122296862146	-0.835153442074642	0.122039809884337	-6.84328698042187	7.73963815710008e-12	2.75309985873989e-09
YDR276C	2353.4786096341	-0.631987689102628	0.095635368907408	-6.60830502692475	3.8874508061499e-11	1.29063366764177e-08
YJR073C	1614.13782305381	-0.623821319613051	0.0981113469883751	-6.35829940941455	2.03999550545145e-10	6.34948601071764e-08
YKL201C	3489.49917300435	-0.684361336979989	0.109652932697624	-6.2411585367002	4.34341741659138e-10	1.27236580791912e-07
YBR085C-A	3241.02530993204	-0.573795330706221	0.0936792467182363	-6.12510615539057	9.06231662535748e-10	2.50724093301557e-07
YNR067C	335.6486682714	-0.692526836256477	0.117308158471205	-5.90348399703564	3.55904162610426e-09	9.32843541999959e-07
YKL043W	1398.94797615376	-0.641087142740969	0.110408998350065	-5.8064754895097	6.38016074936212e-09	1.58866002659117e-06
YLL056C	1325.99715174653	-0.488478129215881	0.0861606045705742	-5.66939068789574	1.43306247209862e-08	3.39840529097673e-06
YML081C-A	3053.06735062169	-0.530420966389685	0.0938130453806839	-5.65402140221853	1.56736681380684e-08	3.54794851489003e-06
YJR010W	238.368052747562	-0.692949875787927	0.123128637276739	-5.62785304145355	1.82466438842662e-08	3.95079506711503e-06
YLR327C	20748.3561657214	-0.455740885941993	0.0817893433198941	-5.57213039551499	2.51642954736386e-08	5.22159131078002e-06
YDL067C	2636.49690829585	-0.545177487040623	0.0988984712238646	-5.51249660681377	3.53779013739454e-08	7.04727795368991e-06
YBR018C	511.96380571546	-0.701954128789169	0.128125492748386	-5.47864530103836	4.28594552538529e-08	8.20923412169951e-06
YPR167C	243.480669478098	-0.657643878422582	0.120914945705612	-5.43889652833927	5.36115778781214e-08	9.88835769752018e-06
YPL250C	440.862858383296	-0.676198206513876	0.124834549649304	-5.4167552846028	6.06903152359347e-08	1.07942060669627e-05
