baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
YLR076C	268.501075470815	-3.97245643165326	0.276671148717928	-14.3580436560202	9.48674529847463e-47	5.9662141182107e-43
YGR142W	272.815246385564	2.20990617304808	0.179876228158159	12.2857044295202	1.08099281647348e-34	3.39918191140085e-31
YKR091W	85.0205519816796	2.14237667450733	0.179865792580897	11.9109734194943	1.03758828478677e-32	2.17513090767467e-29
YIL117C	240.877577031617	1.62462414151908	0.156183506164692	10.4020211955413	2.42729091712786e-25	3.81630814445428e-22
YNL043C	93.511006294725	2.7060682213104	0.270727765870247	9.99553264369397	1.59427815283396e-23	2.00528306063456e-20
YJR085C	936.861644070469	-1.53662839171348	0.154159606724432	-9.96777576411625	2.10898801902387e-23	2.21057094194019e-20
YPL240C	1753.95011541236	2.10584280664466	0.213246343483488	9.87516490198444	5.33451466343324e-23	4.79268038833309e-20
YDR040C	80.0016782865753	1.89479853731063	0.192196293860394	9.85866324085812	6.28809454092968e-23	4.94322832098835e-20
YNR036C	663.129554684661	-1.23224359755685	0.126027101759428	-9.77760799347014	1.40491540661095e-22	9.81723665797361e-20
YJL188C	1640.33787790352	-1.85392207805732	0.192733377456464	-9.61910231908893	6.64081656906758e-22	4.1764095402866e-19
YML132W	10.5142908435667	3.74529903125351	0.391836806472487	9.55831348507198	1.19691200140428e-21	6.84307234257411e-19
YGR146C	287.685354680652	1.67840358736	0.176033799069146	9.53455300195349	1.50532657504598e-21	7.88916569205347e-19
YNL089C	17.6067246829241	-2.79139666528387	0.301174859415834	-9.26835882217437	1.8903202268128e-20	9.14478762032747e-18
YOR377W	232.917967361214	1.66638902023011	0.180281585480321	9.24325696265863	2.39105895179001e-20	1.0740978391291e-17
YJL068C	435.582955272176	-0.902880166218601	0.0983620678797359	-9.17914990687796	4.34507942464029e-20	1.82174696677085e-17
YOR187W	1356.52256980732	-0.861465039710427	0.0948152467418896	-9.08572270085999	1.03012020586421e-19	4.04901623417502e-17
YDR433W	35.7241941082865	2.68720102117436	0.307234833202396	8.74640740818643	2.20252846227689e-18	8.1480597054467e-16
YPL142C	176.356971601392	1.94715192560758	0.225310830590539	8.64206980420828	5.52036827571445e-18	1.92875533810934e-15
YOL086W-A	472.440963494946	-1.66983837706485	0.19384548244769	-8.61427543205948	7.03852988400443e-18	2.32975339160547e-15
YGR159C	3796.16981794897	-0.981555579964807	0.114907224723226	-8.54215722578847	1.31739015447883e-17	4.14253334075867e-15
YIL124W	469.336243494086	-1.20373481360206	0.143499073273431	-8.38845008642255	4.92593124938995e-17	1.47519912511492e-14
YGL187C	623.979250122452	-1.10866038147537	0.133096711511088	-8.3297353397271	8.10232801852059e-17	2.31616095038527e-14
YDR322C-A	748.720069780689	-1.29316953038051	0.15746492273403	-8.2124292059938	2.16757859859371e-16	5.92691382893733e-14
YHL034W-A	44.4576107391978	-2.19879274909154	0.268919793423041	-8.17638865887642	2.92477535845689e-16	7.66413009555641e-14
YBR251W	243.468201050587	-0.920053306326771	0.113266866957376	-8.12288121885638	4.55244814879813e-16	1.14150183346524e-13
YML123C	915.77569277202	2.39687042599694	0.295235057519275	8.11851561984795	4.71919982033649e-16	1.14150183346524e-13
YGL191W	936.189165265643	-1.30522230800644	0.161149421173985	-8.09945390121666	5.52064408954884e-16	1.28590113626565e-13
YOL104C	155.421489664266	1.72603782103031	0.215029978262145	8.02696365864897	9.99146659516023e-16	2.24415476489153e-13
YCR004C	779.486311324971	-0.901965611312219	0.112540821602459	-8.01456394639034	1.10528443491415e-15	2.39694269350865e-13
YGR213C	111.505876687211	1.84419504672589	0.230474797833597	8.00172107345722	1.22692063885589e-15	2.49885849069076e-13
YLR343W	203.477830943861	1.42438275882554	0.178020303480223	8.00123767334089	1.23174770569906e-15	2.49885849069076e-13
YCR013C	908.15102748243	-2.46469907752388	0.311161856535369	-7.92095504560575	2.35693149645935e-15	4.63210693163527e-13
YMR232W	49.1272992109139	1.811727237768	0.228944314766895	7.91339693065824	2.50459201613588e-15	4.77314520893289e-13
YBR296C	442.636438311759	3.24642313789053	0.412926456890767	7.86198869971976	3.78082149335864e-15	6.79359610620929e-13
YLR395C	507.378899413828	-1.53222465657173	0.194822334551007	-7.86472793328822	3.69900488854843e-15	6.79359610620929e-13
YNL246W	689.497652218315	-0.698786721387789	0.0890648215881558	-7.84582182872432	4.30127263266392e-15	7.51408432967316e-13
YIL047C-A	18.7714315218708	-2.82055865281174	0.35982078500587	-7.83878744738364	4.54917835154901e-15	7.60216317453861e-13
YML129C	163.301567326333	-1.31945676536483	0.168350215170334	-7.83757100654621	4.59345206920762e-15	7.60216317453861e-13
YNR041C	227.898143082887	-0.972094537103188	0.124417334944817	-7.8131760138918	5.57646355970188e-15	8.99240495563208e-13
YIL159W	256.391130463277	1.0664091895115	0.136736909782741	7.79898559361846	6.24067877166193e-15	9.81190719874546e-13
YKL018C-A	206.826082317553	-1.32263633190218	0.169848720840724	-7.78714331998109	6.85411902600387e-15	1.05135498913508e-12
YLR228C	290.339608319851	0.93584504140934	0.120500544037699	7.76631382773305	8.08032025147021e-15	1.20993176336896e-12
YNR057C	2026.78396234885	-1.19280762969191	0.153708857036775	-7.76017500023785	8.48122744001332e-15	1.24042882256381e-12
YBL005W	497.917083168972	0.829362264356177	0.10715200038298	7.74005395505349	9.93746338091672e-15	1.40936338257618e-12
YKL161C	109.734931877824	1.20463095920533	0.155673550574051	7.7381864469797	1.00844891423005e-14	1.40936338257618e-12
YNL098C	1347.29172200236	-0.856858592597528	0.110994597078431	-7.71982254228156	1.16491776281401e-14	1.59264517616028e-12
YBR268W	238.22889590185	-1.20236100473607	0.15594802887403	-7.71001091464454	1.25806978286374e-14	1.68340443924044e-12
YOR208W	216.619086607169	1.47673310532095	0.191719705354575	7.70256298167063	1.33363848262141e-14	1.7473442535846e-12
YBL113C	48.9941797879335	2.32705296799848	0.302506178553671	7.69257996357124	1.44197301949488e-14	1.82247556949152e-12
YLR018C	449.160986389189	-0.836658130109744	0.108770423208782	-7.69196354512474	1.44893907576047e-14	1.82247556949152e-12
YDR461C-A	97.8486992467335	-1.72203777359312	0.224728879966078	-7.66273464208541	1.82015171864274e-14	2.24449689383219e-12
YJR073C	13204.2137582741	-1.05551115201568	0.137980792260195	-7.64969627095105	2.01454573522315e-14	2.43643810169584e-12
YCL033C	255.792463226462	-1.27299068676598	0.166589873032876	-7.64146501579216	2.1476388465567e-14	2.50759777898745e-12
YER184C	166.004788131411	1.20563888012347	0.157782668035061	7.64113635000495	2.15312895635748e-14	2.50759777898745e-12
YCR047C	610.330014819553	-0.949384680665186	0.124528679187105	-7.62382357913495	2.46269891565683e-14	2.81598426919378e-12
YNL192W	1274.44830549654	1.29827693157354	0.170372099167668	7.62024379529345	2.53197045193368e-14	2.84349324503766e-12
YNL081C	325.190587513335	-0.983462961244882	0.129174951983138	-7.6134184386866	2.6693980303345e-14	2.9452358268024e-12
YLR309C	917.000388092331	1.07063140752709	0.140937425006065	7.5965018339239	3.04242990657471e-14	3.29893822111179e-12
YBR220C	436.061709029738	-0.663907887227848	0.0877751826760364	-7.56373119356779	3.91668715117233e-14	4.17492296503776e-12
