baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
YGL035C	218.994087769931	-5.05477655672354	0.243230436015285	-20.7818422707835	6.3186885221127e-96	3.82722963784366e-92
YPL142C	136.268155790726	2.13325544203406	0.159104493303602	13.4078893545979	5.43640715527038e-41	1.64641590697363e-37
YLR076C	224.829632174258	-3.49626835255303	0.269639493086885	-12.966454997104	1.89598232766037e-38	3.8279883195463e-35
YDR155C	3522.97515807218	-1.26822874836353	0.112745756407569	-11.2485719088083	2.35372061406716e-29	3.5641214398512e-26
YOL136C	529.330598057693	0.990225568350449	0.0894287383357544	11.0727892037648	1.70024781791671e-28	2.0596802066243e-25
YNL043C	56.7960223714411	2.48835345942866	0.227587862154355	10.9335947702739	7.96300768293253e-28	8.03865625592039e-25
YDR345C	11183.686022802	0.970184397711783	0.0961665673091603	10.0885830165154	6.20588527553356e-24	5.36986387341525e-21
YFR053C	133.491537075899	2.077402690849	0.210712191192664	9.85895822681439	6.26965008077896e-23	4.74690881740977e-20
YKR098C	139.550092338766	1.1323564947964	0.116100242102522	9.7532655771422	1.78627849395324e-22	1.20216542643053e-19
YDR433W	26.0366774062514	2.60704462619445	0.273332512841775	9.53799677575717	1.4561784562076e-21	8.82007290924945e-19
YHR092C	589.465284296283	2.55431200569439	0.280310848888833	9.11242649301595	8.05596628332665e-20	4.43590797982814e-17
YDR157W	36.518259476279	-2.24141495870051	0.246634242118088	-9.08801202724852	1.0086638351947e-19	4.69959757674946e-17
YFL010W-A	205.675502890307	-1.20793119159557	0.1327946121659	-9.09623645036527	9.35162605234079e-20	4.69959757674946e-17
YJR085C	776.749536028606	-1.30853230825286	0.15398689577256	-8.49768612899099	1.9340722475982e-17	8.36762543121594e-15
YDR524W-C	4262.93214444669	1.54076514621823	0.18193555742667	8.46874117413382	2.480591854505e-17	9.39059053921051e-15
YEL009C	7942.82645399469	0.767199036028451	0.0905712057368771	8.47067265790056	2.43979980894579e-17	9.39059053921051e-15
YJL188C	1357.08265535378	-1.63664583625692	0.195337915495037	-8.3785364050253	5.35899077429493e-17	1.90937688940614e-14
YDL173W	293.209360630698	-0.980977745328548	0.117184307307043	-8.37123816210492	5.70159426790401e-17	1.9185864711497e-14
YBR230W-A	154.046535514146	-1.50203277635648	0.179746484784367	-8.35639583248814	6.46634801796839e-17	2.06140368130708e-14
YBR264C	194.995541704146	-1.06234515620934	0.127760286237029	-8.31514383302504	9.16410589569824e-17	2.77534947051221e-14
