baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
YGL209W	578.951366802629	-6.04665219637872	0.209595920394363	-28.8490929833067	5.20136549962019e-183	3.28102135716042e-179
YLR076C	334.701795250494	-3.66483845105229	0.18482338087296	-19.828868153707	1.67772612498803e-87	5.29154819821225e-84
YNL043C	41.7598617220735	2.77263562486817	0.205529214012148	13.4902263806852	1.78551466504282e-41	3.75434216903004e-38
YLR062C	53.8510480421274	-2.61206121067398	0.219192152344064	-11.9167642761856	9.67952866357654e-33	1.52646167024602e-29
YDR413C	10.0498009454435	2.53838787276649	0.268678067841079	9.44769289567741	3.46380897733374e-21	4.36994140580425e-18
YHL034W-A	27.9230287263701	-2.17879973875031	0.234083623094787	-9.30778373106456	1.30527446925005e-20	1.37227855867155e-17
YHR163W	1188.27783780008	-1.12367969880373	0.122248250351076	-9.19178553129978	3.86373810345964e-20	3.48177999380334e-17
YOR248W	21.6059497991658	2.35817275024203	0.26951580698639	8.74966398672532	2.13988955980882e-18	1.68730291790925e-15
YPR044C	193.603292486036	-1.91267958315264	0.221940266368668	-8.61799264481127	6.81380571614191e-18	4.77572071749146e-15
YIL047C-A	24.7190407477012	-2.09734717599047	0.24788062710825	-8.46111775840616	2.64826816664532e-17	1.67052755951987e-14
YKR066C	477.458739202281	-0.991644257484556	0.118023452229882	-8.4020949967898	4.38582804931978e-17	2.51507303046447e-14
YDR524W-C	3802.70990949098	1.28421816413147	0.15477165034365	8.297502554764	1.06322814365082e-16	5.58903594179114e-14
YJL138C	1299.69650638618	0.865560766725839	0.108108680525094	8.00639469949805	1.18120198764391e-15	5.73155549081367e-13
YDR157W	41.2550361988466	-1.63303378178414	0.205003070395108	-7.96589913817755	1.64026691849197e-15	7.39057408703381e-13
YCR013C	268.841383877975	-1.97866135106953	0.249295269785412	-7.93701923334813	2.07097946157219e-15	8.70915896239825e-13
YPR062W	1285.8214631333	-0.886731723308911	0.113894453654461	-7.78555666985438	6.94069247113218e-15	2.73636800674386e-12
YPL142C	184.883546357003	1.64064402440987	0.214192128080151	7.65968403748217	1.86391074236569e-14	6.91620527226045e-12
YIL002W-A	268.909879495952	-1.13923358766374	0.153792417057303	-7.40760571595191	1.28599963948073e-13	4.5067142921358e-11
YML132W	4.16948195198193	1.78128126086085	0.26186185446069	6.80237014485914	1.02911767435779e-11	3.41667067886787e-09
YJL188C	1514.32315180609	-1.26703804344081	0.187160447785434	-6.7697959608078	1.28964142147505e-11	4.06752904333232e-09
YDR433W	29.9276388499788	1.78230533203521	0.268130677332131	6.64715186553415	2.98818677214918e-11	8.97594388510335e-09
YHR183W	4254.79899871137	-1.15159361304696	0.181551683825704	-6.3430621450613	2.25242515934356e-10	6.45831722960871e-08
YBR220C	367.46177065884	-0.554066907448726	0.0887100466740487	-6.24581914024416	4.2158477692055e-10	1.15624207513688e-07
YBL113C	36.9086249957406	1.53176885294964	0.246346536414021	6.21794353290717	5.03712750706435e-10	1.32392501310675e-07
YJL152W	22.6927713113427	-1.44389275322434	0.233117333553926	-6.1938455249632	5.87137723885255e-10	1.48146590490727e-07
YLR342W-A	127.303816312504	1.17015027701101	0.192741124024963	6.07109812672594	1.27038529161933e-09	3.0821501613595e-07
YPR113W	933.030418427197	-0.674005299866511	0.11131716829336	-6.05481894841476	1.40575682292622e-09	3.28426445889577e-07
YHR128W	1688.09745062796	-0.553963089826548	0.0918550482405986	-6.03083989870144	1.63109719086918e-09	3.67462895714386e-07
YDR510C-A	73.4939928209022	-1.02500187541034	0.170684417908151	-6.00524575103228	1.91042316901515e-09	4.15549977591296e-07
YER111C	168.027803134698	0.958548573738119	0.159977229708252	5.99178130216537	2.07554923966418e-09	4.36418820126722e-07
YBR135W	254.252529012363	-0.65516850436611	0.110184567342968	-5.94610044006242	2.74605686383185e-09	5.58778280550043e-07
YNL266W	9.81427341561454	1.48472107556398	0.255871437919598	5.80260574464948	6.52921905949934e-09	1.28707230710381e-06
YGR210C	989.710891677186	-0.534451223819483	0.0923261557704416	-5.78873039129165	7.09204242967129e-09	1.3556546559505e-06
YEL027W	2858.72136846248	-0.54528112933181	0.0944794054862018	-5.77142845602945	7.86023310831218e-09	1.45830442491862e-06
YMR222C	166.725818771642	-0.795966906840341	0.139249693414741	-5.71611245469413	1.08988626466035e-08	1.96428644499358e-06
YDR418W	2754.40972145541	0.565938514419958	0.0993501697760623	5.69640208663556	1.22362110045291e-08	2.1440560837936e-06
YEL017C-A	1345.93545002638	-1.16315131390447	0.204901366079031	-5.67664011305731	1.37366046684659e-08	2.34190546618061e-06
YJL151C	360.903126050889	-1.05379844711828	0.18590649833184	-5.66843255385976	1.44109776539719e-08	2.39222229055933e-06
YNL282W	181.000780067729	-0.822847566432735	0.146044901676279	-5.63420945879131	1.75863172463513e-08	2.84447408179446e-06
YNL089C	9.6697379381335	-1.51259704049708	0.269128959499958	-5.6203429140717	1.90578805756243e-08	3.00542776677595e-06
YDL130W	9504.15809334451	-0.905694502682553	0.163221200783608	-5.54887783164447	2.87508985251616e-08	4.31811114039809e-06
YKR043C	1628.72219378162	-0.489248709357939	0.0881492885719611	-5.55022867777927	2.85296166705708e-08	4.31811114039809e-06
YBR261C	445.794789521322	-0.576966416730295	0.104356062638896	-5.5288250834719	3.22382581037443e-08	4.72927749112603e-06
YCR047C	678.079855383418	-0.636325283199793	0.115742143225526	-5.4977838276236	3.84593985025886e-08	5.51367922168929e-06
YJL074C	221.970225140082	0.890788273757024	0.162626093687429	5.47752364678413	4.31319381543473e-08	6.04613924172495e-06
YFL010W-A	135.428979425647	-0.862892983807372	0.157757682155899	-5.46973670007807	4.50704635303119e-08	6.18053225976538e-06
YBR187W	859.592009939143	-0.673098975083068	0.123363064066522	-5.45624397526398	4.86311626823766e-08	6.39094529584233e-06
YDR385W	1677.46556525168	1.07733255249515	0.197411138061199	5.45730379286485	4.83418864540987e-08	6.39094529584233e-06
YLR198C	81.8726594091503	-1.03866045215027	0.191067356895566	-5.43609577808725	5.446068804725e-08	7.01098000412353e-06
YBR264C	143.518048126361	-0.749630511243799	0.1391426881871	-5.3874948156514	7.1446535871389e-08	9.01369496553443e-06
YER147C-A	97.5137252844039	-1.19622254605614	0.222398778880778	-5.37872803113454	7.50139271470509e-08	9.27819318516857e-06
YIL159W	251.093669436416	0.749280763329057	0.140591438996619	5.32949067650611	9.84885760988065e-08	1.19474218852168e-05
YNL149C	58.4047356032868	-1.37940895104737	0.259003306527439	-5.32583529353992	1.00490160117698e-07	1.1960225094763e-05
YDR322C-A	338.612748660571	-1.04665002391478	0.196859614872485	-5.31673306682401	1.05646875977571e-07	1.23411202530837e-05
YML129C	73.3195465285406	-0.980043727090482	0.187723179970996	-5.22068573120221	1.78261825418732e-07	2.04450108134793e-05
YOL126C	1600.60483485996	-0.485878039711108	0.0934321214687444	-5.20033187808593	1.98932991188924e-07	2.20152510249076e-05
YOR144C	158.50182068756	0.622764026956132	0.119707825774821	5.20236687054694	1.96766306603692e-07	2.20152510249076e-05
YDR007W	170.337854516773	-0.707714926323428	0.137321050088975	-5.15372498145678	2.55362372469436e-07	2.77728594058138e-05
YOL040C	11561.721041957	-0.6034197294193	0.117699257094573	-5.12679301734628	2.94719217844655e-07	3.1509980104476e-05
YAL039C	243.804301174743	-0.746881690586414	0.146255205385559	-5.10670159477387	3.27830834616359e-07	3.44659484126665e-05
YHR154W	356.260303145783	0.726641077892822	0.142703245346764	5.09197303906515	3.54356501604309e-07	3.66439477396719e-05
