baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
YGR142W	1661.60095992612	5.47343779558333	0.294970080009094	18.5559084345591	7.30617711199402e-77	4.62115702333622e-73
YKL029C	2431.94389104294	-1.94910223451115	0.11986622273896	-16.2606461601433	1.87747465122927e-59	5.93751358451257e-56
YAL005C	2363.40594509797	4.79992343841536	0.303194348583074	15.8311771338976	1.8963992047895e-56	3.99824165676453e-53
YPL240C	3775.59355927022	5.32960702437163	0.353930404605936	15.058347502825	3.04298417524239e-51	4.81171872710203e-48
YLR076C	413.549740304285	-4.06285303587857	0.283496601115322	-14.3312230901346	1.39639465164936e-46	1.76643923433645e-43
YER103W	2193.63482453162	4.89112369457979	0.352067346474623	13.8925797679233	7.02584701676405e-44	7.40641373017211e-41
YLL026W	2491.11940268005	4.67042512630751	0.356348761227136	13.1063318705648	3.02897752648105e-39	2.73689755071324e-36
YER056C	7523.69314161665	-1.58821893932618	0.122438238878779	-12.9715924850781	1.77307853369036e-38	1.40184021569894e-35
YFL054C	98.8289303528587	2.71546250798419	0.21324321385797	12.7341098403855	3.82180043095969e-37	2.68587641398e-34
YDR258C	520.831464289383	3.88605774843049	0.322184361206132	12.0615964532934	1.68484952718957e-33	1.0656673259474e-30
YMR131C	2793.92348040235	-1.07721858982792	0.0894544184886464	-12.0420948235737	2.13465167512901e-33	1.22742471319918e-30
YDR216W	325.220920969204	3.89922126448912	0.335568215794292	11.6197574173098	3.27063590636522e-31	1.72389767564667e-28
YBR298C	158.744657150114	1.93763308124595	0.167906077569151	11.5399818118433	8.29427578361956e-31	4.03548417933798e-28
YJL144W	95.6569481605644	3.70621951610739	0.323054010275178	11.4724454680207	1.81457665864658e-30	8.19799811852829e-28
YML058W-A	74.486246281575	3.75468949073782	0.328047252338846	11.445575184576	2.4745771378746e-30	1.04344669313712e-27
YMR186W	7555.54453039458	2.7051173194183	0.237066185746587	11.4108104911678	3.69272352002887e-30	1.45977976651141e-27
YPR016C	1893.40743057524	-1.15205974981476	0.104363077963423	-11.0389591060023	2.47888065042079e-28	9.22289418465383e-26
YMR146C	2866.06227034978	-1.03668119242878	0.0939984641903377	-11.0287035150872	2.77841426955822e-28	9.76303903053096e-26
YNL077W	233.2747089184	2.44606901601083	0.222141026322357	11.0113339102937	3.36977159192556e-28	1.12177922731206e-25
YDR277C	155.533998788663	2.59193891350123	0.240131608066272	10.7938264952854	3.68135256230459e-27	1.16422774782883e-24
YNL043C	38.5203312592873	3.14398615503374	0.293771718832538	10.7021403133293	9.94540572397268e-27	2.99546148591082e-24
YOR027W	1922.68179687878	3.15308779069148	0.29479410298589	10.6958984550732	1.06383574910401e-26	3.05852777867404e-24
YAL025C	1574.19496204761	-1.38948737766813	0.130656616511395	-10.6346499302387	2.0559937959425e-26	5.65398293884189e-24
YOR273C	223.909230065507	2.72281676231181	0.256554463469432	10.6130165325938	2.59241705309717e-26	6.83209910868316e-24
