baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
YPL187W	2955.84267685466	9.24431841769409	0.231793074902919	39.881771366836	0	0
YFL026W	3682.53984154941	-6.03617792786812	0.183611998426571	-32.8746377120995	5.06497248895367e-237	1.56608949358448e-233
YGL209W	944.730618824302	-6.41250526280927	0.224492446680963	-28.5644588832086	1.85781215425466e-179	3.82957012063695e-176
YGL089C	326.933899225835	4.51453045145767	0.190537338084486	23.693678608315	4.18947516220027e-124	6.47692860076162e-121
YJR004C	970.581212095163	4.42324341523281	0.187672380496306	23.5689631235848	8.02403039244312e-123	9.92412078937365e-120
YIL015W	715.042270081764	-4.03588195009692	0.174956664389058	-23.0678949223802	9.72839788426217e-118	1.00267354193795e-114
YLR303W	148.16672923563	7.06604879595748	0.310682166626352	22.7436575220476	1.65817937111009e-114	1.46488303299211e-111
YKL178C	363.471784797454	4.64019937872769	0.206618660809347	22.4577942793334	1.07388324376073e-111	8.30111747427046e-109
YNL145W	1273.43477261079	-5.51261702746629	0.297215802794422	-18.5475233000287	8.53971983622521e-77	5.8677363852463e-74
YLR076C	418.320951491268	-4.78599056331276	0.262737081299537	-18.2158930122864	3.8606695921379e-74	2.38743807577808e-71
YKL209C	1391.2961982456	-3.86588451442793	0.214333364842512	-18.0367835743563	1.00209289810162e-72	5.63358407441855e-70
YGL032C	211.412243129479	-4.51929638784423	0.261227372884647	-17.3002405450055	4.68428985378449e-67	2.41397070465027e-64
YLR040C	276.133274593712	3.30614185402715	0.196000178313154	16.8680553379133	7.72995736358411e-64	3.67708125664647e-61
YCR097W	233.972512823311	-4.69671217543249	0.311357293808652	-15.0846383522299	2.04391470440702e-51	9.02826323718072e-49
YDR461W	1595.05306912925	-4.6111010021824	0.310158043391786	-14.8669399373201	5.40269285809447e-50	2.22735017563041e-47
YEL033W	592.707029778423	-2.45260447419803	0.188483816909965	-13.0122814489139	1.04184487264149e-38	4.02673043275937e-36
YNL043C	35.1056947299796	2.74613757314965	0.245782378291565	11.1730450011838	5.52536236325025e-29	2.00993181496115e-26
YKL038W	179.717650702927	-3.3444026064327	0.30540547486111	-10.9506963094019	6.5938765409301e-28	2.26536291828398e-25
YCR013C	462.525542815964	-3.09638397262245	0.311659449322035	-9.93515190814249	2.92729430439334e-23	9.5275726201939e-21
YJL138C	1479.02933342919	1.02243473982171	0.10507824635412	9.73022271780258	2.24101750741101e-22	6.92922613291485e-20
YJL188C	1976.20786178979	-2.38627163523033	0.261368263046394	-9.12992115958146	6.85491974971254e-20	2.01861065391535e-17
YLR062C	70.2658673515905	-2.48378799898573	0.274655855327562	-9.04327343039347	1.52048938630248e-19	4.27395743858842e-17
YHL034W-A	32.5185604225705	-2.93863705751478	0.325240719380779	-9.03526797969703	1.63601082478001e-19	4.39873519149548e-17
YHR094C	6431.40255332795	-2.48027286097804	0.277783745060556	-8.92879048929717	4.30691663279266e-19	1.10974885238291e-16
YER028C	203.455917993952	-1.62415399397323	0.184167247010508	-8.81890792384248	1.15581432678928e-18	2.85902231874597e-16
YFL027C	414.140041894605	-1.44895097935869	0.18011677951401	-8.04450858641957	8.65921894720465e-16	2.05956192190437e-13
YPR044C	268.362426932086	-2.40536302434836	0.307614705525094	-7.81940193737631	5.30748889150768e-15	1.21561152981791e-12
YCL054W-A	46.8079800696388	-2.60047595607853	0.346100013947676	-7.51365458330109	5.74991745906878e-14	1.26991034167433e-11
YNL146C-A	28.2554230435279	-2.33841640591869	0.312556352126141	-7.48158336892466	7.34324314720415e-14	1.56588329732105e-11
YDL130W	12719.8522311413	-1.44062870675575	0.196570851799827	-7.32880126206493	2.32220449499173e-13	4.78683753234296e-11
YIL047C-A	32.1820503823256	-2.3442910383496	0.320744360334635	-7.30890805345348	2.69321971968808e-13	5.37253895050034e-11
YJL170C	29.9132194037434	-2.24444424356011	0.310321750305583	-7.23263593786108	4.73708072911561e-13	9.15440850901592e-11
YDR524W-C	3744.18370736868	1.2720948072436	0.17914131525997	7.10106881484895	1.23795712547659e-12	2.31985662543855e-10
YNL149C	66.1794004227782	-2.20833132236401	0.316940809586717	-6.96764586814687	3.22288228702303e-12	5.77599409200088e-10
YPL234C	1388.6241442394	-1.02436390394576	0.147059495417515	-6.96564272193035	3.2690781568569e-12	5.77599409200088e-10
YJR005W	358.802242467387	0.715741725407705	0.103116959178281	6.94106702826876	3.89149303437516e-12	6.68472025682666e-10
YPR062W	1769.98318979387	-1.15312342866844	0.166960553097176	-6.90656210270989	4.96539620257606e-12	8.29892165317037e-10
YOL143C	2838.13869002152	-1.45835086605102	0.21226564148421	-6.87040472425917	6.40200099649122e-12	1.04184142532373e-09
YBR187W	1122.11908941908	-0.969153034715433	0.142994826548267	-6.77753914676278	1.22240036948524e-11	1.88983097122417e-09
YDR157W	58.1491112478	-1.80750612262634	0.266661762865206	-6.77827260723544	1.21621207162078e-11	1.88983097122417e-09
YMR173W-A	42.7201616239581	1.55779164354184	0.230750543426229	6.75097713925804	1.46852739371699e-11	2.21496912262094e-09
YBR264C	203.061672338799	-1.14690221841923	0.173739110747127	-6.60128979299612	4.07595904568708e-11	6.0013644615545e-09
YDL168W	708.851588046473	-0.707054702143348	0.107419591583367	-6.58217641420288	4.6361101894508e-11	6.66737335152645e-09
YDR412W	66.5258018041691	-2.01549276910118	0.306429998735586	-6.57733504362385	4.78954735009442e-11	6.73149109385997e-09
YGL030W	15721.0572787357	-1.27460964038067	0.194233904594883	-6.56224073258035	5.30051504198158e-11	7.28408555991424e-09
YHR089C	3261.41144975572	-0.936515943589467	0.14574577765618	-6.42568147530655	1.31280041541321e-10	1.7648603845468e-08
YNL089C	16.2733512159788	-2.25110218296797	0.351091007294836	-6.41173409798433	1.43873618953385e-10	1.89300948852709e-08
YCR047C	905.46151813122	-0.868264417629159	0.135732744846066	-6.39686774634857	1.58596578776667e-10	2.04325258990606e-08
YLR042C	81.0271011338854	1.28786517612987	0.204742368508218	6.29017425906245	3.17109797094973e-10	4.0020550719088e-08
YDR433W	21.2907310894014	2.08704079706735	0.332086960034857	6.28462134390429	3.28653746917549e-10	4.06478954187625e-08
YIL119C	35.7715909084922	1.48243412064687	0.23622721847389	6.2754585615659	3.48605318654712e-10	4.16960813946443e-08
YJL152W	33.046858621334	-1.99251545722875	0.317554374167486	-6.27456467086122	3.50613879773853e-10	4.16960813946443e-08
YBR230W-A	89.0394510282423	-1.58419216964621	0.260417268614546	-6.08328387005332	1.17745605886975e-09	1.32388877600919e-07
YDR510C-A	103.799015190398	-1.28885589282916	0.211679937869023	-6.08870120524433	1.13830333475846e-09	1.32388877600919e-07
YHR041C	386.857663806077	-0.943184372198403	0.154993098445807	-6.08533142221287	1.16250583878594e-09	1.32388877600919e-07
YDL184C	764.669732045692	-1.96469406282427	0.326397440345749	-6.01933048477064	1.75139962302008e-09	1.93404558370646e-07
YNR044W	494.832784770956	1.69862742622662	0.284024711874699	5.98056209621643	2.22368934577827e-09	2.41250787970049e-07
YGL019W	889.761545763609	-0.531435138785449	0.0895083597253886	-5.9372682106553	2.89810347595985e-09	3.08997791298892e-07
YDR413C	4.86775242638706	2.08153869254673	0.354991304906132	5.86363289404269	4.52848090314899e-09	4.74646201780904e-07
YLR438C-A	568.64279373466	-1.13594715139417	0.197754419325908	-5.74423143243177	9.23394243662653e-09	9.51711667134974e-07
YJR094W-A	8176.623786084	-1.27077701833815	0.221554547378871	-5.73572979373356	9.70933499802076e-09	9.84303731602629e-07
YGR164W	26.0258559082107	-1.83271253901277	0.322954006528544	-5.67484069546846	1.38817778199222e-08	1.38459538771611e-06
YIL018W	19971.1760804247	-0.930860470905249	0.164309112838277	-5.66530032829924	1.4676724291932e-08	1.44064861938583e-06
YOR137C	87.1453708149107	1.33490006856939	0.23662450773334	5.6414277682248	1.68645788559661e-08	1.62953993195772e-06
YNL302C	12611.7499335785	-1.08599993626338	0.193113252904659	-5.62364270669472	1.8697216706063e-08	1.77882443246605e-06
YHR068W	1558.5298859204	-0.698114662125101	0.124656720978657	-5.60029701282316	2.13984846918008e-08	2.00497317172873e-06
YNL056W	397.575270525349	-0.922470001085168	0.165251396216828	-5.58222213066681	2.37464815390986e-08	2.19176480354904e-06
YIR038C	105.297382039559	1.08287890789811	0.194468102590017	5.56841401482207	2.57068430649536e-08	2.33781055167166e-06
YBL046W	304.805329639885	-0.777013359703446	0.140331408538773	-5.5369882465675	3.07717192957645e-08	2.7578595960146e-06
YGL198W	123.292868783844	-1.09164436815248	0.198187199455191	-5.50814770657925	3.62629083097685e-08	3.15848317317633e-06
YMR015C	619.637668470611	0.690039033726009	0.125276102686031	5.508145759095	3.62633093944889e-08	3.15848317317633e-06
YAL003W	12144.0137704371	-0.615001291162379	0.111770261065406	-5.50236964018979	3.74720279639187e-08	3.21843084623435e-06
YBR067C	2594.48946995453	-0.895853445527895	0.163019376269989	-5.4953801567993	3.89869633530995e-08	3.30267645719955e-06
YLR198C	106.193166625019	-1.43249918450825	0.263158037441816	-5.44349394923942	5.22455091716467e-08	4.36603011780355e-06
YFR032C-A	8251.66670495617	-1.72032746403116	0.316349616540484	-5.43805768707484	5.38645362431426e-08	4.44131056170125e-06
YDL075W	11711.0945964293	-0.879894141159883	0.162032207517926	-5.43036569481125	5.6238689881477e-08	4.57605339772439e-06
YJL196C	892.542672923648	-0.732188713585648	0.134917654472695	-5.4269303483469	5.7331487813544e-08	4.6043885797267e-06
