baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
YPL187W	2793.57491374638	9.22420997119546	0.223917248568477	41.1947272046556	0	0
YFL026W	3322.37189017495	-5.73420237865273	0.200232252011708	-28.6377560110418	2.27743335516092e-180	7.04524008419031e-177
YGL209W	851.835210883356	-6.13071323117908	0.219979358176289	-27.8694932197501	6.25335026660955e-171	1.28964926998378e-167
YGL089C	289.802602067249	4.52818150478	0.168607472780767	26.856351204954	7.11037078327926e-159	1.09979660090372e-155
YLR303W	109.82290938588	6.94732028437482	0.284343093479318	24.4328786022726	7.65274675495547e-132	9.4695088345819e-129
YJR004C	811.915325027934	4.28407206528928	0.183183034797933	23.3868385793203	5.8176829530279e-121	5.99900073839727e-118
YKL178C	323.691299388443	4.5659356937611	0.206242476580566	22.1386775869978	1.34113978187031e-108	1.18537597577595e-105
YIL015W	645.623568814043	-3.60555877842601	0.194812483640301	-18.5078425727751	1.78508215882982e-76	1.38053791458501e-73
YLR040C	240.722744950863	3.24077181160924	0.187932387394597	17.244349718203	1.23393298683163e-66	8.48260376614147e-64
YKL209C	1255.36433573628	-3.73571543979758	0.220928819147783	-16.9091359570373	3.85316041260335e-64	2.38395034727769e-61
YGL032C	191.152931416442	-4.11740858816775	0.257664106467882	-15.9797522620055	1.76847359331281e-57	9.94686011075126e-55
YNL145W	1148.71461625891	-4.55826380702822	0.295136508870415	-15.4445948570517	8.20415088826852e-54	4.22992346214311e-51
YLR076C	378.7383510493	-3.87705165485452	0.251991140904973	-15.3856664997464	2.04262289530121e-53	9.72131373325276e-51
YCR097W	211.015603035331	-4.07878148073945	0.302642294579466	-13.4772355146431	2.1293678960774e-41	9.41028512359348e-39
YDR461W	1440.33508086309	-3.93782686637476	0.300474976297445	-13.105340467609	3.06881982839454e-39	1.26578588521847e-36
YEL033W	533.250006994963	-2.38146499109924	0.20725409170656	-11.490557177858	1.47159695881179e-30	5.69048149010532e-28
YKL038W	161.672051818702	-3.07653542668901	0.305674898996896	-10.0647303288068	7.91038194187671e-24	2.87891371025831e-21
YER028C	181.344283152665	-1.88650928867487	0.193973529422306	-9.72560170603329	2.34514746148509e-22	8.06079296900459e-20
YCR013C	418.191441022031	-2.86568356948881	0.296567063006945	-9.66285176928668	4.33621733598528e-22	1.41200929777584e-19
YJL138C	1320.16713395227	0.973687268302336	0.106355693083778	9.15500844449716	5.43535583670636e-20	1.60135936008106e-17
YLR062C	62.7364595835981	-2.65004289894597	0.289356534020941	-9.15840006140722	5.26724212624392e-20	1.60135936008106e-17
YPR044C	239.363090080094	-2.74594799654704	0.302307654340155	-9.08328967898815	1.05341787268516e-19	2.96249835377414e-17
YHR094C	5787.99213312217	-2.46758843444987	0.274199090356106	-8.99925828070829	2.27247723522028e-19	6.11296376274255e-17
YPL249C-A	175.177265043946	1.584803710892	0.210139461246571	7.54167590175954	4.63969688397886e-14	1.19607519254905e-11
YFL027C	375.376559888719	-1.36311227160756	0.187125939479218	-7.28446454511427	3.22950391916107e-13	7.99237629913981e-11
YNL043C	22.9365135758101	1.97950211646779	0.277562887174589	7.13172476557598	9.91189282539991e-13	2.35864926579805e-10
YIL047C-A	28.9108047445576	-2.22981324251697	0.319905435629736	-6.97022617989458	3.16431838329134e-12	7.25097697682354e-10
YDR258C	163.127601186757	1.68992801637618	0.246738083454603	6.84907652971662	7.43282285018133e-12	1.64238839193114e-09
YDR510C-A	91.4286713601836	-1.58902446212171	0.232499857512206	-6.83451800411657	8.22812025741707e-12	1.75542689767722e-09
YHR128W	1794.66428297413	-0.889100038533439	0.133474880407728	-6.66117876125822	2.71639994427955e-11	5.60212215175252e-09
YNL146C-A	25.554073365638	-2.04056909455066	0.307254218717235	-6.64130537595186	3.10917104324045e-11	6.2053036272673e-09
YHL034W-A	30.1781540578345	-1.97345636861782	0.300701517938658	-6.56284139217549	5.27919930122107e-11	1.02070018989546e-08
YCL054W-A	42.1497936161773	-2.1657326046844	0.3322537903671	-6.51830819534526	7.11047827117634e-11	1.3331069413263e-08
YPL142C	115.717472108234	1.22061877884285	0.189695174983023	6.43463271510246	1.23772251960337e-10	2.25229094964295e-08
YNR044W	441.063680622085	1.67636454325877	0.266342149528277	6.29402648521011	3.09335010576482e-10	5.46815917267627e-08
YOR340C	1032.20231888366	-0.653041307622955	0.107749983227229	-6.06070913482915	1.35522713006841e-09	2.32910840381479e-07
YBR187W	1028.71305724679	-0.804890832808475	0.133095719612175	-6.04745843933849	1.47148608622886e-09	2.46056335553999e-07
YHL040C	989.392674649414	1.68502715567282	0.280672940561555	6.00352549947107	1.93078426406621e-09	3.14362164257306e-07
YHR089C	2981.4886458231	-0.781899674066426	0.130726031011565	-5.98120870048637	2.21487871349761e-09	3.51370630779736e-07
YMR173W-A	37.7299735834351	1.4407007912514	0.243962942403694	5.90540832577522	3.51774360131913e-09	5.44106991534037e-07
YCR047C	821.763173962928	-0.801756197423782	0.136613742459537	-5.86878144899114	4.39009666083082e-09	6.62476293672202e-07
YBR110W	385.867712129484	0.731024997072024	0.126425795903046	5.78224556033356	7.37100052448841e-09	1.08581857726214e-06
YJR087W	20.3732726776712	-1.76430787767831	0.309381927698637	-5.70268564425292	1.17934356846352e-08	1.6968834088567e-06
YKL163W	71.4984713665479	1.48607928180286	0.261084328569073	5.69195129385063	1.25595685185087e-08	1.76604660054576e-06
YEL065W	2273.14349109887	1.34261461283682	0.236096111626168	5.68672903416005	1.29495676754475e-08	1.78042167128875e-06
YJR005W	320.74619474407	0.654428514184593	0.116155277236609	5.63408335595046	1.75991887278439e-08	2.367090883895e-06
YOR137C	76.8414979367538	1.30490569178625	0.232713861627277	5.60733977194808	2.05460069977606e-08	2.70464138925841e-06
YNR068C	40.7547575708885	1.56776212544565	0.280382023905261	5.59152153768384	2.25088366880723e-08	2.90129526227298e-06
