baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
YKL038W	206.488701513027	-3.07812153457436	0.220975992272403	-13.9296649510227	4.18313204201254e-44	2.58684885478055e-40
YLR076C	393.81900148385	-2.86851999578968	0.207324021856687	-13.8359268265235	1.54729188188499e-43	4.78422649878839e-40
YHR094C	7730.50355747985	-2.7302720896446	0.201507448247759	-13.5492365834917	8.00584137588422e-42	1.65027076894893e-38
YEL033W	654.683502596031	-1.98256387186861	0.162189819630102	-12.2237257331572	2.32194104159666e-34	3.58972085030844e-31
YER028C	254.061750734319	-1.86138829282083	0.154494315519675	-12.0482639543057	1.98077832271354e-33	2.44982662953211e-30
YLR062C	72.1972378887469	-2.11944688014875	0.21382161660187	-9.91221988605156	3.68368961263528e-23	3.79665609408943e-20
YPR044C	210.465186877549	-2.14921976817463	0.228759813928312	-9.3950931820925	5.71671989323543e-21	5.05031368853827e-18
YCR013C	763.083504884006	-2.13633131820448	0.229605308701427	-9.3043637809895	1.3479691269928e-20	9.26204564591498e-18
YPL249C-A	210.10883439434	1.72252798748151	0.18495194476456	9.31338132007343	1.23826158784853e-20	9.26204564591498e-18
YKR059W	1711.14652622295	0.818002751696087	0.0885515568901602	9.23758746230449	2.52117453830059e-20	1.55909433448508e-17
YBR033W	47.2304023614665	-2.07596260024173	0.231462923726502	-8.96887746347964	2.99551586762282e-19	1.68402455685269e-16
YJL138C	1624.78753452962	1.10015755141031	0.136716904909737	8.04697525983826	8.48653289908653e-16	4.37339328732926e-13
YNL089C	21.1372998317935	-1.74320389995852	0.233430057294004	-7.4677782294461	8.15601468250311e-14	3.87975344589225e-11
YPL142C	135.652709710295	1.35925016283268	0.190455941892572	7.13682203519474	9.55133749536718e-13	4.21896221938219e-10
YML132W	4.31889666550469	1.41805263751766	0.202773528902771	6.99328282735372	2.68527401258331e-12	1.10704896625434e-09
YNL043C	30.7015996358277	1.56817550626912	0.233719911236633	6.70963589696641	1.95110637529302e-11	7.54102614050753e-09
YIL047C-A	22.5197682004915	-1.51651884349842	0.233933970373303	-6.4826790272418	9.01080630556431e-11	3.27781330550645e-08
YHL034W-A	46.7619957952401	-1.45413579414896	0.233385972981867	-6.23060493126527	4.64637488893148e-10	1.59628790628624e-07
YCR005C	3484.22118796242	1.01115466914422	0.175815263709136	5.75123369730312	8.85945480933154e-09	2.8835193968898e-06
YDR524W-C	3500.61048475233	0.748287577421247	0.133700003648739	5.59676557217733	2.18387686321267e-08	6.75254726105358e-06
YDL048C	1998.75363925135	-1.22266160092319	0.22700910205551	-5.38595849176224	7.20595927363073e-08	2.12198343562535e-05
YMR094W	308.354492971407	0.78922134506448	0.153438225231801	5.14357712279449	2.69555921109202e-07	7.57697189154229e-05
YDR372C	943.635630618793	0.497906929418985	0.0981722675967442	5.0717676346665	3.9413746585735e-07	0.00010597156908095
YJL152W	28.1484819511369	-1.16159343048602	0.233744453118534	-4.96950158597761	6.71252217880826e-07	0.00017295932147396
YPL057C	327.559068570669	-0.875050562678693	0.17675709018481	-4.95058252975186	7.39916712063086e-07	0.000183025797895925
YKR039W	803.418151305636	0.87358034912052	0.17858456133294	4.89169020323028	9.99737166863068e-07	0.000237783639995431
YPR129W	343.965976963503	-0.619077249987487	0.128736395955021	-4.80887510788935	1.51781994588138e-06	0.000347636983160388
YLR342W-A	79.7984917572576	0.875855793187977	0.185174802610565	4.72988646857079	2.24645428305333e-06	0.00049614547451435
YHR095W	8.95671773563959	1.10191625847828	0.234287729748261	4.70326064306598	2.56039220476244e-06	0.000545981565318998
YPL055C	265.882783695794	-0.65524964369738	0.140759242179916	-4.65510920313036	3.23809036517206e-06	0.000667478360607468
YDR178W	211.018225944728	-0.873133949390763	0.19024163255101	-4.58960500749828	4.44085552469555e-06	0.00088587905047475
YNL149C	72.2049277704804	-1.06737350842128	0.233284455083986	-4.57541634326645	4.75273857082758e-06	0.00091846672881243
YCR047C	765.125289094543	-0.59526554099186	0.130705106624834	-4.55426384143098	5.25693435643445e-06	0.000985117638187595
YBL030C	2370.29214296329	-0.571871732645044	0.126566959641406	-4.5183334913416	6.23282602874139e-06	0.00111542313264569
YLR055C	473.940471778785	-0.628460957727526	0.139174750907305	-4.51562480716133	6.31303519446945e-06	0.00111542313264569
YDL086W	172.063996419405	-0.722495737933088	0.160601102943389	-4.49869723614392	6.83711463069458e-06	0.00117446435767265
YKL085W	717.156660191089	-0.495765585763904	0.110426158676475	-4.48956652758693	7.13682557875375e-06	0.0011928143075409
YNL336W	64.8360100907561	0.837764879063368	0.187459294599457	4.46904956541853	7.8567924721968e-06	0.00127858959600171
YDR510C-A	120.60156464744	-0.935544376355557	0.20977609052157	-4.45972834191684	8.20636017975736e-06	0.00130123413722101
YGL209W	1333.70103611288	-0.579858443721084	0.130372176415733	-4.44771622030779	8.67880815690554e-06	0.0013417437410576
YAL013W	323.855611216247	-0.609783032769143	0.138170849350025	-4.41325384940202	1.01828481045557e-05	0.00153587152874567
YIL153W	303.641698313434	-0.648595812689351	0.148283324379793	-4.37403069699276	1.21973216147132e-05	0.00179591040155682
YNL241C	713.365352167629	-0.788345813548759	0.180995338744293	-4.35561390154096	1.32694493540641e-05	0.00190833197222168
YPL220W	4194.39160226651	0.620995236005038	0.143380310739312	4.33110538541171	1.48362647460915e-05	0.00208516957249614
YPR075C	399.975452380739	-0.551761218639658	0.127904772277934	-4.31384387629178	1.60440268019802e-05	0.00220480581652101
YBL098W	474.48804848263	0.529665322026668	0.123151739224784	4.30091629530209	1.70093306521854e-05	0.00228664566854596
YMR291W	343.338306496534	-0.960777284020318	0.224636725921881	-4.27702674207617	1.89406057336729e-05	0.00249210012461772
YIL042C	128.667521668662	-0.751567263578999	0.177130792948439	-4.24300739057705	2.2054416965445e-05	0.0028413440523815
YDR009W	55.9601073461179	-0.812266317700945	0.193707903792795	-4.1932533561966	2.74982031037424e-05	0.00347038546925599
YNL119W	398.819064243601	0.52435900170916	0.125889823437293	4.16522151983434	3.11050395446833e-05	0.00384707129088642
YFR017C	37.7113785824825	-0.88418587223732	0.213685168341582	-4.13779711104667	3.50656226739693e-05	0.004251878639526
YDR281C	47.9808506573103	0.820123816120551	0.199744710539926	4.10585999450845	4.02813413537704e-05	0.00479038105637915
YNL142W	868.758357201237	0.778020112633562	0.191752598222926	4.05741627411515	4.96185964598595e-05	0.00578946038693907
YHL016C	195.073523883398	0.799667296386731	0.200134888290831	3.99564165556519	6.45192642222702e-05	0.00738865055463924
YMR096W	7020.88189982437	0.624573971568353	0.156822099380403	3.98269104951416	6.81393098660197e-05	0.00766133622202665
YJR087W	20.2671943232884	-0.92745037655869	0.234272193882191	-3.95885811794242	7.53089559319124e-05	0.00831626041933833
YDR157W	53.3402519712917	-0.878899209423478	0.222465890563822	-3.95071445422928	7.79182436094511e-05	0.00845344593826045
YOL157C	22.5538892061419	0.875935851703304	0.222000666897624	3.94564513676548	7.95854074501765e-05	0.00848545102882572
YKR098C	88.5673635881215	-0.813963662146819	0.206770192044473	-3.93656191010234	8.26573032060695e-05	0.0086636061529887
YBR126W-A	9.24543698422593	-0.90810083495545	0.231496038894059	-3.92274891308629	8.75443728648395e-05	0.00873184519026077
YGR031W	155.924168166564	-0.596351639514704	0.151964570669043	-3.92428075102765	8.69892416120587e-05	0.00873184519026077
YPL026C	556.263339910462	-0.736417484357981	0.187696198251771	-3.92345445042082	8.7288274780956e-05	0.00873184519026077
YGR219W	7.80856816100361	-0.867482205532687	0.222374834262095	-3.90099090309049	9.579975120403e-05	0.00940358192770986
YCR073W-A	263.965476342273	-0.59105077609998	0.152427640114599	-3.87758267237892	0.000105499483261049	0.0101938875700989
YOR203W	42.2876427319672	-0.85077488045811	0.220259917223495	-3.86259511572793	0.000112188862097379	0.0105117564122756
YPR191W	701.588291553151	-0.708472799178108	0.183323137553654	-3.86461201042206	0.000111265921967134	0.0105117564122756
YBR012C	121.11302598783	0.804457269051759	0.208652080146345	3.85549604148459	0.000115495199647174	0.0106600345465392
YDR413C	2.50859320499498	0.712627802797001	0.18769334812704	3.79676642730385	0.000146595795263499	0.0132569592953078
YER081W	2568.35687430792	0.83487197914376	0.220019423367208	3.7945376202099	0.000147918853715433	0.0132569592953078
YCR050C	4.03928447672322	0.788806308574897	0.209984435710176	3.75649893244288	0.000172307006145911	0.0152220932286616
YFL010W-A	215.489424933752	-0.600576218292539	0.160064294970803	-3.7520936096466	0.000175363956509464	0.0152739536204863
YNL245C	299.328921908263	-0.482304869518306	0.128693541839294	-3.74770064313393	0.000178463066411646	0.0153279944818003
YMR241W	4821.42041783702	0.469102204667962	0.125520088007423	3.73726797132441	0.000186030628116609	0.0157590877297686
YLL042C	66.249144503337	0.805725472673843	0.215918360275715	3.73162093137879	0.000190251640295762	0.0158988668052567
YCR088W	699.910597288348	-0.596696041075042	0.160068471771732	-3.72775496929821	0.000193193071994114	0.015907421229351
YFR034C	449.529933754424	-0.487055606788335	0.130992133395524	-3.71820501096577	0.000200643411366329	0.015907421229351
YMR097C	496.5000050134	0.590250157485285	0.158518947179983	3.72353064403785	0.000196456003049963	0.015907421229351
YPL033C	33.7319175327076	0.855303687665087	0.229916338701232	3.72006483965684	0.000199171638270898	0.015907421229351
YPR145C-A	39.4868639504199	0.85613881090274	0.230852936002248	3.70858965767887	0.000208416864109844	0.0163145555399402
YNL170W	74.6149590997034	-0.814215162309921	0.220568941260714	-3.69143161161351	0.000222995358516818	0.01723754121335
YDR432W	1460.80362004602	-0.590595213839366	0.160343416720518	-3.68331438807237	0.000230220933809782	0.0175763735145641
YIL074C	720.016272310585	0.399945822681701	0.108841293021883	3.674578017015	0.000238242840216682	0.0178996524347745
YMR104C	125.082951361671	-0.632313588928211	0.172177998381763	-3.67244128094815	0.000240244364826372	0.0178996524347745
YIL022W	880.799634192383	-0.488545792212083	0.133194572868041	-3.66791064900293	0.000244540604806058	0.0180028464300079
YOR320C	471.265893017123	0.491560168846903	0.134964937340654	3.64213238291805	0.000270388952806397	0.0196715915782913
YPR014C	30.9051503831322	0.768097979798619	0.211516997522985	3.63137709400943	0.00028191290840006	0.020271504948209
YDL183C	221.706274990219	0.662525649205128	0.183618973269459	3.60815463352405	0.000308382678569117	0.0219199825778324
YKL148C	130.79877148769	-0.780999084948003	0.217011279752414	-3.5988870525027	0.000319581941685289	0.0224578946293389
YDR384C	961.999081957771	-0.638336010892872	0.177535426930389	-3.5955415881201	0.000323717405846938	0.0224704167147258
YMR320W	71.9750895012666	0.625298103902091	0.174037516484572	3.59289259311812	0.000327027410143163	0.0224704167147258
YCR054C	279.0149849417	0.477233976812968	0.132942525260397	3.58977667889339	0.000330961380189062	0.0224908260998809
YJR152W	139.618766058003	0.69691505566926	0.195427651197846	3.56610260317625	0.000362329562045931	0.0243548479531743
YAR071W	10.3867555290025	0.832253891704516	0.234265642595379	3.55260755475772	0.000381433051565747	0.025093425434921
YBL049W	80.0234716881285	0.726539475489871	0.204413112971857	3.55427039355298	0.000379029308210094	0.025093425434921
YKL018C-A	211.949607788725	-0.721571890750514	0.204295709408052	-3.53199728394333	0.000412433591545774	0.0268472561065165
YHL020C	1522.61777874605	-0.582608996326154	0.165125344363623	-3.52828330848588	0.000418264239369451	0.0269431880860488
YBR191W-A	130.885154489626	0.714910150676826	0.20305725706276	3.52073184193494	0.000430357593195835	0.0271564424114596
YPL271W	610.01843288518	-0.60604218386199	0.172058202972019	-3.52230915698072	0.000427804933438735	0.0271564424114596
YIL155C	130.844098630023	-0.695254946475431	0.19763859822443	-3.51780954085663	0.000435124540988365	0.0271799006209298
YER020W	369.56535376577	-0.458172622224771	0.131007641827987	-3.49729691971977	0.000469998402932343	0.0290647012373361
YDR218C	9.19988028133919	0.81372021960311	0.233603766181776	3.48333519147942	0.000495207919188698	0.0303204531907219
YPL111W	1720.03376545022	-0.497821405392341	0.14373122243974	-3.46355786127857	0.000533081932151898	0.032319398710072
YKR043C	2268.5854307305	-0.41456306792136	0.119792118676229	-3.46068733488078	0.000538798203227868	0.0323488163957392
YDR345C	10272.5278016277	-0.744232518757169	0.215625491999602	-3.45150525503981	0.000557468900700004	0.0331479584800849
YKL161C	97.3719019291372	0.646734100091268	0.187841228045195	3.44298270843747	0.000575336098779746	0.0338845565224186
YLR287C-A	6307.29476528219	0.632761767933272	0.184070740331339	3.43760103748299	0.000586891717974574	0.0342390413580638
YBL036C	689.265235666583	0.444475328515932	0.130378333787978	3.40911956459531	0.000651729087292432	0.036308943025373
YDR385W	1755.14099724165	0.690795500549326	0.202460039530662	3.41200911622219	0.000644859566097161	0.036308943025373
YGL159W	232.560321964636	0.489067332337202	0.14305153910848	3.41881908705874	0.0006289352758918	0.036308943025373
YGR213C	64.2921169499818	0.780109061709234	0.228726411662033	3.41066454040264	0.000648047693862353	0.036308943025373
YNL103W-A	22.6878905849716	-0.798127043898506	0.233944910554559	-3.41160250935389	0.000645822130851029	0.036308943025373
YOR084W	213.736805157117	-0.508237394232642	0.149436673306216	-3.40102187092451	0.000671344563654624	0.03683941623523
YOR218C	6.32783134049972	-0.750419882349161	0.220693461856105	-3.40028144031944	0.000673165270792528	0.03683941623523
YGR018C	24.6796598814128	-0.767314915823676	0.226049843469885	-3.39445010907915	0.000687665682993752	0.0373028472248541
YDR388W	1083.81254359303	-0.482728496326282	0.142939196246434	-3.37715972247414	0.00073238508505069	0.0393832118778562
YDR405W	209.508061503287	-0.526993161203904	0.156408606958143	-3.36933607077605	0.000753494963940836	0.0401690763535356
YJR120W	8.59165209738025	-0.773347646149335	0.230382722926882	-3.35679532008473	0.000788514617994329	0.041676704253649
YDL050C	98.6879947581565	0.65241109466486	0.194913272686252	3.34718660085829	0.000816362378276203	0.0427829232818648
YJR097W	246.279027372209	0.58346936671378	0.174605266354776	3.34164815812739	0.000832825560470241	0.0432789350079661
YDR433W	16.6250791860169	0.780222756052355	0.233846323738552	3.33647646701802	0.000848476115928921	0.0435720489969966
YOR065W	347.323761740488	-0.623857657297075	0.187055789076315	-3.33514220745424	0.000852557879792463	0.0435720489969966
YMR095C	748.076752291879	0.46401583510415	0.139658363813315	3.32250659705861	0.000892125617730852	0.0445204029738569
YNL235C	9.77819321355078	-0.763975492781742	0.229846369992602	-3.32385276655155	0.000887830554691784	0.0445204029738569
YPL134C	139.785683360439	-0.588428283183957	0.177113490968708	-3.32232333045663	0.000892711831946677	0.0445204029738569
YOL080C	284.270326842936	0.487212573147093	0.147115743313702	3.31176366426119	0.000927098305810207	0.0458654073850426
YLR095C	599.064801871859	-0.398450602614398	0.121090334965967	-3.2905235808158	0.00100001119876035	0.0490799147074127
YDR008C	14.7232748371506	-0.765462403856233	0.233758949915988	-3.27458009257544	0.00105819137373735	0.051526420907022
YBR157C	115.251678161621	0.645145941394084	0.198265527155523	3.25394913906552	0.00113812654593299	0.0541398043080738
YHR050W	366.757810695126	-0.41693107486122	0.128012011817559	-3.25696838086902	0.00112608976012941	0.0541398043080738
YHR183W	8728.42053910065	-0.548218343353963	0.168417974468345	-3.25510590591388	0.00113350088771718	0.0541398043080738
YMR043W	731.778561799742	-0.545314342187009	0.167783323770586	-3.25011049925695	0.00115360174868578	0.0544570474341439
YBR302C	1.01436429644775	0.376212050782631	0.115898359027917	3.246051574311	0.00117017638208484	0.0548209905061563
YBL069W	506.414867309842	-0.661049795617116	0.203811954027251	-3.24342994880825	0.00118099847728842	0.0549119893500122
YDR131C	136.416456677432	0.474540807866318	0.146701932846593	3.23472771393236	0.00121758785283653	0.0561907707607543
YFR032C-A	7951.42444070958	-0.640079524188732	0.19822774657601	-3.22901074771232	0.00124219226319323	0.0569016070784219
YDL130W	13286.7209065175	-0.545455652595308	0.169047184850267	-3.22664735930648	0.00125249719166897	0.0569517840682419
YNL171C	5.79285313270691	-0.664732413983489	0.206367670278657	-3.22110732308944	0.00127696319222689	0.0572227563821091
YPL052W	295.948142350149	0.514767721885079	0.159774915461394	3.22183066345893	0.00127374391297491	0.0572227563821091
YDR040C	64.1887467076572	0.69991315458808	0.21834656969027	3.2055147721392	0.0013482112632167	0.0596805291133743
YKL063C	291.352310277744	0.476577139025723	0.148797970699125	3.20284703337373	0.0013607623876109	0.0596805291133743
YOL163W	14.7958649384601	0.725417768206724	0.226404253509048	3.20408188876069	0.00135493932639364	0.0596805291133743
YGR289C	47.9228470221744	-0.699371559686598	0.218918779317955	-3.19466224809722	0.0013999457036981	0.0609666495187962
YBR208C	518.857957853481	0.71950556831519	0.225411974064418	3.19195806390289	0.00141311847774714	0.0611099627020163
YNL070W	385.42436234386	0.610332406980423	0.191479117157576	3.18746198562298	0.00143527323296606	0.0616370116157093
YDR312W	388.774457740904	0.38381303847332	0.120763076115808	3.17823171467788	0.00148176278991688	0.0630280058690392
YGR295C	381.824577062193	0.47306658831013	0.148903348924495	3.17700435703437	0.00148804800402324	0.0630280058690392
YMR185W	428.805721571492	0.476008059985562	0.150231329236324	3.16850062104403	0.00153227421670736	0.0644597534429816
YHR030C	597.771618767819	0.479142390513684	0.151419697550586	3.16433329523468	0.00155438679983382	0.0649481619606239
YLR072W	282.959484779212	-0.441927677646979	0.140042909348371	-3.15565907408878	0.00160135917626644	0.0664617795035683
YBR269C	159.172428004682	-0.655244406566024	0.208334253584185	-3.14515925870658	0.00165996438860578	0.0675343406522247
YDR322C-A	632.259260720515	-0.627001825235313	0.199114340593678	-3.14895362818092	0.00163856193886818	0.0675343406522247
YMR177W	419.847878244111	0.369578569553326	0.117457300857594	3.14649295407705	0.00165241242806905	0.0675343406522247
YIL020C-A	70.2537574708277	-0.657425195508477	0.209562259014122	-3.13713546800511	0.0017060727956564	0.0685741806126641
YOR133W	1248.36345350694	0.671166341101503	0.213961492341944	3.13685576668569	0.00170770113427398	0.0685741806126641
YIL060W	5.7810726676442	-0.681077753627106	0.217522876103429	-3.13106265339772	0.00174174997360615	0.0694902053985834
YHL019C	119.926786290746	-0.531427966295583	0.17016416258192	-3.12303106736557	0.00178998852432254	0.0709569809898113
YCR046C	277.579958117051	-0.532732088681787	0.171450735760632	-3.10720211446366	0.00188867222857328	0.0734562834056424
YDR132C	157.969118123845	0.478459534698228	0.153968571203311	3.1075142865776	0.00188667866082416	0.0734562834056424
YOR356W	703.672555250018	-0.587949475576927	0.189069862170562	-3.10969431525016	0.00187281053194141	0.0734562834056424
YNL111C	382.630259703669	0.57281034395558	0.184834662294749	3.09904179683647	0.00194147628566487	0.0745719835437986
YPL265W	1178.0378606784	0.615164680233426	0.198392951134293	3.10073859336372	0.00193038624546846	0.0745719835437986
YLR120W-A	14.1430471047684	-0.724688143703521	0.234283917328236	-3.0932048258704	0.00198007420328764	0.0752088425058678
YPL247C	146.798185333662	-0.510728648525458	0.165131546025162	-3.09285936466455	0.00198238055117342	0.0752088425058678
YPL056C	51.0590176110339	-0.611224105062769	0.197764827834618	-3.0906613261581	0.00199711281647988	0.0753057662019
YNL143C	29.2358547379254	-0.718807091932887	0.232808898199189	-3.08754131604489	0.00201819714727849	0.0756395827804254
YJR161C	20.8327349082496	0.668214249157456	0.216963780859056	3.07984238895404	0.00207110163668652	0.0771547742245146
YBR067C	2293.24885434559	-0.636260128603587	0.207132522340236	-3.07175387725191	0.00212805112234095	0.0788016056320746
YNL169C	1211.24800618473	-0.588153081259963	0.191625308423972	-3.06928706911026	0.00214570301728291	0.0789823063028425
YML123C	333.695903752475	0.55423298697891	0.180889740636082	3.06392714716712	0.00218452100812032	0.0790004556386902
YMR273C	429.633486567954	-0.522629363696656	0.17052235395453	-3.06487303028912	0.00217762423236888	0.0790004556386902
YOR301W	237.325960928361	-0.549298305339926	0.179162056046938	-3.06592990424277	0.00216994179632565	0.0790004556386902
YKL115C	22.6644960267505	-0.686420833586193	0.224302771841081	-3.06024231422571	0.00221157981164509	0.0795140090419375
YDL194W	97.4177814512681	-0.640678705458019	0.209599543506615	-3.05667987028702	0.00223803158036791	0.079999926549105
YDR242W	303.386446637994	0.351920312955443	0.115226791409699	3.05415354059595	0.0022569653684562	0.0802130680375467
YJR136C	201.679352570109	0.407447320140105	0.133614991084395	3.04941321952976	0.00229288865298715	0.0810241338861287
YBL113C	35.1213228037674	0.708999313616998	0.233088762853636	3.0417567322291	0.00235201895508836	0.0817128383048673
YDR148C	424.960319188567	-0.526787870063792	0.173113634465269	-3.04301779401137	0.0023421848309288	0.0817128383048673
YIL106W	282.071126153907	-0.447111872060835	0.146828001235675	-3.04514035673053	0.00232571745910394	0.0817128383048673
YFR033C	1193.38208609778	-0.607912239897784	0.200615880703966	-3.03022989887245	0.00244367650644934	0.0830312940433117
YGL253W	5979.60227468865	-0.559849168275806	0.1846976335756	-3.03116589767595	0.00243611357956702	0.0830312940433117
YJR059W	312.027911442078	-0.514134249063242	0.16940571541763	-3.03492859019404	0.0024059264467592	0.0830312940433117
YMR272C	657.80948063357	-0.549256526385616	0.181255899315271	-3.0302822057684	0.00244325329739631	0.0830312940433117
YLR054C	84.7582770547484	0.692219917186078	0.22900019478004	3.0227918271029	0.00250454467649604	0.0841744797796278
YLR379W	37.2538186081715	-0.707837888629363	0.234112455104811	-3.02349521862246	0.0024987297735308	0.0841744797796278
YHR044C	71.824043423447	0.558981894517471	0.185206539477733	3.01815419743683	0.0025431946459587	0.0849269047083635
YNL067W	5875.44512084284	0.379976145631609	0.125971533379809	3.0163651694702	0.00255824963517007	0.0849269047083635
YNL110C	1567.37246860137	0.428723236954943	0.142187518882309	3.01519599135705	0.0025681324677335	0.0849269047083635
YJL082W	272.367765295682	-0.620534190943297	0.205997362567567	-3.01234046498902	0.00259241660619724	0.0852739590038498
YOR134W	51.5809590434993	0.689048401861368	0.229237667751054	3.0058253890877	0.00264861043827586	0.0866614124354388
YNL274C	132.082120727317	-0.650126828535121	0.216940512730559	-2.9967976951478	0.00272831705398295	0.0883346212661285
YOR238W	191.255172911234	0.480696857700068	0.160395911473128	2.99693959331751	0.00272704744685532	0.0883346212661285
YMR316C-A	13.1113533160392	-0.700729449201882	0.234102419618446	-2.99326017366233	0.00276014342615757	0.0888996195174916
YHR141C	9111.29901973377	0.667734580497739	0.223778033265337	2.98391477820344	0.00284586023965479	0.0911854907876953
YIR030C	70.7011009910967	0.518169612411132	0.17431666686232	2.9725764135933	0.00295311690898478	0.0937712559763354
YMR127C	268.203021943516	0.469030196926545	0.15780654708146	2.97218465013642	0.00295688792292778	0.0937712559763354
YPR198W	267.362187507051	0.493759720402152	0.166226822889442	2.97039738725291	0.00297414746481809	0.0938373873593625
YPR060C	632.113754715443	0.445001353481883	0.150063121278603	2.96542781257833	0.00302262272745043	0.0948827357693069
YHR136C	6.482006537179	0.570536409413935	0.192642157486894	2.96163839139286	0.00306006939213182	0.0955730763683997
YKR058W	92.7309600604875	-0.571228894753365	0.193202190675722	-2.95663777287151	0.00311013250778718	0.0961652971407796
YLR318W	180.764287153424	0.520781381693719	0.176107342325491	2.95718153949074	0.00310465269174543	0.0961652971407796
