baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
YDR345C	28437.8626929955	5.7742335752163	0.300905263198403	19.1895399696251	4.52628436849819e-82	2.8628748630751e-78
YKL038W	515.3465425035	-4.13209162015333	0.311202762219392	-13.2778115164681	3.11361623421181e-40	9.84681134069483e-37
YDR343C	2300.47612033943	-2.90558206277947	0.247733164917607	-11.7286761493796	9.08687320074658e-32	1.91581576649074e-28
YBR033W	428.959293868272	-3.66706016795345	0.323140401863441	-11.3481946138792	7.57097949604131e-30	1.19716113281153e-26
YCR013C	780.337247387253	-3.25315319875513	0.297845073661074	-10.9222998345005	9.01828512435057e-28	1.14081306823035e-24
YLR076C	325.014325525797	-2.95275333345124	0.309100648776056	-9.55272447710233	1.26329516368069e-21	1.33172365171339e-18
YPR044C	144.503799027154	-2.63685157008525	0.330901718193457	-7.96868503578954	1.60371609302156e-15	1.44907204119448e-12
YGL209W	935.813648937061	2.39315742648221	0.30410060555296	7.86962400857644	3.55708667858043e-15	2.81232165525266e-12
YEL033W	834.773356506925	-1.96026850293325	0.26838579226619	-7.30392054803339	2.79501462445795e-13	1.96427416663295e-10
YHL034W-A	97.9696874332476	-2.10798887635199	0.310885820833213	-6.78058867626165	1.19687186507863e-11	7.57021454662232e-09
YLR062C	37.5451582003687	-2.21398137475455	0.331252899817056	-6.68365884789926	2.33048985740521e-11	1.340031668008e-08
YGL157W	252.345142205398	1.48690660883795	0.223350444526524	6.65728072308077	2.789401089447e-11	1.47024682422935e-08
YML132W	5.96773059248053	2.16433495334841	0.337018620216881	6.4220040778625	1.34491818806974e-10	6.54354426118547e-08
YJL152W	53.1414161919625	-1.94006577777954	0.309327953132616	-6.27187345382842	3.56729467496618e-10	1.61165277279722e-07
YDR510C-A	141.533260216552	-1.50733342962292	0.241558634715997	-6.2400312511913	4.37483481439207e-10	1.84472201340199e-07
YHR095W	20.5247098179355	2.00101395718602	0.331243536065247	6.04091473287457	1.53242950530228e-09	6.05788538814807e-07
YOR047C	292.459136602358	1.47650782475832	0.247916864387312	5.95565706434403	2.59028990620693e-09	9.63740215103461e-07
YKR075C	1423.28542018671	1.91460677796509	0.328417596350781	5.82979352884644	5.54959981387032e-09	1.95006771237388e-06
YNL160W	3110.51957690763	-1.63243063657889	0.298196308594741	-5.47434890885059	4.39123116815152e-08	1.46181774413465e-05
YNL089C	16.1485684916235	-1.84244115936718	0.346244649263258	-5.32121193291374	1.03078233093336e-07	3.25984912157676e-05
YHR094C	208.83950474516	1.26450833724951	0.240817666005951	5.25089524461327	1.51361746555731e-07	4.55887165221429e-05
YGR219W	19.3200722698726	-1.74849631807739	0.340087992529779	-5.14130565172568	2.72835780767289e-07	7.84402869705957e-05
YNL043C	29.8147406350422	1.63675744004156	0.323579908694817	5.05827894767489	4.23057279871243e-07	0.000116340751964592
YJR087W	35.9204183872977	-1.567747186338	0.326338391763015	-4.80405378560697	1.55485032363286e-06	0.000409767845707411
YEL017C-A	731.808923277253	-0.728737082455447	0.152532206677507	-4.777594832783	1.77404389742445e-06	0.000431825091986175
YLR101C	30.5611840971062	-1.56651972923012	0.327896925476743	-4.77747611372838	1.7750912872159e-06	0.000431825091986175
YIL060W	11.0025689328784	-1.57188773905715	0.346290938421058	-4.53921129505815	5.64650329310648e-06	0.00132274567884809
YJL138C	2034.75199261861	1.06692247223387	0.237207523878109	4.49784414419384	6.86459885686693e-06	0.00155066384891726
YDL048C	1414.38804620398	-0.987104962783665	0.224363044297924	-4.39958802427784	1.08456578380077e-05	0.00236547537328962
YHR033W	1647.83211112994	-1.35870161019388	0.311806804789997	-4.35751109123155	1.31549834279376e-05	0.00277350900605684
YCR046C	941.096748237961	-0.870544947255689	0.20082274126523	-4.3348922625548	1.4583152733459e-05	0.00297543358190735
YPL256C	691.465698063855	-0.893444836099758	0.211632729252645	-4.22167610489572	2.42492391271128e-05	0.00479301367121839
YKR059W	1929.72208168321	0.903428014454399	0.214702201658856	4.20781905110536	2.57847204165762e-05	0.00494207141317711
YDR536W	1203.28625788674	-1.44060893072669	0.34559337640769	-4.16850851049653	3.06599315230151e-05	0.00524119099683975
YGR204C-A	26.5469169276031	-1.43974621977646	0.345163303953785	-4.17120303138955	3.02995742371688e-05	0.00524119099683975
YNL171C	9.18435290625196	-1.44257415936259	0.344685360256137	-4.1851912662917	2.84926085871789e-05	0.00524119099683975
YOR133W	1444.05636075041	1.06800245274355	0.255812535158339	4.1749418263749	2.98062210209002e-05	0.00524119099683975
YFL030W	4924.17065145973	-1.12896214712795	0.27318694288686	-4.13256261517416	3.58740993869205e-05	0.00597114943742821
YMR011W	9643.10364109335	1.42306866060823	0.346206720247601	4.1104593798482	3.94872743345057e-05	0.00640402590168586
YJL063C	1051.6764170618	-0.715753058514981	0.174809204680133	-4.09448152243853	4.23114153644266e-05	0.00669049255449995
YOL109W	9180.84910290567	-1.05587274573621	0.25825378984659	-4.0885082320125	4.34156142675163e-05	0.00669765268883025
YDR385W	1970.83965848639	1.16961210841095	0.287226116930265	4.0720952569049	4.65921162667926e-05	0.00701655084255864
YLR090W	871.709620932663	-0.7230320009069	0.179016729953174	-4.03890743114359	5.37007512352479e-05	0.00789900585030101
YNL234W	268.06223239872	1.21792124376939	0.304263301779933	4.002852912739	6.25832132911898e-05	0.00899633691060854
