baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
YBR296C	10607.1984435844	7.00110437595389	0.202713614063548	34.5369224869088	2.24015464707699e-261	1.41667379881149e-257
YBR039W	6764.28288109435	-2.3973743715003	0.0953505520284867	-25.1427424435263	1.69662811912087e-139	5.36473811266018e-136
YML123C	13298.8248664778	5.38297064212158	0.216478577365252	24.8660662299124	1.73332504035848e-136	3.65384918507568e-133
YGL187C	3720.85660555405	-3.62494280021373	0.14799887162952	-24.4930434962227	1.75207693013959e-132	2.77003362655069e-129
YPL078C	6065.32703419243	-2.77978549262222	0.120450604803356	-23.0782194673111	7.66285479679882e-118	9.69197874699115e-115
YDL004W	4996.53166298437	-2.78263966391598	0.125923916835071	-22.0977851853238	3.31954845509204e-108	3.49880407166701e-105
YPL019C	4026.00626347893	4.08439287647334	0.193845205720684	21.070383769814	1.48721212579594e-98	1.34358992621908e-95
YDR345C	28794.6104510859	6.47934607045611	0.308196593921473	21.0234188120425	4.00519241050581e-98	3.16610460050484e-95
YHR215W	427.707653811792	4.92994891416752	0.237149572928507	20.7883524869503	5.51727685528011e-96	3.87680653697683e-93
YGL035C	481.609676790829	-5.88800466570548	0.298268024725006	-19.740649944405	9.65283642563178e-87	6.10445375556953e-84
YDR298C	4927.16700679144	-3.16633048483502	0.161245579335444	-19.6366963850092	7.51294360182388e-86	4.31925957617584e-83
YBR294W	1718.28392360395	3.34578014736161	0.174822586241128	19.1381458157064	1.21518119143783e-81	6.40400487887738e-79
YLR303W	1018.94503641288	9.86694132373341	0.531746509979578	18.5557237114962	7.33133593613095e-77	3.56641295846862e-74
YCR097W	483.943411587483	-7.35141162428832	0.396549164445143	-18.5384620204017	1.01070914800144e-76	4.56551760854366e-74
YDR461W	1301.55555322376	-7.08384790251862	0.38396348611725	-18.4492748884863	5.28494405531082e-76	2.22813241371904e-73
YNL145W	903.116072164451	-7.30684830271779	0.398832624250785	-18.3205882829767	5.66966571268543e-75	2.24093537293891e-72
YFL030W	3531.98926061214	-4.32772783069572	0.246214136170985	-17.5770891874799	3.69042144175212e-69	1.37283677633179e-66
YJL012C	3699.68073235113	2.76753499346636	0.158867756477901	17.4203693362494	5.7802814815833e-68	2.0308055605296e-65
YHR136C	958.013373946712	7.49481902014531	0.439938042037943	17.0360785019335	4.43489788193898e-65	1.47612074765169e-62
YDR377W	3058.29961152472	-2.80808213669473	0.166574759282377	-16.8577889518932	9.19655742053911e-64	2.90795145637447e-61
YDL181W	1714.25323633293	-3.62971231822139	0.217978605522442	-16.651690699286	2.9417262242528e-62	8.85879840103557e-60
YIL015W	949.460887998672	-4.77924701461336	0.29308976405962	-16.3064275886522	8.88388015971505e-60	2.55371173318354e-57
YPL250C	1638.87728653042	3.41696534261098	0.209763613840254	16.2895998979746	1.16992088315439e-59	3.21677376742102e-57
YER081W	7816.24670691895	2.22672908339145	0.138439883517266	16.0844478254256	3.27963325629307e-58	8.64183363033224e-56
YAR071W	429.914904609473	5.16097236947786	0.321845611886234	16.035553007018	7.21385697732447e-58	1.824817260984e-55
YCL057C-A	2050.83963835869	-2.30245317731924	0.145306394487273	-15.8455048412953	1.51003415275857e-56	3.67286768540201e-54
YEL021W	544.410173348524	6.67805695119572	0.424715658952694	15.7235948579413	1.04237733835639e-55	2.44147936583918e-53
YHR001W-A	2364.66724521072	-3.16081649545337	0.207601210009412	-15.2254242415546	2.39798041017309e-52	5.41601004069093e-50
YCR013C	624.895347460994	-4.89558185285544	0.321862367132575	-15.2101716533979	3.027482764502e-52	6.60200034576229e-50
YCL033C	543.282725346178	-1.87112156831046	0.124306000390833	-15.0525442249564	3.32208214426494e-51	7.00294916011049e-49
YML081C-A	3112.70805962935	-2.79127168483907	0.186560661913408	-14.9617376793755	1.30571606829329e-50	2.66366077931831e-48
YKL016C	5230.92705509476	-2.20241896413652	0.147441445670114	-14.9375838939087	1.87656697544532e-50	3.70856548522382e-48
YBR093C	1147.06094563194	3.53236050795255	0.237238591210356	14.8894852643112	3.857276656107e-50	7.39194471915777e-48
YMR256C	2052.31714546831	-3.25041531346648	0.219146077540903	-14.8321856815338	9.07299730507394e-50	1.68757749874375e-47
YDR322C-A	2986.02910424959	-2.82888955030942	0.190972295723463	-14.8130886712793	1.20570267868733e-49	2.17853249714819e-47
YOL077W-A	1637.06619028785	-3.14171517874729	0.214674233289106	-14.6348033045786	1.68462166659357e-48	2.95931872764937e-46
YLR038C	2557.6666329951	-3.4850514798863	0.246857120464095	-14.1176866737097	2.95534393534513e-45	5.05124190462773e-43
YGL158W	141.447320321222	4.26527928612337	0.30316317026473	14.0692528132583	5.86861721803902e-45	9.76661454917862e-43
YKL038W	416.017564946964	-5.16170729352861	0.367580125556336	-14.0424003765609	8.57579567266861e-45	1.39059825215273e-42
YPR020W	1596.72494696995	-2.82261873121895	0.20320577136059	-13.8904456911817	7.23835091315739e-44	1.14438327937018e-41
YJL160C	176.445100415529	3.1547242738961	0.227510299228012	13.8662921397436	1.01383783387406e-43	1.56378303937062e-41
YGL191W	4164.81751886813	-2.48556711949584	0.179554801948363	-13.8429442851139	1.4033842810752e-43	2.1130957603618e-41
