baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
YLR303W	154.75856675383	7.23064426529926	0.377463564647242	19.1558734206748	8.64625932911472e-82	5.47308215532962e-78
YDR345C	25927.1633403469	6.27442296718299	0.334756605257971	18.7432387251859	2.19830660891274e-78	6.95764041720883e-75
YCR097W	594.806710097723	-6.09392320615945	0.373251754459938	-16.3265761871014	6.38695748891971e-60	1.34764803016206e-56
YKL178C	640.609792385173	3.44797819386837	0.235855942858709	14.6190007004992	2.12496356817121e-48	3.36275484663094e-45
YNL145W	1113.10991984948	-5.29015653920031	0.381480884423477	-13.86742234069	9.97991971577202e-44	1.26345783601674e-40
YDR461W	1604.11055252188	-5.16187042495126	0.377010298339115	-13.6915899849193	1.13987371147072e-42	1.20256676560161e-39
YKL038W	505.399060688786	-4.84784707255859	0.369774311710083	-13.1102862449771	2.87511218579025e-39	2.59992287657889e-36
YGL032C	598.290752950361	-4.9044137303689	0.378443789843234	-12.9594245222005	2.07800601325298e-38	1.64422225798642e-35
YIL015W	1159.44578590936	-3.9159276031113	0.33077866031931	-11.8385134014726	2.46788522700962e-32	1.73574594299676e-29
YPL187W	3817.91572681015	5.22191942827723	0.441859238781975	11.8180609794918	3.14868200665001e-32	1.99311571020946e-29
YLR076C	315.195631351414	-4.27992029356859	0.364213627461246	-11.7511261821855	6.96839000264091e-32	4.00999170151972e-29
YCR013C	766.487860467127	-3.74431451688451	0.321390095072078	-11.6503730958005	2.28456400362487e-31	1.20510751191212e-28
YHR094C	387.305752594289	2.63556193906681	0.265614169730407	9.92252010403604	3.32259234531218e-23	1.61784688814047e-20
YFL026W	3262.82318433453	-3.66612203120144	0.392988389878485	-9.3288303818213	1.07045608872008e-20	4.83999074399864e-18
YLR040C	392.3886561369	2.3069009493682	0.248590473302129	9.27992500567172	1.69597894260247e-20	7.15703113778241e-18
YEL017C-A	646.953061691984	-1.7348773924645	0.188955566028418	-9.18140401433628	4.25506772211271e-20	1.68341116756084e-17
YHL034W-A	93.6815518922377	-3.32195190816928	0.364946500150612	-9.1025723134715	8.82172339789563e-20	3.28479465345172e-17
YJL170C	83.1465195502666	-2.83368466164956	0.343329796958161	-8.25353548324523	1.53776189924669e-16	5.40779601235086e-14
YGL209W	206.376563244195	-2.92411008846846	0.355905043776028	-8.21598384064657	2.10431797878225e-16	7.01070147667982e-14
YML132W	10.0415029189878	3.5800616109081	0.450359611672249	7.94933985668659	1.87507998400763e-15	5.93462814938415e-13
YOR047C	340.634639565561	1.96143354753432	0.255593493160765	7.67403552914628	1.66667884512365e-14	5.02384623315844e-12
YOR045W	980.654699338629	-1.93111776311251	0.254343290717978	-7.59256419802233	3.13636003746261e-14	9.02416319869923e-12
YJR004C	683.688819006727	2.06543752315094	0.272489233276314	7.57988672916301	3.45856779117904e-14	9.51858005137535e-12
YDL184C	720.546055419165	-2.81767471767602	0.374975366177614	-7.51429286248468	5.72193659537495e-14	1.50916077703014e-11
YCL054W-A	57.2724280089721	-3.22494706208847	0.434233023514466	-7.42676601606059	1.11284963577157e-13	2.81773527777362e-11
YDR115W	569.15292157323	-1.68151366100789	0.22786831011441	-7.3793221188309	1.59097485633224e-13	3.87341186176271e-11
YDR510C-A	137.58682703254	-1.75448066253343	0.24493347805389	-7.16309047041502	7.88782553200024e-13	1.8492568747245e-10
YBR230W-A	650.07944842808	-2.0673367555176	0.289303419512543	-7.14591192527531	8.94003701252327e-13	2.02108693890258e-10
YPL189C-A	350.613006029839	-1.96381235720854	0.29132500520545	-6.74096738048149	1.57335530909087e-11	3.43425486432594e-09
YIL156W-B	517.747708075924	-1.68341692595808	0.252230528033686	-6.67412045275208	2.48719277089793e-11	5.24797674659463e-09
YOR248W	58.3997197256492	2.87826770184094	0.432577784281394	6.65375755859114	2.85703159413843e-11	5.8338741906117e-09
YAL044C	1820.70426707986	-1.57434614419675	0.238402342601293	-6.60373604981604	4.00923096397871e-11	7.93076000062038e-09
YGL157W	270.046069735183	1.72697545045006	0.263507329464696	6.55380422987982	5.60894897459289e-11	1.07589839421736e-08
YFR032C-A	4112.85322238997	-1.78885341476721	0.273521015807515	-6.54009495206788	6.14797875177856e-11	1.1446089852576e-08
YKL209C	1639.15846278664	-2.19534936747129	0.340676759169875	-6.44408316205861	1.16301304929118e-10	2.10339217200376e-08
YKR075C	1518.46329169184	2.36821832931154	0.373847711928966	6.33471398578872	2.3778194960865e-10	4.18099928061876e-08
YMR107W	1142.59581020665	-1.59598591305387	0.252622218641296	-6.31767831680731	2.65521986107214e-10	4.54257884340179e-08
YEL033W	834.376005902277	-1.83793263133453	0.292216466863968	-6.28962717624712	3.18229310753276e-10	5.30103036070588e-08
YLR099W-A	349.972485004647	-1.23778082832432	0.198580872489194	-6.23313218845723	4.57200052039287e-10	7.42070853694536e-08
YBR268W	470.748229895745	-1.27111723646287	0.204275399015391	-6.22256641078497	4.89087646506706e-10	7.73981200596863e-08
YLR062C	37.1541639412366	-2.45100834855717	0.396575317111295	-6.18043595453854	6.3924826133629e-10	9.86936949819198e-08
YER058W	221.93770433885	-1.68964253858933	0.277879423047676	-6.08048814862925	1.19817208635331e-09	1.80581650157534e-07
YGL068W	341.516741991231	-1.44788614771805	0.240414006336016	-6.02247002903154	1.71775185718736e-09	2.52869052465023e-07
YHR210C	60.9809210934798	1.51730291739866	0.252795937331751	6.0020858460532	1.9479865441813e-09	2.80244427833356e-07
YNL043C	42.0629220854359	2.3351984538837	0.395850416754669	5.89919412749022	3.65281260184406e-09	5.13828972659397e-07
YGR138C	440.830862374332	2.18824953608903	0.373230067586893	5.86300442040239	4.54566116233749e-09	6.1221351399141e-07
YPL234C	2082.18132106646	-1.22308851248933	0.208559904163075	-5.86444703931674	4.50631895919882e-09	6.1221351399141e-07
YLL009C	570.010035064075	-1.91983715439842	0.329293945502064	-5.83016232342598	5.5373484425328e-09	7.30237825859013e-07
YPR044C	148.958399401763	-2.07362853423555	0.357720630869881	-5.79678205641378	6.75994479483651e-09	8.73274501047247e-07
YJL188C	987.643346847569	-2.05703312156307	0.355441980446224	-5.78725427700086	7.15462350747379e-09	9.05775336046182e-07
YDR412W	55.345961108198	-2.21273946024401	0.385177300084866	-5.74472966022784	9.20679592488945e-09	1.14272584714804e-06
YJR079W	122.466788673424	-1.40731162705206	0.252100412231315	-5.5823456002951	2.37296245079574e-08	2.88557581192399e-06
YKR035C	24.601324721439	-2.38580139034333	0.427623012273684	-5.57921655726139	2.41604293889371e-08	2.88557581192399e-06
YOR203W	19.3238789326246	-2.43454037925812	0.438985957939016	-5.54582745809908	2.92567228379243e-08	3.42953806600112e-06
YGL089C	139.558376032947	1.24443663621199	0.224638241031669	5.53973638013196	3.02927304827406e-08	3.48641789010451e-06
YLR120W-A	37.6269581506178	1.53705118982062	0.278206100923757	5.52486514392382	3.29738784068568e-08	3.72722589848935e-06
YAL046C	450.064066039801	-1.41086851460503	0.255688308016196	-5.51792346529846	3.43028753695426e-08	3.80942458051237e-06
YCR046C	895.643837072992	-1.1616288545521	0.210915225910565	-5.50756281125324	3.63835612001123e-08	3.90352444740188e-06
YLR390W	276.641265609039	-1.28266169963579	0.232836636933131	-5.50884824884394	3.61189102941414e-08	3.90352444740188e-06
YFL030W	4600.33366631015	-1.75016098176154	0.319843579480006	-5.47192782361585	4.45166146357094e-08	4.69650284406734e-06
YDR008C	35.1950039139035	-2.08341943544197	0.381342921104862	-5.46337514121332	4.67165893573765e-08	4.8085794546885e-06
YIL057C	869.011681026736	-1.76423369233388	0.323005474390312	-5.46193124331394	4.70982505830469e-08	4.8085794546885e-06
YDR461C-A	236.507026764152	-1.85197644474559	0.339627888069327	-5.45295751557231	4.95389078454591e-08	4.97748074066279e-06
YJL143W	1551.32962559867	-0.982561241177266	0.180472348753863	-5.4443866218937	5.19842018519264e-08	5.06246150342606e-06
YMR241W	4154.22786752904	-1.12867712464107	0.207270988186618	-5.44541778140633	5.16839325724865e-08	5.06246150342606e-06
YKL170W	31.9042067459402	-2.40161080029059	0.441571822021461	-5.43877729628741	5.36474628053439e-08	5.1452793872398e-06
YNL149C	90.4517556805304	-2.27450629393365	0.418752604253325	-5.4316230414598	5.58437908506393e-08	5.27598800126189e-06
YGR181W	292.365291405952	-1.35555859553648	0.249820525664917	-5.42612978628776	5.75890908377601e-08	5.28317311598582e-06
YLR438C-A	1036.23592951226	-1.21916901138345	0.224650080500118	-5.42696894952951	5.73190950728341e-08	5.28317311598582e-06
YOL086W-A	367.310447138023	-1.22120232364339	0.227019447047425	-5.37928507679027	7.47822114870747e-08	6.76244855304547e-06
YOR062C	310.651881099358	1.43680056769747	0.26793357974522	5.36252517905271	8.20665245541977e-08	7.31663521729678e-06
YNR036C	1885.22805104759	-1.40073081203322	0.261874903245381	-5.34885471908207	8.85125558617851e-08	7.78172886951527e-06
YDR133C	1030.26021552389	-1.29054372092919	0.242770445083475	-5.31590128479372	1.06130678232008e-07	9.20283826313168e-06
