baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
YDR345C	27478.9572115445	6.2498366464909	0.253930382249664	24.6124019942839	9.30498845832971e-134	5.66394647458529e-130
YKL038W	285.199193127876	-5.37856800580034	0.317274953701537	-16.9523876468988	1.8479419072151e-64	5.62421119460917e-61
YLR076C	182.950758914662	-3.04446636224376	0.319617738655636	-9.52533603125183	1.64508825618795e-21	3.33788407180534e-18
YGL209W	927.943887320855	2.59625141354002	0.280304357909856	9.26225847111144	2.00152977323822e-20	3.04582793242527e-17
YML132W	10.2566999715289	3.27361575577258	0.360712473578157	9.07541600460698	1.13244068583444e-19	1.37863329093485e-16
YPL250C	461.313210911958	1.75379509263798	0.196853478557995	8.9091394548118	5.14301879828548e-19	5.21759257086061e-16
YEL017C-A	403.915837333978	-1.69000020542271	0.194217963760648	-8.70156484343257	3.27338657999151e-18	2.84644344462976e-15
YOR047C	272.025713260708	1.7246042351965	0.205961901772252	8.37341382244338	5.59726209100029e-17	4.25881679348985e-14
YGL157W	227.735318201358	1.63280940335146	0.209813530494444	7.78219307164609	7.12779755919138e-15	4.8207670825331e-12
YDR343C	1276.90042260447	-2.67897906649893	0.350785490990139	-7.63708629720444	2.22192582019846e-14	1.35248624675481e-11
YOR248W	63.0980461005496	2.64735389376303	0.351977699832216	7.52136824300232	5.42059368149317e-14	2.99955943084081e-11
YDR461W	1032.27534661241	-2.06667260955762	0.279725595060515	-7.38821418580063	1.48813894367131e-13	7.54858479177271e-11
YNL043C	39.9090752046043	2.30984173220015	0.319337401477511	7.23323269217124	4.71630269401489e-13	2.20831803834374e-10
YPL271W	2980.32239012409	-1.28193166006807	0.178885357308264	-7.16621907660661	7.70973643480309e-13	3.35208326276046e-10
YCL030C	6373.04462682034	1.10428337791401	0.156405566181302	7.06038413386097	1.66042947489133e-12	6.54078699084499e-10
YDR320C-A	339.510143821364	-1.51329566216957	0.21448323205935	-7.05554297946621	1.71928029987711e-12	6.54078699084499e-10
YKR075C	1090.70478043101	1.96259645451637	0.285463659755577	6.87511838178214	6.19384015976926e-12	2.2177591207362e-09
YDR040C	120.039754704625	1.24898818760269	0.185619366505849	6.72876010253667	1.71114900310852e-11	5.78653554551196e-09
YKL018C-A	218.952760287066	-1.38069365146621	0.206172139381737	-6.69680033202641	2.13032376185956e-11	6.82488459917849e-09
YBL113C	122.04723033709	2.00969070321056	0.303532122346623	6.62101489514036	3.56741018223654e-11	1.08574128896369e-08
YGR161C	675.881001280559	1.49832318559354	0.228844602060238	6.54733898944726	5.85713129919054e-11	1.69773134372251e-08
YJL151C	770.717074750133	-1.29872548257154	0.200229360322206	-6.48618904081625	8.8034697644083e-11	2.43576002072515e-08
YER147C-A	99.2058748396912	-1.52662186087757	0.239739285035226	-6.36784188562695	1.91706387178758e-10	5.07355121198739e-08
YOL058W	7942.76619497272	1.35043928018706	0.213432851506006	6.32723252609993	2.49597096716043e-10	6.33040636546065e-08
YDR007W	384.644123532256	-1.06650053151088	0.169089062047926	-6.30733010517611	2.83889927334383e-10	6.91215195073756e-08
YML129C	400.149512554901	-1.48762804421272	0.238912005056549	-6.22667765841492	4.76429919332552e-10	1.11539573806817e-07
YGR219W	10.8780557263583	-2.18923818013793	0.352116328051155	-6.21737194709095	5.05550424379616e-10	1.13973534562916e-07
YOL109W	5621.26265917185	-1.34421411763952	0.220014422926011	-6.10966362915019	9.98413447035959e-10	2.17047951860996e-07
YDR433W	30.6727723791916	1.95432106767682	0.327545041663965	5.96657197968453	2.42289880980085e-09	5.08558105353717e-07
YHR094C	318.951099635543	1.90295451474509	0.320584840654759	5.93588427593305	2.92265905697129e-09	5.93007522659475e-07
YHL034W-A	59.8417023762507	-1.73916108879305	0.294568854655423	-5.90409020270478	3.54598118393661e-09	6.96270563439423e-07
YER180C-A	35.5692764479711	-1.43974328467228	0.246010245137659	-5.85237124521644	4.8461338587028e-09	9.21825524935124e-07
YDR413C	6.87377729053013	2.10987589730045	0.360863248520947	5.84674639478554	5.01280846347575e-09	9.24635306581118e-07
YIL156W-B	356.756795127286	-1.11086658951151	0.193927420495532	-5.72825950385447	1.01466269401543e-08	1.81654465249174e-06
YMR173W	152.327604664708	-1.58021062127265	0.277880409803115	-5.68665715727232	1.29550166900888e-08	2.25306247407344e-06
YGL117W	1069.1535119448	1.12519311256002	0.200893119144359	5.6009539667283	2.13175347736145e-08	3.60443983797198e-06
YOR133W	1222.01390809194	1.19627328160575	0.213838364311447	5.59428746781578	2.21529648283128e-08	3.64446207864703e-06
YDR322C-A	2479.81335330264	-1.20580133777116	0.216110645305728	-5.57955549142586	2.41134010193132e-08	3.86258610538314e-06
YDL067C	1929.04984009184	-1.21826768642352	0.219460865795986	-5.55118418039982	2.83740947150618e-08	4.42854139822003e-06
YNL089C	9.18520921290722	-1.98280836901164	0.35977616185379	-5.51122775559945	3.56339266152286e-08	5.42259278267241e-06
YDR412W	33.6792352186567	-1.73388941532801	0.314903358313736	-5.50610010834037	3.66869960028905e-08	5.4466766992584e-06
YDR385W	1726.06889204644	1.35153092364427	0.247473044606982	5.4613258013238	4.72591831343577e-08	6.81928299356601e-06
YOR045W	678.076002037171	-1.13496048613252	0.207947236492085	-5.45792531450989	4.81730193401246e-08	6.81928299356601e-06
YDR536W	711.005117041823	-1.86998337848282	0.345063947713523	-5.41923719030568	5.98538651563241e-08	8.28023811833057e-06
YNL145W	783.14345394199	-1.43781481285475	0.26886998267362	-5.34762117569704	8.91177458822431e-08	1.20546604263381e-05
YFR032C-A	2715.8836244747	-1.29348835608535	0.244998306391071	-5.27958080665528	1.29479767803943e-07	1.71335510135348e-05
YDR276C	1273.94234672553	-1.30290946727715	0.250138645548338	-5.20874918955843	1.90117896060781e-07	2.45641278324253e-05
YMR256C	1775.57689611017	-1.12321459391423	0.21586841454696	-5.20323733451932	1.95846492544202e-07	2.45641278324253e-05
YPR018W	514.25686852267	1.03423730208072	0.198836349265937	5.20144986517262	1.97739816623762e-07	2.45641278324253e-05
YKL170W	19.2875269719298	-1.82022583981401	0.352986961179164	-5.1566376098808	2.51423726261808e-07	3.06083244351126e-05
YJR085C	1545.41350953867	-1.0466171733417	0.203396553665918	-5.14569767519651	2.66528371401211e-07	3.18109450337092e-05
YJL037W	90.2209265058334	-1.31212559758055	0.255720209112864	-5.13109856327951	2.88056015274322e-07	3.37191724033615e-05
YIL002W-A	274.089221717223	-1.12175173093318	0.219409410000703	-5.11259626890928	3.17760955442122e-07	3.64945459580415e-05
YDR354W	706.578729600032	0.984586369690381	0.193528495421719	5.08755244309044	3.62714104299326e-07	4.08859398679629e-05
YER074W-A	371.230864619026	-1.06960056099545	0.212692774781137	-5.02885235333489	4.93424133407284e-07	5.36990497074316e-05
YGL032C	428.0816865573	-1.34521462176111	0.267511799372139	-5.02861789617649	4.94027728538881e-07	5.36990497074316e-05
YMR011W	9993.2005139165	1.78253223257997	0.355217215322187	5.0181470820979	5.21722284829786e-07	5.57144482062966e-05
YOL086W-A	254.331207790915	-0.9456740241836	0.189998281407444	-4.97727672681227	6.44850984977679e-07	6.76759990613643e-05
YDR295C	483.695887062201	0.759375805595112	0.153848949894672	4.93585303061863	7.98011866720075e-07	8.09583038787516e-05
YJL188C	650.725037572422	-1.40046789118314	0.283550210517453	-4.93904726301357	7.85051850078432e-07	8.09583038787516e-05
YDR014W	181.004387900991	0.83311228518854	0.17063521371221	4.88241709940159	1.04793300377473e-06	0.000102883357967367
YDR031W	228.134547798486	-1.29086468594787	0.264228270103612	-4.88541474173706	1.0321136123401e-06	0.000102883357967367
YPL189C-A	245.185172934185	-1.17742702704104	0.241985044961008	-4.86570162726694	1.1405147080576e-06	0.000110195444888042
YOR020W-A	376.178309733767	-0.881540632307473	0.181418364550598	-4.85915874333445	1.17885586746108e-06	0.000112120244769306
YOR153W	4155.52412631145	0.835648750794047	0.175454517037702	4.76276567228237	1.90957541983742e-06	0.000178824393546929
YNR028W	396.260712470331	-0.638181118995426	0.134119728159402	-4.75829415816401	1.9523584612659e-06	0.000180060696268569
YLR281C	24.1241943361197	-1.71269520922771	0.361337896266569	-4.73987153554525	2.13853762166982e-06	0.000194287738852302
YER028C	97.5420356056518	1.06362929515415	0.225055353442836	4.72607862413863	2.28897051325524e-06	0.000204896522267421
YDR231C	345.574957262519	-1.23556209419295	0.261757387672415	-4.72025681941493	2.3554705790376e-06	0.000207793469776838
YNR041C	252.180754181146	-0.812012181048432	0.172622359587501	-4.70398031279852	2.55137860984541e-06	0.000221860594258986
YER069W	2464.14346625914	1.26818282351153	0.270081893345684	4.69554921954119	2.65891332033201e-06	0.000223101497266146
YLR361C-A	186.744183445545	-0.896646087874447	0.190821448473663	-4.69887475986852	2.61598804423839e-06	0.000223101497266146
YOR130C	428.126845618078	0.764814028065598	0.162925020765034	4.69426994377121	2.67560527360418e-06	0.000223101497266146
YNL143C	29.494531176672	-1.45817935260725	0.311896183365131	-4.67520742599209	2.93656655386448e-06	0.000241552440721258
YAL024C	337.114256961854	0.984423328288056	0.211251104705145	4.65996771785913	3.16258980454142e-06	0.000256675788536581
YMR062C	1865.97349936052	0.79645808803253	0.172783762695745	4.60956559578467	4.03511207603683e-06	0.000323180621142581
YEL027W	3119.6393482624	-0.612104131349175	0.133078397190164	-4.59957547034852	4.23352800214921e-06	0.0003261960120137
YHR211W	240.948402852395	1.10772859732349	0.240705684753032	4.6020043043854	4.18444554461508e-06	0.0003261960120137
YOR304C-A	78.0030571071908	-1.1364844948428	0.247019241128053	-4.60079340237974	4.20884718295065e-06	0.0003261960120137
YLR146W-A	99.4037130478321	-1.22148900933596	0.268431995956667	-4.55045981006355	5.35288111046139e-06	0.000407287341492231
YFR010W-A	9.25306963354945	1.53662955792269	0.338852515088072	4.53480346021132	5.76571496778633e-06	0.000428853537035633
YGL094C	480.713210966389	0.751680063385246	0.165773417567361	4.53438237816269	5.77722852586199e-06	0.000428853537035633
YLR062C	23.2975978316663	-1.4638374595563	0.323053758699089	-4.53125035737412	5.8635599361535e-06	0.000430017943751402
YML109W	540.969137887551	0.779677492068575	0.172349067161905	4.52382774625721	6.07311571080453e-06	0.000440083992043656
YGL255W	670.946963612943	1.57092485453186	0.347538882434946	4.52014129620709	6.17983716001814e-06	0.000442549044623888
YBR302C	2.52569596829875	1.56235137589082	0.346426659340471	4.50990515240725	6.48566167118799e-06	0.000459049099913039
YDR512C	267.4423576696	-1.04156584150355	0.231769049768958	-4.49398158443436	6.99036762168636e-06	0.000479937709370495
YKL216W	1640.75638482631	-1.07632042748004	0.239546302930425	-4.4931623419488	7.01732481254707e-06	0.000479937709370495
YPL145C	1274.1226148749	0.587462663887702	0.130618027104443	4.4975619132416	6.87371478691848e-06	0.000479937709370495
YDR397C	27.2887161836049	-1.51673045718594	0.337863592014088	-4.48917993248202	7.14978866697407e-06	0.000483564040176347
YLR262C-A	1094.91514911063	-0.972545151224068	0.21676796844559	-4.486572246804	7.23781815461679e-06	0.00048413845172695
YEL077C	101.956950833862	1.25565834248044	0.280072194647367	4.48333810523895	7.34843579844313e-06	0.000486194877229602
YIL015W	857.365766452611	-1.12874014682312	0.252274935074627	-4.47424610966292	7.66813798663416e-06	0.000501891999189701
YEL022W	768.781192505425	0.880703685073563	0.197634580417403	4.45622260645643	8.34164150979792e-06	0.000540165658192978
YIL047C-A	12.0926080438455	-1.60293776365596	0.362820853111975	-4.41798686571427	9.96244732875347e-06	0.000638330704106551
YGR230W	104.410980833907	-1.01088139552339	0.229208100581505	-4.4103214195256	1.03217297562452e-05	0.00065446217735692
YDR115W	416.770819501364	-0.814838459126961	0.185103145002681	-4.40207787455562	1.07219056348433e-05	0.000663430401535473
YEL059C-A	138.22942652793	-0.877572894472411	0.199239084066473	-4.40462220845997	1.05968389266938e-05	0.000663430401535473
YER031C	769.59801739491	-0.691145997649481	0.157053594370161	-4.40070155937032	1.07901445296553e-05	0.000663430401535473
YOR276W	171.512472166148	-1.07461565527059	0.244343492888004	-4.3979712435524	1.09267451934324e-05	0.000665110979924229
YGL195W	2052.86999195498	0.811461218514384	0.1852251366222	4.38094544462129	1.18165457379783e-05	0.000711107742845971
YNL024C-A	240.958067727628	-0.856052872710945	0.195485217100372	-4.3791182034568	1.19160489190552e-05	0.000711107742845971
YJL127C-B	224.10474393036	-0.811833377095907	0.186166626010261	-4.36078901194225	1.29594283691418e-05	0.000758500389259291
YJL143W	1088.05398430451	-0.689422985083567	0.158068079256784	-4.36155730065898	1.29139964775845e-05	0.000758500389259291
YKL058W	569.819532970491	-0.734568067949692	0.168744485685879	-4.35313820753292	1.34202485530638e-05	0.000777990980404753
YHR099W	1360.64168315128	0.957406754695934	0.220371749203948	4.34450767012735	1.39588366580732e-05	0.000797560028025996
YIR017C	6.58665799413636	1.55779040909201	0.358660574187287	4.34335558800102	1.40322730815026e-05	0.000797560028025996
YMR035W	267.409166450422	-0.708665665865338	0.163243034677486	-4.34116939363096	1.41726404846266e-05	0.000797560028025996
YMR206W	411.703895093369	-1.26702043487502	0.291975064772153	-4.33948164670761	1.42819193452988e-05	0.000797560028025996
YPR044C	93.7385526697659	-1.38814663855246	0.320523867873715	-4.33086823693075	1.48522541626067e-05	0.000821869737161702
YDR019C	740.327279314324	-0.920898035731591	0.212980757103193	-4.32385558327883	1.53325686915196e-05	0.00084080491554306
YGR190C	30.4686825223163	-1.18575011671146	0.274739136139039	-4.31591266309936	1.5894481785937e-05	0.000851156181652463
YML079W	586.513222997963	-0.593195274696156	0.13737008524903	-4.31822746284817	1.57287286811055e-05	0.000851156181652463
YNL149C	56.1199182448258	-1.50413422720463	0.348560895596443	-4.31526957328595	1.59408254819091e-05	0.000851156181652463
YJR130C	738.262646736361	0.587008441437752	0.136297488506839	4.30681774013977	1.65619963524603e-05	0.000876633667803704
YIR019C	83.2273954387904	1.30587431216037	0.304461706682713	4.28912498188566	1.79378416660182e-05	0.000941272777767696
YER026C	2035.04252934845	-0.838555951037324	0.195909678036444	-4.28031917280438	1.86625471013268e-05	0.000970930976117745
YMR071C	518.007679075792	-0.816116713598233	0.19090229352883	-4.27504928574879	1.91095016776071e-05	0.000985758785691479
YDL172C	3.78611739265782	1.49277204316114	0.349460147182587	4.27165173252556	1.94030436844929e-05	0.000992490142079899
YML081C-A	2674.97947684801	-0.997508089990923	0.234282601172078	-4.25771305679786	2.06528798785082e-05	0.00103580833736231
YOL077W-A	1412.1549020101	-1.07377728614595	0.25226459751367	-4.25655163954493	2.07604102444885e-05	0.00103580833736231
YOR062C	220.037755540415	0.987156646191671	0.231848153950996	4.25777229349999	2.06474096581357e-05	0.00103580833736231
YDL123W	155.322200465304	-0.947141543441168	0.222882857596652	-4.24950376917366	2.14244604394617e-05	0.00106024951784556
YML052W	638.359729861833	-0.799078753496984	0.188203411417616	-4.24582502239484	2.17790548215945e-05	0.00106910569918585
YOR375C	32368.6632811209	0.818391516740207	0.192933390553981	4.24183452325339	2.21700132536167e-05	0.00107959096539812
YER134C	90.9871969788133	-1.03749630162759	0.245034394119264	-4.23408438377275	2.29484769264592e-05	0.00110862999247109
YBR126W-A	15.9602015178011	-1.54285757715021	0.365219280451756	-4.22446913328829	2.39504673613663e-05	0.00113830177630933
