logFC	logCPM	PValue	FDR
YGL158W	6.885242929356	8.28764207073565	0	0
YGR144W	5.73648484181086	9.90130491000629	2.70162710769446e-272	7.60372949460607e-269
YBR296C	-4.14220011551168	9.38650172584557	4.59207832870364e-189	8.61626963742427e-186
YJL052W	3.42241058941115	12.7864892709981	1.73241773025839e-179	2.43794485090612e-176
YFR052C-A	3.13914622265258	7.95763937641374	3.99744899514475e-145	4.50032807873396e-142
YGL162W	3.36933683870097	8.20615109937289	8.29396028448461e-132	7.78111707356064e-129
YGR254W	2.98004922261325	12.6797374001702	1.20787435878741e-130	9.71303537944905e-128
YOR178C	2.67885576033075	10.1015076592225	4.87009475146861e-130	3.4267204195021e-127
YDR342C	4.22283867845949	7.94881354206123	1.76874250515609e-123	1.10625017350262e-120
YGL035C	2.55518752072991	7.38448076274394	3.52035283683727e-120	1.9816066118557e-117
YMR323W	4.47545799684805	7.66845646111319	8.57166410226533e-120	4.38635429378651e-117
YPL187W	4.38864998956203	6.2048697631066	2.44095884736784e-113	1.1450131126528e-110
YIL015W	-3.86336993000404	5.51676541895921	3.74528954080306e-104	1.62171037116772e-101
YNL145W	-4.03619086467729	4.89507295589227	2.70885481665959e-100	1.08915312592691e-97
YFL026W	-3.37228303120835	5.5577956553797	3.58712904245652e-98	1.34612995866585e-95
YFR053C	3.31327791175825	12.0016340726946	1.58087199522985e-96	5.56170528821802e-94
YDR050C	2.28383674462067	10.0083002764032	6.1306773826233e-96	2.02997546981097e-93
YKL152C	2.38769621978431	8.32446373566127	9.77174290467506e-93	3.05584115613422e-90
YLR237W	2.43229751201687	7.57283989586833	1.49664870190872e-88	4.43401870686535e-86
YGL256W	3.45918785876203	8.95977158644703	1.9591990093089e-88	5.51416561169991e-86
YEL070W	2.6955853330852	7.43886465852655	4.69902963311597e-84	1.25956370499094e-81
YNR050C	-2.48410811175704	6.07067857701265	2.74141080531167e-82	7.01427337413609e-80
YJR009C	2.32768571012346	8.34142646025257	4.48693551331398e-79	1.09812869584541e-76
YMR291W	2.40799369574219	8.59067622960229	1.94151983859765e-78	4.49696438271385e-76
YDR508C	2.98222430155355	6.88105112848252	1.99723058390205e-78	4.49696438271385e-76
YAL038W	2.20749858808682	9.08350969805103	2.74151157405628e-77	5.93537255783184e-75
YDR461W	-2.95273753700736	4.99082901992235	1.2446374661874e-74	2.59483862858106e-72
YHR174W	2.21489791423473	7.76087727508571	1.7560993159181e-70	3.5303868033225e-68
YFL029C	-2.86460019774622	7.25472387327433	1.25335432561588e-69	2.4328039651351e-67
YHL024W	1.86781912466097	8.98742436051608	5.00681280729932e-68	9.39444976409595e-66
YGR097W	1.87991781647034	6.98095979598162	1.10171861286592e-66	2.00050776510396e-64
YKL060C	2.06045658988896	11.5394930573601	4.11489286663952e-66	7.23835373322307e-64
YPR198W	-2.13588399938479	6.24964537668153	3.19128787301346e-65	5.44356346581599e-63
YCR012W	2.82482110509155	9.2584184603092	4.76260225454853e-65	7.88490826201579e-63
YJL132W	1.99304037445443	7.14464065993794	6.13192403973869e-64	9.86188583419688e-62
YDR133C	1.75408814802548	10.0651062570936	2.2059572618394e-62	3.44925928524832e-60
YMR316W	-2.94842217104583	7.15588979581119	1.19043713325027e-61	1.81107314136913e-59
YJR145C	2.3206846685189	6.27211585560484	1.36089618202151e-60	2.01591700226292e-58
YMR105C	1.93120213768746	11.2471531421668	1.26250163812782e-59	1.82221069769781e-57
YCL048W-A	2.96421919662706	4.83693113518705	2.58219733297294e-59	3.63379719682617e-57
YMR290C	2.79218599926027	4.27517206673069	1.15801645932277e-58	1.58987186573851e-56
YEL026W	2.51955838955773	4.58410520210034	3.00249390999977e-58	4.02405671890207e-56
YMR169C	2.5285559451472	9.8469303987954	3.0736047806055e-54	4.02356309535544e-52
YDL014W	2.04347692454778	5.91243308543424	1.01214139368404e-53	1.29485088751079e-51
YDR399W	2.14462688479971	7.20753599476781	1.29806921274773e-53	1.62374035523489e-51
YMR011W	2.97281295492403	7.41971655116809	4.19057694368919e-53	5.1279907860927e-51
YER024W	-1.88652810747639	11.3903930323222	4.99582168927577e-53	5.98329367849645e-51
YOL055C	2.32668217256701	7.01797263454029	1.09353941320058e-52	1.28240278268876e-50
YOR092W	2.10254550346991	6.737443807371	1.77481997204405e-52	2.0388697189053e-50
YER054C	1.84721792331011	8.85035409838995	3.21199625460678e-52	3.61606538343632e-50
YHR208W	2.64324693516958	7.1613993570419	5.0842789601729e-51	5.61164828761044e-49
YBR093C	-2.7115674121768	4.58607821376728	6.58447081273487e-51	7.1276896547855e-49
YDR516C	1.75188356703418	8.63767689217052	1.24706190468708e-50	1.32447386065728e-48
YGL009C	2.1259049219494	9.41024908677464	1.73044784439093e-50	1.78069873141531e-48
YOL040C	1.94654670367649	7.08607588208022	1.73989039310432e-50	1.78069873141531e-48
YIL056W	1.87269905098329	7.55401848927717	2.98805266360584e-50	3.00352650775665e-48
YPL149W	-2.05069294224532	7.2914609165225	1.20907521400319e-49	1.1940148034428e-47
YNR014W	1.83727930332367	7.95219285776825	3.15898057417447e-48	3.06584511241864e-46
YOR110W	1.85130135295539	6.30018313730784	3.27471676625478e-48	3.12430180970307e-46
YLR413W	2.08275794855751	5.79590794183675	5.27530452585701e-48	4.94911486267485e-46
YPR160W	1.67658377193263	9.77748732764563	6.03313796484759e-48	5.5673005908405e-46
YPL111W	1.66371360246403	5.96168749573188	7.73917241289187e-48	7.02641959873683e-46
YKL187C	1.9813823544617	8.77522883529603	1.16066604222496e-47	1.03704589709275e-45
