logFC	logCPM	PValue	FDR
YDR345C	9.09237900723927	12.1273431619088	0	0
YHR092C	8.42362872663485	9.44480142248508	3.25595178401867e-305	9.22085545234087e-302
YGL158W	6.12403376488478	7.27520405118307	9.28626005284094e-241	1.75324589797637e-237
YKL038W	-7.0191662617533	7.85581454816307	1.88468914149732e-213	2.6687198243602e-210
YHR094C	4.73441039056779	6.59199205735593	5.23018088654543e-185	5.92474890827866e-182
YKL120W	4.94719425279679	7.42717999313922	1.07167247453259e-173	1.01165881595876e-170
YDR342C	6.64339597095808	10.0605425689457	4.84226230910772e-170	3.91808195982659e-167
YHR208W	5.70188324363798	9.79559372315423	4.44670256072807e-165	3.14826541299548e-162
YKR075C	4.36379321276835	8.35207557732595	9.27980614109571e-163	5.8400913314629e-160
YGR144W	5.6368158163839	9.54129996094582	3.03313606285151e-158	1.71796826599909e-155
YLR237W	4.02502925109803	8.78407801016743	1.22641215277242e-156	6.31490766663909e-154
YGL009C	4.50722081783674	11.3098867260467	3.86756392360952e-145	1.8254901719437e-142
YMR011W	6.64522315814219	10.6866402324708	1.35352550788713e-144	5.89720652051746e-142
YPL212C	3.79078076576246	5.66007269967899	8.62658976025138e-142	3.31027335879107e-139
YJR145C	4.13883739394356	7.70174560169037	8.76661376798482e-142	3.31027335879107e-139
YFL054C	4.8968906297818	8.62459085941476	1.30377660432661e-140	4.61536917931619e-138
YKL006W	4.11642214145911	6.44854222777574	4.58617815934526e-139	1.5280066526195e-136
YLR448W	4.06651918153777	5.99797182649034	1.10710681428476e-137	3.48369610894937e-135
YLL045C	3.47599276952961	6.82739379874292	2.37224466858733e-132	7.07178621204138e-130
YBR249C	4.43401717652524	7.78876362072979	3.53634090217902e-132	1.0014917434971e-129
YHR020W	3.49626716401524	7.11581999794409	1.02019680675169e-131	2.75161653021027e-129
YOR047C	4.95530782080198	6.06479039998601	2.80675139414271e-131	7.22610904382922e-129
YML026C	3.71771002602635	7.11609731058201	1.32914272770193e-128	3.27315843900161e-126
YMR108W	3.79242202648974	10.4259994808397	4.24858392114023e-127	1.00266580538909e-124
YPR010C	3.88069131106563	6.74638155888796	8.15093788620436e-127	1.84667648749846e-124
YEL026W	3.66318457594352	5.4765725548792	6.89688342099759e-126	1.50245952678963e-123
YPL058C	3.86170667025359	8.43544574669161	1.12664674673724e-123	2.36345450871101e-121
YER062C	3.95491993066175	6.99877666404066	1.27814570165875e-122	2.58550616221256e-120
YGL035C	3.22105652758028	7.77522089106835	1.08134293753863e-121	2.11197462007546e-119
YBR191W	3.84711090281429	7.11002076834604	4.78825893765876e-121	9.04023287429975e-119
YPL160W	3.23157705770407	8.40611775447706	2.10298613208134e-116	3.84235917809959e-114
YDL082W	3.79733703690951	6.61384063450654	7.19408523478659e-114	1.27335308655723e-111
YDR418W	3.54218813689127	6.02127568380504	2.17261079684571e-113	3.728990167677e-111
YDR158W	3.45147383285395	9.20255353688012	3.78846837809307e-111	6.31114261574093e-109
YFL053W	4.56143042165655	7.72538505482525	1.47586533051558e-110	2.38837178058293e-108
YDR037W	3.18846195502461	8.22174949598337	2.57879872495083e-106	4.05730999392264e-104
YJL190C	4.1876246794845	5.92833749930744	3.31409173389976e-105	5.07324745427249e-103
YLR060W	3.0828746447334	6.07851753439229	1.46763290223741e-104	2.18754546270334e-102
YER073W	4.28774485909622	8.75008948151245	1.66866037291582e-104	2.42340829543467e-102
YHL033C	4.66121588788616	7.79047931488103	3.41955078434449e-104	4.8420839106318e-102
YBR181C	3.76129289930639	6.68758093512341	4.91348856153736e-103	6.78780468598723e-101
YER086W	2.99522064658181	7.32554980900692	1.43476904641191e-102	1.93488854258977e-100
YPR102C	3.07666211505403	5.62852375867557	8.31583083083114e-100	1.09536897269367e-97
YJR009C	3.2731591811882	8.96234908306764	1.93642623014785e-99	2.49270867444487e-97
YER131W	3.45486433354241	6.55520379369277	5.89673906765617e-98	7.4220289064899e-96
YLR249W	3.4039797543846	10.3084671804719	1.42316953728609e-96	1.752354838954e-94
YBR048W	3.16496016997679	6.98673416333291	2.82132714581424e-96	3.39999935189189e-94
YBR296C	-3.41344149987829	9.69029532568488	1.15295497761619e-95	1.3604868735871e-93
YNL162W	3.05645271973534	6.41002047533672	1.91968831437921e-94	2.21900298217221e-92
YJL200C	3.68100299730426	6.72168243310771	3.98308437423318e-94	4.51203797913134e-92
YNL065W	3.82726742019549	5.80930238468762	1.56443358767877e-92	1.73744153737501e-90
YBR238C	4.63609484347418	5.4807892046828	1.47067344452929e-91	1.6019027672719e-89
YMR242C	3.04278071592384	7.4283202446435	1.83934423208556e-91	1.96566900576087e-89
YLR004C	3.90464785202857	8.5127313958351	2.00095675024907e-91	2.09878130248347e-89
YOL039W	3.54919274470395	6.8773800487137	2.5185885935018e-91	2.59368832610804e-89
YOL040C	3.35654462501877	8.09728086931696	3.57443393521869e-91	3.61528460876404e-89
YFR052C-A	2.96906513110941	7.61943787226985	4.03815743927495e-91	4.0126532870269e-89
YDL039C	3.94570454039033	6.02055188827136	1.29461552261625e-88	1.26425902070662e-86
YOL136C	4.67884515119852	5.94978872749313	2.4887558162593e-87	2.38920558360893e-85
YOL041C	3.03356130907696	5.28129852379138	9.1203814301329e-87	8.60964007004546e-85
YOR062C	3.02333177742378	7.58187883871728	6.08872595415253e-85	5.65353177119999e-83
YGL123W	3.03777076119004	8.07809634844124	1.21073703912687e-83	1.10606686929268e-81
YMR290C	3.85883836534073	5.14286335469627	6.38439573937594e-83	5.7398757885437e-81
YML063W	3.65850341233107	8.34101602244082	9.57263813219416e-83	8.47178474699183e-81
YER056C-A	3.33741476599292	6.96985703725085	4.49824383420552e-82	3.91970047337539e-80
YPL226W	3.06970910046738	6.96755096085888	8.85302873122964e-81	7.59750829298253e-79
YLR264W	3.86021447777718	4.80989844146255	1.23701208438753e-80	1.04573678298074e-78
YER049W	2.85493361393651	5.43283240224185	3.21485069461741e-80	2.67778151975191e-78
YOR234C	3.50104025376411	6.37576365376902	1.99548276114944e-79	1.63803106654354e-77
YHR174W	3.02364710541899	8.26517095129562	2.8517118339539e-79	2.30744226107356e-77
YNL112W	3.03435945754592	7.61774315432147	6.3668082557329e-79	5.079098867672e-77
YBL076C	2.57793361350084	8.09935362197884	1.95854289639575e-78	1.54072041183132e-76
YNL069C	3.54291268772255	7.42450151692878	1.64804812723693e-77	1.27870473872191e-75
YDR064W	3.17874951170713	7.94484724142373	2.61205511466604e-76	1.99928110398222e-74
YHR196W	2.76864168896247	5.38412385158127	5.72765435099135e-76	4.32552456586867e-74
YOL120C	3.46365449611685	7.65963261164185	1.47667673488118e-74	1.10051276662723e-72
YMR116C	3.63791234494909	9.16277823268629	1.05323025399412e-73	7.74739760860088e-72
YOR108W	3.43401341331242	5.87519944210453	1.1367538361416e-73	8.25458170244361e-72
YGR159C	3.49207042846941	5.92351674975545	1.46033684803873e-73	1.0470060642141e-71
YPL079W	2.79146747812903	6.70895837028997	1.99865347950823e-73	1.41504666349183e-71
YGL253W	4.50526412725762	7.95511272612341	7.24828753093767e-73	5.0684321697816e-71
YCL050C	2.46435543038192	5.84117646476926	9.11570950723246e-73	6.29650959133715e-71
YHR021C	2.72230314423647	7.12754987489876	1.35918495425448e-72	9.2752091336113e-71
YGR264C	2.54074624177328	6.14777812996529	3.23032723595134e-72	2.17816350767005e-70
YLR355C	3.2997888410906	10.7522662420535	5.13427135207008e-72	3.42123681624999e-70
YOR096W	3.22500880939038	7.90576434652154	6.04950060590026e-72	3.98422923625803e-70
YDL061C	2.81114444463135	7.12927550690423	7.4968538814558e-71	4.88071038903053e-69
YIL133C	3.50879047629039	7.48852136889578	1.36524827143278e-70	8.78723432885823e-69
YGR138C	3.06984977225284	8.02371560738145	6.47361072779835e-70	4.11983496205055e-68
YPR110C	2.43778371411993	6.0056440526677	8.30177031009781e-69	5.22458078182155e-67
YGR123C	3.3801063689128	4.06612861172521	7.37646745232214e-68	4.59124303845633e-66
YML024W	2.36343510168931	7.71908701876164	1.11071928785557e-67	6.83816744175429e-66
YGR162W	2.35369007316285	7.49114254372772	2.33104257462908e-67	1.41968012287087e-65
YDL229W	3.52596994851183	7.00572658002726	5.49164186613916e-67	3.30900633295874e-65
YDL014W	3.22907550232872	6.75757954658927	2.6498023923906e-66	1.57984007900004e-64
YER074W	3.25450139528446	7.2155282033351	2.80300439696022e-66	1.65377259420653e-64
YLR048W	3.40594153941551	7.73060185930868	3.80235021232169e-66	2.22025892810207e-64
YLR185W	2.96400591226295	6.73085823140715	4.40015985385684e-66	2.54311279716787e-64
YMR131C	2.78934368909924	5.85882374372207	6.09478518039406e-65	3.48695588502545e-63
YKR092C	2.63542682346098	6.20176606511055	9.41226707883985e-65	5.33110807345489e-63
YOR312C	2.96074496886417	7.99816239553952	1.04547559420687e-64	5.8629443223641e-63
YJL109C	2.61072850457946	6.53504315288636	2.22628638136847e-64	1.23624373177167e-62
YJL177W	3.086980604192	6.91655391086724	3.42983423304758e-64	1.88607583456131e-62
YKL180W	3.27988227079058	8.12749384203385	5.02312620630397e-64	2.73567181081785e-62
YLR409C	2.89759793323802	5.01234334236435	5.62866021207164e-64	3.03626013725465e-62
YER052C	2.47697575681176	6.41444595011671	6.78050108021039e-64	3.62309038851997e-62
YGR185C	2.59106145188182	5.56567799116646	2.30093676239649e-63	1.21799119833773e-61
YDR025W	3.35966261832538	7.10983522335273	4.63329325386811e-63	2.42990490647305e-61
YDR341C	2.64583584440133	6.90335451974634	9.85911737271872e-63	5.1231230090898e-61
YOR271C	2.51816515052498	6.53540561788744	1.35896746648886e-62	6.99744702744808e-61
YCR057C	2.46516887692422	5.63625253678134	3.10324151101838e-62	1.58349188454127e-60
YGR097W	2.19596208587613	7.0978036985068	8.8772828258817e-62	4.48936874337446e-60
YPR145W	4.01204524299879	8.63101404314428	9.72187339150421e-62	4.87298149464423e-60
YKL029C	2.5642905013692	6.36130411844596	1.19627582629149e-61	5.94360200010086e-60
YGL147C	2.24898888840182	6.65726557487739	1.30106041490576e-61	6.40800538263148e-60
YOL127W	3.35430367637442	7.93737767993179	1.37519196723998e-61	6.71473043314418e-60
YCL030C	2.81989388681269	9.25903327837216	8.23986926772806e-61	3.98894184037707e-59
YHR179W	2.38755086721279	8.35958536646227	2.06092407355205e-60	9.89243555304983e-59
YDR471W	3.4709705381413	6.84620101480878	2.90042439855184e-60	1.38050452045358e-58
YLR344W	2.6043265922472	6.88073146166918	4.51613266111111e-60	2.13161461604444e-58
YJR016C	3.25211371139949	9.60805560006134	2.61985680500609e-59	1.22635280525244e-57
YDR343C	2.92046503284346	8.99026163052269	3.63631439401243e-59	1.6882036662038e-57
YLR388W	2.16320982659554	5.87289189226161	3.8475090756411e-59	1.77173100849034e-57
YMR217W	2.54978813092396	7.39702602698225	9.71949107585025e-59	4.43961269787224e-57
YLR167W	2.80781128604849	9.25005439796469	1.06968122076124e-58	4.84693954751332e-57
YLR180W	2.75777909933796	7.70681649518174	1.43643690780659e-58	6.45712590937818e-57
