logFC	logCPM	PValue	FDR
YDL039C	4.80497986073702	6.8723461884183	6.6774197689267e-140	3.81280668805714e-136
YIL162W	3.06068001019152	7.30439792914009	2.91291281701974e-119	8.31636609259137e-116
YPL058C	3.64893688148517	8.29742256195675	4.68483398551332e-119	8.91680068576035e-116
YGR159C	3.30835071826264	5.79402727140234	3.29678827401025e-116	4.70616526114963e-113
YOR338W	2.8249647681848	8.71968990460412	1.22132087328365e-99	1.39474843728992e-96
YPR157W	2.99200185176056	5.04145899443838	1.51046518532362e-86	1.43745936803298e-83
YEL026W	3.38318236891456	5.27344507404112	4.51886012165787e-84	3.68609875638092e-81
YER062C	2.83469990977212	6.05886497953493	1.72857145810624e-80	1.23376787822333e-77
YNR067C	2.56081338201973	6.45121070741071	1.49897176260677e-71	9.51014307164961e-69
YLR249W	2.45401751060006	9.57232030474096	1.00838832763821e-70	5.75789735081417e-68
YHR179W	2.31427241344559	8.35742403825832	4.99828041143856e-70	2.59456192266493e-67
YDL037C	4.40272124995196	5.19849227462359	1.33433237568397e-69	6.34919822096289e-67
YNL065W	2.8731306070616	5.01084125120369	4.95406347883056e-66	2.17597711262481e-63
YPR035W	2.31204065049261	9.25289878886565	2.72852504900421e-65	1.112848430701e-62
YOL136C	3.24121429686486	4.6320819689357	8.47332106194498e-63	3.22551088424706e-60
YER056C	2.0325411788254	8.33236964899442	2.04598169133669e-62	7.30159716095782e-60
YER130C	2.2139617794208	7.96661829273009	4.33020360844052e-62	1.45443897671737e-59
YNL327W	2.28099324168844	5.69472601904048	3.23148978201943e-61	1.02510036974061e-58
YDR037W	1.98692676969135	7.31686785257971	2.19032355110679e-60	6.58249867201039e-58
YGR142W	2.35356438211248	9.23869815966982	8.18757725431496e-60	2.33755330610692e-57
YGL008C	2.61417164589914	10.1081551266982	2.94547237328216e-58	8.00887964354339e-56
YBR082C	1.82155189393281	7.39102595014813	1.59095855020867e-57	4.12926060076887e-55
YHR139C	-3.91157771605306	10.556915413698	3.0244850198104e-56	7.50861281005104e-54
YLR180W	2.18063766825846	7.30802912275379	4.750295814741e-55	1.1301745459238e-52
YPL026C	1.99555047794352	8.49101581042152	1.06070083456996e-54	2.42264070615779e-52
YMR011W	3.66419173015929	7.89664287994353	4.3624416280686e-54	9.58059296010451e-52
YOR360C	2.04943722567221	6.98436370995638	4.86748443239472e-53	1.02938281885088e-50
YLR293C	2.05378417827257	7.2940092006941	5.15726429268257e-52	1.05171353968634e-49
YLR448W	2.50026756188029	4.67881294028311	6.54653993203836e-52	1.28899113834273e-49
YJL217W	1.88211945896535	7.30018660328693	8.88142175117177e-52	1.69043060663969e-49
YBL069W	1.96285931404558	6.2896082738656	1.20921675909223e-51	2.22729925626343e-49
YLR060W	2.19179095068542	5.40494658275794	5.34913217648604e-51	9.54485772741727e-49
YNL064C	1.87674498838784	7.79273965999833	4.47446156667414e-50	7.74217440779071e-48
YDR524W-C	1.86785668582635	8.56078758770578	2.42209411243275e-49	4.0676933476444e-47
YDL048C	2.09341742690972	8.13593084724953	4.22009683989681e-49	6.88478655880308e-47
YPL106C	1.95122067370644	9.88333796155728	8.84563511644241e-49	1.40301601430239e-46
YDR033W	1.99636846297441	7.22685636499968	1.66780777215025e-48	2.57383307539944e-46
YOR136W	1.90075189269877	8.99879526518777	3.12156663741321e-48	4.69056460516564e-46
YML130C	1.79355567554421	7.27273558499361	8.04857215186683e-48	1.17839351249127e-45
YDL014W	2.23321775775171	5.99316199440154	2.33870368873718e-47	3.33849951567233e-45
YMR093W	2.94242287893684	3.23449536677383	3.97818567091388e-47	5.54035126363859e-45
YNL124W	2.07915920121135	6.28570422727554	5.04569054359006e-47	6.85973642949982e-45
YDR343C	2.39792957637023	8.62324775595439	5.87784811745235e-46	7.80523552340766e-44
YGL253W	3.42219098775357	7.01233564031265	4.92499397015077e-45	6.39129899308202e-43
YNL162W	2.21220964065564	5.7801293441445	5.11753562247517e-45	6.49358408985182e-43
YGR201C	-2.12221659160225	8.93966322854003	5.34537912072259e-45	6.63524234333173e-43
YDR044W	2.11841499490325	5.76371006826676	1.49728119431973e-44	1.81903736586504e-42
YCL050C	1.90629337061716	5.46973312820701	3.34510017342716e-43	3.97927541463939e-41
YOR375C	1.95731713563387	9.38865421563317	1.13715569740876e-42	1.32513449636817e-40
YMR307W	1.76002087220282	7.68464497880554	7.72662650793522e-42	8.82380747206202e-40
YPL250C	1.87190622405014	6.51694807338169	8.41577821247881e-42	9.4223712927949e-40
