logFC	logCPM	PValue	FDR
YPL187W	4.54005451683849	6.47404909982173	9.68086258319581e-105	5.50357037854682e-101
YBR296C	-3.02992580305379	9.55508260988227	2.17747280188509e-102	6.18946643935836e-99
YGL158W	3.35827078911465	4.95853937455209	1.8836625693995e-80	3.56954056901205e-77
YNL145W	2.2765226468539	7.29852566644629	2.52204341793313e-77	3.58445420773746e-74
YGL032C	2.04380391641056	6.24888181427897	2.42687375875482e-63	2.75935546370423e-60
YNR050C	-2.34063969445367	6.14243480547449	4.63738446924465e-55	4.39392178460931e-52
YDR508C	2.29379669864382	6.40184514911105	4.0675105111483e-45	3.30339960798258e-42
YJL116C	1.99312503365916	11.3047444195497	7.57029964532533e-45	5.37964418545931e-42
YFL026W	1.5097896810833	7.3548556764734	2.92546901808705e-44	1.84792126309165e-41
YDR461W	1.55865527662335	6.76045924134244	4.1663013604295e-43	2.36854232340417e-40
YLR136C	-2.26913031500356	8.04355446874162	1.60001333132103e-42	8.26915980778188e-40
YDR019C	-2.43055057735964	7.18549973408226	5.07420637704884e-42	2.40390527112689e-39
YIL094C	-1.81366395492989	6.25396066463462	1.38931530030609e-41	6.07558267864623e-39
YMR189W	-1.66900268103879	6.48109784558516	1.0963872121886e-39	4.45211521520869e-37
YGL162W	2.31948758406455	7.38052078957708	3.64756426032744e-39	1.3824268546641e-36
YOR388C	2.14899781894313	4.60583794172724	8.08504964020251e-37	2.87271920028445e-34
YIL015W	1.65784602240197	7.45492654343123	1.83444910817142e-35	6.13461363526736e-33
YBR115C	-1.29618090460376	6.9545033163145	2.44819978111071e-34	7.73223097534133e-32
YMR085W	-1.51576585725672	8.247262741026	6.66551788768277e-34	1.99439311534087e-31
YOR383C	-1.49436183198563	8.85269716364413	2.40832352863276e-32	6.84565963013861e-30
YMR084W	-1.30804820563397	6.94288254487426	8.21283290243133e-31	2.22333119287248e-28
YKL110C	1.56791119724531	5.4027566637928	1.01359899026419e-30	2.61923193620543e-28
YDR536W	1.33954101570721	8.12641645091256	6.04396613026791e-28	1.49391075872057e-25
YEL065W	-1.69662905722124	9.00934823997269	7.98817900955435e-27	1.89219990288819e-24
YGR060W	-1.64764580309978	7.44897516290916	1.04295515238049e-26	2.37168001651322e-24
YGR234W	2.04476740690455	8.09080812453369	1.45187889150744e-26	3.17458903777685e-24
YMR009W	-1.15941567226197	7.06307620921205	5.3788265902384e-26	1.13254182094464e-23
YMR238W	-1.12050557823889	7.44420751484101	7.85938649599616e-26	1.59573615106208e-23
YKL209C	1.12683413220491	6.86565750586016	2.23716022523238e-25	4.38560547601588e-23
YLR307C-A	-2.00170972113052	9.34897067493579	1.59849022420949e-24	3.02913897487698e-22
YNR044W	1.7510250708252	7.28620017571476	3.92115371677094e-24	7.19088996123962e-22
YOR178C	1.18040552198176	9.01250094661846	2.47006634710401e-23	4.38822724477697e-21
YLL009C	1.16594693203922	6.35055383680761	7.89215713009868e-23	1.359603432867e-20
YOR212W	1.06746047574282	6.34659580020144	1.35835866552615e-22	2.27125559221063e-20
YMR120C	-1.88982422816223	6.88560798355249	1.5226050631715e-22	2.47314565260857e-20
YPR027C	1.19828839204875	6.19713212552407	2.60595734240523e-22	4.1152409698816e-20
