logFC	logCPM	PValue	FDR
YDR345C	7.68501103490665	10.7303430753982	0	0
YHR092C	6.68009632636703	7.72241388750736	2.03578234624356e-226	5.80401546914039e-223
YDR342C	5.82118883767049	9.25888516360579	1.00748992533046e-155	1.91490251807809e-152
YHR094C	4.42746068203427	6.32254544087865	3.67576528283465e-152	5.2398034106808e-149
YKR075C	3.89426595077377	7.92803523397339	3.09410677747679e-148	3.52851936903453e-145
YFL054C	4.40162624231226	8.16411455339396	6.19849656216381e-129	5.89063789957634e-126
YOR047C	4.14760521709862	5.33073895332042	5.46120152935429e-84	4.4485387314826e-81
YGL035C	2.80125009912578	7.43089257768357	5.42482899908994e-75	3.86654686910135e-72
YOR062C	2.62220003473487	7.26219628198145	6.61322526064806e-75	4.18984560402392e-72
YMR011W	3.76123546047701	7.93744170478955	7.48988281950861e-72	4.27073118368381e-69
YDR343C	2.84849490848435	8.93680895668101	5.97988885506874e-64	3.09975693196381e-61
YDR277C	2.37252910521327	8.89850779168937	5.03222162898049e-56	2.39114397737056e-53
YJL133C-A	2.12110515317891	9.23251997087328	4.03436861299384e-53	1.76953614086853e-50
YPL026C	2.03507421047468	8.47057507939991	7.71332469970657e-48	3.14152695983763e-45
YIL162W	2.05100271178971	6.46118200956827	6.37184930209261e-46	2.42215231470214e-43
YPL058C	2.30374175849953	7.1274980714748	5.44320798398996e-43	1.93982324529442e-40
YER062C	2.21453761323881	5.54260992628739	4.87224999928424e-42	1.63420997034816e-39
YMR303C	2.98492652409308	10.6417519377728	1.6480352326205e-34	5.22060938689006e-32
YJR094C	-1.86565608590669	7.61578546414522	7.96247120074079e-31	2.38957951508547e-28
YJL217W	1.60272358986182	7.06334505379878	2.00650226966988e-29	5.72053797082882e-27
YPR035W	1.5291404253594	8.64272450181483	1.68990508431743e-28	4.58849466227523e-26
YER028C	1.77939412741259	5.3596893227116	7.06528417628358e-28	1.83119319878041e-25
YKL029C	1.59978437189626	5.67111024510227	1.85033441796132e-27	4.58722037009366e-25
YNL065W	1.96952858976614	4.29082950022588	5.56722602819601e-26	1.3226801171989e-23
YBR020W	1.3076317828462	7.31708693579192	2.27249669294758e-25	5.18311045727483e-23
YGL205W	2.51878631629462	9.34922499871766	2.45435668799907e-25	5.38259301345027e-23
YCL048W-A	2.33494531028131	4.23786882307991	4.85105117711074e-25	1.02447014118094e-22
YBR191W	1.72263053496214	5.39670152363357	1.01167604276436e-22	2.06020599851513e-20
YOR180C	1.89593324975249	5.71345510706216	8.12436957533095e-22	1.59741914891507e-19
YML063W	1.65111627064513	6.74358446364136	1.01708585607461e-21	1.93314118377915e-19
YIL015W	-1.81270769347429	5.88162400131625	2.15866007833044e-21	3.97054186020651e-19
YKL216W	-2.19869131415912	7.79288653235075	6.03425137497155e-21	1.07522816687774e-18
YOL127W	1.75712397995504	6.68245908312942	7.02180468777155e-21	1.21328273726283e-18
YOL109W	1.30268864476678	9.32036405960855	1.42414229823589e-20	2.38837040721795e-18
YPR010C	1.49650768340393	4.85246790830197	1.07421132211006e-19	1.7500437024776e-17
YOL136C	1.97898385221243	3.63797024879977	1.80554894116051e-19	2.85978890624923e-17
YHR208W	1.54751683620422	6.2062472802848	2.45941212898147e-19	3.79015350255468e-17
YPL024W	1.31192864354795	7.70781200316353	2.73396320046943e-19	4.10238372870439e-17
YJR145C	1.45313767189934	5.54143129385444	4.1789242936534e-19	6.10980162113121e-17
YOL126C	-1.82518245191006	10.4452561524272	1.40113266492615e-18	1.99731461385223e-16
YHL033C	1.76540603883182	5.35103558595408	1.54772218548953e-18	2.15246631747837e-16
YPR006C	1.25196224051769	8.99950748691824	1.86640986772046e-18	2.53387358708144e-16
YDR133C	-1.30380171438334	8.59244097356371	5.50758611539203e-18	7.3033153558059e-16
YDR218C	1.96270888287091	3.89879071745187	6.71070163534892e-18	8.69645925562716e-16
YOR096W	1.49663895611074	6.58738318326798	1.14594609835539e-17	1.45204103396055e-15
YLR224W	1.20423287454494	6.10986757439648	4.70401342192444e-17	5.83093141995938e-15
YOL120C	1.5487716969295	6.17096539382188	6.50187065050547e-17	7.88801413812387e-15
YML026C	1.32887657211264	5.26176612426074	1.39450631337684e-16	1.65655729143224e-14
YBR045C	1.20800587834896	6.68045023519275	1.55899529037412e-16	1.78131431666243e-14
YLR048W	1.55993119494013	6.29836115567366	1.56200834502142e-16	1.78131431666243e-14
YHL021C	-1.35953547555654	9.45543693741211	1.63839307716402e-16	1.83178771097828e-14
YLR081W	1.39869378264655	7.59364549093562	1.74016717685856e-16	1.90816023893222e-14
YPL156C	-1.16415930159776	8.3343342819626	1.92675967354743e-16	2.0729025770882e-14
YBR067C	1.82671151844539	8.01671202397671	2.03868804460722e-16	2.15270356117599e-14
YML024W	1.20879607080154	6.926240688668	2.40937052292887e-16	2.49786013122553e-14
YLR108C	1.39798590910226	5.33792378742816	3.55535230151492e-16	3.62011050414966e-14
YNL278W	1.05916871798248	7.47953426829997	8.34405416936351e-16	8.34698190766855e-14
YNL234W	2.02041998870486	5.91822453645236	1.19623074641803e-15	1.17601857173717e-13
YDR418W	1.44717426255378	4.41190647541901	1.49484815899467e-15	1.44468206823519e-13
YBL069W	-1.34133227274677	4.75361568658331	1.96365649470666e-15	1.86612822213623e-13
YJR115W	-1.33661347715044	6.21125614767693	2.79209001931673e-15	2.6099175885482e-13
YOR234C	1.52479031983008	4.84401889015268	3.16059916634715e-15	2.9067316849212e-13
YFR052C-A	1.18417227688403	6.32497831556581	3.38186607474808e-15	3.06085719971643e-13
YNL145W	-1.29809344314428	5.33137890324287	4.16748317098874e-15	3.71296703765278e-13
YGL253W	1.76637982999629	5.65988413825243	5.49322440609857e-15	4.81882547131908e-13
YLR109W	1.2382448773322	9.89532218031703	6.04489893932106e-15	5.22242632606192e-13
YLR448W	1.52941227800587	3.96858764863187	7.97056195891836e-15	6.7833051178735e-13
YFR022W	-1.32644626102319	8.69208427760168	1.00400774661353e-14	8.41890025175052e-13
YGL209W	1.03876207768952	7.22362951724688	1.0437883671719e-14	8.62562502842636e-13
YNL009W	1.49210968466168	7.79407926906762	1.10147019002431e-14	8.97226146216942e-13
YER074W	1.4905742040161	5.87220764074235	1.16262831836656e-14	9.33705164975508e-13
YGL009C	1.10848073835744	8.58577032961472	1.19664983936705e-14	9.47680192232073e-13
YBR018C	1.10187226085501	6.12227533390014	1.36170911150797e-14	1.06362539093404e-12
YER037W	1.0536341108685	6.8343171532091	1.62914791504008e-14	1.25532451507548e-12
YMR242C	1.16864475840358	6.06249582807223	2.52920612837612e-14	1.92287111253342e-12
YMR183C	1.1869366050261	4.79941204448873	3.87963121863906e-14	2.91074436956315e-12
YDL075W	1.48039200831775	6.77880849659328	4.81368206747183e-14	3.56462534399018e-12
YGR066C	-1.15275894430763	5.62945625309192	4.94407471556444e-14	3.61424538822416e-12
YJL216C	2.21424739812607	3.36510062454669	5.37546337937586e-14	3.87985977078496e-12
YHR099W	1.05062560342275	7.86216095728284	6.09972761632486e-14	4.34758085853555e-12
YBR181C	1.35398650898901	4.81514054908947	6.60956181829882e-14	4.65280512196789e-12
YML054C	1.1454444956077	8.02657224060522	6.86646087071893e-14	4.77470242498041e-12
YOL039W	1.2796180746086	5.14843799269108	6.95834614931562e-14	4.78029996908405e-12
YIL133C	1.42083028131778	5.87761407484283	1.06321131588421e-13	7.21717967044259e-12
YOR374W	1.19485704548769	11.5496069934291	1.45214484998627e-13	9.7413293348491e-12
YLL045C	1.12277968945467	5.06638245493567	2.04730182340755e-13	1.35740872058952e-11
YDR012W	1.39222006753046	6.30260445639912	2.49795164325502e-13	1.63716324940691e-11
YKL120W	1.33919440156075	4.43987079435418	2.98985056365012e-13	1.93728726294693e-11
YFL053W	1.3886697178357	5.12953328423818	3.12300037411444e-13	2.00082563294388e-11
YLR340W	1.33071485781503	6.93109833309898	3.22882149554997e-13	2.02799157966865e-11
YDR447C	1.49478640241851	6.37570407513631	3.23653514117586e-13	2.02799157966865e-11
YJL177W	1.31251945679551	5.60734522519964	3.33454445803157e-13	2.04738560136354e-11
YNL202W	1.30842333919634	7.24777447644161	3.33929956027376e-13	2.04738560136354e-11
YLR441C	1.29418035337931	7.29034224907715	3.4898795581528e-13	2.11694608942418e-11
YGR101W	-1.02358399370766	6.64280235635693	3.55205506299192e-13	2.13198083886105e-11
YOR167C	1.28292558094469	5.70895611050515	3.78098849380333e-13	2.22734716977602e-11
YMR142C	1.27271881139325	6.66545105586656	3.78906831757758e-13	2.22734716977602e-11
YMR108W	0.960453598159793	8.27581749872726	4.90195365397659e-13	2.85213670765046e-11
YHL015W	1.36889385495071	6.81710743681322	5.75599254814585e-13	3.28272167397232e-11
YMR105C	-1.04727165040501	9.69273174192595	5.75714078213314e-13	3.28272167397232e-11
YKR052C	-1.241715477843	6.51014560578065	7.33676098464768e-13	4.14200110242189e-11
YOR369C	1.35421916366001	7.5955543492017	8.57919891552148e-13	4.79594041336309e-11
YPR047W	-1.69634194535485	4.57786318707898	8.94485477644152e-13	4.95180212963782e-11
YOR312C	1.20774768769384	6.72306721905094	9.11823256376489e-13	4.99924635371033e-11
YOL048C	-1.01440541685829	7.52988212008814	1.01815736383982e-12	5.52907932249014e-11
YBR019C	0.969880697556704	7.87777404902406	1.02826137173236e-12	5.53127013360181e-11
YBR054W	1.26541541011091	7.78968646569266	1.07378639465013e-12	5.72217759092992e-11
YOL040C	1.11145917837727	6.42676864853585	1.12091451551875e-12	5.91801348841473e-11
YER170W	-1.44842590181513	5.03480249872129	1.24337564722975e-12	6.50433756009546e-11
YDR025W	1.40048110126256	5.6183486756632	1.2670526442884e-12	6.56794016157495e-11
YGR214W	1.33438012423493	7.02567637558145	1.30615693948637e-12	6.70964582788406e-11
YDL082W	1.26438294481286	4.65294823624182	1.51768962092178e-12	7.72666626651428e-11
YLR284C	1.33132662528147	7.33901777957469	1.5754604207517e-12	7.94980116736829e-11
YGR194C	-1.13489040171336	6.43161006536893	1.64491508937591e-12	8.22746126282581e-11
YHL028W	-1.32374159641457	4.36389079447958	1.74552122303998e-12	8.65474957719473e-11
YDR276C	1.0730515850645	8.64286831578419	1.85008975013347e-12	9.0941480648802e-11
YKR009C	1.15346073005163	10.1139900660923	1.88255981070246e-12	9.17466328258585e-11
YLR325C	1.53389467728535	6.76093919551006	2.40862263741453e-12	1.1638954473337e-10
YJR030C	-1.11439210694939	5.3327861852122	2.47357274209916e-12	1.18523628365121e-10
YBL027W	1.07569840227321	7.23661199001485	3.67016580185468e-12	1.74394045018128e-10
YNL069C	1.30228570610388	5.70841666585268	3.70932464976896e-12	1.74415976222232e-10
YMR143W	1.41022177830762	6.49693220320893	3.73180447195937e-12	1.74415976222232e-10
YJL079C	-1.07793348651911	7.94341478158606	4.04200860004694e-12	1.85909467297199e-10
YCR023C	-0.94835224236475	7.44404137617542	4.06445882063781e-12	1.85909467297199e-10
YNL162W	1.10601713794993	5.00285953315471	4.07553199090667e-12	1.85909467297199e-10
YOR288C	-1.67887579045504	4.59900880376039	4.41981188539803e-12	2.00014026750314e-10
YGL032C	-1.20904898582003	4.504144807412	5.07163645178702e-12	2.2770449644165e-10
YCL055W	-1.17608255921719	4.87742729494293	5.99468355042286e-12	2.67044418785243e-10
YDR471W	1.49918048881967	5.32091596397114	6.73785813491469e-12	2.97823775854911e-10
YGL189C	1.09483711772586	7.30072545585613	7.92205437276296e-12	3.47473492565342e-10
YNL066W	1.00142344086723	5.20527197215098	8.99175887538595e-12	3.91381748911837e-10
YER117W	1.34337055289532	6.61331820253015	9.75419541876047e-12	4.21351683922517e-10
