logFC	logCPM	PValue	FDR
YDR345C	8.25979896772919	12.6064900189178	7.89598189160657e-136	4.44464820678534e-132
YKR075C	4.68815089927935	10.036342856637	1.21452985242021e-110	3.41829426963668e-107
YOR047C	4.49831481420058	6.57814646871588	5.33630525066616e-109	1.00126874186666e-105
YDR342C	4.76278829428436	10.9219258870722	4.15265112649379e-106	5.84381829775839e-103
YBR033W	-4.97458446238107	5.71767856060319	1.27257998300561e-105	1.43267054486772e-102
YHR092C	7.41896134900392	10.0349514194837	5.25482736319067e-91	4.92990387123338e-88
YMR011W	5.38414221480815	10.3864976300444	9.43583539132184e-91	7.58775963110723e-88
YHR094C	5.63546215272142	7.80778275814014	1.19483027763155e-88	8.40712454098496e-86
YFL053W	4.01457684584887	7.00725305018267	3.69373114766661e-76	2.31022362557948e-73
YJL216C	4.43253436810365	5.77911874643135	7.39703937362295e-75	4.16379346341236e-72
YFL054C	4.05854643236339	8.72840706209497	1.36711872891453e-72	6.99591938641807e-70
YNL234W	3.26029428249561	7.51649978243971	3.49182130374599e-72	1.63795517656551e-69
YKL038W	-5.35105184230919	7.50479543547464	5.13151302800069e-71	2.2219451411243e-68
YKL096W	-3.05027603816518	5.46321468360155	4.28688233680705e-64	1.72363290527763e-61
YDL059C	-3.03781796317271	6.70622838762769	1.20618166867907e-59	4.52639774199632e-57
YOR062C	2.6887401831288	7.81451150266707	9.25091729149575e-53	3.25458833961435e-50
YDR277C	2.57357917630987	9.82432034534903	4.20506676522787e-52	1.39237181302751e-49
YLL057C	-2.63708231246474	6.90725267371061	1.18516935874539e-42	3.70628795576544e-40
YNR067C	-2.2409311477979	5.51229168994749	1.48607765371403e-40	4.40270058566119e-38
YGR087C	-4.69580359115045	8.30160591828771	4.19907007519632e-40	1.181828272664e-37
YIL162W	2.02665936122894	7.28557745931293	1.20439287871029e-38	3.22834643536201e-36
YFL055W	-1.99716486860047	7.25270727279421	4.11208347554115e-36	1.05213263108278e-33
YLL061W	-1.99889369392632	7.81026460024954	4.98609913239819e-34	1.22029356592476e-31
YMR244W	3.11740705712646	7.46756450733577	7.58795665782406e-33	1.77969200112048e-30
YDR253C	-2.26182782062275	5.86850731257247	2.13485894653458e-32	4.80684840401725e-30
YGL209W	2.18540941819467	8.11714694155537	3.9572394915129e-32	8.56742349912543e-30
YGL157W	3.55905771361415	4.61777965814298	2.89273432110827e-31	6.0308153679698e-29
YGR180C	-2.03794038439338	7.88624505776296	4.61501505335808e-31	9.27782847691166e-29
YJR109C	1.93520100984371	8.64171176588387	6.22059331346865e-31	1.20743861246604e-28
YJR010W	-2.1475833109177	5.05097159900031	8.2774879717744e-30	1.5531326597706e-27
YHR139C	-3.76627430548169	10.3283907995475	6.92594812762631e-27	1.25761812936802e-24
YPL171C	-1.71456631110755	7.02285904982638	1.20417401366091e-26	2.1182173509054e-24
YER028C	2.57715302152256	6.8474547475327	2.00325485849255e-26	3.41706715104683e-24
YNL065W	1.79054424958441	6.22887483782266	2.49064189233084e-26	4.12347741527361e-24
YKL050C	-2.37586599875539	8.20560647050486	4.59427253821949e-26	7.38890289075358e-24
YOL136C	3.35366024732358	6.24381083843694	8.13383140270488e-26	1.27181491571738e-23
YGL253W	2.42241178054416	7.83376027205077	1.87935374817902e-25	2.85915736445938e-23
YMR009W	-1.88048687040068	6.44564963782959	2.87151110088853e-25	4.25361473339514e-23
YER062C	2.51963255926245	7.44381815382045	3.28555284450355e-25	4.64419693890201e-23
YGL035C	1.83785385021444	8.33475250866377	3.30019324135869e-25	4.64419693890201e-23
YHR112C	-1.47586590557801	6.95080685048214	4.39830987182209e-25	6.03855762646013e-23
YLL062C	-1.72886660417338	5.43856155323318	1.1610937863302e-24	1.55614212458398e-22
YIL074C	-1.60321185340775	6.08911138941746	9.86677418968257e-24	1.29162957938891e-21
YLR092W	-1.62032336905198	7.58432239604343	1.0218014354384e-23	1.30720915456427e-21
YDR343C	1.80208903237468	10.4995897244196	1.77942507117279e-23	2.22586305014036e-21
YPR192W	-1.97487516471291	6.80605447921961	3.78511558615649e-23	4.55482374924363e-21
YPL153C	-2.31832279556247	4.24439501841047	3.80310385884616e-23	4.55482374924363e-21
YPL026C	1.70957326278158	9.4940441298717	4.47831892345859e-23	5.25176192086425e-21
YJR073C	-1.93075178033276	7.79458173008552	6.86946808312787e-23	7.89147670202587e-21
YLR004C	1.47968084731105	6.59391162563068	9.05414265297754e-23	1.01931537987221e-20
YDL039C	3.21074888011482	6.60242481206331	9.74080791850754e-23	1.07511779947606e-20
YBR072W	-2.07624378456765	11.8692048838576	1.29366824794004e-22	1.40039587839509e-20
YJL045W	-2.314446748488	6.74679217743695	2.11855976393528e-22	2.25007036060221e-20
YIL121W	2.10721851695114	7.91581614971743	2.32918150327843e-22	2.42795605221376e-20
YGL255W	1.69510676933439	11.6962549220199	2.73624174473005e-22	2.80041905110644e-20
YMR323W	-3.4063701239298	4.51635560491979	2.82365245702471e-22	2.83827494296288e-20
YGL009C	3.03820393119763	11.09967250371	7.49857552504414e-22	7.40517221587254e-20
YOR032C	-1.57603676580891	7.48528722435538	2.19061741267678e-21	2.12603196826855e-19
YGR154C	-2.14732407508485	5.91286452412364	5.21601795209462e-21	4.976434754634e-19
