logFC	logCPM	PValue	FDR
YDL039C	4.02969803014622	7.110103859454	8.73733706565061e-140	4.95494384993046e-136
YIL162W	2.72009666762706	7.67999234796009	1.75006070718976e-85	4.96229713523657e-82
YNR067C	2.8648138281049	8.10541397973873	1.32310492641469e-84	2.50110934589923e-81
YDL037C	3.43718211342708	5.1363694428356	1.72337523293275e-81	2.4433152364904e-78
YPR157W	3.38090956025308	6.34064845175659	3.94093574105611e-78	4.46980931750584e-75
YJL163C	-2.92868939643458	7.8266429039771	4.8629305016601e-76	4.59627981248574e-73
YLR168C	2.47128698025369	7.97050920758776	7.79108046822144e-69	6.31188819075483e-66
YBR117C	-2.76453274863922	8.60893126280144	3.1192091094128e-64	2.211129357435e-61
YPL036W	-3.94741099475476	7.69709598648836	3.95700391202403e-63	2.49335213167648e-60
YOL136C	3.00425811470416	5.77202046287151	5.87550882795781e-61	3.33200105633487e-58
YDL223C	-3.67411890297169	11.9061364613761	6.58727091556811e-60	3.39603757838061e-57
YDL022W	-2.71929106151272	8.25632046548405	2.59899702029414e-58	1.22824267517401e-55
YPL119C	-2.34321351725612	8.43600222321562	6.5525208603357e-55	2.8584112153049e-52
YDL204W	-3.35918206021958	9.33587554918547	3.59347441379468e-53	1.45561381433069e-50
YBR296C	-2.90262798082815	9.64381498033841	5.0754296803013e-53	1.91885078113258e-50
YKL050C	-3.48628453390772	8.30848333953499	7.13442581958187e-53	2.52870805142805e-50
YGR142W	2.36399777881728	10.1001211843978	2.14866273436838e-52	7.16768609800181e-50
YMR085W	-2.69566640289351	8.06529765989719	4.00599953574855e-52	1.26211240929056e-49
YHR139C	-5.06061034477496	10.5358574735914	7.77495866447665e-52	2.3206205571709e-49
YKL107W	-2.86652086007013	7.1966337849507	5.80580481234536e-50	1.64623595454053e-47
YER062C	2.11659592036562	6.96235118518126	5.54846342285563e-49	1.49834933671497e-46
YLR164W	-4.35162786953492	6.70782511068284	7.68468866299076e-49	1.98090315490094e-46
YGL253W	1.98603705281343	7.33383328513846	3.72036121030823e-48	8.84534089841122e-46
YER130C	2.26914356083779	9.07018320846986	3.74339942799981e-48	8.84534089841122e-46
YDR033W	2.23380559940848	7.42677633842402	1.57323358760291e-47	3.56872307011845e-45
YAL012W	2.70026889176954	6.80034467983563	3.14206597207138e-47	6.85332927985262e-45
YNL124W	1.97386747933356	6.47042026430581	7.68093103964163e-47	1.61327999725214e-44
YDL085W	-2.82702772576719	8.75997675759852	1.90832611394408e-46	3.86504192577747e-44
YEL026W	1.9609454302821	6.08209202108312	7.4448825209989e-46	1.45585961298568e-43
YER056C	2.35195490579233	8.53521891232849	8.58832941719689e-46	1.62348053749745e-43
YGL008C	2.65784810690314	10.6540958232133	9.59577762062377e-46	1.75540822214701e-43
YOR338W	2.16626475212455	9.37539983899572	1.22147633315212e-45	2.16468508915803e-43
YPR074C	2.2522933098812	7.36951856533329	2.67005959174889e-42	4.58845695297212e-40
YMR084W	-3.25584149585453	6.63623726426355	1.17014568159204e-41	1.9517341647966e-39
YLR293C	1.78985467537559	7.70732993835718	5.83607378253489e-40	9.45039180542589e-38
YIL101C	-2.02107153702906	8.83425622766293	5.99919070702402e-40	9.45039180542589e-38
YJR010W	1.88469258515737	6.88368060194626	2.11387519703134e-39	3.23994222766615e-37
YDR037W	1.92208820173515	7.70036003008516	4.53117398308197e-39	6.7621809626468e-37
YPL058C	2.04352809534519	8.11421766967265	7.46376677751276e-39	1.08530824090448e-36
YGR052W	-2.491536743246	9.04088368388743	3.74893468188132e-38	5.31505214523725e-36
YOL154W	2.06329649616374	6.37813705226289	4.25554804203419e-38	5.88614949911607e-36
YNL115C	-2.39365022470946	8.73962778416485	1.05878607703593e-37	1.42961329592161e-35
YNR073C	2.38978403632572	4.67895102341543	5.08772305816476e-37	6.70987847973311e-35
YPR009W	1.98130183943707	5.69586164651737	5.29142978961976e-37	6.8199314402122e-35
YML128C	-2.25668694120006	10.7768567918528	1.05988620770225e-36	1.33569215197321e-34
YPR192W	-2.19146219175481	6.94483446621106	4.81213149619602e-36	5.93252124237558e-34
YMR053C	-1.75763733834074	6.59892759589945	5.48989555338302e-36	6.62408461345428e-34
YGR256W	-2.44907867743421	9.15726881216838	5.72968740897854e-36	6.76938693673278e-34
YBL069W	2.45151304354449	6.22305678887623	4.14912329646774e-35	4.80197514576909e-33
YGR201C	-2.08880615745113	8.97226030759825	8.07316404810357e-35	9.15658266335907e-33
YGL156W	-2.001594359663	9.89388096726714	1.33325102339845e-34	1.48252285366522e-32
YNL065W	1.92960302451221	6.21358370890967	1.89409390753455e-34	2.06565510569778e-32
YBR082C	1.72303430160804	8.00696893889811	3.49085363463056e-34	3.7352133890547e-32
YMR118C	-3.0148728781718	7.89613544434732	3.85614276245027e-34	4.04966400108434e-32
YDR343C	1.83889142591458	10.3818872497997	1.04052850225615e-33	1.07287947932629e-31
YMR175W-A	-3.1386237873953	9.78174529594822	2.01355278762587e-33	2.03908176046898e-31
YKL110C	1.64603805169946	6.26710256257174	4.28063003601123e-33	4.25885139196837e-31
YPR145W	1.87121429838128	7.19678106709184	7.02955319438735e-33	6.87320623540873e-31
YLR249W	1.88527016709345	9.79359671487797	1.11835065792113e-32	1.07494348831707e-30
YIL017C	-1.67915156579965	7.86691438663419	1.28517062755626e-32	1.21470043814526e-30
YLR023C	1.79343645950736	9.07188335211062	1.69020859040507e-32	1.57133982232577e-30
YMR250W	-2.06531747412681	9.55116376826762	2.7654645709043e-32	2.52950799703199e-30
YHR179W	1.6614160342391	9.04879780246198	2.98610244270145e-32	2.68690275673453e-30
YER124C	1.98903099941781	6.33802123592848	3.03230076584394e-32	2.68690275673453e-30
YGL162W	1.82427719679193	6.02336485309191	3.71866177817443e-32	3.24438937600419e-30
YOR136W	2.14993514764048	9.51187027795704	7.33121429914334e-32	6.29929034703665e-30
YBR007C	2.10158954454847	5.01917673667909	8.15649625217863e-32	6.90380451434403e-30
YFL007W	-1.87244886738518	8.78134332382626	8.63327814218595e-32	7.19990005063772e-30
YGR088W	-2.73498776073425	10.3211711907398	1.20064042188773e-31	9.86787222105117e-30
YJR094C	-2.40732889389757	7.3232087869768	1.23819509904549e-31	1.003114915241e-29
YBR241C	-1.7574259022624	8.74693816479272	2.59867330449484e-31	2.07564455067468e-29
YDR044W	1.58298479746371	6.29817058238231	5.51770694051171e-31	4.34596056383916e-29
YPL223C	-4.33040159802505	12.9101845279166	1.13583769264907e-30	8.82374733563404e-29
YJL045W	-2.49123338395334	6.9086927985103	1.48274921220996e-30	1.13630686249226e-28
YNL264C	1.74333334542518	5.24493632021652	2.66824288983967e-30	2.01754739043744e-28
YCL026C-B	2.18296375189733	5.61104721625472	2.75997201310116e-30	2.05944753767062e-28
YNL327W	2.1230624209189	6.53300414550595	4.84666725878266e-30	3.56953896422811e-28
YPL119C-A	-1.92764574500012	6.86025086351435	5.9164435552373e-30	4.30155787201933e-28
YLL024C	1.84654020774683	7.30285899509662	7.05232271256944e-30	5.06249646873181e-28
YCL050C	1.83810598432818	6.29811698729329	3.46999414777185e-29	2.45979210150177e-27
YGR159C	1.99263905167371	6.56482403229317	3.74445059324849e-29	2.62157769312496e-27
YDR070C	-2.6693695944955	8.92875467694449	4.63397711681121e-29	3.20479075968736e-27
YLR226W	1.57346425916244	5.83307337711021	4.87571085089634e-29	3.33134412475098e-27
YOR306C	1.69643651972567	7.0326747483207	5.37114286893202e-29	3.62616085829923e-27
YJL164C	-1.8263009176093	7.37403326567003	1.04938831004219e-28	7.00127188970504e-27
YNL037C	2.17804073980026	9.90392882755337	1.23002559661641e-28	8.11101762606009e-27
YOR134W	2.32962369629197	6.39891941725272	1.3139812039844e-28	8.56504299746613e-27
YER043C	1.77466069039292	6.74869046614769	1.88001346371192e-28	1.21154049462617e-26
YPL123C	-1.55998598743412	6.39053489860328	2.76258371048427e-28	1.76029350810745e-26
YOL124C	2.10471418494486	4.63506333700118	3.49154631214276e-28	2.20006212624018e-26
YHR092C	2.88496735707322	5.56069519423617	4.49435597998323e-28	2.80082338049284e-26
YJL185C	-1.67077583432879	7.21776165635125	6.19446233629143e-28	3.80473820493427e-26
YBR105C	1.70030665192503	8.49808299563058	6.23947545510293e-28	3.80473820493427e-26
YKL001C	1.68173525409296	7.26200977934331	1.15550613849945e-27	6.90398235092925e-26
YBR280C	-1.71902209410135	8.544204766144	1.15654791630802e-27	6.90398235092925e-26
YMR307W	1.9099916045349	7.65727190777954	1.31516062061131e-27	7.76903737446537e-26
YBR101C	1.50900650273971	9.20940874221625	1.60002745872663e-27	9.35438733859665e-26
YHR171W	-1.54312740873062	6.10242574583213	2.71895312391218e-27	1.57338603731694e-25
YOR382W	1.82304607318943	9.13613516689613	5.26173901100219e-27	3.01407292236297e-25
YPR167C	1.56055925687174	6.65325455947666	5.35232294316533e-27	3.03530234106906e-25
YBR225W	-1.51557865596042	7.41582382121501	6.47064610057841e-27	3.63317168677031e-25
YPL239W	1.37651625015825	6.39084216859859	2.54913015559069e-26	1.41726638356419e-24
YPL222W	-1.63768323061737	9.46843256071525	3.05539796914701e-26	1.68224872650803e-24
YPR158W	2.46132287498775	5.29631085418869	1.01942008120092e-25	5.55878007739466e-24
YGR124W	1.46651745841262	7.81774755209834	1.05837500222127e-25	5.71623298818746e-24
YOR328W	-1.65541423028046	9.74208473474716	1.38047856582311e-25	7.38556032715363e-24
YBR018C	2.30773609508731	8.28423162024839	1.53871591161887e-25	8.10563270398674e-24
YML130C	1.6880646714975	8.20383736906535	1.54478459342299e-25	8.10563270398674e-24
YBR214W	-1.563604181272	8.91783156154711	1.55795091647779e-25	8.10563270398674e-24
YBR158W	1.49998499295278	5.54677277080131	3.54222886869057e-25	1.82617999221311e-23
YOL086C	-1.81554325782197	10.3473224540516	4.77819788255037e-25	2.44118560287776e-23
YGR198W	1.72782736047392	6.72240422448353	5.02566019719745e-25	2.54468919449167e-23
YPL250C	1.8878368978835	7.74196599674883	5.48322536701649e-25	2.75180274834961e-23
YML006C	1.3803275441314	7.18862953035178	6.51197901773974e-25	3.23942394821071e-23
YIR015W	-1.9383331376399	5.37439962851612	7.08483038986784e-25	3.49374549051657e-23
YDR470C	-1.73522085578993	5.71001453828154	1.32624114773314e-24	6.48371857654712e-23
YGL179C	2.04601696448603	6.10733684596707	1.35035335853637e-24	6.54517427030749e-23
YBR128C	-1.51207808992368	5.47654219679345	1.63261341475404e-24	7.84622938565266e-23
YOR095C	2.09437194716512	5.70977246644426	2.38043545853426e-24	1.13440751977712e-22
YGR053C	-1.52194605159778	5.70012926603483	2.44086390540037e-24	1.15351160062712e-22
YGR250C	1.6773544363756	11.0035759237698	5.05255309168453e-24	2.36463285655693e-22
YPL147W	-1.42252344396959	7.50638547913202	5.08880029941946e-24	2.36463285655693e-22
YLR267W	-2.04457465670899	9.02436624079302	5.12872229512435e-24	2.36463285655693e-22
YGR211W	1.48316440993635	6.76397644798467	7.55551567042683e-24	3.45542978766053e-22
YGR043C	-1.62025346097847	9.98876580168026	7.70888130963515e-24	3.49736527255527e-22
YDR508C	1.6665507903752	5.07550283373686	1.28294705985129e-23	5.77427998128306e-22
YIR012W	1.39002103992204	6.00894568870681	1.93683981084622e-23	8.64867603725113e-22
YMR102C	1.97602935277497	8.13003842697163	2.02501894990798e-23	8.97178317572513e-22
YKL009W	1.93418566207806	6.02126450894159	2.08443581948572e-23	9.16343839713453e-22
YBR020W	2.12941669835395	9.70256461572153	2.12911818684896e-23	9.28786864432341e-22
YMR011W	1.28333273843578	6.67926085226725	2.43918316337874e-23	1.05592425339854e-21
YHR160C	-1.42577275155411	6.67684349687963	2.54615576827667e-23	1.09388252741644e-21
YDL199C	-1.42925232470682	7.06247681431718	3.06133455161409e-23	1.30532543174462e-21
YOR230W	-1.65732572381777	8.64521195699445	3.287089165796e-23	1.38099765281059e-21
YDR002W	1.44450798360655	7.65941992028494	3.28750984181678e-23	1.38099765281059e-21
YNL014W	-1.63618374221467	9.50239998979759	3.71537929548069e-23	1.54925852828463e-21
YNL191W	1.3705883770886	5.99191427692348	5.12823170874191e-23	2.12278846863324e-21
YMR322C	-2.82870605903406	3.52525031926954	6.92309386226671e-23	2.84499023861699e-21
YPR172W	-1.6658438482218	6.05565375322807	8.39282600288228e-23	3.4241522490896e-21
YHR043C	1.47960409195417	5.73143990781914	8.5386373021388e-23	3.45875801003065e-21
YER049W	1.49548455829562	5.43647442574575	8.65608405689565e-23	3.46730009931748e-21
YBR140C	-1.7007050341008	8.47537568987067	8.68200694944598e-23	3.46730009931748e-21
YGR236C	-2.97814276693509	9.74201934294199	8.83929767031559e-23	3.50543056561956e-21
YPL153C	-1.85326645379286	4.4543554456374	9.86285630741185e-23	3.88418459162032e-21
YLR216C	1.56428721546188	9.13939410759408	1.1777250884033e-22	4.60612343195527e-21
YOL162W	1.95482922460585	4.86801103385944	1.46619271375515e-22	5.68815551708679e-21
YHR049W	1.46356755433353	6.44464663632302	1.47444694235894e-22	5.68815551708679e-21
YKR106W	-2.01802795305462	4.66647681539796	2.38806651414454e-22	9.15049000115789e-21
YNL022C	1.37342000254386	5.86422242492415	2.42921523833612e-22	9.24569101785513e-21
YLR437C	1.44844293950603	5.21775059027718	3.828047795873e-22	1.44725727002638e-20
YIL045W	-1.35374147402418	8.33552173280428	5.01037761854416e-22	1.88171201819629e-20
YIL055C	-1.35308793025177	7.01202982494633	1.04767186038549e-21	3.90878100016192e-20
YAL062W	-1.58594329707011	10.9916858292157	1.08196391121741e-21	4.01033813105486e-20
YPL186C	-1.66717560418221	8.38085825022395	1.15955222607418e-21	4.27001342471862e-20
YGR287C	2.33513805369685	3.96210491227416	1.17082588000823e-21	4.28371197775913e-20
YDL149W	-1.29312112158412	7.62621005355212	1.39308143450255e-21	5.0642082147846e-20
YCL025C	2.38060564612633	9.59574983206767	1.56743720650336e-21	5.66174292871371e-20
YKL188C	-1.32355762667008	7.2384655104121	2.39691461252075e-21	8.60310301747161e-20
YDR234W	1.39353359052023	6.86632990214629	2.8696713541047e-21	1.02351611629734e-19
YML125C	1.34555473922343	6.74487798601356	2.92273623932273e-21	1.03592732582495e-19
YDR223W	-1.30489335993648	7.3687364962783	3.00735219429757e-21	1.05929778222742e-19
