logFC	logCPM	PValue	FDR
YDR034C	-5.93671786381777	6.97477183282053	3.912723238301e-318	2.21968789308816e-314
YBR020W	-1.18551355873893	7.99766098752731	1.56501643162189e-20	4.43916910829548e-17
YIL094C	-1.47937128342907	6.23358400958827	4.09168701023497e-20	7.73738013635433e-17
YBR115C	-0.946713997817538	6.948343888021	7.16746105146164e-20	1.01652516362355e-16
YDL059C	-1.06023139028882	7.1433691534495	9.95537766750726e-20	1.12953715015537e-16
YLL057C	-1.24647591081727	7.23108711090764	2.48413076951149e-18	2.34874564257312e-15
YNR050C	-1.34000701646316	5.60501451476974	1.43302707824585e-17	1.16136608784124e-14
YDR234W	0.908104254819052	6.68604461410708	3.4466891225012e-17	2.44413342399366e-14
YEL017C-A	-1.03423964482319	5.42338870269036	6.2562332489427e-16	3.94351235791688e-13
YBR294W	-0.961551159493261	8.8224261423296	1.51651968392918e-14	8.60321616693022e-12
YNR067C	-0.841698230341073	5.91319022104094	6.68021803448269e-12	3.4451706281473e-09
YOL052C-A	-0.851193683928191	9.73602584005863	9.56230054290687e-12	4.52057758165922e-09
YBR019C	-1.11883368381323	8.98119459512677	1.19161620185446e-11	5.20002977932336e-09
YPR167C	-0.805536487868391	5.43386201063297	3.86640732190561e-11	1.56439093751725e-08
YJR010W	-0.871557437448174	5.42602243067316	4.13641178613763e-11	1.56439093751725e-08
YDL182W	0.739930737217033	8.77815211303317	6.68352253308568e-11	2.36972645813719e-08
YJR073C	-0.701875933875428	8.19277643793925	9.25087031889218e-10	3.08706984229855e-07
YGL117W	0.67649959064208	6.61558600846706	1.21095922956546e-09	3.81653983851381e-07
YNL142W	0.736938032382354	6.25016085533297	1.66274228957884e-09	4.96459842567409e-07
YDR276C	-0.706262198759549	8.73675537251285	1.90101971842248e-09	5.39224243130537e-07
YCR021C	-0.818866295874527	12.1297830707948	2.44474515454276e-09	6.53370954575797e-07
YPL250C	-0.852232435709085	6.2966096147446	2.53378477008065e-09	6.53370954575797e-07
YBR018C	-0.904940541708844	6.50879812349534	4.63144410142904e-09	1.13664287376999e-06
YLR004C	0.670583774758109	6.10715505743944	4.80864251198305e-09	1.13664287376999e-06
YKL043W	-0.754137917558025	7.98794448586951	5.66470524029519e-09	1.28543491312778e-06
YBR230W-A	-0.568833074523953	6.58406086042676	6.85723600881551e-09	1.49619614915424e-06
YKL201C	-0.803215379568055	9.3094893013356	1.07927831314211e-08	2.26768365572415e-06
YDR453C	-0.588671744032907	6.18660154058045	3.11942342706364e-08	6.32017467919002e-06
YLR089C	0.7320740773563	7.21713455676053	4.31559107937304e-08	8.44218903216664e-06
YLR342W-A	1.27710876311192	3.66085041909292	5.72910671947803e-08	1.0833740806533e-05
YKL186C	-0.546128621147366	6.79248416979324	7.29184967160152e-08	1.33440848990308e-05
YLL056C	-0.530670238122013	7.91057202626037	8.5346563060246e-08	1.51303453825242e-05
YDR461C-A	-0.521901657975329	6.95256105994903	1.18368618013173e-07	2.02992666623878e-05
YHL036W	-0.70156759098989	7.20078141425387	1.24580264014594e-07	2.02992666623878e-05
YCR024C-A	-0.533720102778134	7.70697358831632	1.25237851786281e-07	2.02992666623878e-05
YBR085C-A	-0.636856749614279	9.20186270637663	1.45890787724775e-07	2.29899566322959e-05
YKL106W	0.763438854085909	6.45385176435049	1.7626493758857e-07	2.70257024578368e-05
YKL202W	-0.719954156240522	6.91610010139824	2.04693291051151e-07	3.05585536877153e-05
