logFC	logCPM	PValue	FDR
YCR013C	-5.1570818496474	7.67592955688361	2.6687930963907e-16	1.4822476857354e-12
YHR094C	-2.86178767105364	9.69155360459528	5.82132607729699e-11	1.61658225166537e-07
YEL033W	-2.90184382345917	5.49716454897523	1.08918899067438e-09	2.01645188473517e-06
YPL249C-A	1.55900216950738	4.58636095453409	9.17648468358625e-09	1.27415489831595e-05
YPL142C	1.86209898466681	3.8643513655221	2.10160795464117e-07	0.000233446611601541
YKR098C	-1.52406339258083	5.01110028526823	2.90554484726383e-07	0.000268956601361722
YOL014W	1.79581010361663	4.68368166972432	1.7122165317962e-06	0.00135852151679944
YJL138C	1.22568497351026	7.7721055180505	4.47296267315333e-06	0.0031053543358367
YKR076W	-1.18692737208158	5.41002844083034	6.44808674646246e-06	0.00343693438258114
YDL136W	1.00572028806902	7.2619140798667	6.50548986486621e-06	0.00343693438258114
YDR380W	2.97536583152587	5.95678387055682	6.80703604760398e-06	0.00343693438258114
YDR024W	1.42697039403501	3.16498061150146	9.57098181669791e-06	0.00415521372115142
YOR182C	1.19179095424773	8.94537840278015	1.06631734685963e-05	0.00415521372115142
YPL222W	-1.43677604605366	5.27103686799782	1.0831998509744e-05	0.00415521372115142
YAL040C	-1.42503910985195	5.86554945071344	1.1222219268504e-05	0.00415521372115142
YDL110C	-1.19210596989083	6.20790465493162	3.13816383771528e-05	0.0108933512216692
YIL155C	-1.65885143490189	4.98403445131994	3.56854242931945e-05	0.0116586380308472
YDR385W	1.13288245547635	7.49205268103322	4.03533378328044e-05	0.012451246573522
YMR015C	-1.07006669045231	6.77534681397328	4.80898757526154e-05	0.0140574299963172
YOR384W	-2.06771391526286	6.56814253652534	6.23541170933911e-05	0.0173157383168347
YOR318C	1.252219408809	2.75058931266333	6.82046136551487e-05	0.0180384963924141
YNL241C	-1.67392691156617	9.01987157940291	0.000140323855730589	0.0354253952148949
YDL086W	-1.08519400620543	5.43303837156445	0.000157882738865339	0.0381252492025257
YDR040C	1.33146308507495	3.80949917485525	0.000189218880323385	0.0422469574171669
YOL016C	1.081790501209	8.71686150753821	0.000198869505250821	0.0422469574171669
YLR257W	1.10454109303362	7.70840450721155	0.000199346785133888	0.0422469574171669
YDL069C	0.904941704164273	4.14110381107761	0.000205377718808698	0.0422469574171669
YBR269C	-1.26871404720529	6.49515728329882	0.000215294497013175	0.0427052013003991
YKL220C	-1.83160871507343	5.4349274743981	0.000232978884776575	0.0446194733120379
YGR085C	1.01371138235505	9.01201144054724	0.000265898120374146	0.0484177338219712
YPR145C-A	1.3313058390982	5.88164217783801	0.000270246623781258	0.0484177338219712
YHR141C	1.34956066881803	9.95610987800126	0.000351111154004059	0.0578859518683636
YPL277C	-1.45737256482925	4.56562112257788	0.000358591810906667	0.0578859518683636
YPR102C	1.10560516977365	9.06059635105144	0.000371555311087173	0.0578859518683636
YMR251W	-1.68402937407639	5.40934033898921	0.000372802037013484	0.0578859518683636
YGR286C	1.31901528619119	10.0369775075768	0.000375206025794219	0.0578859518683636
YER156C	1.00597912758327	6.82329571943562	0.000394257316542581	0.0591812198939863
YJL188C	-1.1095710343592	7.93150381935739	0.000415617889272821	0.0607458357110855
YGR142W	1.23478318795022	5.33445777371398	0.00048814927815177	0.0695174638680751
YHL035C	-2.16747263204025	7.54872246804135	0.000535737665583351	0.0743871748662483
YOR220W	0.811273553716355	7.2455246260466	0.000563348348966237	0.0763130909794751
YBR139W	-1.22912343010704	6.66269317326714	0.000604143284257782	0.0798907571611362
YNL237W	-1.73484513902098	5.54692061977561	0.000643005608304343	0.0807412296020268
YOL154W	1.23755998547638	12.2926581367819	0.000666713927100431	0.0807412296020268
YOR385W	0.90402608230811	6.36521624532608	0.00066763748274208	0.0807412296020268
YHL022C	0.878970931207038	3.86304777468342	0.000668724623999502	0.0807412296020268
