logFC	logCPM	PValue	FDR
YDR342C	7.96851329094656	7.82675275737298	2.78798705319314e-179	1.54677521711155e-175
YHR092C	6.95980811820705	10.4252223199946	5.46963216178473e-55	1.51727596167909e-51
YMR081C	4.98556127139017	6.79470919604432	2.16698002609781e-53	4.00746839493022e-50
YGR243W	3.99574958279193	5.85860154654494	8.72533281927991e-48	1.21020366203412e-44
YPR030W	4.03695881321577	5.44895598669091	7.05781595470013e-47	7.83135258333527e-44
YNL144C	4.33801182893619	5.61053355280953	1.71952015576831e-46	1.58998297070043e-43
YBR297W	3.26944811036842	5.90078780271424	5.14752985553784e-46	4.07978509121771e-43
YIL162W	4.22919062357418	7.67904503216353	6.42759957626476e-43	4.45754030613961e-40
YDL079C	2.93446630489174	6.25147807258058	1.78481035494081e-40	1.10023642769018e-37
YDR277C	5.24101643186317	6.97268791311612	3.53987406877975e-40	1.963922133359e-37
YBR298C	3.8352844821861	5.61369148182614	7.4505692525588e-34	3.75779620119965e-31
YKR075C	5.27289412024621	7.31046641877658	2.4955603223126e-31	1.15378072234919e-28
YGR289C	3.41314377288334	4.18145835844708	1.67052959334365e-28	7.12930629528506e-26
YMR104C	2.74655245914501	6.313598029114	5.80233744611429e-22	2.29938343936015e-19
YPL014W	2.46462642874531	6.52323068125986	2.51384505940173e-21	9.29787492637386e-19
YMR206W	2.7632654286199	3.72599726978114	7.18484359245983e-21	2.49134451568545e-18
YCR013C	-5.58487273959912	7.6862617173031	2.6995218425319e-20	8.80996893080409e-18
YFL054C	2.31355628527383	5.2133946888828	9.7330714825403e-19	2.99994892139631e-16
YBR033W	2.17066914967452	4.98711703023418	3.06140615256427e-18	8.93930596548766e-16
YGR161W-C	1.95530892624281	5.25035481561206	4.48621392673869e-16	1.24447574327731e-13
YBR285W	3.00011601032421	4.54303116628018	1.04819828046554e-15	2.76301381662583e-13
YPL134C	1.56185446890893	5.59550263775137	1.09564354660722e-15	2.76301381662583e-13
YKL062W	2.4204051407398	6.53983213728411	1.31711704649124e-15	3.17711537997103e-13
YKL148C	2.23423893467062	5.08901254565974	6.86973720185837e-14	1.58805424982959e-11
YFR017C	2.3443597743755	4.32858616320494	2.01322284186178e-13	4.46774413065966e-11
YNR034W-A	3.19096431176369	6.39929498485773	3.29739989418374e-13	7.0361440818967e-11
YFR053C	5.58390814133983	8.93872689628764	3.49185358092041e-13	7.17511246923942e-11
YLL041C	1.80312722952673	5.75143481276565	4.83244249795964e-13	9.57513963524289e-11
YNL077W	1.35325142598395	5.71720725978146	8.3730246760986e-13	1.60184623803431e-10
YGR161C	1.85938723249046	8.28442082596088	8.55230245846422e-12	1.58160580131865e-09
YDL234C	1.39422388405478	7.17567523739958	1.17138106063722e-11	2.09639423368236e-09
YBR230W-A	-1.69453872486806	5.32620387524033	1.27689272335318e-11	2.20799503020973e-09
YEL033W	-2.86283418593282	5.50818785778624	1.31333518379454e-11	2.20799503020973e-09
YHR094C	-2.98625498154325	9.70139113509984	2.34615611287522e-11	3.82837473947992e-09
YGR067C	1.98144542896855	2.87743367240649	2.54510679895945e-11	4.0343578630363e-09
YER098W	1.62509591830188	5.08529613896632	4.54585353406397e-11	7.00566539082969e-09
YKL217W	2.209008302488	6.71829675255935	5.11587124239451e-11	7.67104152778507e-09
YJL216C	2.5232096451062	3.28460024421595	6.94386282317591e-11	1.01380397218368e-08
YPL057C	1.43733152415436	7.0995554606003	8.9197544775235e-11	1.26889225234104e-08
