logFC	logCPM	PValue	FDR
YPL187W	8.94362054225529	8.95609165571411	2.9904255410441e-121	1.65340628164328e-117
YKL178C	2.95628037573565	5.58610421073824	1.14774275370233e-34	3.1729348426101e-31
YFL026W	-7.08073501636908	9.41330552974133	6.88120304368551e-33	1.26820572095124e-29
YCR013C	-6.71896360033635	7.67579248866001	1.75917208979755e-31	2.43161562112267e-28
YLR040C	2.88565146693171	5.40376193489374	8.38259796307031e-26	9.26947682756315e-23
YIL015W	-5.29598346960009	8.24730679905933	5.78470079983583e-22	5.33060178704872e-19
YGL089C	2.8568443693111	4.54686838448266	1.81098161561783e-21	1.43041676467871e-18
YKL209C	-4.12585482026169	8.17857394986494	6.00953012938238e-17	4.1533365106694e-14
YJR004C	2.66518408282133	6.34253541732688	7.16729396490548e-15	4.40310759244027e-12
YEL033W	-2.92991626203667	5.5171430824595	8.10715158121978e-10	4.48244410925642e-07
YJL188C	-1.93128987907024	7.86191520791181	4.85709968073803e-09	2.44135492134551e-06
YDR342C	2.24216594322745	2.75400350755353	8.54487624693862e-09	3.93705173077697e-06
YHR094C	-2.18699425834173	9.72672866867137	1.00707462910979e-07	4.03457853993486e-05
YMR304C-A	-2.47773407624852	5.44522299977727	1.02159702584714e-07	4.03457853993486e-05
YDR171W	1.11225327009125	6.12702141081975	8.24990898228722e-07	0.000298329010202417
YOL108C	1.15474889992431	6.04956985838056	8.63314191216977e-07	0.000298329010202417
YCL038C	-1.84713040548462	5.79349387742487	1.11220828769394e-06	0.000361729389568222
YPL249C-A	1.3047982025716	4.44605117515712	6.04224902214849e-06	0.00185597749130328
YJL171C	-2.2273812939401	7.29599002469286	7.00041841713376e-06	0.00194927418039988
YLR287C-A	1.2161473388649	9.6583625886527	7.05109126568957e-06	0.00194927418039988
YKL083W	-2.09615386404278	3.10522927765469	7.954076282545e-06	0.00209419465553292
YLR068W	0.969340288371895	5.80203033040012	1.34710733084213e-05	0.00338552565101187
YJL138C	1.26905443988698	7.78753783298612	1.44675699942911e-05	0.00347787802167112
YLR132C	1.37326663656557	4.57523083425267	1.92553403637234e-05	0.00443594903629279
YGL256W	1.65275961270378	9.26369615196629	4.13328938739402e-05	0.00896103442019522
YHR116W	1.44839754720533	3.2379957812155	4.21390658211387e-05	0.00896103442019522
YKL113C	1.20723420175088	6.32498550415431	4.44107391148569e-05	0.00909433246540904
YNL110C	1.04294661414433	7.83226250521487	5.80093846254649e-05	0.0114547816997927
YOR387C	2.07427661171314	7.31514310341141	6.1682257806725e-05	0.011565604738166
YKR083C	1.20051812115194	4.5708978464682	6.28135125900897e-05	0.011565604738166
YGL258W	1.75004336854391	7.9136472153975	6.48460385030105e-05	0.011565604738166
YPR102C	1.30827369769824	9.14133301746681	7.42683304755301e-05	0.0128321749749752
YPL198W	1.0734572803618	6.85557095234135	8.6987041479575e-05	0.0145742834042597
YHL022C	1.15479733807246	3.92560185418524	8.96590190644108e-05	0.0145801387178567
YCL005W-A	-1.36654258930555	5.96015686670362	9.5750150207995e-05	0.0151257880142858
YOR159C	1.08140032458942	5.72274542540182	0.000110572976876163	0.0169821663652308
YPL222W	-1.40328579606925	5.29201435957596	0.000122863540546194	0.0181812228161677
YFL027C	-1.37988090122891	6.67600877330552	0.000124956857843077	0.0181812228161677
YGL208W	0.947359635767998	5.05491240121987	0.000186876913038886	0.0259983289614681
YNL097C	0.927698387336117	5.12028281595414	0.000188087024499679	0.0259983289614681
YER127W	0.932539978437091	7.19150877974235	0.000206809985076035	0.0278890831094
