logFC	logCPM	PValue	FDR
YKR075C	5.09227493563403	6.01672246912488	1.26136916595767e-62	6.94509862776293e-59
YHR092C	4.09857075038929	6.90234085464379	9.39874885214864e-50	2.58747555899652e-46
YOR382W	-6.99770650583799	10.197170229442	1.08888120584838e-44	1.99845997313372e-41
YOR383C	-5.47352986446705	11.2517063681564	5.08704046092716e-38	7.00231119446624e-35
YHL047C	-5.35813368214441	9.3013046370578	3.03043757094494e-35	3.33711785312457e-32
YOL126C	-4.56803224617662	8.55879568062959	3.49318565906819e-29	3.20558003980491e-26
YDR277C	4.54891057587131	5.69244931273227	3.52492545123811e-26	2.77260564778815e-23
YLR136C	-3.83821101891663	7.54198195436863	2.5454113078104e-23	1.75187933260051e-20
YOR381W	-3.74623647310876	6.48906294676503	1.84261406345139e-19	1.12727033704037e-16
YLR214W	-3.06589632972347	9.28204677104361	4.75636704580553e-17	2.61885569542053e-14
YOL158C	-3.1804099511067	9.39654859448811	6.16575327003522e-16	3.0862397731649e-13
YOL143C	-2.9981920678477	9.25469311773413	3.55651985806664e-15	1.63184986154291e-12
YER015W	2.40369728287579	4.19373544210658	4.58096253610557e-15	1.94021382490748e-12
YBR298C	2.23025094803591	4.83069951386644	1.08854699778847e-14	4.28109983558806e-12
YLR213C	-2.80574740049242	5.55785929688793	1.87726886280757e-14	6.890828239079e-12
YBR297W	2.50773659495561	4.31834208526617	2.40991266877848e-14	8.29311197143396e-12
YKL216W	-2.72066119387486	10.8164799146753	2.28199379685093e-13	7.39097520321249e-11
YMR251W	-3.13529300174197	4.9008789614652	8.24935367044541e-13	2.52338562830402e-10
YPL057C	1.90325935996138	6.48150060375209	4.33927661702334e-12	1.2574766870174e-09
YHL040C	-2.47353488095796	7.62594916312077	7.92594848121887e-12	2.10319304193599e-09
YKL220C	-3.00218902194416	5.59646808141519	8.02162257185903e-12	2.10319304193599e-09
YHR094C	-2.67142328845459	10.0518454287365	1.18579812732373e-11	2.96772931320201e-09
YNL144C	2.4749741322256	3.58358989049659	1.30104002800504e-11	3.11457669312859e-09
YOR136W	-2.4516801576481	6.97497360108367	1.75984636030939e-11	4.03738085827646e-09
YPR124W	-2.37971056080123	8.14775671727886	2.12107676132961e-11	4.67145945915233e-09
YDR270W	-2.50476912902302	6.71365343810461	6.09805341231541e-11	1.29138008031572e-08
YJL088W	-2.33666204286286	7.77217843657446	7.7676459707416e-11	1.58402439684827e-08
YGR286C	1.93530114359521	9.74035083466031	8.37851921133564e-11	1.64757595634336e-08
YEL033W	-2.54242357594598	6.54424986558486	1.39684981852137e-10	2.65208796578575e-08
YER069W	-2.48350528410573	9.38619826013374	1.5502049763862e-10	2.84514286666081e-08
YKR098C	1.9160886677752	4.33862060374454	2.03652006706336e-10	3.61712241588737e-08
YMR062C	-2.45692149767505	8.81994665174441	2.63757371604155e-10	4.51665474987371e-08
