logFC	logCPM	PValue	FDR
YKR075C	5.59006453792019	7.76259306194923	7.80396156495355e-241	4.19384894500604e-237
YDR277C	5.34134454171916	7.54267886720477	8.88404958231427e-238	2.38714412276785e-234
YFL026W	-6.82382375701654	9.22032219774384	3.3477438758718e-217	5.99692519631169e-214
YKL178C	4.28335898342359	6.1314695108676	8.10841830547127e-170	1.08936599934006e-166
YML123C	4.73170179144836	9.05011559358744	2.00290796553329e-156	2.15272548135518e-153
YKR098C	3.06535042719066	5.39106205861595	3.63138410739226e-140	3.25250969885433e-137
YHR092C	7.5946282677224	10.9655332904655	5.18175905609594e-139	3.97811045249423e-136
YIL015W	-4.64064363727073	6.7253858143631	4.12650764844318e-134	2.77198151284171e-131
YBR297W	4.11513552764268	6.03829211393791	1.98454933463684e-133	1.18499645825982e-130
YPL019C	3.56019856352045	7.83786413460212	1.9726518092636e-123	1.06010308229826e-120
YLR076C	-5.31903742013514	6.29818502602148	1.88961202318253e-118	9.23161364780266e-116
YDR342C	7.53391621638392	8.62763740261264	5.57163029202947e-109	2.49516176578053e-106
YKR058W	2.67978994413255	4.99549895713047	1.48584493745056e-100	6.14225437989177e-98
YNL144C	3.2144947951897	4.77874644786697	1.17679328178591e-99	4.5172050687982e-97
YLR040C	3.38700024099809	6.2080996348433	3.74349368105728e-95	1.34116900280012e-92
YIL162W	4.5406163726402	7.55380752597259	4.63106260503844e-93	1.55545815246728e-90
YKL209C	-4.37739727630162	7.93537537812498	3.36098924559064e-92	1.06246801210612e-89
YOL126C	-4.47785502676408	8.17717843524898	6.49521150319365e-86	1.93918147878681e-83
YFR052C-A	3.42446866535416	4.27768458059842	2.78517977215068e-83	7.87766110291462e-81
YGL224C	2.63891818704537	7.11670223076709	7.78554469729796e-79	2.09197586016396e-76
YMR011W	4.84714588679528	10.7455852586867	5.62174009870931e-76	1.43863006145066e-73
YMR081C	2.64618993566969	5.14282955951422	9.48905920687848e-71	2.31791837171659e-68
YDL194W	2.004196864106	4.912961359245	1.54843514849044e-66	3.61795238608159e-64
YFL054C	3.08673224006986	4.88695908930119	1.43054717989856e-63	3.20323356032287e-61
YBR203W	3.24617897632558	4.26639679625259	1.72097981669985e-61	3.699418213978e-59
YBR298C	2.23938614349853	5.36170254796653	4.22570717889042e-60	8.73421168436812e-58
YJL012C	2.39689435499407	7.8222137592953	7.6885191074666e-60	1.5303000623528e-57
YHR047C	2.27911196910003	6.94876393632564	3.44876734165808e-57	6.61916989073947e-55
YMR097C	2.59389225698897	7.4975934729605	2.6342875874078e-55	4.88160741197569e-53
YKL216W	-3.16764932135494	10.3707933637659	1.19607230958229e-51	2.14256419723175e-49
YPL248C	1.52022078297307	5.66890440102213	5.37032565264725e-47	9.30971937333107e-45
YBR092C	-2.35071693488556	7.70455213515601	5.52200049641525e-46	9.27350958366735e-44
YKL030W	2.49936698408671	4.26451722542226	2.03070697273968e-45	3.30697553681911e-43
YDR481C	1.87463894423781	7.40218564254949	7.41219423470395e-45	1.1715627005088e-42
YBR093C	2.06198868956552	5.4815268758781	2.85522465112409e-44	4.38399350718311e-42
YDR354W	2.15871933903194	7.88692821803621	4.11364231848962e-43	6.14075383876755e-41
YLR152C	2.33404521939689	6.81576868461044	1.28104503649342e-41	1.86063135840963e-39
YJL196C	-1.97017012597084	7.00082182289804	2.3368155819055e-40	3.30474919398951e-38
YMR095C	2.00969628038929	7.43154523682822	8.44609768717526e-40	1.16382894797128e-37
YDL184C	-3.14430470100909	7.0435516416979	2.1186943942351e-39	2.84646591865486e-37
YHR029C	2.17020761960164	6.95257057628327	2.59937655198175e-39	3.407085265939e-37
YMR104C	2.27669398733065	5.33904439441469	5.68746647388489e-39	7.27724876920414e-37
YMR094W	1.81959724635547	6.062386096294	7.20623037097681e-38	9.00611209619288e-36
YGR289C	2.05485526165565	3.92176268993596	1.26773359586172e-37	1.54836371458202e-35
YML091C	2.33856064139	6.55562459016204	1.36857195828496e-35	1.63437904529408e-33
YOL091W	1.82717691831899	4.33016613807418	1.33250096429322e-33	1.55670873524169e-31
YBR296C	6.67309785726035	8.40005158976859	1.56012324215297e-33	1.74980785117932e-31
YPL017C	1.728018250421	4.90046895338198	1.56290987823981e-33	1.74980785117932e-31
YFR053C	4.73641264289135	7.59910598673926	2.44458790359766e-33	2.68106436610894e-31
YGR097W	3.39916787668248	7.77946585057284	3.22176808308139e-33	3.46275633569587e-31
YPL018W	1.63402088101893	3.99603681058336	3.64178732431986e-32	3.83744413350881e-30
YNL311C	1.28433926152534	6.02328670445873	3.8947927005647e-31	4.02511845631436e-29
YKL093W	1.7604733490593	4.38319124231692	4.20885820285798e-30	4.26762339286014e-28
YFL004W	1.61221096831215	7.74007403397571	5.69012509677199e-30	5.6627281981579e-28
YDR133C	1.53385215957483	7.38973625802539	7.31284067909963e-30	7.14531014717844e-28
YNR068C	2.32104002736097	3.57361553073029	9.49112366257049e-30	9.10808902904533e-28
YMR305C	-3.07681008601781	7.99353627706251	2.20215044276787e-29	2.07620289112886e-27
YOL143C	-2.82887428460778	9.00401886721975	2.4336225814822e-29	2.25487719877334e-27
