logFC	logCPM	PValue	FDR
YDR277C	2.950115945424	5.46618046406518	1.0588617198048e-89	5.73479507446281e-86
YLR076C	-4.4690105824769	6.3470194594059	5.5560099668235e-88	1.5045674990158e-84
YKR075C	3.44373441289952	5.84440505828772	8.30010891665793e-69	1.49844632975398e-65
YKR098C	2.01583585627071	4.62362619662076	1.05239202051541e-51	1.42493879577787e-48
YHR092C	3.9420197061655	7.51212424504737	7.65048624046341e-41	8.28700669566997e-38
YNL144C	2.46280127170383	4.20154516170901	3.05161479573896e-37	2.75459095562036e-34
YBR298C	1.57454832751049	4.93782634999845	2.4535915248087e-33	1.89837881405199e-30
YPL142C	2.10613720396218	5.59572556622247	3.67206398105825e-26	2.45316922418047e-23
YER015W	1.81191088638755	4.71698905430459	4.07653674623785e-26	2.45316922418047e-23
YDL194W	1.36453873050453	4.5227216130066	4.75323886231869e-26	2.5743541678318e-23
YDR524W-C	1.68381266105651	10.0273834310465	1.2058624744142e-24	5.93722832857028e-22
YER098W	1.53134927610337	4.71918577523791	1.51962321623922e-21	6.85856611595966e-19
YPL134C	1.2533544720804	5.00789557608992	7.32568606501031e-20	3.05199351754584e-17
YML091C	1.77389071835454	6.19305633411327	9.38469993340259e-20	3.63053820280775e-17
YGR289C	1.26247370961048	3.43386241004739	5.12764027545662e-19	1.85141998212487e-16
YCR013C	-3.1529239613724	6.02641349478814	6.8912507949959e-19	2.33268839410611e-16
YGL209W	1.3099298241356	8.31510194056315	1.94776084475348e-18	6.20533690304991e-16
YPL248C	1.02959438665726	5.41030173025309	5.36339198036471e-18	1.61378505364752e-15
YKL030W	1.65283743932665	3.68928517910208	1.02784746337165e-17	2.92990624295835e-15
YJL188C	-1.72730116058694	8.49368126458463	6.87742961190439e-16	1.86240793890371e-13
YDR510C-A	-1.45571447795133	4.12008752448421	8.74101114195182e-16	2.25434839737196e-13
YDR216W	2.44672317434151	5.2312982254887	1.46970734157298e-15	3.61815225543604e-13
YBR297W	1.30700386505695	3.96083739847351	1.54655440229767e-14	3.64179940993226e-12
YPL192C	1.06160492873224	4.23369602086683	1.88339109465242e-14	4.08109630755796e-12
YBR016W	-1.12958614039838	5.75395719477439	1.93226075319044e-14	4.08109630755796e-12
YJL138C	0.999294161958212	8.36206294150415	1.95916735591778e-14	4.08109630755796e-12
YBR092C	-1.25834206023704	7.8735648700302	3.72216597086825e-14	7.46638922156386e-12
YDR345C	1.7252815373499	11.463557138074	4.30997877545814e-14	8.33673037424332e-12
YKR058W	1.07937353083549	3.96710141661466	5.02671346790884e-14	9.38782073868769e-12
YBR203W	1.6778011720758	3.13317431083173	9.54299003864945e-14	1.72282780164418e-11
YDR157W	-1.3950795595928	3.41196963391366	1.11736391535193e-13	1.95214289211163e-11
YDR009W	1.17764795352963	3.46766313284126	1.19887292643393e-13	2.02909242798942e-11
YMR104C	1.36949964169719	4.76519354741409	1.50075216505222e-13	2.46305264421903e-11
YDR385W	1.63866570600711	8.89512697983731	3.09091667754804e-13	4.92364844870594e-11
YLL061W	1.03027992858566	3.89963145623014	1.76798029105633e-12	2.66866392715814e-10
YGL157W	-1.11538811385623	5.65238299019551	1.77385342277867e-12	2.66866392715814e-10
YMR103C	1.10160732010354	3.64021972249146	2.71554699254762e-12	3.97497365179404e-10
YFL010W-A	-1.05701217073784	5.0320186013415	4.30675029532651e-12	6.13825252618115e-10
YGR141W	-0.852228310054486	4.84558764456845	1.21296221605206e-11	1.68446240054819e-09
YPL271W	-1.21139489935475	6.23491150242022	1.44764301929082e-11	1.96010864811977e-09
YDR155C	-1.82507454418479	7.06514731754452	1.80983857801351e-11	2.39075261915151e-09
YIL002W-A	-1.08236377831121	6.06963732655944	1.87597048119005e-11	2.4191086014584e-09
YNL149C	-2.78187247868566	3.63900905386142	3.41816957903453e-11	4.30530382326767e-09
YDL029W	-0.944386516877492	7.00752170983559	4.47931600936595e-11	5.51363079698318e-09
YNL106C	1.00662916663592	5.16330818804588	5.64492762335993e-11	6.79398400180386e-09
YLR342W-A	1.25498117054184	4.95592645306417	1.54017230210398e-10	1.8133854756946e-08
YHL032C	0.933576059920845	6.45145550779075	4.55302204497456e-10	5.24663136076217e-08
YCL033C	-1.40011299555376	4.2601679697412	5.08327712796061e-10	5.73563102604888e-08
YER066W	1.17998697236483	2.46225634447522	5.26175632101919e-10	5.81585147645713e-08
YNL303W	1.54960757277607	6.78267979427463	8.87528065207698e-10	9.61370400232979e-08
YLR100W	-0.718509146781231	6.14294662730526	1.49736521662572e-09	1.59014313985194e-07
YDL094C	-1.66158491423552	3.21501184191579	1.6251494649616e-09	1.69265567350616e-07
YBR191W-A	2.15326188405712	5.97495286028096	1.9497203213416e-09	1.99239344535587e-07
YJR103W	-0.95546207063197	6.86314574446442	2.38357790439733e-09	2.39064035744739e-07
YDR320C-A	-1.84525803713846	5.67964547407666	2.56761564793725e-09	2.52840115440512e-07
YJL151C	-1.15459755707384	6.48203255759546	5.2074306364278e-09	5.03632934408803e-07
YBR269C	-1.00981459517583	4.28843945078229	5.30064797935522e-09	5.03654551862945e-07
YPR044C	-1.92124434407737	5.63469808664607	5.72869509762773e-09	5.34941597392272e-07
YNL259C	-1.07334740734689	5.90481592822188	7.98617210112534e-09	7.33103527113472e-07
YML129C	-1.4086857230577	4.10574512688566	8.22670163613251e-09	7.42596934354895e-07
YGR146C	0.960534129163681	5.39753121305277	9.28922251460537e-09	8.24761133427913e-07
YBR126C	-0.684103821285681	5.55503702200952	1.00251949275409e-08	8.75749285928407e-07
YMR226C	-0.912063688993257	7.8701821673867	1.20493317282776e-08	1.03586001016431e-06
YBR264C	-0.804287796294785	5.13666333828636	1.67190231149656e-08	1.41484733110397e-06
