logFC	logCPM	PValue	FDR
YLR076C	-4.2932624689943	6.40222182640204	3.98717046949352e-68	2.15426820466735e-64
YPR044C	-2.4557243039515	5.63224631463771	1.85263495229962e-16	5.00489332363743e-13
YPL142C	2.01273885930262	5.53099905998716	6.32267704808553e-16	1.1387141363602e-12
YDR524W-C	1.40461688408524	9.89778288021261	4.97430821195575e-15	6.71904681729923e-12
YCR013C	-2.93412180828612	6.09055737412061	2.14588093545211e-13	2.31883893884955e-10
YHR163W	-1.19020820472126	8.2235826945964	3.42115102022465e-13	3.0807464937123e-10
YKR066C	-1.04868351876156	6.90881218979416	8.96958359043182e-13	6.92323716272902e-10
YIL002W-A	-1.25589440016269	6.08450246474852	4.63070016639568e-12	3.12745912487948e-09
YLR342W-A	1.36158571724482	5.03079021951604	7.8097783607192e-11	4.68847027588509e-08
YJL138C	0.898676466993598	8.34890451531138	1.34232139060159e-10	7.25256247342041e-08
YJL188C	-1.47846229610201	8.57026068505264	8.44408013002536e-10	4.01892622814193e-07
YER111C	1.05449910470462	5.40956899478938	8.9259882912647e-10	4.01892622814193e-07
YPR062W	-0.935460863789513	8.33547624953151	1.72346312858957e-09	7.16297791059189e-07
YDR510C-A	-1.15812989578909	4.23943331917918	4.23590780494838e-09	1.63475784786686e-06
YHR183W	-1.32611279148352	10.0609534333667	1.07249415908494e-08	3.86312396102394e-06
YDR385W	1.26978832069107	8.71688119973995	2.19163392565684e-08	7.40087381270245e-06
YJL074C	0.983380375920849	5.81007764142272	2.53633230384647e-08	8.06106084569558e-06
YNL282W	-0.898600372841165	5.51145486356898	3.06854790068404e-08	9.21075794855327e-06
YJL151C	-1.22509537819731	6.51140361208705	4.78213870178167e-08	1.35988923188034e-05
YMR222C	-0.86190743107989	5.40263961312968	7.28670656152309e-08	1.96850377759546e-05
YIL159W	0.803680339562702	5.98533718518428	1.28577749312496e-07	3.24004216774447e-05
YFL010W-A	-0.955326265860655	5.10550282767068	1.31928424376047e-07	3.24004216774447e-05
YEL017C-A	-1.41602586582101	8.40344204170265	1.4640002043408e-07	3.40280322657188e-05
YLR198C	-1.24307936750867	4.3820190035988	1.51151725777763e-07	3.40280322657188e-05
YER147C-A	-1.53501149829653	4.63241187868976	1.82442876021841e-07	3.94295543658403e-05
YOL154W	1.84838316651104	6.35937433480012	2.33190185337271e-07	4.73012961498088e-05
YBR264C	-0.813146190927957	5.18488576216019	2.36375161215036e-07	4.73012961498088e-05
YDR322C-A	-1.24762404068634	6.40920791703798	2.82981229530319e-07	5.46052708268683e-05
YBR135W	-0.690661838898748	6.00585585599111	3.08729108374932e-07	5.75194266396468e-05
YML129C	-1.14475551659815	4.21933772745901	3.93388034151221e-07	7.0849184950635e-05
YNL149C	-2.2148322979673	3.7962552371701	4.61123369193869e-07	7.88690264113505e-05
YPL249C-A	0.893025489783117	5.07596557645035	4.67112501418326e-07	7.88690264113505e-05
YDR246W	-0.691404375904931	4.82851886853325	5.98438773709663e-07	9.79807483137367e-05
YKL030W	1.09763529571579	3.37289293354708	6.79468118490591e-07	0.000107975477770725
YHR154W	0.778696276512849	6.48752548171413	7.32637476758428e-07	0.000113098293912165
YBR005W	-1.08861209138874	5.50008095971751	7.61786828843195e-07	0.000114331506562216
YDR007W	-0.764552777918615	5.4346141853922	7.9056751681612e-07	0.000115444224144797
YBR220C	-0.582439981857854	6.52986640380684	9.00070321887046e-07	0.000127975788135677
YAL039C	-0.81615519312626	5.94713358787822	9.73056282095807e-07	0.000134805720311888
YOR144C	0.651693096176069	5.32281636938334	1.04118598630026e-06	0.000135814336342521
YNL143C	-1.60154641880954	2.70551591848928	1.04310632434948e-06	0.000135814336342521
YDL130W	-1.01444266827909	11.2215378584314	1.05574720088578e-06	0.000135814336342521
YGL255W	2.07249222781858	8.92463036032267	1.10185457644915e-06	0.000136845395319199
YHR216W	-1.04330387153032	6.30020831577159	1.11441743365626e-06	0.000136845395319199
YDL123W	-0.817126291759178	4.14099841860715	1.20894699951364e-06	0.000145154236408271
YNL126W	0.684018073036755	5.18189039110944	1.3320256321299e-06	0.000154070957947391
YGL254W	-0.796727037509354	4.82652349280388	1.35406138196223e-06	0.000154070957947391
YPR113W	-0.711159788586373	7.8732786284601	1.3687592044188e-06	0.000154070957947391
YER134C	-1.18454781530917	3.4904074651993	1.45293652153211e-06	0.000160208490323225
YCL005W-A	-0.973098654588943	5.71009288644681	1.49820195941524e-06	0.000161895703734411
YBR292C	1.16562644931032	2.36579448805427	1.59607907580761e-06	0.000169090495031147
YHR211W	1.26478244264991	4.80251313833935	1.68533783423769e-06	0.000175113083045889
YDL186W	-1.20711890196693	2.8922158098174	2.17026046107433e-06	0.000221243722097822
YHL006C	-0.89567014736019	3.47477697733179	2.24609681649645e-06	0.000224734464806117
YOR324C	0.685167337325569	5.48870195780652	2.35360384165966e-06	0.000231209482845221
YOR133W	1.26426504121945	8.36834321520949	2.70946474489224e-06	0.000261414964583085
YKR007W	-0.795123115709071	5.05848510690148	2.90850292305427e-06	0.000275695461285302
YLR383W	0.762321567389056	5.90659431261535	3.21430027629507e-06	0.000299205150262187
YNL024C-A	-0.976850029009009	6.06078163940659	3.26727815389025e-06	0.000299205150262187
YBR016W	-1.02912378222279	5.81761886137951	3.45916545277496e-06	0.000307100034030717
YBL034C	0.839703373773533	5.67951152627014	3.46716677325074e-06	0.000307100034030717
YHR032W-A	-0.978002192419542	3.43762187574675	3.59660025443233e-06	0.00031342630926932
YCR047C	-0.675256305169814	7.41272047731828	4.10550864276637e-06	0.000347978980470261
YBR191W-A	1.7633800982468	5.74671625925963	4.1219053766605e-06	0.000347978980470261
YDR263C	1.08166047339794	4.99787798028181	4.68290712722493e-06	0.000389257649359943
YBR261C	-0.60680699185797	6.81010231124434	5.44621902659467e-06	0.000445847293949863
YBR187W	-0.716916514751936	7.75593071541842	5.61337521464248e-06	0.000452672631115124
YEL065W	1.14115278295076	9.00227023835896	8.03728426242568e-06	0.00063860951279244
YNL303W	1.17466167127877	6.59975635912548	8.52697219883792e-06	0.000667698996961178
YLR220W	-0.872688304356583	6.50274190894253	8.65781655340076e-06	0.000668259754828919
