logFC	logCPM	PValue	FDR
YGR142W	5.95366061050809	8.45585143848349	5.00074772522952e-96	2.7344088561555e-92
YAL005C	5.25408957040264	8.96043582129245	8.09056253402255e-72	2.21195979680176e-68
YPL240C	6.01440734053964	9.63708312308303	1.00843168198757e-61	1.83803481236935e-58
YER103W	5.52306797811633	8.85526791989186	1.24681207084495e-54	1.70439210084505e-51
YLL026W	5.29450413768134	9.03746532972683	4.70526637917051e-49	5.14567931226087e-46
YFL054C	2.86982441705543	4.42260871305717	1.29572503470778e-47	1.18083741496369e-44
YDR258C	4.31832202265479	6.78692780341392	7.73861798952949e-46	6.04496616667817e-43
YDR216W	4.3686552975668	6.11635920898578	9.22671516645404e-43	6.30645981627134e-40
YJL144W	4.12305386286878	4.39724429033957	1.55760403645701e-41	9.46330985705213e-39
YML058W-A	4.19167979145835	4.05191337805045	6.96219989047471e-41	3.80693090011157e-38
YNL077W	2.60093164614804	5.62739757840711	5.90042529657512e-38	2.93304777469752e-35
YDR277C	2.77323865870426	5.0574375637123	2.23135901466799e-37	1.01675592435038e-34
YOR273C	2.93340562030348	5.5738601049245	2.82469678436941e-37	1.18811092437938e-34
YBR298C	2.03075901970856	5.0729309656994	1.99336795022665e-36	7.78552567988522e-34
YMR186W	2.89015679222144	10.6216442981677	4.25207587743181e-36	1.55002339318648e-33
YOR027W	3.45889316405563	8.65482026017839	6.78275058519085e-35	2.31800501248897e-32
YPR158W	2.96940221086964	5.58793415834692	2.93971102485714e-33	9.45549404936402e-31
YHR092C	4.14451685211618	6.89048982067203	6.06315298241755e-33	1.84185113932551e-30
YLR076C	-4.35517681651449	6.40024211531155	8.34596105674557e-32	2.40187973990972e-29
YBR169C	3.71373659011134	5.74617834591069	1.32289542339972e-29	3.61679608757485e-27
YMR196W	2.01532099888276	4.85584100548956	6.13529631265338e-29	1.59751429702803e-26
YPR160W	2.44376951300566	3.72381365433905	2.23678095597312e-28	5.55941739420954e-26
YLL024C	3.20112983547452	9.91712161957128	2.77777981531861e-27	6.60386957833138e-25
YKR098C	2.08090720389408	4.73673612585713	5.23996693934493e-27	1.19383913434742e-24
YDR085C	2.19392273908124	4.69893540470959	5.68838228515973e-26	1.24416297341014e-23
YBR203W	2.8950981359936	3.58328481460612	6.53524384990332e-26	1.37441205274121e-23
YJL153C	3.22481219510226	9.78806320933137	7.09210704166623e-26	1.436283011253e-23
YDR171W	4.800463408271	7.35930081734824	9.49677835091651e-26	1.85458514367184e-23
YDR214W	2.5086262557501	7.34453126140374	4.36084919850668e-25	8.2224563508395e-23
YIL162W	2.83855046087749	5.7881877065043	8.97347454682298e-25	1.6355652940676e-22
YNR068C	2.92841856120799	3.81987054303726	1.02493031058632e-24	1.80784481880194e-22
YJR039W	2.25812232274983	4.22434100858017	1.5500068727904e-24	2.6485742438806e-22
YJL034W	3.20355506154713	9.87721705311322	1.72846204947829e-24	2.86400923834766e-22
YMR103C	1.97379590776539	3.89124707901934	2.218842746941e-24	3.56842121772747e-22
YOR152C	1.76147506962944	3.90934958739938	2.80870115584813e-24	4.38799369147931e-22
YNL007C	3.14155867297472	8.32837044702742	1.7158842369419e-23	2.60623750211064e-21
YGL037C	2.48935470575034	6.05203373663666	4.61328930984781e-23	6.8176934989859e-21
YOL113W	1.65443975848031	5.48440303879807	5.36117299372713e-23	7.71444577097367e-21
YDL214C	2.56704328232561	3.68778061343029	8.8155309889097e-23	1.23598265249637e-20
YGR224W	1.64035538937302	4.39844528471197	1.04906122303894e-22	1.43406669189423e-20
YER142C	2.38747109467575	4.42984925883001	1.38885572037361e-22	1.85225928756169e-20
YDR406W	1.9378583225717	4.61238900607553	1.5149241528804e-22	1.97228696855954e-20
YKR058W	1.60649182918031	4.34197479026992	1.69051811716663e-22	2.14971001503887e-20
YBL075C	1.89688802878916	5.82296677255719	2.05470196962634e-22	2.5534341749811e-20
YER098W	1.83666493206094	4.60874625194394	2.29387680214648e-22	2.78731518980822e-20
YFL016C	2.16044166536852	6.99898049257897	4.24786998949525e-22	5.04942458751304e-20
YFR015C	2.6165931659508	3.6392044667909	5.69130670480714e-22	6.62129043869903e-20
YGR289C	2.18214351568332	3.83414770147073	7.77764359903428e-22	8.86003233323322e-20
YAL028W	2.11499801058295	3.29723641736	1.58424753994414e-21	1.76789092824786e-19
YHL030W	2.43942516594576	6.5205673616912	1.8159232688927e-21	1.98589368686105e-19
YKR091W	2.20154802227426	3.57888206965669	1.87825119763588e-21	2.0137799115045e-19
YDR516C	2.5389332491367	4.76536241219721	3.1685122414703e-21	3.33181248776147e-19
YPR030W	3.46259668679314	4.02857461296903	9.91136892392394e-21	1.02255406181162e-18
YPR184W	2.80113980721897	4.37545666433666	1.82617439389389e-20	1.84917066403922e-18
YKL029C	-1.92663393119974	8.95751327098437	2.11597974106288e-20	2.10366858620579e-18
YGR161C	2.3552292796096	6.31369542496743	3.27097398421589e-20	3.19387245458794e-18
YJR107W	1.62781271823289	5.27237585402883	5.95975063988078e-20	5.71717833313476e-18
YGR146C	2.53015832893916	5.95135513275195	7.20252985836572e-20	6.74045260815624e-18
YKL187C	1.89516933354465	3.70515040637415	7.27298288005154e-20	6.74045260815624e-18
YIL107C	1.93643179086116	4.45829329057523	7.48892174457356e-20	6.82490401655471e-18
YMR104C	2.31569847750466	5.2292962447952	7.93026256946594e-20	7.1086353655475e-18
YOR208W	1.90321720751083	5.18988773433774	7.6219157125952e-19	6.72203792201138e-17
YHL024W	2.11219949679745	4.13555933334294	9.38424038163259e-19	8.14492482647095e-17
YGR070W	2.0134246823683	4.54734445145932	1.394585172066e-18	1.19149870638389e-16
YJL163C	2.10538734674848	2.94484282138882	2.24531179803779e-18	1.88882537102625e-16
