logFC	logCPM	PValue	FDR
YJR004C	4.78306419111223	7.6046828915484	1.79768479389769e-151	7.88383560707103e-148
YGL089C	4.89448875107385	6.05413202626149	2.89049884768874e-151	7.88383560707103e-148
YKL178C	5.10483093867522	6.20602692202088	1.60760414788407e-136	2.92316020890253e-133
YFL026W	-6.54901398799341	9.50028408718215	3.69655289496417e-91	5.04117401050739e-88
YLR040C	3.61006324023077	5.80972808047906	2.83582050205619e-80	3.0938801677433e-77
YIL015W	-4.31515408287348	7.13558340663881	1.88996829299191e-66	1.71829617304514e-63
YKL209C	-4.33029425099182	8.09578502170082	3.79684285455462e-41	2.9588253959422e-38
YEL033W	-2.64332780569854	6.86649612598831	2.02221197042441e-26	1.37889578733314e-23
YCR013C	-4.63255045443322	6.50652012142999	1.01557549124119e-15	6.15551589413411e-13
YER028C	-1.73467414239453	5.32705274745279	1.00496993427864e-14	5.48211099148998e-12
YMR173W-A	1.7780928196397	3.19541378866206	2.06482215772956e-14	1.02396407912861e-11
YJL188C	-2.88155789671535	8.60256766254033	1.00945125354274e-13	4.58879715672969e-11
YHR094C	-3.12837943243376	10.3038351701856	4.07842339067752e-13	1.71136919970353e-10
YIL119C	1.70339478473958	2.95730933913541	4.42281257094541e-13	1.72331732675052e-10
YJL138C	1.06457998420213	8.19306035855138	7.21847215841354e-13	2.62511770827639e-10
YDR524W-C	1.38268290812689	9.53231976707622	2.03111956167155e-12	6.92484825557394e-10
YNR044W	2.11234904012783	6.6277684269486	6.81878452662142e-12	2.18802762310117e-09
YFL027C	-1.54014851135021	6.35138476258431	1.93069114085963e-11	5.85106676299404e-09
YLR042C	1.43178922101129	4.05965182178635	2.31723164330477e-11	6.65289400748818e-09
YPR044C	-3.38794054000228	5.71955716363713	5.06368158744673e-11	1.3811191529761e-08
YDR157W	-2.18622895583109	3.5314965988299	3.03844262060161e-10	7.89271642637229e-08
YOR137C	1.54215165906163	4.16476410053858	5.45472176583056e-10	1.35252305602753e-07
YBR157C	1.50502240911433	4.539489373659	3.20518671654109e-09	7.60186675597028e-07
YDL130W	-1.55780627975867	11.2903401514544	3.74419430637676e-09	8.51024164220219e-07
YMR317W	2.3082184284492	5.93766119023839	4.65268652268816e-09	1.01367784406288e-06
YIR038C	1.19549943917354	4.41881185044533	4.83146176821905e-09	1.01367784406288e-06
YNR068C	1.80583847148951	3.18754310109114	5.2450876548293e-09	1.05970196878125e-06
YBR264C	-1.20712626908859	5.32746716325003	6.77448876049376e-09	1.31981557816048e-06
YOL143C	-1.60611163889543	9.12625336227487	9.19118246645952e-09	1.72889311567368e-06
YCL027W	1.22318810831722	5.06419976264766	2.39014413846765e-08	4.34607875844701e-06
YDR510C-A	-1.41302421135077	4.36578549009084	3.52227749839488e-08	6.19807217862711e-06
YBR230W-A	-1.88782078562437	4.1508544479443	3.90580824894752e-08	6.56549215215153e-06
YPR062W	-1.2080638999507	8.44574206443342	3.97179176940423e-08	6.56549215215153e-06
YJR152W	1.01958121479358	4.82445873950024	4.69459348168427e-08	7.5320610125258e-06
YJR005W	0.751949449221464	6.15695254836383	8.3798529514813e-08	1.2852529120031e-05
YPL234C	-1.05449005027362	8.09587463664523	8.4819623890214e-08	1.2852529120031e-05
YAL037C-A	2.32856376887298	4.39136005219507	8.87073946544707e-08	1.296536644914e-05
YKL220C	2.85155145834396	5.48098660868331	9.03178597740275e-08	1.296536644914e-05
YDR258C	1.73799043984828	5.07297239125479	9.57618367805691e-08	1.33943799907181e-05
YGL030W	-1.37252421775678	11.595946437027	1.01056909275601e-07	1.378163600246e-05
YKR091W	1.80800748954691	3.37239893410171	1.19198262246645e-07	1.58591834281817e-05
YBR187W	-0.993598028521196	7.78882979025182	1.44020908339419e-07	1.87055727378936e-05
YNL279W	1.05751227455539	4.60311828805804	1.54822008177717e-07	1.96407919676616e-05
YKL103C	1.31350331461267	4.57073543875974	1.85773553534022e-07	2.30316985120021e-05
YMR066W	0.813196233925801	5.28051895210018	2.01293365440787e-07	2.44012290773221e-05
YDL184C	-3.03614465527511	7.23556008446067	2.75565128871621e-07	3.26784299564063e-05
YGL090W	0.808746077573975	4.93601352568927	4.23184891806315e-07	4.91164592511371e-05
YPL154C	1.23582655977458	7.70565198928932	4.46653862561487e-07	5.05760176494316e-05
YOR208W	1.43923690782711	4.96289955848081	4.5430336660351e-07	5.05760176494316e-05
YHL040C	1.86027348969445	7.62001088136058	4.87053718360712e-07	5.31375606731536e-05
