logFC	logCPM	PValue	FDR
YHR094C	-2.74764470186253	10.0960767413598	1.60271965321848e-42	8.72841123142783e-39
YER028C	-2.48929442567712	5.09082924558251	1.07460057860185e-35	2.92613737553285e-32
YDR524W-C	1.59174527190411	9.86121802485327	1.10656211786731e-19	2.00877909796845e-16
YHL016C	2.07898640441817	5.838138101713	3.86243402672785e-18	5.25870392738997e-15
YLR342W-A	1.65056965756693	4.80462385441474	1.29352349841308e-14	1.40890579447153e-11
YPL142C	2.10289198076787	5.33025977014258	3.7123507821005e-14	3.36957705988655e-11
YOL154W	4.20442841634166	8.77599142311399	4.81978882704773e-14	3.65885516237024e-11
YKR039W	1.82005812909258	7.64799228887785	5.37474133289789e-14	3.65885516237024e-11
YCR013C	-2.55152262369137	6.34800261955302	2.43509338410846e-13	1.47350206331719e-10
YLR438C-A	-1.1825983207765	6.68047675111868	7.65774535105791e-13	3.95235072960001e-10
YMR094W	1.11977321706415	5.7863950467158	7.98308079794347e-13	3.95235072960001e-10
YNL142W	1.18100473830911	7.63323748340182	2.59713978569277e-12	1.17866860607357e-09
YAL037C-A	3.0314953200511	5.24747592413168	1.06876830341941e-11	4.43943307826991e-09
YNL183C	1.19685893349256	5.51086435327182	1.14124243657324e-11	4.43943307826991e-09
YJL089W	1.50060714252929	3.65726366169564	1.25917135466239e-11	4.57163146499426e-09
YHL020C	-0.940620455219883	7.93759306178345	1.42548223975898e-10	4.70941365928126e-08
YBR264C	-1.02030696015973	5.23349707379168	1.4700703673849e-10	4.70941365928126e-08
YKL018C-A	-1.29078102140482	5.12284684596885	2.11710593722704e-10	6.40542163007691e-08
YBL113C	1.94074044941977	3.44764117608104	2.87619706265236e-10	8.2440890543183e-08
YBR208C	1.95083576402711	7.06436682813888	4.18170131336605e-10	1.1277651722781e-07
YJL056C	1.97844920211729	6.24843884124276	4.42461001854094e-10	1.1277651722781e-07
YMR236W	-0.917096099325793	6.6190690985631	4.55579026627216e-10	1.1277651722781e-07
YNL192W	1.17236938161011	8.00661213369575	5.21824339124008e-10	1.22628713286071e-07
YHR034C	-0.988160284453145	5.37100187467767	5.40412985469279e-10	1.22628713286071e-07
YDR231C	-1.33258200142933	4.03302340261919	6.98987826468952e-10	1.52267508117996e-07
YPL265W	1.23122614745172	7.90728360504188	7.46730784747298e-10	1.56411378989761e-07
YER019C-A	-1.27289419858206	8.24802194352717	8.05297790081301e-10	1.62431546843806e-07
YFL017W-A	-1.34416842321784	5.27324234494688	9.60476893467104e-10	1.86812755779352e-07
YJL188C	-1.80998939623991	8.4765014706357	2.34686993121781e-09	4.40725987772834e-07
YLR437C	-1.00107012541872	4.97391930770387	2.84212670362862e-09	5.15940734265382e-07
YGR031W	-1.00810595596457	4.72722870589475	3.55744050125609e-09	6.24961966769053e-07
YNL311C	0.87905103067519	6.04383607047706	3.91210429578227e-09	6.65791249838445e-07
YJL143W	-0.916448093772596	7.05706414948896	4.51946828728982e-09	7.45849220987284e-07
YJL151C	-1.21160012935429	6.50876198518592	4.9270441874978e-09	7.89196548385677e-07
YIL002W-A	-1.05782016347273	6.03721915956137	5.42569794135762e-09	8.44238599675246e-07
YEL071W	1.25608881173367	9.7796879314887	5.84216685692432e-09	8.83790019522496e-07
YJL138C	0.797143777843568	8.21462926654738	9.81383537138879e-09	1.4444904711509e-06
YNL138W-A	-1.21253968352611	4.64267648233423	1.01274396803488e-08	1.4514220131363e-06
YOL026C	-0.838377024027676	5.52161775847777	1.22140560984564e-08	1.70558332082547e-06
YCR047C	-1.08814811576236	7.33134372373971	1.53899548418781e-08	2.0953423517217e-06
YGL166W	-1.74882922620366	3.99434549788746	1.64733422343148e-08	2.18814199531898e-06
YIL064W	-1.07311721846615	6.98606846986877	1.7180105926439e-08	2.22768706846159e-06
YIL146C	1.05297707666395	4.548589863616	2.0330165848801e-08	2.57483914447838e-06
YPR062W	-1.01541033225472	8.34466751045358	2.16836086605189e-08	2.68383938102695e-06
YKL058W	-0.9285814892544	6.11546374228483	2.43299821022194e-08	2.92072568485237e-06
YPL019C	1.56885855814882	6.43335189797974	2.46701031037842e-08	2.92072568485237e-06
YPR129W	-0.834494189208433	5.67540436953685	2.92386009699681e-08	3.38794512515843e-06
YMR097C	1.34777816817875	6.67387129624599	3.20549388352345e-08	3.63689993534764e-06
YGL019W	-0.670726128162455	7.34656407646799	3.52127009872316e-08	3.91364019543803e-06
YOR208W	1.44827129902958	5.16380720512496	3.72567668587101e-08	4.00037272155753e-06
YDL077C	0.821522643470525	5.44503923001495	3.74621756884749e-08	4.00037272155753e-06
YML014W	-0.83140220260772	6.47583771148449	3.89626167852459e-08	4.08058482716249e-06
YDR186C	0.835093737570151	7.84985199335645	4.00679304482513e-08	4.11716885322975e-06
YOR015W	0.934059333210706	5.45784700413418	4.29770706806161e-08	4.33431716530806e-06
YDR510C-A	-1.30498609284733	4.25022296320335	4.49634970229451e-08	4.45220372339926e-06
YGR097W	1.11160177035127	6.10627335935235	4.65270604518697e-08	4.52475662894433e-06
YOR152C	0.898242240204274	3.65838194063418	5.22038319732862e-08	4.98775559520205e-06
YDR461W	-1.8481241642935	8.20920109527379	5.38950486432111e-08	5.06055922260221e-06
YDR385W	1.40436411878975	8.62067401531687	6.00589056410185e-08	5.54129406845983e-06
YMR222C	-0.904774258285001	5.41090456504944	6.10498795643756e-08	5.54129406845983e-06
YHR063W-A	-0.975185650396728	4.6735078041255	6.26325974744747e-08	5.59175616140966e-06
YDR303C	0.734495706108078	6.34010733755687	7.73310051750258e-08	6.79265571263211e-06
YML123C	2.7616168406879	7.40155198109498	7.86686412280385e-08	6.80046698615711e-06
YNL024C-A	-1.12304727187631	5.94350962299253	9.9924309379863e-08	8.46394492261766e-06
YIR009W	-1.19661722726179	3.88451757334143	1.01020275426028e-07	8.46394492261766e-06
YBL006C	-1.29398761771095	5.9115241859743	1.11539598334802e-07	9.20370685653534e-06
YNL282W	-0.883973750453963	5.49877771203943	1.18274381129581e-07	9.61376536763729e-06
YDL064W	-0.868945701751391	6.35315817977761	1.26736964057791e-07	1.00848711330424e-05
YNL151C	-0.825017141447762	7.06746415483358	1.27773798784415e-07	1.00848711330424e-05
YER029C	-0.898917539404781	6.04932361339216	1.44319741225127e-07	1.12280758673149e-05
YDL239C	1.51645822819776	3.77633809197421	1.48028653801526e-07	1.13544232197621e-05
YDR007W	-0.844425490294849	5.48042961350532	1.53916520354324e-07	1.16420745812452e-05
YDR077W	1.67996177670096	9.79883635702448	1.64755188431367e-07	1.21471375683329e-05
YLR247C	0.876645771085443	6.62701618720886	1.6505475212204e-07	1.21471375683329e-05
YIL119C	1.5983030041886	3.07040794508073	1.67563255101534e-07	1.2167326497106e-05
YLR134W	1.31118407780749	5.81211407942159	1.71595829902854e-07	1.22961959164598e-05
YLR266C	0.743622191527647	5.66709845331729	1.76810483330792e-07	1.25053232755778e-05
YFR030W	1.56594727479087	6.46481790091016	1.80126030528372e-07	1.25764918238143e-05
YER031C	-0.849731117639168	7.23084759987301	1.83449535231872e-07	1.26464072009212e-05
YBR191W-A	1.95490076499422	5.38675010687548	1.99938137259634e-07	1.36107886939496e-05
YLR018C	-0.817346265877021	6.79645394102265	2.11001132250887e-07	1.41865699535597e-05
YJL094C	0.837934465720524	6.23653384899679	2.18685878037089e-07	1.45239425828047e-05
YNL101W	0.848010226463445	6.70291331457708	2.27778924248229e-07	1.49455906199501e-05
YMR010W	0.68875675609835	6.28768823449621	2.38640419718927e-07	1.54718538784437e-05
YDR043C	1.42469482254224	4.84430734784096	2.54229021623124e-07	1.62886029618768e-05
YDR141C	0.865841967025695	6.62020240709823	2.67197575334777e-07	1.66906206161113e-05
YOR246C	-0.664284851408248	7.56251271320691	2.68331895710841e-07	1.66906206161113e-05
YJR112W-A	-1.06806793028975	5.15020138833308	2.69697872607013e-07	1.66906206161113e-05
YOR133W	1.34413112579939	8.20120261816359	2.81280669298323e-07	1.72118485954906e-05
YNR068C	1.50451010840114	3.22649870790729	2.84974208706494e-07	1.72441060068396e-05
YER147C-A	-2.06083529236327	4.39107073435781	2.91139797578719e-07	1.74235971166341e-05
YDR296W	-0.71217521895395	5.67852212459389	3.06935393723245e-07	1.81692408067043e-05
YNL297C	1.01562796602415	6.495494310528	3.45107783125144e-07	2.01810972965615e-05
YDR073W	-0.783786338683391	5.18782940014644	3.48333298912372e-07	2.01810972965615e-05
YAL037C-B	1.8487838470187	5.26729819438457	3.60092600834899e-07	2.06427821489143e-05
YEL009C	0.824859511882966	11.0361290245045	3.75898638320663e-07	2.1324416503066e-05
YBR072W	4.59209247062066	6.68980776104382	3.86664719566721e-07	2.17090315748491e-05
YNL117W	1.64809558085582	3.92242934539976	4.18515085952253e-07	2.32574812050609e-05
YDR157W	-1.56284917698161	3.44117678045645	4.30875215157786e-07	2.37024891085788e-05
YGL070C	-1.13996271916397	5.95100554252672	4.52996653346687e-07	2.46701977412606e-05
YLR204W	-0.928528290385402	5.06409835195281	4.8436150610942e-07	2.6117156062098e-05
YLR147C	-1.14669195712448	5.53435820945469	5.17234321554074e-07	2.76162560312107e-05
YBR268W	-1.02344450849423	5.16914497222026	5.22350316828212e-07	2.76186390820043e-05
YHR040W	-0.717625828100106	6.61913676421604	5.56844826520415e-07	2.91593935118286e-05
YDL035C	0.626548761761639	6.64738437961518	5.88678931988698e-07	3.05328139391471e-05
YML009C	-1.3291700427386	5.31153918014699	6.08202633369109e-07	3.1247844729511e-05
YFL017C	-0.964416568607697	5.83752376681377	6.18562301252762e-07	3.14830868469397e-05
YPL234C	-0.695668837849079	8.04831899136222	6.24969330564515e-07	3.15146571690218e-05
YAL053W	0.684985871083925	7.62146815270568	6.42001491092042e-07	3.20765148668556e-05
YOR253W	-0.81070266251345	6.81249488451733	6.66530083359128e-07	3.2999298490671e-05
YOL109W	-1.10794383738625	10.2778222115065	6.79188365268415e-07	3.33230615968629e-05
YNR041C	-0.745405627416901	5.13005407489401	7.50195105256598e-07	3.64782369931021e-05
YLL039C	1.70039918370449	7.50867223513478	7.89296731865876e-07	3.78673124333827e-05
YER099C	-0.8274301002375	6.55932840831303	7.92668677452374e-07	3.78673124333827e-05
YNR065C	1.10015594195521	5.34115849197392	8.02776509075955e-07	3.80167032037187e-05
YMR185W	0.611708314146849	6.37634330233414	8.23354580931297e-07	3.83834717684865e-05
YOR276W	-1.34989940279852	5.44908883634437	8.24617369980339e-07	3.83834717684865e-05
YGR210C	-0.756409201913417	7.87547589539121	8.39188463299028e-07	3.87306811112416e-05
YPR044C	-2.75215245425143	5.52868484128695	8.86132716051764e-07	4.05536031228395e-05
YIR012W	-0.893851903618767	8.56317260933239	8.99772484995461e-07	4.08346746107107e-05
YBR016W	-0.95488180845425	5.86720549563676	9.10448408241613e-07	4.09777027378828e-05
YKL163W	2.37987068058934	4.67526079930371	9.81633666516023e-07	4.34385767201352e-05
YNR036C	-0.708873390254673	6.54747737245071	9.92331389589736e-07	4.34385767201352e-05
YJL052W	3.97019481099732	8.87404722638489	9.94472071080768e-07	4.34385767201352e-05
YAL039C	-1.01796370610339	6.1131779965966	9.97029395889993e-07	4.34385767201352e-05
YLR309C	0.908135935444712	7.0785600325901	1.02829160807059e-06	4.44450483932732e-05
YMR015C	0.605512122845786	6.98091007415647	1.0477070672722e-06	4.49276589634991e-05
YBL046W	-0.637522243265434	5.85211514501166	1.09487655859915e-06	4.65835760791483e-05
YDR320C-A	-1.32707058904716	5.92822503932495	1.11838058362625e-06	4.72147337862679e-05
YLL005C	0.846678611509891	4.51808161346831	1.15098935815506e-06	4.82176003424035e-05
YJR072C	-0.876091725224774	7.73463607845206	1.17586988711153e-06	4.88838733222091e-05
YPR160W	2.97967753788036	4.40467487774244	1.23301805572541e-06	5.07601859192493e-05
YDR258C	1.4273295252577	5.13340163077956	1.24755115542179e-06	5.07601859192493e-05
YER024W	0.667367932933144	7.27017384048406	1.24896527968774e-06	5.07601859192493e-05
YJR074W	-0.998083609476353	7.02086084195729	1.27051185338059e-06	5.12533892852646e-05
YDL133C-A	-1.99084000328428	8.22403062592191	1.28670326182711e-06	5.13356032118021e-05
YHR211W	1.05156952094839	4.69443913693857	1.29140243114522e-06	5.13356032118021e-05
YFL021W	1.39986805013672	5.4911152364839	1.35958550087262e-06	5.33582597317902e-05
YEL007W	0.87096581305952	6.67875984227131	1.36187993072325e-06	5.33582597317902e-05
YBR002C	-0.842446927022045	6.99828143361902	1.41480871043778e-06	5.50360588360297e-05
YGL241W	0.645377418795059	5.94059804258892	1.44171648938804e-06	5.56850212851579e-05
YHR072W-A	-1.32814666029546	8.36218917814599	1.48020845488266e-06	5.6769121445711e-05
YMR088C	0.92940378861613	7.04914110336786	1.50224672046203e-06	5.72114380394141e-05
YLR425W	0.872085179860105	5.4374596860667	1.5904027696706e-06	5.99847182513646e-05
YOR093C	0.660062398243743	5.96260095698444	1.59709587705616e-06	5.99847182513646e-05
YLL022C	-0.722345838910782	6.13208582543376	1.62235286739908e-06	6.0515984355174e-05
YDL086W	-0.88231513384877	4.71241903378741	1.72259477139728e-06	6.36450551477957e-05
YER033C	1.04542333632387	4.14113131020998	1.72961222215824e-06	6.36450551477957e-05
YPR182W	-1.04985601148075	5.26866236721653	1.77532361735622e-06	6.488867396055e-05
YOR045W	-1.21468324389476	5.94550013421264	1.80921518679664e-06	6.56865727152968e-05
YGR032W	1.66489866916895	7.98162280911422	1.90108123197655e-06	6.85648237704918e-05
YKR064W	0.703280891177023	5.8428692066528	1.93511286641148e-06	6.93330570426114e-05
YDR504C	1.01254494489766	3.44055385989579	1.96088865522652e-06	6.97973831134878e-05
YNR014W	-1.14851441543003	3.70280891991939	1.97492550678121e-06	6.98405474670809e-05
YER146W	-1.34328294997187	4.78527290003053	2.09250221195514e-06	7.3521077718114e-05
YGR233C	0.97735584667992	5.77332959353142	2.22515924254563e-06	7.768087971092e-05
YDL048C	-1.15251288584335	8.21114655546189	2.3702399152661e-06	8.2218640627638e-05
YOL082W	1.25171244646615	5.03814415281836	2.42125324211605e-06	8.34566149149622e-05
YGL255W	2.85880179978521	9.96032555845647	2.57629424148576e-06	8.77654765790321e-05
YBR140C	1.18048157927244	6.87706680837275	2.57849361965574e-06	8.77654765790321e-05
YDR040C	1.59601328556734	4.10767922737116	2.61503118241048e-06	8.84562721702327e-05
YJR089W	0.715542241936175	5.85357678421849	2.6520986308098e-06	8.84894482485569e-05
YPL249C-A	0.844064833173191	5.04356931261934	2.65216330243903e-06	8.84894482485569e-05
YLR454W	1.06579505039767	5.93227328406118	2.67947919257479e-06	8.84894482485569e-05
YEL017C-A	-1.51632090572012	8.30282587439212	2.68100605233417e-06	8.84894482485569e-05
YNR067C	1.19843560488962	7.95228239440977	2.77520178817506e-06	9.10466803518156e-05
YGL198W	-0.860772059515841	4.55312828132204	2.8517431645302e-06	9.29975645151584e-05
YDL047W	-0.611355230287649	7.20156745543618	2.88386576225285e-06	9.31334427572807e-05
YER075C	0.929432019835021	6.43012253387395	2.89011234410217e-06	9.31334427572807e-05
YDL117W	0.709716789939605	6.6232971309756	3.08934521057769e-06	9.89680824518004e-05
YPL058C	1.81752717349776	9.53053384931506	3.11468606650396e-06	9.91812491787485e-05
YEL022W	0.775363332437502	7.04790495067636	3.13242285323994e-06	9.91812491787485e-05
YBR254C	-0.849686940165004	5.31211531986787	3.23028077076152e-06	0.000101321216969104
YMR059W	-1.0511456817318	4.74143083885951	3.23721846357403e-06	0.000101321216969104
YJR056C	-0.716668742632405	6.04534746969663	3.31383313762617e-06	0.000103126487242926
YML002W	0.700153073948266	5.12120626786788	3.41792257769197e-06	0.000105761399761991
YMR173W-A	2.34321067435351	3.75009518177959	3.45341219376692e-06	0.000106255835069235
