logFC	logCPM	PValue	FDR
YLR076C	-4.04553453068424	5.65852723258438	4.38209666347512e-70	2.37816385926795e-66
YGR146C	2.08758805356107	6.1244011271894	1.84725429978815e-61	5.01252454247513e-58
YGR142W	1.66581458253511	5.75826577356019	3.07268512907821e-55	5.55848739850248e-52
YML123C	3.69269467829948	8.39307042918704	1.16560441489202e-35	1.58143378990475e-32
YOR208W	1.72289735788448	5.36018530614326	1.32763199851611e-32	1.44101177118938e-29
YPL240C	1.87978682399528	7.30682158583423	5.65016710961007e-32	5.11057615064231e-29
YOR385W	1.49513601476092	6.43491466359119	1.60445241157664e-31	1.24390903394663e-28
YAL005C	1.44674529841885	6.91847107717018	1.38728831769103e-30	9.41101712513651e-28
YDR281C	2.46870346386273	4.39836620826568	3.42260289701815e-30	2.06382954690194e-27
YPL142C	2.40150425285534	5.57220172794934	7.6508806560352e-30	4.1521329320303e-27
YNL336W	1.53045381656053	4.12505542417259	3.11952391929475e-27	1.5390596645466e-24
YLL024C	1.82004857407348	10.2237314889301	3.78718949732407e-26	1.71275645016481e-23
YBR191W-A	2.49957660130471	5.9140280311185	6.81645878187776e-24	2.84560936994235e-21
YDL234C	1.03514407051012	6.06540972961107	9.54950479443791e-24	3.70179732281533e-21
YJR152W	1.61747320613851	5.342212603559	1.1685871166042e-22	4.22794818787399e-20
YDL214C	2.53780653692945	4.29481010677537	3.32466225802721e-22	1.1276838796446e-19
YOR134W	2.65228427050888	4.41727183500933	2.46538543368247e-21	7.87038044034986e-19
YBR012C	1.80653376082435	5.19459222055768	7.41110653169123e-21	2.23444861930491e-18
YBL113C	2.27258174685843	3.72561259239798	8.15049577213263e-21	2.29613108259386e-18
YKL096W-A	-1.87143119773095	8.95409802037104	8.461879795813e-21	2.29613108259386e-18
YDR385W	1.58785024788208	8.95597857981523	2.06307072068024e-20	5.33156419101508e-18
YGL032C	-1.58236287712057	5.38475578461204	2.26976232558024e-20	5.59909097314725e-18
YKL163W	2.20861423667362	4.52903588159137	1.49296129748263e-18	3.52273954845141e-16
YGR161C	1.26081165653947	6.07876537887759	1.97242535006387e-18	4.46014682283192e-16
YPL189W	1.49046573356781	3.69467823651576	4.85959923148938e-18	1.05492180117171e-15
YOR298W	1.89523801302593	3.87212370094784	1.15370349760419e-17	2.35994103466996e-15
YOR133W	1.59643834963724	8.46020057508697	1.17410001724873e-17	2.35994103466996e-15
YCR013C	-2.60691561675386	6.7142525151044	1.56190502075677e-17	3.02730662415964e-15
YPL088W	1.35365048812022	5.23993252881911	1.70298814666721e-17	3.1869367834355e-15
YGR213C	1.63690063742677	4.10190389820739	2.49427961558304e-17	4.51215182458973e-15
YER073W	-0.911073782389628	9.03928401657238	4.11760358630251e-17	7.20846279447217e-15
