logFC	logCPM	PValue	FDR
YCR013C	-4.81511152390369	6.63753593104221	7.47472587263686e-21	4.17164450951863e-17
YEL017C-A	-1.85478273394178	6.39501973735585	2.64247168068322e-13	7.37381722494653e-10
YEL033W	-2.23724679533862	6.75319970385611	6.96384854546809e-09	1.29550795774191e-05
YPR044C	-2.98338949876596	4.28101526355603	1.17702946190018e-08	1.64225035671622e-05
YDR510C-A	-1.79599150843335	4.19926433465169	1.67610810322784e-08	1.87087186482292e-05
YDL184C	-3.09619652193275	6.5796275251296	1.70124282756842e-07	0.00015824393701099
YOL086W-A	-1.36843594971431	5.5789675202772	4.06736978020573e-07	0.000324285582047546
YFL010W-A	-1.36206515001173	4.97496781565266	7.99643799678837e-07	0.000557851505750949
YBR230W-A	-1.87374257814877	6.44606911154102	2.04972944169991e-06	0.00127106000156969
YGL198W	-1.57675801954698	5.00062267796119	4.66894628988778e-06	0.00260573892438637
YOR045W	-1.51462460876075	7.05862367055813	6.97910660479266e-06	0.00331483098390336
YJL188C	-2.34324836737749	7.02225679248371	7.12739147228819e-06	0.00331483098390336
YIL156W-B	-1.32044270370036	6.14044542428346	8.99759024586471e-06	0.00386273470478238
YLR099W-A	-1.18669442294928	5.53301171514353	9.86219485979269e-06	0.00393149353660736
YFR032C-A	-1.69807479741427	9.09136887673145	1.76140246005625e-05	0.00655359141971595
YDR115W	-1.17085593601498	6.29413245597224	2.36039557803989e-05	0.00823335482565039
YOL026C	-1.08319153595209	5.67773985707141	4.56533637626826e-05	0.0149877307740901
YDR320C-A	-1.29703733872524	6.17713036537883	5.66887504770531e-05	0.017576662022913
YDL086W	-1.24733548138718	5.45545228910102	6.62077894230686e-05	0.0194476669879024
YDL133C-A	-3.10054366764583	7.91205707676517	7.38734491448718e-05	0.0201187077006708
YJL138C	1.31428644962989	8.0588269458877	7.5809821356415e-05	0.0201187077006708
YPL189C-A	-1.24846499244164	5.62688855282156	7.93068570891879e-05	0.0201187077006708
YGL068W	-1.09280843323381	5.54787134695751	0.00013239143437765	0.0313185962551058
YKL169C	1.27350720726751	2.71347902951473	0.000134679503695133	0.0313185962551058
YKL018C-A	-1.18894795350805	5.5404443289877	0.000143424458618184	0.0320180761419234
YBL095W	-1.15231738294362	4.44543192260629	0.000155965504379991	0.0326341932968864
YBL003C	-1.63473125525307	9.1138826328871	0.000160252145720897	0.0326341932968864
YNL179C	-2.00724833392407	3.34956935906008	0.000163726466997459	0.0326341932968864
YGR144W	-1.29030105182695	3.73947299898798	0.000208914849561872	0.0402053026001658
YDR385W	1.36094034085895	7.90426792870952	0.000278816784130691	0.051869215741113
YNL143C	-1.56159456589527	2.76016176501901	0.000335804309712954	0.0548611290078283
YGR181W	-1.07754900819618	5.31737010098893	0.000348478631951487	0.0548611290078283
YDR040C	-1.14296814468143	3.44899162903019	0.000348497203854125	0.0548611290078283
YPL234C	-1.15877056152295	8.10064647863834	0.000356493151067793	0.0548611290078283
YGR203W	-1.07001660377781	5.05842262169733	0.000365127586692696	0.0548611290078283
YIL002W-A	-1.04960146970517	5.81404978243217	0.000366230493382389	0.0548611290078283
YFL060C	1.10579933862826	2.59777557811308	0.000371468844762868	0.0548611290078283
YJR079W	-1.19186696024102	4.06650409498333	0.000374441933460745	0.0548611290078283
YPR146C	-1.15371864857302	3.70941907594936	0.000383369294267211	0.0548611290078283
YJL151C	-1.02136173242536	7.33725698429724	0.000407646224885889	0.0568768395272036
YDR231C	-1.30378785203316	6.14340353540383	0.000448359885716625	0.0601424413552699
YPL250C	1.39098643345165	5.74634353974151	0.000452603930643493	0.0601424413552699
YIL020C-A	-1.40134964367058	3.15000403921541	0.000594529360348944	0.0771643804676153
YML129C	-1.18335612188703	6.43481134815936	0.00065170039660403	0.0810811078747041
YJR112W-A	-0.896221283655133	5.73651966247177	0.000653762740433916	0.0810811078747041
YNL024C-A	-0.880774017509517	5.57799934927882	0.000696258493788704	0.0844743185616251
YER018C	-1.03424976419264	5.80833813541639	0.000757685062509558	0.0887250178060846
YDR524W-C	1.17890249153132	9.30867273691899	0.000763089205284368	0.0887250178060846
YER095W	-1.08149146828299	6.13922323423882	0.000809434938139244	0.0911519109671003
YLR438C-A	-1.01279170929417	7.12051416912107	0.000816627046829424	0.0911519109671003
YDR084C	-1.01228459080141	5.95631667032403	0.000869131450260595	0.0951102475275368
YLR050C	-0.937341647528201	5.37280124183234	0.00108235422143501	0.116165748265939
YER146W	-1.39951724125744	4.17372767423382	0.00116951730633813	0.123152378993832
YBR016W	-0.86207989893025	6.5283645174227	0.00124962594394699	0.128066309649322
YMR056C	-1.24809636960097	6.5942571998007	0.00127764781372079	0.128066309649322
YGL166W	-1.39524320203324	4.37064313732673	0.00128502299594374	0.128066309649322
YMR071C	-0.789575085533399	6.69434961726765	0.0013849619969862	0.135604787810175
YJR085C	-1.07535503871698	8.27056240555168	0.00145019794507873	0.13787517851194
YGR137W	-1.20595728392201	3.83854247130848	0.00145755877659998	0.13787517851194
YCL005W-A	-1.1185211836643	5.31356481829959	0.00151736530524193	0.139646953391489
YER147C-A	-1.21745379118009	4.47680351209752	0.00152633294335797	0.139646953391489
YMR251W-A	-2.20662924365847	9.31812788390089	0.00158694002648796	0.141673839261216
YKR059W	0.957656774060151	7.9184633466395	0.00159925674134682	0.141673839261216
YBR162W-A	-1.18703062181976	6.59784370946011	0.00172359949277902	0.150303262018745
YOR020W-A	-0.803436737319502	6.21110907673331	0.00178236033270664	0.152925799803238
YJR058C	-0.957094513121799	5.6628442988056	0.00180847568303417	0.152925799803238
YGR089W	0.702703410267419	6.55069549441164	0.00185782900690078	0.15475438339572
YLR263W	0.931621246652936	5.18991020846718	0.00203015506803739	0.16662199168701
YDL130W	-1.23172593829403	10.0810101981306	0.00208899080132479	0.16896605307527
YDR461C-A	-1.2317667684636	5.06894494455949	0.00231827270328834	0.184832570815032
YCL033C	-0.758487559336104	6.46913290259085	0.0024545898406889	0.19284427824358
YMR074C	-0.907118474928935	6.58336964224667	0.00250327032221965	0.19284427824358
YLR343W	0.879152083631136	5.74436602023445	0.00252242112735734	0.19284427824358
YCR075C	-1.36513061731232	4.71500615022663	0.00257502341916092	0.194205482464015
YLR262C-A	-1.05969347114809	7.76508134759084	0.00276214271966199	0.201139954122839
YDL094C	-1.72293426857301	2.73341722181585	0.00276924899470478	0.201139954122839
YBR264C	-0.832208219461622	5.39965265382163	0.00277508985261756	0.201139954122839
YAL037C-A	1.65819827371565	3.73189544080915	0.00285941152603447	0.203903215583798
YOL157C	0.903908530274519	2.92932958115447	0.00288628454239742	0.203903215583798
YPL013C	-0.932346110956159	6.82719496390469	0.00309412370424093	0.215853804917108
YLR204W	-0.917685125314659	6.61099783568699	0.00324770961465942	0.222925297566616
YLR437C	-0.820521174754878	5.03494849834674	0.00327537616922819	0.222925297566616
YDR322C-A	-1.08217836620711	9.00228654981721	0.00347310524318895	0.232425235661441
