logFC	logCPM	PValue	FDR
YDR345C	7.29927308381168	12.2426160758785	1.16238973788098e-73	6.3791948814908e-70
YGL209W	3.18420709318275	7.31447476067109	2.95401911526721e-19	8.10582845229322e-16
YPL250C	1.93329055542616	6.30376549125746	5.75853702978197e-19	1.05342837398145e-15
YOR047C	1.91996135652181	5.56796089143458	3.7901651967381e-17	5.20010664992468e-14
YEL017C-A	-1.79671448794518	6.15530387831843	1.28665400203165e-15	1.41223143262994e-12
YGL157W	1.82364163718947	5.31306625133444	8.28511285017188e-15	7.57811655362388e-12
YDR320C-A	-1.64121149339685	5.90541383588013	1.43531602542471e-11	9.12525314626662e-09
YKR075C	2.44025226374623	7.56623831043578	1.46729357237216e-11	9.12525314626662e-09
YDR461W	-2.49453184727588	7.49340332371971	1.49648830751457e-11	9.12525314626662e-09
YDR343C	-4.4821016768881	7.8004154727897	2.82628274821636e-11	1.55106397222114e-08
YBL113C	2.60580549219384	4.30655116088062	4.6715824080643e-11	2.33069493231426e-08
YGR161C	1.71043871753929	6.86609979579448	7.45046048033743e-11	3.40734392634098e-08
YDR040C	1.37569318913418	4.34992052755249	1.68022606199665e-10	7.09313894479815e-08
YKL018C-A	-1.47647642821472	5.28793414527439	3.36613510937969e-10	1.31952496287684e-07
YER147C-A	-1.70194360085702	4.19715979428251	3.77796715953038e-10	1.38223225143351e-07
YHR094C	2.59105133126989	5.72385487663054	1.75266925835535e-09	6.01165555615883e-07
YML129C	-1.66877528354194	6.14008448219479	2.05729169554354e-09	6.6414216618488e-07
YMR173W	-1.87696681620978	4.79494407771414	1.30064363748885e-08	3.96551793474379e-06
YDR007W	-1.09621202939106	6.08605578801595	1.40788524314619e-08	4.06656537599278e-06
YOL058W	1.51835290869737	10.4392694512952	1.79491885523545e-08	4.92525733876608e-06
YJL151C	-1.37946453263716	7.07224197412882	2.03105712945425e-08	5.30782929830712e-06
YPL271W	-1.33640593738162	9.01819707076473	6.91380397168493e-08	1.7246798271185e-05
YIL156W-B	-1.16781464480907	5.97440502338126	9.23982792646486e-08	2.20470328958431e-05
YGL117W	1.25902994637534	7.54102016410032	1.43878894613808e-07	3.10468596870362e-05
YOR133W	1.35137922206935	7.73734767281535	1.45224409457439e-07	3.10468596870362e-05
YDR385W	1.58640330442893	8.23824843182166	1.47087892103306e-07	3.10468596870362e-05
YCL030C	1.19196376759286	10.1239930385616	2.21131765191373e-07	4.49470787914909e-05
YPR018W	1.15618703664252	6.49600859207088	2.38957314313062e-07	4.68356336053601e-05
YOL109W	-1.46431699528353	9.93151234279179	3.24099988777358e-07	6.13331289106945e-05
YJL037W	-1.4929501168349	4.05724083382221	3.48547002813612e-07	6.37608650480367e-05
YNL145W	-1.68569734922694	7.09677278710348	4.51179688614383e-07	7.98733590682495e-05
YOR045W	-1.21174366317294	6.89495721235119	6.32151467508391e-07	0.000108413976677689
YDR536W	-2.85583680071333	6.96478994857742	7.44570149271837e-07	0.000123824272097086
YIL002W-A	-1.2116717215988	5.598624313848	8.61472333794196e-07	0.000139051769643016
YER074W-A	-1.14334942895458	6.03585573142205	8.91261981930765e-07	0.000139749878766744
YDR354W	1.09806148508418	6.93812720657941	9.40089593684222e-07	0.000143311435837195
YGL032C	-1.57505636563333	6.23220581652469	9.80159609680937e-07	0.000145003774795693
YHR211W	1.29316512717473	5.35657102878029	1.00403488378942e-06	0.000145003774795693
YAL024C	1.11689778380585	5.88514486600384	1.24848281319714e-06	0.000175683940482715
YDR276C	-1.48001288614699	7.79354736865854	1.94043969072505e-06	0.000266228325567477
YDL067C	-1.32215526573372	8.39088950043058	2.1890852171362e-06	0.000293017065162035
YPL189C-A	-1.33104274955141	5.4289779681613	2.25150351767538e-06	0.000294196459642916
YJL188C	-1.68894130142784	6.83390475328312	2.43389959422962e-06	0.000310633511003074
