	Tneg1	T45	T60	T90	T180	T300	Galactose.minusLys	Galactose.plusLys
Q0045	2.38746754808199		1.39417670707715	1.398229676970895				
Q0130						-2.2893885819643454		
Q0160	1.84407434411568							
YAL005C		1.54761812755884	1.831801502858485	1.4181316928054601			1.19249279448917	1.259093295839485
YAL012W							2.1690883867322555	2.65038543694859
YAL021C								-1.1097668087418948
YAL034C								-1.148872036908385
YAL037C-A	1.599123517602535	1.58593964981462	2.67940908310901	2.565757535271505	3.472985528082685	2.56547721422717		
YAL037C-B			1.559826190684135	1.592666406954515	1.932526931145015			-1.3430946518615652
YAL037W							1.0611000825096752	1.803216297547665
YAL038W								-2.8544614450168098
YAL044C					-1.0811279958463649			
YAL054C							-1.23012194714306	-1.5726143101180199
YAL055W							-1.467359282388325	-1.55756185338217
YAL061W	-1.500116915763535					-1.50348361965837		
YAL062W						-1.503155806402075		-1.5809260171558701
YAR015W	-1.25119858033237							
YAR028W								1.7569053364068048
YAR035W	2.5334848523652402	1.1816888518013302	1.17603882728301	1.12020175820731	1.3408703311270251			
YAR050W					1.2180437640548498			
YBL001C					-1.2243782229223	-1.08934166750403		
YBL002W	-1.1645998313117052							
YBL003C	-1.5300313967451349	-1.876752152454265	-1.38899019109766	-1.05808614438441	-1.20512510971474		1.22113937909732	
YBL006C			-1.0699708661715701		-1.53179989066874			
YBL027W							1.2659792524823152	
YBL029W							-1.100720440970185	-1.00768586467863
YBL034C					1.1327975047881398			
YBL039W-B							-1.2678891230639	-1.545748809056295
YBL043W						-2.56892357836249	1.5543994841175999	2.016934025388505
YBL048W	1.07473086605422							
YBL055C								1.129697572327395
YBL069W						-1.591546889052365	1.9369064449508002	2.39847604186227
YBL071W-A						-1.387433607549165		
YBL075C							-2.236807424259265	-1.042011804638395
YBL092W							1.33349536228095	
YBL095W						-1.9503286101479749		
YBL101C		1.073935571486055	1.069737580072185		1.083768283164245			
YBL102W						-1.13256060130564		
YBR005W	-1.19115357635418							
YBR007C							1.76903821321751	2.047199138346485
YBR009C	-1.3806689636032452	-1.3413600012046452						
YBR010W					-1.071986307599515			
YBR019C								1.573524509579015
YBR020W					1.125033520895455		1.27537132264594	2.087702849424695
YBR026C		-1.2600108254690547					-1.437372587947645	-1.4689172442494152
YBR029C						1.0610353906904102		
YBR034C							1.38626632708776	
YBR035C						-1.179798016380615		
YBR045C					1.2087632122881198	1.90003683813932		-1.052870196416045
YBR046C						-2.5691001754273604		-1.247729447810325
YBR047W						-3.41396735450399		
YBR048W							1.60735828202947	
YBR053C			-1.113593213597595					
YBR054W	-1.27030810107456			-1.16778541925338		-2.707014825946105	1.6175057031823248	1.22985245660065
YBR056W							-1.36221381696619	-1.041413085722755
YBR066C								1.096821116030585
YBR067C						-1.5770836738962	1.255605265314715	
YBR068C						-1.101171776787375		
YBR069C								1.0580225838002901
YBR071W								-1.15387133823577
YBR082C						1.1483967581446701	1.7995393538814701	1.7036524152771202
YBR084C-A							1.1290370644400298	
YBR084W							1.4545501205434	1.608894528504655
YBR086C							-1.153534437742875	-1.3794370502915148
YBR093C	1.719565227321415	1.224592403179475	1.2370103108317552	1.78220545988502	2.119741534543435	1.3908342129574052		
YBR094W								-1.048114399145915
YBR096W							1.191608766604515	
YBR101C							1.305509693222245	1.496017570223415
YBR104W							1.307846546813105	1.543584065616645
YBR105C						-1.890957521604185	1.6124851908634001	1.678737176184385
YBR106W							1.04255929474587	
YBR111C						-1.18364330210992		
YBR114W							1.06712371403762	
YBR117C	-1.24430773705497						-1.8856787139209352	-2.746324721697805
YBR126C							-1.157905410027	-1.178650577185035
YBR127C								-1.09400358151862
YBR136W					1.173564449137325			
YBR139W				-1.10835545868396			-1.0631106523649199	-1.2313792948295599
YBR140C							-1.112323315670745	-1.687318085204375
YBR145W						-2.10603450928887		
YBR147W						-2.6416259777830104	-1.207942176322935	-1.17366734584245
YBR149W							-1.10484139763921	
YBR150C							-1.217560579634395	-1.204712480114595
YBR155W							1.2897071785579999	
YBR158W							1.368990718840025	1.474456855982575
YBR162C							1.268179714494545	
YBR181C							1.933139572447785	
YBR182C							1.38129829088065	1.64032254498155
YBR185C								1.069622037955365
YBR189W							1.364952872159285	
YBR191W							1.9833272209605948	
YBR195C							1.0944114513769052	
YBR196C								-1.96329831498553
YBR203W		1.199906487851925				1.2716593715089801		
YBR207W						-2.237759283774215		
YBR208C		1.63340099706766	1.32896613378768	1.335301661912725	1.2707694621616699			
YBR212W								-1.4111348045233398
YBR214W							-1.3144049487412202	-1.55791098750062
YBR225W								-1.509041703911115
YBR229C								-1.204340384980045
YBR230W-A	-1.0586594217083851	-1.759486260192415	-1.7105706956382951	-1.787594773016735	-1.602237004016295	-1.5841384858822347		
YBR233W						1.239561226364275		
YBR233W-A					-1.178056108268375			
YBR238C							2.24030584181944	2.1288784346805603
YBR240C						-1.314693382536805		
YBR241C							-1.6792634618340199	-1.7500796492644848
YBR242W								-1.039528105584775
YBR247C							1.190553645627005	
YBR248C						-1.43964639540458		
YBR249C							1.4413807926066098	
YBR256C						-2.0085215089654347		
YBR261C							1.18843062487135	
YBR262C					-1.236822473896205	-1.64378037598909		
YBR265W	-1.396917950140185							
YBR268W					-1.213263375257935			
YBR269C						-1.747124354435835		
YBR280C							-1.73308637697457	-1.7093150117278402
YBR286W							-1.5837929892400449	-1.31902190909884
YBR294W							1.7743438950617398	
YBR295W	1.26253396059907	1.2756054656443898	1.56431052389848	1.1343024151918502	1.5420184918302198			
YBR297W		1.347011308664205						
YCL005W-A						-1.3154183537118298		
YCL012C							-1.607710456496775	-1.738258706302
YCL014W					1.2083723077680801			
YCL021W-A				1.15856314370798				
