baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
YDR034C	1285.30572558216	-5.99560119938759	0.177316262712154	-33.8130361405177	1.26878052514646e-250	7.75986169179574e-247
YPL187W	857.722192498808	4.11105196191102	0.168079487734019	24.4589748418119	4.03922931892361e-132	1.23519632572684e-128
YBR296C	7131.06740685735	-2.90208778227856	0.119444356244235	-24.2965668159697	2.13116608017535e-130	4.34473724878414e-127
YGL158W	300.426405560445	3.04960096587372	0.165212088699242	18.4587035360671	4.43868385343549e-76	6.66494575389764e-73
YNL145W	1497.6484785282	2.1742861909429	0.117862662946738	18.4476248591589	5.44877841227734e-76	6.66494575389764e-73
YGL032C	727.325294205347	1.94762635298418	0.120389276941815	16.1777394337661	7.24043503512436e-59	7.38041677913677e-56
YJL116C	23976.0294768668	1.90281998909812	0.118567701809265	16.0483838352464	5.86720449860427e-58	5.12626038763768e-55
YNR050C	659.880517731044	-2.20046284453636	0.141452575438484	-15.556187914679	1.44450034832385e-54	1.10432051629358e-51
YLR136C	2492.52366737332	-2.12780727804111	0.143002143117664	-14.8795481777523	4.47511412067267e-50	3.04108866244823e-47
YDR508C	809.860181669167	2.13681247365565	0.145387979713714	14.697311826351	6.70698241029333e-49	4.1019904421354e-46
YDR019C	1368.8641007338	-2.25025980055325	0.154886842601433	-14.5284115988069	8.00552839497856e-48	4.45107378760808e-45
YGL162W	1590.51087874165	2.14352128184462	0.152463424870875	14.0592491849112	6.75995911884848e-45	3.44532583090644e-42
YFL026W	1557.93589470088	1.45197044088811	0.107728134720092	13.4780987776382	2.10460339228636e-41	9.90134949786413e-39
YIL094C	715.078728058779	-1.72157752797873	0.132015712574099	-13.0407017044462	7.17932373234502e-39	3.13633885335872e-36
YDR461W	1032.05117509401	1.49090444424322	0.114811460266541	12.9856761753749	1.47529449479944e-38	6.01526742012892e-36
YMR085W	2875.68600287629	-1.45814627531434	0.116033019247995	-12.5666494310372	3.22087014367572e-36	1.23117761242004e-33
YMR189W	839.001226816904	-1.59197055965659	0.126969023059303	-12.5382595006109	4.61009622392822e-36	1.65854991209088e-33
YIL015W	1669.26534289222	1.57157317042848	0.12645317954549	12.428103240086	1.83947252202959e-35	6.250118858185e-33
YOR383C	4379.84540433317	-1.43824899278713	0.115784104188074	-12.4218173372997	1.98989228294009e-35	6.40535852761135e-33
YOR388C	237.690281065934	1.9588135927084	0.163747181639599	11.9624263031267	5.59042061041573e-33	1.70955062266513e-30
YGR234W	2592.9518446832	1.87927368301991	0.15741266070921	11.9385167276444	7.45406011679201e-33	2.17090627020476e-30
YLR307C-A	6178.69554944212	-1.84894441656985	0.156861497518321	-11.7871144023338	4.54859912834495e-32	1.2645105576799e-29
YEL065W	4883.24407611851	-1.60189617481447	0.136932818472616	-11.6984094294007	1.29864815385032e-31	3.45327482997764e-29
YBR115C	1169.0890741822	-1.25388179935215	0.109324162423653	-11.4693931474463	1.87972842341287e-30	4.79017459899712e-28
YDR536W	2654.39159127794	1.28047647842838	0.115274900865908	11.1080249803717	1.14667614157795e-28	2.80522851275631e-26
YGR060W	1646.14739973452	-1.55142040484807	0.140531334112966	-11.0396760597246	2.45918134241999e-28	5.78475118855409e-26
YMR084W	1160.60328172361	-1.26096736812991	0.114513787810392	-11.0114894655112	3.36395774090373e-28	7.61998723828415e-26
YGR035C	118.236629654079	2.4285347946835	0.225792687976026	10.7555953935114	5.57726704166934e-27	1.21823447238749e-24
YKL110C	406.161282632578	1.47356754728182	0.137552093172716	10.7127962453581	8.8643189822291e-27	1.85091685293065e-24
YNR044W	1489.83404596906	1.61975566861807	0.151229491727303	10.7105806553845	9.07905585152378e-27	1.85091685293065e-24
YMR120C	1110.02629076268	-1.73217725918894	0.163598278388271	-10.5879919779958	3.38781102877371e-26	6.68382330709032e-24
YOR178C	4901.70720393477	1.13364762979489	0.108338138005063	10.4639755737902	1.2643674362316e-25	2.41652226249765e-23
YMR238W	1645.32794855059	-1.08739011241554	0.10608689396959	-10.2499948082865	1.18349894827063e-24	2.19341805079491e-22
YDR133C	8284.55221933623	1.17648662042275	0.115238218549658	10.2091704924767	1.80400451145974e-24	3.24508576237875e-22
YMR009W	1261.50389079628	-1.12077567889693	0.111255935521551	-10.073850654735	7.20987881505185e-24	1.25987482379592e-21
YKL209C	1109.01950906007	1.08026139737105	0.110987721380189	9.73316132575246	2.17719310573713e-22	3.6988091763023e-20
YPL240C	8739.94178876444	-0.902113455196805	0.0948209118925801	-9.51386605750832	1.83705409859672e-21	3.0366007748696e-19
YLL009C	776.778769662389	1.11022556074236	0.119240785558926	9.31078703933656	1.26888570879309e-20	2.0422381565733e-18
YNR073C	229.090160764628	1.66835614275781	0.179251797657864	9.30733283881584	1.31082594467331e-20	2.05564396862101e-18
YNR071C	288.760242289067	1.57421993156953	0.170681034345366	9.22316845340982	2.88448167308063e-20	4.41037247814028e-18
YPR027C	699.719688573642	1.137935332699	0.123601612910494	9.20647640353236	3.37006011102644e-20	5.02714332659456e-18
YLR058C	2455.72724791076	-1.5362905050207	0.169465032989588	-9.06553097071706	1.23998828456393e-19	1.80565913056976e-17
YOR212W	774.81196365168	1.02128120788264	0.113133796467803	9.02719823579231	1.76123180591967e-19	2.50504505232668e-17
YMR195W	4688.47233489658	1.03621837068411	0.114833340922915	9.02367171725586	1.818884673238e-19	2.52824969580082e-17
YGL009C	4076.31944375683	1.06761944178721	0.118360596733528	9.02005795214771	1.87989827423626e-19	2.5549906322731e-17
YJL157C	522.594016642962	1.36076048739551	0.150980163488145	9.01284285271258	2.00782870675557e-19	2.66953921098198e-17
YBR185C	572.008369672592	1.29434468613219	0.143752850512304	9.00395840165551	2.17722666937086e-19	2.83317410848344e-17
YML075C	1354.77385824082	-0.931034280422692	0.103927052926003	-8.95853634073121	3.29016541580221e-19	4.19221910063465e-17
YGR087C	1336.25032438358	-1.39811507432057	0.156548980406415	-8.93084752574526	4.22757429556492e-19	5.27670293707654e-17
YHL036W	735.295740558284	-1.11421104374779	0.125702328072494	-8.86388550500992	7.72731119857379e-19	9.45204705809546e-17
YOR375C	4574.3105303839	1.03117508095463	0.116553264198967	8.84724325862137	8.97077090605242e-19	1.07578891885131e-16
YCR007C	1092.73664459365	-1.10263788935909	0.125578986330804	-8.78043310888403	1.62846342073887e-18	1.91532351562287e-16
YOR128C	708.509727344963	-1.21987807574465	0.13941986757057	-8.74967174335599	2.13974248453905e-18	2.46918208215864e-16
YLR023C	3696.63033832308	1.08550232548697	0.124167622196275	8.74223333173835	2.28546857890115e-18	2.58850478306656e-16
YHR033W	6470.9147717106	0.918725797843854	0.105228374911883	8.73078006396266	2.52922085371503e-18	2.81249358933111e-16
YHR210C	124.672964023828	1.77728708234716	0.20620325326047	8.61910301726491	6.74806251699583e-18	7.36984827749045e-16
YDR234W	879.9383848206	1.01863044167891	0.118682714697857	8.58280369026064	9.2588288171206e-18	9.93456088517712e-16
YBR071W	1122.7048289008	-0.936249471360356	0.109174096735046	-8.57574735546048	9.84454331328897e-18	1.03809011903578e-15
YAL063C	842.175897676706	1.04038138671744	0.121520668072639	8.56135341599298	1.11550181359828e-17	1.15634052406222e-15
YOL020W	742.045089972392	1.04704644173182	0.124072169050622	8.43901134108989	3.20033043892898e-17	3.26220349408161e-15
YHR208W	709.209326619504	1.22015550267163	0.144654235273876	8.4349794553992	3.31260993576118e-17	3.32129874870744e-15
YCL027W	382.517965771286	1.19523697611115	0.142898281679812	8.36425016494799	6.04984351389428e-17	5.96787789209313e-15
