baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
YDR345C	30083.0959152823	7.83719974267805	0.213808358830787	36.6552541983665	3.77385169440457e-294	2.29676614121462e-290
YDR342C	9352.301933099	4.63172560992805	0.162350265497785	28.529214878255	5.08724275856296e-179	1.54804797143071e-175
YKR075C	5057.87614303661	4.55966764702022	0.161646138385072	28.2077115641218	4.70325963972138e-175	9.54134605578145e-172
YHR092C	5051.61121011684	6.8523608109145	0.254580664622238	26.9162656994491	1.41687323385682e-159	2.15577262531315e-156
YMR011W	6447.83060510076	5.14093807150367	0.202701816031373	25.3620720926742	6.61366495349124e-142	8.05015298138954e-139
YHR094C	1073.0869843914	5.27031428070307	0.235326600651919	22.395743898492	4.33025637332482e-111	4.39232338134248e-108
YOR047C	453.547468494038	4.29992493899655	0.201265381186528	21.3644538054534	2.86180440373439e-101	2.48813451444678e-98
YFL054C	2038.36471585977	3.90251453160287	0.189596703534241	20.5832404195681	3.87866324853508e-94	2.95069306632306e-91
YKL038W	875.954516218824	-4.9708533410837	0.246657511803752	-20.1528560988593	2.54026722366244e-90	1.71778514702329e-87
YBR033W	254.866826076941	-4.62639683090178	0.245463992703115	-18.847557965446	3.07723503126858e-79	1.87280524003006e-76
YDR277C	4365.47863528479	2.52755916643533	0.134574897315904	18.7818026752944	1.06405445709709e-78	5.8871231144481e-76
YNL234W	875.2819979904	3.16398115085566	0.169087744484225	18.7120666876648	3.94765435081265e-78	2.00211869825381e-75
YFL053W	612.834111661332	3.82769756995476	0.211828209496114	18.0698197801883	5.50933732462515e-73	2.57921745828221e-70
YJL216C	258.430570968657	4.13695219176099	0.247716757743101	16.7003323854711	1.30336708658516e-62	5.66592292068377e-60
YLR303W	157.062827289714	6.27886640129012	0.379481858252075	16.5458934722495	1.71402773905216e-61	6.9543818799143e-59
YOR062C	1078.58181478614	2.61843236601779	0.160750584624292	16.2887890712038	1.18553393231785e-59	4.509474695054e-57
YDL059C	506.841307686069	-2.92448978904963	0.180742009616858	-16.1804651572097	6.92691345656898e-59	2.47983501745169e-56
YGR087C	1525.36583266931	-4.29570697029644	0.267482390931994	-16.0597748335089	4.88320691231095e-58	1.65106651490691e-55
YKL096W	213.350948707283	-2.91649335681695	0.194846241141079	-14.9681787020221	1.1852281891044e-50	3.79647303099441e-48
YLL057C	583.364304261452	-2.53445855504094	0.182914938122813	-13.8559408053335	1.1711231289612e-43	3.56372768142892e-41
YIL162W	745.938771760961	1.98422196254114	0.146929438518312	13.5045909284805	1.46927584932756e-41	4.25810134238453e-39
YFL055W	736.225030546299	-1.94265505179138	0.150048038755926	-12.9468873295397	2.44675260305545e-38	6.76860742827067e-36
YHR139C	6186.2761711901	-3.44831833682899	0.266505507211866	-12.939013429421	2.71088316988975e-38	7.17323259649956e-36
YMR244W	847.04487892255	2.93961536437954	0.227302629546813	12.9326060602133	2.9465899526882e-38	7.47206102169183e-36
