baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
YHR092C	3845.56924765973	6.83273118938261	0.156344666459177	43.7030014782544	0	0
YDR345C	18045.6207397112	7.1191873665678	0.213722775417256	33.3103823524135	2.7314474308778e-243	8.3063316372994e-240
YHR094C	1669.88230735422	6.01413229663982	0.198243952700042	30.3370277616471	3.72593600646658e-202	7.55371426377659e-199
YKL038W	1239.85817246544	-7.36335727610216	0.258435965405277	-28.4919990317718	1.47181952287516e-178	2.23790158453169e-175
YDR342C	4103.24197047524	3.40294064787655	0.152240582519467	22.3523885127109	1.14454595730722e-110	1.3922257024685e-107
YOR047C	383.914289272793	4.06268789152731	0.190113169219035	21.3698393868052	2.55008546079614e-101	2.58493662876035e-98
YMR011W	1737.08004839061	3.28215067134801	0.154332615564456	21.2667339262274	2.30801761170806e-100	2.00533758777263e-97
YGL209W	1946.33376730751	2.72467364090059	0.131473566671358	20.7241174776327	2.09941094415548e-95	1.59607717029421e-92
YKR075C	2019.78544389662	3.15861347433688	0.161047955813525	19.6128752978038	1.20049454431586e-85	8.11267535392116e-83
YOR062C	1001.52204112599	2.4537603504079	0.131309735004109	18.686812141774	6.33893233419922e-78	3.85533864565997e-75
YFL054C	1337.23927952445	3.24350419215055	0.188112150409383	17.2423960126542	1.27635408667152e-66	7.05707777739654e-64
YGR088W	7278.63177714651	-2.70062260474878	0.161868998893549	-16.6840014036586	1.71347233820548e-62	8.68444896747142e-60
YNL234W	716.248106616863	2.79832886148376	0.168769145211616	16.580808405322	9.59296423879608e-62	4.48803142310444e-59
YGL253W	1029.32314921323	2.19255263696749	0.133259314208725	16.4532787069073	7.94485038839979e-61	3.45147000444625e-58
YOL136C	298.368474929124	2.89941267389105	0.184181710973019	15.7421312820565	7.77792204003191e-56	3.15368812316494e-53
YDR119W-A	1381.40204342025	-1.96864240018164	0.125266063661096	-15.7156882131121	1.18091860797142e-55	4.48896685855136e-53
YOL052C-A	4314.9941189898	-1.97444690010507	0.126717300307427	-15.5815101435628	9.72303001782879e-55	3.47855697461381e-52
YDR277C	2978.93226474329	1.74700459469804	0.118288528408022	14.7690111476571	2.32093183859405e-49	7.8421708012939e-47
YGL157W	143.406762632638	3.57535748592084	0.252895877317918	14.1376661566777	2.2254318450271e-45	7.1237244639236e-43
YJL216C	220.113287161163	3.78483825961263	0.274928209610866	13.7666420807443	4.04585747348789e-43	1.23034525768767e-40
YDR070C	2850.31304593977	-2.30520463775084	0.169825477804931	-13.573962326187	5.71472923937424e-42	1.65509443970829e-39
YDL204W	3980.73531561321	-2.12197549618012	0.160676966586669	-13.2064697340146	8.05127505712063e-40	2.2258115862458e-37
YMR250W	4402.29151644516	-1.76239379587305	0.133834634460931	-13.1684433029742	1.33318200499668e-39	3.52539693669122e-37
YIL162W	707.26946132264	1.76412166256798	0.135635159597989	13.006374363378	1.12556949104423e-38	2.85238068522125e-36
YJL045W	688.26964629347	-2.56690502916893	0.198456228331932	-12.9343636667105	2.87997685866056e-38	7.00640770174941e-36
YGR248W	829.659307429081	-2.0413875448868	0.160448792164261	-12.7229848062484	4.40698465407265e-37	1.03089541023346e-34
YGR236C	5187.33410642197	-2.08665873401945	0.164137624895142	-12.712860536105	5.01652217323021e-37	1.13001806879949e-34
YPL026C	3313.59550463001	1.43310325411444	0.113670609996705	12.6075091367591	1.91964596363174e-36	4.1697452681458e-34
YDL223C	24353.3962855692	-1.90416687999848	0.151942734118396	-12.5321351563591	4.98035481076287e-36	1.04450061927792e-33
YBR072W	24676.4572018236	-1.87015793500321	0.15541590276074	-12.0332469315079	2.37628109780304e-33	4.81751387894603e-31
YLR164W	662.602498424174	-2.42446453653718	0.202787368686975	-11.955697991622	6.06220641788626e-33	1.18936578818014e-30
YNL142W	649.079823634515	1.81468215813213	0.151912251479506	11.9455945156401	6.84590651831398e-33	1.30115010763705e-30
YPL171C	817.455059452975	-1.87977913024453	0.157550687118174	-11.9312658334176	8.13273107217112e-33	1.49888698124075e-30
YPL119C	2211.77802625407	-1.33658107636319	0.114801530446867	-11.6425370912785	2.5045275710572e-31	4.48015784916762e-29
YOR230W	2303.22799032975	-1.57693470511383	0.140562137566629	-11.2187729385258	3.29814889453255e-29	5.73124045044199e-27
YOR095C	317.855876719291	2.20021227340545	0.199876208678552	11.007874763844	3.50166304020082e-28	5.91586516958372e-26
YJR073C	1496.97723382813	-1.54460214612233	0.141093804678431	-10.947342086654	6.84260365160941e-28	1.12477609213753e-25
YOR032C	1138.28557520131	-1.57082974983088	0.143919145247425	-10.9146684211493	9.80865681558263e-28	1.56990133558878e-25
YDL085W	2763.62970511305	-1.57842913718357	0.145296814331525	-10.8634806925777	1.72063248153585e-27	2.68330429556437e-25
YNL065W	436.151469049577	1.96950271691709	0.182381017139216	10.7988361278505	3.48594163267017e-27	5.30037425247499e-25
YPL186C	1923.00601157044	-1.5762548182609	0.146265563507403	-10.7766639013504	4.43686507284614e-27	6.58171057879274e-25
YLR178C	2556.16662391644	-1.47817173660356	0.13731762898171	-10.7646173879135	5.05711765471991e-27	7.32318799428726e-25
YKL163W	5963.43932019716	-1.13652369601648	0.106092614864518	-10.7125618259841	8.88679877455182e-27	1.25696535225173e-24
YPR192W	733.651389974394	-1.80636800517122	0.1700186176141	-10.6245305985915	2.29162122371081e-26	3.1676455187748e-24
YDR270W	1020.18261271829	1.58240939104115	0.149040888662291	10.6172836544654	2.47663152253951e-26	3.34730509335229e-24
YKL151C	1399.50133430124	-1.45399482976859	0.13765232600782	-10.5628061067852	4.43210831998678e-26	5.86001800046948e-24
YDR222W	406.524063481648	1.6152275027615	0.153253351998993	10.5395900428469	5.67457200073976e-26	7.34313764010621e-24
YJL163C	1514.6636100602	-1.34153957877784	0.127821138422031	-10.4954438314298	9.06506850735161e-26	1.14861972211901e-23
YBR201C-A	302.791423444284	-2.07254900644325	0.200465623062811	-10.3386754036819	4.71002603527813e-25	5.72927566931231e-23
YKL050C	1996.69662295449	-1.97341029382402	0.190855758021527	-10.3397996176853	4.65509878839717e-25	5.72927566931231e-23
YER062C	575.513447527617	1.68244222873257	0.163144192196461	10.3126087792727	6.18005549330214e-25	7.37001911965953e-23
YJR115W	411.174608122783	-1.83948585205845	0.179542347272638	-10.2454149675628	1.2409123794379e-24	1.45139020995025e-22
YDL022W	1948.9201916272	-1.54589484618621	0.152439892715291	-10.1410124256217	3.63314429513596e-24	4.16920445339942e-22
YNL195C	5425.17079512964	-1.31348284251734	0.129560615489621	-10.1379793354143	3.74771401204601e-24	4.22103641134515e-22
YPL223C	47066.2655115425	-2.41091909604179	0.2387976069404	-10.0960772887624	5.74962566943052e-24	6.3580406039048e-22
YDL130W-A	2872.61989051043	-1.14903810229184	0.114197747817969	-10.0618280504394	8.14712800867763e-24	8.84836295513881e-22
YHR087W	3479.32261739566	-1.11375434706334	0.111468892867283	-9.99161576305768	1.65855901095954e-23	1.76971156222033e-21
YMR206W	2576.37368918022	-1.30779319703909	0.131428022111474	-9.950642001824	2.50561514620611e-23	2.62743988262509e-21
YFL014W	65491.203090082	-1.72784106975738	0.175342812186031	-9.85407413178828	6.58205175215601e-23	6.78509131468015e-21
YPL222W	4426.09916130293	-1.00783946230035	0.102324212151058	-9.84947199801071	6.89050008583778e-23	6.98467025367757e-21
YER028C	376.592736460114	1.72007802999373	0.175502008441184	9.80090225332198	1.1158442775821e-22	1.11255162233678e-20
YPL196W	932.595585502244	-1.2909390323559	0.132420140265436	-9.74881184816916	1.86639822701473e-22	1.83087645430703e-20
YLL024C	821.463441619766	1.63122508694763	0.167517922119792	9.73761533277105	2.08386984465832e-22	2.01176133257332e-20
YNL202W	505.551219272424	-1.43063822773622	0.147090955262235	-9.7262148116835	2.33106093994848e-22	2.21523634949479e-20
YBR241C	2657.87882460843	-1.15489299670361	0.118970059799345	-9.70742553758019	2.80328022499782e-22	2.62300774283642e-20
YLL057C	859.210572437981	-1.77671446389226	0.185614080646154	-9.57208880763365	1.04767237069185e-21	9.65445963416334e-20
YMR323W	160.014038260797	-2.95403481574788	0.308844365446925	-9.56480074186598	1.12417816535572e-21	1.0204853136856e-19
YDR155C	2322.83018689233	-1.32555844917295	0.139409624866461	-9.50837110739438	1.93671259583091e-21	1.73221853056524e-19
YKL152C	925.227632201463	-2.4733080565041	0.262452841194686	-9.423818943036	4.34973058547901e-21	3.83406687259179e-19
YIL101C	2874.43635297449	-1.2186265634479	0.129394546383732	-9.41791286808909	4.6014329773344e-21	3.9979879097354e-19
YDR533C	2133.51756887276	-1.32686865680104	0.141359826068464	-9.38646214914269	6.20494560147078e-21	5.3152787532599e-19
YMR118C	1438.0447903383	-2.19876235708114	0.235037176641696	-9.35495562233145	8.36348184654692e-21	7.06481897093033e-19
YOL158C	477.860180325077	1.7180498017786	0.183956553327358	9.33943244044839	9.68518838045202e-21	8.06922133286427e-19
YCR023C	1623.57322524558	-1.06144183404205	0.113716071138243	-9.33414093027955	1.01813526268415e-20	8.36797117249322e-19
YDR034W-B	385.14237757283	-2.18166736414838	0.23392524632928	-9.32634419919517	1.09585582466983e-20	8.88666016752252e-19
YPL230W	2426.56008336565	-1.30002349416637	0.139433129844727	-9.32363417226653	1.12422161136023e-20	8.99673136880645e-19
YBL078C	2822.62944059231	-1.102833880317	0.11843938079581	-9.31137830092412	1.26184094392165e-20	9.96690470250839e-19
YGR254W	10114.4627126285	-2.148428625898	0.231242705592593	-9.29079522916125	1.53139824085151e-20	1.19409796164857e-18
YJL052W	5702.24547571282	-2.10861505502426	0.22706957350112	-9.28620696516991	1.59884649706058e-20	1.23090941710411e-18
YBR214W	2959.30275311387	-1.07589807724283	0.11639260244955	-9.24369809248986	2.38121795756051e-20	1.81032095223538e-18
YAL055W	679.543103100123	-1.40560586157702	0.153264223158273	-9.17112834692981	4.68093372189677e-20	3.51474554278718e-18
YMR174C	2014.663633475	-1.64629386694354	0.179592065628939	-9.16685189391943	4.87034255596812e-20	3.6123687104144e-18
YOL155C	2720.0696656693	-1.2851219580191	0.140220770111756	-9.16499001535122	4.95515607778752e-20	3.63099509218117e-18
YER145C	1333.6955668493	1.55667217563323	0.170641642902877	9.12246359770008	7.34356465144523e-20	5.31709050120117e-18
YFL053W	228.637259199396	2.21093901496266	0.243198202089925	9.09109934186582	9.80426410499773e-20	7.01523932783485e-18
YOR173W	4106.04658502342	-1.10246234839207	0.121335100041946	-9.08609584539796	1.02659244697238e-19	7.26015728196049e-18
YDL184C	470.152731320841	-1.74884313733196	0.193265464669969	-9.04891694084289	1.44393358390224e-19	1.00942575371189e-17
YHL047C	1613.7426344048	1.64128563893207	0.182135715312107	9.01133331329094	2.0356630828854e-19	1.4069207806942e-17
YBR105C	1644.56827043795	1.18900839325067	0.132114675545891	8.99982071134599	2.26086588095893e-19	1.54500969528002e-17
