baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
YFL026W	1950.48672278663	-5.92186216703129	0.133828086731738	-44.2497708190495	0	0
YML123C	2946.14677139994	4.85393266022802	0.0855290534703372	56.751857565119	0	0
YPL187W	4768.38069119901	9.20873601636778	0.193270995384127	47.6467562971122	0	0
YDR342C	1724.53199088274	7.69258486870678	0.215767162843483	35.6522501725018	2.17449372152335e-278	3.42808935198156e-275
YGL209W	800.514933482215	-7.06555148330736	0.208674078470738	-33.8592676919291	2.65111301949481e-251	3.34358374018685e-248
YIL015W	605.24435896013	-4.78011380306397	0.151626548046687	-31.5255729596386	3.87707494510134e-218	4.07480576730151e-215
YHR092C	9419.30252185374	6.79339584680963	0.218720453722702	31.059719066889	8.43363957617177e-212	7.59750445247703e-209
YIL162W	1994.13384593621	4.75206330715416	0.164278041599738	28.9269537235689	5.47161903132982e-184	4.31300370144573e-181
YLR040C	392.824425595086	3.98548936405602	0.150190006014069	26.536315363638	3.69489539288443e-155	2.58889003861435e-152
YNL145W	764.025176761233	-8.40084678744593	0.329479633051026	-25.4973174203606	2.11102488657988e-143	1.33121229347727e-140
YHR215W	202.781890713493	5.25955846410107	0.206767033538977	25.4371229981863	9.80129514604448e-143	5.61881519917786e-140
YFR053C	1301.40231385568	5.41886151653263	0.215619819624994	25.1315557445374	2.24855586284337e-139	1.18161610592419e-136
YLR303W	538.984678140735	9.42206515484136	0.382347763800648	24.6426579331426	4.41142199597868e-134	2.1398790082032e-131
YKL209C	784.474626698756	-3.47143334655847	0.141020922124574	-24.6164419737087	8.4228251304028e-134	3.79388109088e-131
YEL021W	341.978919475207	8.26975912476419	0.337710711371076	24.4877015928505	1.99739634782582e-132	8.39705424625976e-130
YHR136C	224.481025691239	6.42025945478528	0.263086071048183	24.4036464158128	1.56435235593331e-131	6.16550372282217e-129
YKL178C	368.600765090865	3.95216879112336	0.162087191151587	24.3829803147568	2.59200308059877e-131	9.61480672132696e-129
YDR461W	753.03248096244	-7.95380963831734	0.330709933062683	-24.0507128547898	8.20562679701273e-128	2.87470458788679e-125
YBR296C	1759.07661005819	7.12175101829203	0.306515592625136	23.2345472453724	2.03858859474575e-119	6.76596825182457e-117
YGL035C	277.163541881251	-7.2242335078458	0.33013862186035	-21.8824246225323	3.81985877839729e-106	1.20440147282867e-103
YAR071W	135.132589779043	4.79971491783011	0.224474573175805	21.3819981921562	1.9653196251589e-101	5.90157407440571e-99
YBR093C	432.755646500154	3.6499308819996	0.188291236649094	19.3844968409323	1.04320223934863e-83	2.99019696424203e-81
YDR343C	97.1986549685462	4.17983080483629	0.218967873399271	19.0887856741189	3.12959969316489e-81	8.58054594134686e-79
YKR098C	260.917678434469	2.02257003670673	0.107170475595717	18.8724555477065	1.92158449106184e-79	5.04896325026499e-77
YKL216W	4284.16889347717	-2.86897182340764	0.15548373430093	-18.4519096888611	5.03345400873857e-76	1.26963843916422e-73
YCR097W	284.166353598244	-7.45391548653274	0.41851536956135	-17.8103745493153	5.87155969927187e-71	1.42407905629263e-68
YGL187C	564.981289337238	-2.22872903248835	0.125263942065026	-17.7922632462851	8.113557903464e-71	1.8949665236757e-68
YBR297W	343.24702063558	3.16745499944903	0.178840611115688	17.7110499661628	3.44584113579452e-70	7.76052650082866e-68
YDR155C	4143.43961090318	-2.03648405404787	0.116363137470034	-17.5011098731531	1.40504399005997e-68	3.05524393148903e-66
YGR233C	492.813180256354	2.16796523507084	0.127553625227825	16.9965003440601	8.71711281275075e-65	1.83233711324021e-62
YPR030W	136.919882400559	3.60969054417365	0.22210504136916	16.2521774468595	2.15570015762604e-59	4.38511135289993e-57
YBR006W	558.305719794885	-2.45608877884839	0.151600308614162	-16.2010803361844	4.95488973486647e-59	9.76422958377123e-57
YGL032C	128.663852751192	-5.60084099452133	0.35132801677342	-15.9419139013142	3.24268276741445e-57	6.19647197918652e-55
YPL019C	1834.71541848505	2.50462719069294	0.157784587202185	15.8737126046634	9.63679465506341e-57	1.78734197337735e-54
YGR097W	997.446532939166	3.04699192057308	0.195134694945187	15.6148137645588	5.7713390646055e-55	1.03983040404006e-52
Q0130	107.822298518829	-6.69339746549248	0.430498189758215	-15.5480269713835	1.64083268109627e-54	2.87419191305363e-52
YJL133C-A	1121.79733677795	-2.56814229788169	0.166705261128771	-15.4052864348291	1.5081935396727e-53	2.57045093545299e-51
YLR076C	285.565542200936	-4.34392225591819	0.283553128172461	-15.3196061842638	5.65591458297186e-53	9.38584141058435e-51
YOL136C	815.841380025811	1.47095986667307	0.0965226167743446	15.2395357257248	1.9323857860382e-52	3.1245191709633e-50
YJL012C	1337.43402193262	2.32621963806663	0.157119028302984	14.8054609501582	1.35057985367159e-49	2.12918913931326e-47
YJR148W	2117.07405089658	-1.60992438050177	0.110757341284696	-14.5355997338681	7.20794773044057e-48	1.1086175216624e-45
YGR108W	461.074567616863	-2.5254913139139	0.174110977994905	-14.505066498379	1.12528375311774e-47	1.68953317789534e-45
YBL015W	223.157360289538	-1.87423522381362	0.12977617235464	-14.4420596617065	2.81308372712827e-47	4.12541999610951e-45
YDR298C	902.897605090637	-1.52471747696923	0.10815199737981	-14.0979132508733	3.91166213173589e-45	5.60612304607421e-43
YOL126C	736.104213144394	-3.20757805490447	0.229860211836273	-13.9544727174844	2.95478880539188e-44	4.14064404595582e-42
YDR345C	16559.9724626698	1.36292856205284	0.0993717368814091	13.7154547643599	8.20503176429122e-43	1.12480283273088e-40
