baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
YDR342C	1372.90826958895	7.39361951571898	0.242257952137641	30.5196153541256	1.43141948803448e-204	8.71305042366587e-201
YLR303W	943.281233611693	9.83414448846736	0.358694568013086	27.4164856829072	1.74444229862899e-165	5.30921013587733e-162
YDR343C	537.27551886112	6.56907637223852	0.304297590996996	21.587671301359	2.3453633451755e-103	4.7587422273611e-100
YGL209W	976.467416060574	-6.5750755429763	0.348744070988191	-18.8535837307438	2.74594279717238e-79	4.17863845159707e-76
YHR092C	8344.9235040959	5.79464000550089	0.362048631500289	16.005142683425	1.17643225441562e-57	1.43218862652557e-54
YGL035C	309.152735615374	-5.24263160105303	0.354786999948452	-14.7768424486093	2.06628469770279e-49	2.09624582581948e-46
YLR076C	281.487894047938	-4.62849836281888	0.339269020762594	-13.6425611522536	2.23568616137687e-42	1.94408880918586e-39
YMR081C	671.92150836768	4.33399466619695	0.321445257195598	13.4828390501333	1.97363706967079e-41	1.50169110538577e-38
YCR013C	1251.85422632734	-4.37041731144666	0.34849340801151	-12.5408894715802	4.4596169011346e-36	3.01618756413403e-33
YGR243W	347.482777348447	3.5715266699775	0.287934295997045	12.4039640974695	2.48708418582127e-35	1.51388814390941e-32
YIL162W	1242.73332789774	3.73771054860602	0.303186968501062	12.3280712462183	6.39593619805875e-35	3.5392785125076e-32
YBR297W	358.639530944216	3.02017320439774	0.245536761222233	12.3002893308681	9.02502799564785e-35	4.57794545079237e-32
YNL144C	293.301474832861	3.79532441153665	0.312949387565295	12.1275981431495	7.54294387829462e-34	3.53183841439841e-31
YPR030W	261.248185823523	3.58288989946287	0.296077788165146	12.1011776049354	1.04106919981976e-33	4.52642015664492e-31
YDL079C	457.717101710676	2.74028245951154	0.226667370231295	12.0894439138519	1.20096833106846e-33	4.8735294874758e-31
YDR277C	757.641642655611	4.3398479603174	0.360988852399854	12.0221107423847	2.71934953169828e-33	1.03454253746546e-30
YNL043C	64.993017455063	3.50665250945214	0.310661003210594	11.2877138527587	1.50910882186241e-29	5.4034972933391e-27
YKR075C	958.601342903226	4.20065636969808	0.38595852349219	10.8836989314036	1.37853028232557e-27	4.66172990473098e-25
YBR298C	293.569090283992	3.31499309331716	0.322631408000115	10.274861687725	9.14755526814387e-25	2.93058783774693e-22
YGR289C	106.921899481137	2.99229808815627	0.308236468052698	9.70780033608706	2.7929936457412e-22	8.50047616081336e-20
YFL051C	21.4299633091839	3.28656131109098	0.363263299664383	9.047325491255	1.46512784558053e-19	4.0634846160608e-17
YFL052W	45.3884654383055	3.5238005165271	0.389496613318782	9.04706330178808	1.46864894945519e-19	4.0634846160608e-17
YHR094C	5062.18910061733	-2.62682229053983	0.290846849348149	-9.03163399028424	1.69127265686332e-19	4.47598985318566e-17
YHL034W-A	71.4610123358777	-3.36302587656884	0.38936837156827	-8.63713162685374	5.76419582021354e-18	1.46194416490166e-15
YMR206W	77.5263815712435	2.45873722165063	0.288973153442008	8.50853164857771	1.76149821358977e-17	4.28889585044838e-15
YER067C-A	9.20497289759715	3.70694504112376	0.446001290680094	8.31151191394794	9.44903593589309e-17	2.2121646823762e-14
YPR044C	123.030144642548	-2.90450599106938	0.351429323369698	-8.26483676211015	1.39886026930668e-16	3.15365276269249e-14
YMR104C	479.258963527224	2.42835047416469	0.298245457954165	8.14212055674587	3.88414210486355e-16	8.44384749725158e-14
YPL014W	555.877192818048	2.22919096268628	0.274146352305099	8.13139020068156	4.24394833556438e-16	8.90790121330359e-14
YBR050C	62.0087750638759	3.09180975977341	0.383189720131686	8.06861352833497	7.11009370162048e-16	1.4426380120588e-13
YDR413C	8.95212621502665	3.38571461374153	0.425148144023756	7.96361141718249	1.67089420919693e-15	3.17835407855678e-13
YLR062C	37.6284000438557	-2.93907654164859	0.369046288304622	-7.96397805584373	1.66594813782606e-15	3.17835407855678e-13
YBR033W	189.782273736842	1.98779861288777	0.253747011758628	7.83378136795016	4.73411707034357e-15	8.71197614214588e-13
YPL134C	290.588600294388	1.48512080496457	0.189662804863294	7.830321849532	4.86622620064005e-15	8.71197614214588e-13
YFL054C	222.596560499355	2.09335471724093	0.272964885128502	7.6689524231494	1.73406737402313e-14	3.0157908873368e-12
YHR093W	27.4383172035339	2.3300947872171	0.304566068525471	7.65053966286539	2.00137594383548e-14	3.38399315836849e-12
YBR230W-A	241.809266579503	-1.6058799334994	0.211350596914172	-7.59818026041129	3.00323809434168e-14	4.94073250817778e-12
YEL033W	275.364234112374	-2.42820040379509	0.319749997889259	-7.59405917067768	3.1003671275014e-14	4.96629860660553e-12
YGR161W-C	227.968508852535	1.80326292478315	0.243406606451702	7.40843870702811	1.27794951526928e-13	1.99458428190875e-11
YDL234C	874.818275875909	1.33413448627537	0.183003406336837	7.29021668492748	3.09456907900213e-13	4.70916049597149e-11
YGR161C	1884.72636463508	1.71898734905948	0.238290354752294	7.2138352005325	5.43975853391437e-13	8.07605126730165e-11
YBR285W	138.015009910989	2.49759357009348	0.348727262805936	7.16202556117148	7.94935942609631e-13	1.15208930539639e-10
YNL077W	316.40724521104	1.28907194132102	0.184294951880468	6.99461340730106	2.6599135070966e-12	3.76532407388302e-10
YKL062W	562.832857668554	2.1123264438757	0.31153893116587	6.78029688286712	1.19929178247594e-11	1.65911115452978e-09
YBR296C-A	6.31196833327721	2.99061727998795	0.443682596259727	6.74044306718145	1.5790436910927e-11	2.13591976615139e-09
YNL065W	643.182697995869	-1.51176691382922	0.225719972921141	-6.69753276267395	2.11967717724426e-11	2.80488586475779e-09
YJL188C	1397.87204353508	-2.00176510467605	0.300902854185939	-6.65252946866061	2.88098111081241e-11	3.73117702585428e-09
YPR123C	39.9294586159813	-2.41657421018171	0.364167700509977	-6.63588288252241	3.22565891742542e-11	4.09053871466011e-09
YKL148C	203.2112617349	1.96517318684196	0.297110934473972	6.61427419465815	3.73379110461804e-11	4.63828294975714e-09
YKL083W	47.9470019084804	-1.96265028140439	0.297326039912736	-6.60100367253544	4.08383436204321e-11	4.9716599523514e-09
YOR220W	1052.42853719841	1.2378981534713	0.189737113122858	6.52428053266381	6.83287176718742e-11	8.15523342095487e-09
YFR017C	119.2992508367	2.0387054512511	0.313590311313603	6.50117486956512	7.9695124716452e-11	9.3289273874816e-09
YNR034W-A	509.660553610929	2.51265786383287	0.387342471236522	6.48691545704155	8.76114664820993e-11	1.00620942731422e-08
YLL041C	323.474560370505	1.64657120678108	0.254845380302498	6.46105966224154	1.03972313322701e-10	1.171999020732e-08
YIL047C-A	37.5714149827775	-2.76411284561488	0.429844400579792	-6.4304963421334	1.27187941444824e-10	1.40762363559027e-08
YFR053C	2977.80448889137	2.89362519159278	0.455130933319123	6.35778625392589	2.04682007522507e-10	2.22482032105268e-08
YPL057C	829.332287025951	1.34654326670245	0.214951469165261	6.26440597001541	3.74249305280648e-10	3.99658863376018e-08
YDL184C	397.823735190249	-1.6980821921298	0.273606773561134	-6.20628711061638	5.4251026569905e-10	5.69355170225883e-08
YDR009W	103.541063736416	1.3175888997434	0.213899951451464	6.159837301517	7.28197197174865e-10	7.51277345627695e-08
YPL234C	2253.7892020653	-1.0804887454747	0.177004362799794	-6.10430572661546	1.0324848888558e-09	1.04745591974421e-07
YGR067C	42.3230226194449	1.75657068234879	0.289753013326426	6.06230341552961	1.34185768652371e-09	1.33899798981473e-07
YLR101C	37.6229379327873	-2.0769004751971	0.343087600061905	-6.05355738540932	1.41681567390772e-09	1.39099306565746e-07
