baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
YOR382W	6205.82236661463	-5.82783465133205	0.282321425865315	-20.6425517775342	1.13888271377698e-94	6.99615651073196e-91
YOR383C	12877.9649387703	-4.79707653274148	0.256383275699232	-18.7105672928878	4.06030015199778e-78	1.24712119168612e-74
YEL021W	336.653598383481	6.44560866842464	0.35010712621103	18.4103898089166	1.08439268492475e-75	2.22047475449757e-72
YHL047C	3340.2912298948	-4.57235556675593	0.274553483654505	-16.6537882014629	2.84039276447433e-62	4.36213318804145e-59
YOL126C	1993.45146016939	-3.92222019398046	0.272320162538846	-14.4029739017982	4.95640620379475e-47	6.08944066198223e-44
YKR075C	338.904975160311	4.34897968399547	0.303269660892504	14.3403058228663	1.22514376754464e-46	1.25434302733779e-43
YHR092C	632.83156585202	3.60386087451754	0.281459543680859	12.8041878679512	1.55342491877597e-37	1.36324132514868e-34
YLR076C	377.425825976911	-4.26937815771762	0.334732280253041	-12.7546054252377	2.93858912389462e-37	2.25646912351058e-34
YGL035C	255.307326803492	-4.43629408559669	0.359027670585265	-12.3564127476997	4.49784346758877e-35	3.07002804682198e-32
YLR136C	986.769351757585	-3.25780065453824	0.281720716699339	-11.5639371243509	6.27636559420667e-31	3.85557138452116e-28
YCR013C	240.961177480898	-3.88622989132126	0.344225433795226	-11.2897813751703	1.47402856444386e-29	8.23177951943511e-27
YDR277C	269.208952429862	3.60884975398022	0.348568618994957	10.3533409415505	4.04132044326632e-25	2.06881929024875e-22
YLR214W	3292.05709276711	-2.68273700050488	0.261214927572143	-10.2702285257566	9.59770377374919e-25	4.53528417554933e-22
YOR381W	475.100882516917	-3.05590522365377	0.303971544713215	-10.0532608291901	8.88768345804546e-24	3.89978853448381e-21
YOL158C	3569.47716294605	-2.72954813781673	0.276138841129146	-9.88469469436268	4.85058098555728e-23	1.98647459961856e-20
YOL143C	3227.31501741342	-2.59858133126394	0.268352505299852	-9.68346216242825	3.54503283415403e-22	1.36107104376301e-19
YKL216W	9518.81399800547	-2.38118264967643	0.260273656617632	-9.14876549790294	5.75878483495298e-20	2.08095383771272e-17
YKL038W	218.012275771593	-3.30953388290839	0.365912237750865	-9.04461108830614	1.50198873566768e-19	5.12595377955919e-17
YHR094C	5604.47539292176	-2.2937128374958	0.275168096129239	-8.33567869880708	7.7054903550731e-17	2.49130669743232e-14
YPR124W	1498.41517372151	-2.06173635585459	0.268600786415705	-7.67583886617407	1.64339601570098e-14	5.04769086222557e-12
YER069W	3540.08037220759	-2.12294032681602	0.279139219514835	-7.60531010477803	2.84221549528035e-14	8.31415704167009e-12
YHL040C	1045.76181816396	-2.11382076925912	0.279577180997148	-7.56077717687796	4.00668106389541e-14	1.11877462615952e-11
YMR062C	2388.60631112041	-2.09460196007313	0.280644519603221	-7.46354129072075	8.42274659308565e-14	2.24960575310109e-11
YLR213C	248.89305305021	-2.28065976648862	0.308686520893246	-7.38827131126127	1.4874998830488e-13	3.807379908987e-11
YOR136W	663.292708677459	-2.08249877136149	0.282436404498503	-7.37333692892457	1.66409208473673e-13	4.08900707061511e-11
YJL088W	1155.60160796888	-2.00767297806576	0.275119438153258	-7.29745957443894	2.93251795715726e-13	6.92863761954502e-11
YNL043C	55.1383367251634	2.76208168057467	0.385752669283424	7.16023996854132	8.05359574973551e-13	1.83234217372686e-10
YKL220C	256.156521328427	-2.34057111431449	0.327844126090577	-7.13928031050902	9.38208355834311e-13	2.05836211781792e-10
YHL035C	638.940249690631	-2.38001201275536	0.336333846681152	-7.07633809752021	1.4801349374246e-12	3.13533411055148e-10
YEL065W	2819.5725930455	-2.09179013632931	0.296877934019091	-7.04596029759085	1.8418677070417e-12	3.77153110811905e-10
YDR270W	556.858973383569	-2.07906631540987	0.298878034477507	-6.9562365767175	3.49482800467221e-12	6.92539626861336e-10
YMR251W	158.543831073636	-2.35888346045213	0.340780158087626	-6.92200940832236	4.45281664430743e-12	8.54801645186892e-10
YEL033W	495.265577889554	-2.08926714567815	0.304557869648787	-6.86000052498223	6.88602949258584e-12	1.28184482342287e-09
YLR027C	1983.15117579499	-1.78927771862668	0.261749198263172	-6.83584794337239	8.15213774156071e-12	1.47289947489434e-09
YLR109W	8509.31971793069	-1.79059784954679	0.265504936222598	-6.74412263298019	1.53954468572176e-11	2.7021208583968e-09
YPR044C	219.609961785368	-2.39693160990167	0.359895423996718	-6.66007803956834	2.73682224674145e-11	4.67008307270354e-09
YDL198C	1345.6429093397	-1.92487654319651	0.292568297731461	-6.57923827742708	4.72864463249252e-11	7.79262233839767e-09
YLR205C	323.090497742088	-2.13719009682442	0.324979781092332	-6.57637865851477	4.82044032002461e-11	7.79262233839767e-09
YOL152W	259.255152053793	-2.06728136112759	0.316254334537265	-6.53676846564769	6.28622492118198e-11	9.90161017713357e-09
YGR286C	4548.36623669302	1.72874532612048	0.271328951385045	6.37140016682999	1.87310202826738e-10	2.87661643991163e-08
YJL188C	1614.85498386466	-1.91589606751219	0.302014446026606	-6.34372326462626	2.24277548452289e-10	3.36033409790833e-08
YPR036W-A	5221.49362714131	-1.64788731842479	0.267485432178718	-6.16066192839904	7.24414967817911e-10	1.05954313031082e-07
