baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
YFL026W	2986.66662235772	-6.50687675846191	0.194777909434159	-33.4066464588553	1.09780045633855e-244	6.77342881560884e-241
YPL187W	2248.22637851011	9.03069165398011	0.276800225427654	32.625304549618	1.79546016087342e-233	5.53899459629452e-230
YKL178C	265.315080288124	4.59500430406529	0.190776558158205	24.0857909820074	3.52224459656341e-128	7.24408305359874e-125
YGL089C	215.40779749245	4.45845197102897	0.18939884650561	23.5400164958075	1.58867975057019e-122	2.45053851525453e-119
YGL209W	697.241918074204	-6.12391409408785	0.287925770518464	-21.2690725219232	2.19579128174032e-100	2.70960644166755e-97
YLR040C	243.405412537238	3.49306390400501	0.179319999751825	19.4794998262287	1.63872557577688e-84	1.68515613375723e-81
YKL209C	1214.08252885773	-4.46512523139377	0.231239390525145	-19.3095355477865	4.46570256194475e-83	3.93619782959987e-80
YIL015W	534.933387703159	-3.65683468095952	0.194200326595896	-18.8302190066285	4.26991300928602e-79	3.29317040841185e-76
YLR076C	395.007496569749	-4.91398837922465	0.272409057768779	-18.0390050884271	9.62613654178726e-73	6.5992513847586e-70
YJR004C	690.718436208502	4.14605219847821	0.230892715257221	17.9566176172314	4.25987933868457e-72	2.62834555196838e-69
YNL145W	963.556551400526	-5.18586749192946	0.330455518764445	-15.6930878664673	1.68648233396386e-55	9.45963272777909e-53
YDR461W	1304.20462333552	-4.93396581469294	0.32322136468479	-15.264974267727	1.30879446018698e-52	6.72938484946137e-50
YGL032C	160.069353262057	-4.76180280111569	0.314801143342685	-15.1263834386145	1.08496336883038e-51	5.14940306591034e-49
YCR097W	191.369421955852	-4.68307249617474	0.337713397241135	-13.8670024181212	1.00385047697323e-43	4.424112459232e-41
YCR013C	307.119986893589	-3.85159936335983	0.294977106175453	-13.0572823542072	5.77528890795978e-39	2.37556883747412e-36
YKL038W	156.586774444479	-3.84802393883128	0.33037310826123	-11.6475095660286	2.36262812318711e-31	9.11088470004029e-29
YDL184C	647.629259294609	-2.93443857044871	0.256130167745906	-11.4568252395782	2.17336118861585e-30	7.88802266691754e-28
YPR044C	218.443392222599	-3.10911574405442	0.276018052884089	-11.2641753376909	1.97189334183818e-29	6.75921217730086e-27
YJL138C	1283.24246897683	1.21055995348117	0.10807801688611	11.2007972422072	4.04080557638076e-29	1.31219844243522e-26
YJL188C	1593.78756020532	-2.60350828305	0.248793691012943	-10.4645269437904	1.25702837486984e-25	3.87793253647346e-23
YNL043C	27.7730721500093	2.76332128673026	0.277118250003613	9.97163227861833	2.02867020655352e-23	5.96042627354057e-21
YEL033W	521.259089952575	-2.48366003605762	0.259244429952262	-9.5803795534391	9.66889515569246e-22	2.71168559593739e-19
YHR094C	5262.35019521223	-2.75407540865618	0.289877726458781	-9.50081761127584	2.08248718560042e-21	5.58649823267591e-19
YLR062C	63.2018958395079	-2.85162580236785	0.307172937713638	-9.28345388624789	1.64071857859279e-20	4.21801401246563e-18
YHL034W-A	32.0239183808778	-3.25376139865767	0.361408347578481	-9.00300565954997	2.19621022439629e-19	5.42024683381004e-17
YER028C	152.128281767032	-1.91097547057043	0.220649102227957	-8.66069905236308	4.68879910270878e-18	1.1126880947582e-15
YLR198C	85.0762138407992	-1.73251308701043	0.212552442641698	-8.15099118823559	3.60953423949839e-16	8.24845416952039e-14
YIL047C-A	28.9531135018693	-2.6686699939833	0.34964986180409	-7.63240683183388	2.30410964738221e-14	5.07727018726724e-12
YML132W	3.98160046812949	2.92397796269861	0.38623537761605	7.57045607977757	3.719161607094e-14	7.91283693647241e-12
YCR051W	821.796442918276	-0.874988945497993	0.122661913388456	-7.13333846935034	9.79632603341192e-13	2.01477772087172e-10
YFL027C	312.348015808228	-1.55408343233596	0.21932052997421	-7.08590040576092	1.38143135908722e-12	2.74949402760264e-10
YDR510C-A	77.1253811729362	-1.74389482371192	0.248506155513932	-7.01751157875906	2.258544487433e-12	4.35475608983174e-10
YGL030W	12482.5335919021	-1.23909749694303	0.1800391110117	-6.88237955619822	5.88609273250433e-12	1.10052097453187e-09
YHR041C	288.520407159094	-0.87361156457808	0.12704047419815	-6.87663967009027	6.12808516835684e-12	1.1120672202577e-09
YPL234C	1062.08429576351	-1.09554291985434	0.160249946448885	-6.83646356289916	8.11719916419843e-12	1.43094625266012e-09
YKR066C	525.026725228132	-0.86300396010396	0.130597112740184	-6.60813965941852	3.89179464497551e-11	6.67010359986081e-09
YDR157W	47.6723649418596	-1.74388945911101	0.264463092384242	-6.59407497427766	4.27915434029758e-11	7.13577899449624e-09
YPR062W	1372.9180916136	-1.02429483976241	0.15625189487146	-6.55540747589041	5.54901457932044e-11	9.00984735642293e-09
YLR437C	136.194514118359	-1.09949222737095	0.169914489906908	-6.470856181679	9.74491534372877e-11	1.54169558130273e-08
YOR356W	385.068038006309	-1.57027844250687	0.244815610269176	-6.41412710888958	1.41632003114965e-10	2.18467364804834e-08
YCL054W-A	36.9342180697056	-2.42890889861236	0.379416405267575	-6.40169709293256	1.53659288075587e-10	2.31238489616188e-08
YNL146C-A	19.2321448643222	-2.25265470867944	0.361819148082244	-6.22591347257111	4.7875825312327e-10	7.03318671850136e-08
YNL149C	64.7181948889665	-2.18967007213659	0.364793191823533	-6.00249708935312	1.94305746086698e-09	2.78806151943006e-07
YDR413C	4.78106065311719	2.31544804705021	0.386968618615367	5.98355508861479	2.183191505133e-09	3.0614299060615e-07
YDR524W-C	3117.72573424747	1.14390274798303	0.192441030128088	5.94417285763668	2.77856276031745e-09	3.80971827359082e-07
YNL311C	218.696034178213	1.00304110880264	0.169445477718872	5.91955077412449	3.22822167342633e-09	4.33002776631314e-07
YDL075W	9506.37952550087	-0.792648552679816	0.134482286499725	-5.89407403242984	3.76788225681507e-09	4.94634755841467e-07
YDL130W	9997.54577915199	-1.33386650148493	0.226480543132876	-5.88954125168428	3.8726913256162e-09	4.9780219748025e-07
YBR230W-A	64.4233043040601	-1.53376489427971	0.267856855723466	-5.72606174345287	1.02788823957894e-08	1.294300089429e-06
YCL027W	133.99301613386	1.04673236241253	0.183534077841388	5.70320441153779	1.17575842367185e-08	1.45088589481107e-06
YPL088W	143.976307701739	1.1289531827826	0.199056790952685	5.67151302590301	1.41541837258689e-08	1.71237869781591e-06
YDL131W	2260.46173092366	0.910753585346543	0.160826482577108	5.6629578086425	1.48785752644497e-08	1.76540018041643e-06
YBL003C	2466.42776667358	-1.79387169732646	0.3178876845213	-5.64309907138369	1.67016174367899e-08	1.94432036952818e-06
YLR099W-A	195.877524826169	-0.947186553140989	0.168046977032792	-5.63643910688233	1.73602381922144e-08	1.98356795640672e-06
YMR015C	436.778987191639	0.726380121827148	0.128948883156515	5.63308579373644	1.7701334140834e-08	1.98576784816265e-06
YJL149W	189.167766207657	1.08654445364551	0.195367363763298	5.56154535084956	2.6739616972213e-08	2.94613279854561e-06
YPR113W	982.099248916442	-0.795207919892172	0.143428721051362	-5.54427254222958	2.95178765501943e-08	3.1951806721877e-06
YJL170C	20.9903502137726	-1.88564242924277	0.34373601937976	-5.48572835818963	4.11769240340924e-08	4.3803727808681e-06
YIL002W-A	297.288651450733	-1.10122613907053	0.201005035752273	-5.4785997522357	4.28704878166071e-08	4.4832357598045e-06
YBR187W	893.4699191523	-0.929487569817195	0.170701056128378	-5.44511903381642	5.17707532082293e-08	5.32375912157958e-06
YDL094C	40.3821823799629	-1.74594142423937	0.320896256207895	-5.4408282753796	5.30334169512709e-08	5.36419971457937e-06
YPL189C-A	116.941076785307	-1.59565697221181	0.293573012480841	-5.43529856074881	5.47047556969524e-08	5.44400552661607e-06
YEL017C-A	1464.65974221358	-1.50299646710387	0.277921288234325	-5.40799330865452	6.37348052123657e-08	6.24196425651264e-06
YDR500C	6369.23445768658	-0.931164110145128	0.172878816358309	-5.38622446497547	7.19530949517342e-08	6.93672806019062e-06
