baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
YLR076C	281.763531044801	-4.01111904267835	0.174161114293223	-23.0310827934019	2.27631071244717e-117	1.4411323120503e-113
YLL024C	4875.89203049617	2.34167008914342	0.15200297644641	15.4054226034777	1.50501988527624e-53	4.76414044684195e-50
YGR146C	392.688122885895	2.24725486459067	0.15183451685393	14.8006850560378	1.44998277890983e-49	3.05994699109271e-46
YOR208W	210.20170679455	1.68726846938862	0.114867184694099	14.6888641336685	7.59766955395963e-49	1.20252114865296e-45
YNL043C	50.1494336088763	2.80727641968282	0.192895485178585	14.5533547199604	5.56077684045893e-48	7.0410556353891e-45
YML123C	1608.25264365601	3.2713725102724	0.225950029842936	14.4783008550449	1.6615389429075e-47	1.75320050792457e-44
YDR214W	578.557541175308	1.12479590161449	0.0853814189877194	13.1737784982968	1.24221688430094e-39	1.12349644207275e-36
YBR033W	31.5610229507475	-3.89815645286052	0.297064871861693	-13.1222396927342	2.45568583388077e-39	1.9433683767874e-36
YDR043C	149.66223512265	1.42450667778733	0.110588078669784	12.8811956489533	5.74387670304208e-38	4.04049815632882e-35
YOR027W	1068.95914272399	1.42081818250694	0.110497662218128	12.8583551360767	7.72020229191139e-38	4.8876600710091e-35
YPL142C	185.041471240805	1.75874094410298	0.141105119237015	12.4640477511579	1.17264147613771e-35	6.74908471402532e-33
YMR186W	5751.31423992424	1.50600161123571	0.121030714672135	12.4431357388526	1.52401263509851e-35	8.04043666067391e-33
YIL117C	376.967110156463	1.36444868217408	0.112080578131185	12.1738190944827	4.28551666698717e-34	2.08704661682275e-31
YDL214C	80.9581675835193	2.27229301130944	0.18707623027487	12.1463480847929	5.99856598277215e-34	2.71263723120932e-31
YPL240C	827.600269039628	2.37272230061868	0.19927956938974	11.9065005403451	1.09476078889591e-32	4.62062036966666e-30
YHL036W	131.973387059267	1.27561497619695	0.108247217904556	11.7842749300189	4.70451191610502e-32	1.85597900766233e-29
YOR152C	85.4025667014952	1.60537921208658	0.136286817243516	11.7794167077664	4.98367447958611e-32	1.85597900766233e-29
YKR091W	74.6690018704473	2.02986136046348	0.179742643924927	11.2931540125297	1.41853261733285e-29	4.98929444463014e-27
YAL005C	578.103034102467	1.78621723266157	0.160596669937769	11.1223802669989	9.76319034486531e-29	3.2531977933338e-26
