baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
YGL209W	762.273966734677	-6.82522733097577	0.203188417841527	-33.5906318060854	2.2986512275245e-247	1.45067878969071e-243
YLR076C	341.943797248942	-4.24051427297372	0.197763161460402	-21.4423871547118	5.37829680084956e-102	1.69712155550808e-98
YPL142C	208.340709706111	2.10086992562862	0.137224557586591	15.3097227098214	6.58440445747657e-53	1.38513921770449e-49
YNL043C	46.2868058512849	2.67758881824629	0.216648404475935	12.3591439536482	4.34761842927158e-35	6.85945497678323e-32
YDR524W-C	4389.56130745843	1.40306705611344	0.134502581914442	10.4315250766408	1.78007972972579e-25	1.99121612013866e-22
YHR183W	5723.46513972219	-1.24414564564505	0.119334774230276	-10.4256756144212	1.89309090807035e-25	1.99121612013866e-22
YLR062C	58.8752201972428	-2.3336467257326	0.226383050661405	-10.3083986142716	6.45682148264051e-25	5.82128576813489e-22
YIL047C-A	26.0742709783328	-2.65953446452145	0.28251758824802	-9.4136952004088	4.78994467430436e-21	3.77866760494185e-18
YHR216W	318.112858237177	-1.25829961402984	0.135141198308879	-9.31099938268914	1.26635121546116e-20	8.87993613419484e-18
YIL002W-A	310.621834185092	-1.2979254376229	0.14024618190189	-9.25462226508864	2.14989221283819e-20	1.35679697552218e-17
YOR248W	22.3642731585371	2.71579236957329	0.294251005568092	9.2295092223392	2.71874714175833e-20	1.55981938287607e-17
YDR433W	30.2063630846635	2.35550587541208	0.263186586103343	8.9499465390199	3.55654561137625e-19	1.87044661278296e-16
YDR413C	9.03735858740487	2.61096528001861	0.303134914630349	8.61321198583308	7.10415563864919e-18	3.44879432580885e-15
YHR163W	1669.78163456558	-1.05521161358554	0.124904292278483	-8.44816134286938	2.95926236728194e-17	1.33399319999402e-14
YKR043C	1985.39539967174	-0.598532533714834	0.0729212250592278	-8.2079330569213	2.25028609409419e-16	9.46770369321896e-14
YJL188C	1779.62684777415	-1.50952482438177	0.197035348781299	-7.66118787171169	1.84221135827694e-14	7.26637242630362e-12
YBR187W	1054.97397551602	-0.675524773641087	0.0883969555748187	-7.64194614224385	2.13962682366829e-14	7.94304993186506e-12
YDR157W	49.8073800885178	-1.67519890135447	0.23140954117554	-7.23910903951758	4.51641818897719e-13	1.58350639947972e-10
YJL143W	648.556066331973	-0.968698271352149	0.134805180748682	-7.18591278148351	6.67596534045672e-13	2.21747459282223e-10
YDR231C	78.8794601741953	-1.27335190346591	0.180541417957023	-7.05296279310836	1.75147696970397e-12	5.52678557790089e-10
YCR013C	395.533879766687	-1.96112637647662	0.280507283234933	-6.99135635217757	2.72241282375712e-12	8.18149872891962e-10
YML132W	4.77755345369681	2.15703619101722	0.310100330031045	6.95593000756006	3.50243730063021e-12	9.71470831425073e-10
YPR062W	1609.45547726481	-0.960709322496408	0.138143941607411	-6.95440792638329	3.54045779159827e-12	9.71470831425073e-10
YAL037C-A	145.043753377736	1.9098276087862	0.277350739564838	6.88596544499112	5.73969231212092e-12	1.50929992424146e-09
YDR322C-A	448.167635409638	-1.18634641897746	0.172471273161428	-6.87851604056444	6.04792415415167e-12	1.52673797347405e-09
YBL113C	54.9337045682442	1.67553898886009	0.244208933584552	6.86108802108981	6.83380372124424e-12	1.59733834388046e-09
YER019C-A	1511.29217281094	-1.14123269767667	0.166247347598724	-6.86466710092298	6.66464864636337e-12	1.59733834388046e-09
YHL034W-A	29.0873470551274	-1.66846500857397	0.244136088649771	-6.83415965989155	8.24871169092926e-12	1.85219366011954e-09
YNL282W	219.109113175906	-0.928876936216374	0.136006153482996	-6.82966845564457	8.51111014791104e-12	1.85219366011954e-09
YLR264C-A	2364.74601295442	0.735194492742946	0.10800103205508	6.807291363364	9.94533860840573e-12	2.09216773192162e-09
YNR036C	456.047722281803	-0.754944938982614	0.111533724764299	-6.76875931990991	1.29891410081295e-11	2.64433770652598e-09
YDR412W	57.2018409436928	-1.73133815039107	0.259130160490854	-6.68134557209208	2.36758185058906e-11	4.66931533095861e-09
YBR246W	404.514118206784	-0.577919390305611	0.0866509359810401	-6.66951122642304	2.56656748916466e-11	4.90836588609642e-09
YKL018C-A	170.889639695668	-1.17533516453191	0.176537976183428	-6.65769025986059	2.78164203967097e-11	5.16321850363632e-09
YPR044C	229.814041486643	-1.81957660327052	0.273727833475557	-6.64739343517657	2.98328826518184e-11	5.37929492616074e-09
YMR236W	487.579753862366	-0.84639917510718	0.128119239131935	-6.60633938229659	3.93939232386632e-11	6.90597359886676e-09
YBR191W-A	214.191783310275	1.65606308701637	0.251200412147331	6.59259701391367	4.32198575300788e-11	7.37190596952236e-09
YER134C	57.2366003461489	-1.38971944759519	0.21111629298433	-6.58272001630089	4.61918513220727e-11	7.47478906906669e-09
YNL303W	412.604072019919	1.25584154568998	0.190744121912255	6.58390692777249	4.58244044860748e-11	7.47478906906669e-09
