baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
YLR076C	288.836568071558	-3.8624901531019	0.205252838156939	-18.8182058176881	5.35680063401247e-79	3.25104230478217e-75
YKL038W	150.763865184849	-4.33787980148453	0.237767620536904	-18.244199070038	2.30084487797591e-74	6.98191378221791e-71
YHR094C	6027.9205809247	-2.45212320465464	0.147051725018722	-16.675242703494	1.98403992504638e-62	4.01371276836883e-59
YDR524W-C	4821.2260228316	1.59704384122543	0.122658849412648	13.0202088872745	9.39136465831147e-39	1.42490480278231e-35
YER028C	200.876067601054	-1.77529425492165	0.139502316978169	-12.7259123244488	4.24487484552783e-37	5.15242908750168e-34
YLR062C	53.539839905007	-2.70911310068304	0.22170546252131	-12.2194242301208	2.44812403472366e-34	2.47627746112298e-31
YPL142C	209.963663694346	2.12834281156165	0.180557645529351	11.7876083581056	4.52200528927327e-32	3.92057858579992e-29
YNL043C	57.1445786410293	2.66265009215738	0.235078113017399	11.3266609893211	9.6825881793522e-30	7.34545345756106e-27
YLR342W-A	117.515574035871	1.75383513141843	0.168897771728403	10.3840039656574	2.9321383452496e-25	1.97723862414665e-22
YDR413C	9.36954529679039	2.52639652928302	0.268622130608193	9.40502006875962	5.20202777449473e-21	3.15711065634085e-18
YAL037C-A	219.239517824208	2.09014736485845	0.235641803157664	8.87001939744946	7.31331626165501e-19	4.03495603563493e-16
YML132W	6.25213511230636	2.32909822462335	0.27283635379258	8.53661248674367	1.38214121339451e-17	6.99017918674275e-15
YDR433W	30.5426706351274	2.00783698114938	0.236754312127205	8.48067755602521	2.23886285857217e-17	1.04520451451342e-14
YMR097C	612.631177038683	1.24174500450058	0.154103871451502	8.05784431503632	7.76516270603104e-16	3.36619803306445e-13
YIL047C-A	16.7772547566617	-2.09929840726651	0.266185380287867	-7.88660295691754	3.10523379649534e-15	1.25637759406201e-12
YBR191W-A	245.110859777177	1.83067208127961	0.23289231785155	7.86059453642653	3.82314452662852e-15	1.45016650825678e-12
YLR307C-A	49.4271257980762	1.59924918191142	0.204288884758647	7.82837100413379	4.94231679676177e-15	1.76440709644395e-12
