baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
YBR033W	208.449143975931	-6.34568426785537	0.364089433138021	-17.4289163328995	4.97804221356301e-68	3.15856778450573e-64
YBR265W	363.613867776621	-1.38897932486152	0.109430261761956	-12.692826485995	6.4804144462615e-37	2.05591148307646e-33
YMR175W	827.87287658025	-4.61117209089848	0.380717092027079	-12.1118073957407	9.14564161822077e-34	1.93430320225369e-30
YOR134W	193.740050612477	1.78544763881668	0.154703740474326	11.5410760809173	8.18942527879779e-31	1.2990475848493e-27
YNL160W	1618.58625352724	-2.68631049454896	0.236506049693504	-11.3583161954218	6.74317823523058e-30	8.55709318050761e-27
YHR214W	32.8627261124186	3.07911113111369	0.277060739338566	11.1134877444727	1.07862599146771e-28	1.1406469859771e-25
YML132W	14.6910656264526	4.28855367924626	0.410723619976224	10.4414586127151	1.60328043800045e-25	1.45325919701612e-22
YHR136C	271.094289574607	4.21240651710194	0.418712303287262	10.0603839056814	8.26753169156212e-24	6.55718607287021e-21
YDR534C	2692.87977565338	3.84863391507198	0.388743367682004	9.90019183612208	4.15477311879602e-23	2.9291150487512e-20
YBR296C	1472.42608667127	3.48330927615072	0.358556622875864	9.71480947196638	2.60736193814905e-22	1.65437114975557e-19
YJL052W	2420.01281976393	-2.46024194140523	0.256165437257951	-9.60411352811753	7.6816064322301e-22	4.43089025568182e-19
YLR076C	167.004006829738	-3.24241554253806	0.346004222029714	-9.37102883750247	7.18289040803398e-21	3.79795330324797e-18
YBR302C	8.33994099103209	3.80299385378917	0.42026649525186	9.04900556374376	1.44276228818346e-19	7.04178978348005e-17
YML052W	567.622493195576	-1.30878750845906	0.148119360194948	-8.83603268834332	9.91777705615042e-19	4.49487824437675e-16
YIR016W	747.39358020983	-2.06473270963015	0.236602899766426	-8.7265739839556	2.6250364574682e-18	1.11039042150905e-15
YHL034W-A	56.2782417790693	-2.12044584610287	0.247678430856517	-8.56128585266784	1.11615582423134e-17	4.42625544046741e-15
YLR231C	666.440060265254	-0.977764088136822	0.114435195477016	-8.54426021698199	1.29362259570806e-17	4.82825609986331e-15
YMR175W-A	77.5659434257104	-3.14085905845795	0.372653022419366	-8.42837403562873	3.50501190471645e-17	1.23551669641255e-14
YML123C	3274.07308566738	2.90195875972678	0.347170768881816	8.3588798938158	6.33165308614408e-17	2.11443888587285e-14
YHL034C	1279.6076536535	-0.729957612576078	0.0875284517143768	-8.33966097056165	7.45038316384357e-17	2.36363405872937e-14
YDR155C	2608.41489781582	-1.52879853005677	0.183676257881101	-8.32333230050017	8.55242450883605e-17	2.58405397659832e-14
YMR173W	140.895020442658	-2.00763137119819	0.244886604440826	-8.19820821062229	2.43996477978503e-16	7.03708023988001e-14
YBR012C	107.519755033566	1.68093451533307	0.213756654766966	7.86377629817231	3.7272291817762e-15	9.97406874223899e-13
YIR042C	43.0331016034281	2.48977012883593	0.31667367133438	7.86225807262311	3.77269739659158e-15	9.97406874223899e-13
YDR522C	54.0203719377421	1.71705280477465	0.220470846450445	7.78811726093949	6.80150461611741e-15	1.7262218715706e-12
YFL014W	3614.32488463363	-3.24038050819868	0.418817125776716	-7.73698186813457	1.01804570944136e-14	2.484423087079e-12
YER150W	220.054204258309	-1.96887013691343	0.258972451619439	-7.6026238489903	2.90186038440959e-14	6.81937190336254e-12
YGR254W	5122.47537311066	-2.32527967485878	0.307455399705521	-7.56298206857293	3.93931926972032e-14	8.92677884513409e-12
YDL039C	919.109485277173	2.61767494670368	0.354786909478291	7.37816102221172	1.60490798269097e-13	3.5114279828187e-11
YGR043C	350.55394100309	-1.68851109723555	0.229764606966442	-7.34887378664968	1.99883814317049e-13	4.22754267280558e-11
YPL156C	3027.49399748814	1.8542569562666	0.252629397924295	7.33983048489974	2.13864549850754e-13	4.37732441549365e-11
YER155C	1701.56196257722	0.984906497016247	0.134468269516893	7.32445282857246	2.39875418659684e-13	4.75627978561155e-11
YDR077W	5428.88078608787	-1.81740731837969	0.248651330766827	-7.30905928705433	2.6901906239216e-13	5.17250288144926e-11
YLR342W-A	166.04677197308	1.53617603032636	0.211355333426208	7.26821512106624	3.64268380459868e-13	6.7978908059349e-11
YFR010W-A	15.1354005383938	2.22125237720644	0.306801554966402	7.24002972360974	4.48586417858637e-13	8.1322309180373e-11
YHR214W-A	34.9235178228981	2.24770205540036	0.311479757764509	7.21620586689845	5.34581092792008e-13	9.42199176045914e-11
YDR295C	584.589934305725	0.888047218763963	0.124034376957997	7.15968621396542	8.08619359109657e-13	1.3866729279867e-10
YLR062C	21.0083416212679	-2.30657373945406	0.32289675837173	-7.14337843181025	9.10644625048916e-13	1.52053688050931e-10
YJR073C	3722.05234542135	-1.68207301837622	0.239491761143291	-7.02351099823351	2.16361109496348e-12	3.5200288198829e-10
YHR033W	976.545431124874	-1.67223197340347	0.240181997513705	-6.96235350989641	3.34634495376873e-12	5.30813968291565e-10
YDR320C-A	345.43672476274	-1.32342198262366	0.191874946916778	-6.8973151726664	5.29945233554531e-12	8.20122562659391e-10
YOL151W	148.374466935294	-1.89045667603979	0.274987043881507	-6.87471180225637	6.21153062110827e-12	9.38384804546e-10
YOL052C-A	961.648918806652	-2.66417307099968	0.387745719465311	-6.87092838748417	6.37854105548464e-12	9.41205651094186e-10
YEL022W	848.743707405448	0.85424084131793	0.124577205973229	6.85711992530563	7.02626454965662e-12	1.01321928562662e-09
