baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
YDR477W	650.004894608071	-5.53309023925406	0.354241924680516	-15.6195239856046	5.36043231904618e-55	3.39851409027528e-51
YML058W-A	242.541391388035	5.12090227104059	0.358809020807013	14.2719440540345	3.27324914875313e-46	1.03761998015474e-42
YGR180C	6130.27456476913	2.1020803684866	0.149038828463096	14.1042464582115	3.57588464099459e-45	7.55703620796856e-42
YMR107W	1086.8166030771	-2.82909003275431	0.21420895142738	-13.2071513067156	7.97872031738415e-40	1.26462717030539e-36
YIL057C	827.663016449641	-3.50944854996992	0.26792398659247	-13.0986724802211	3.35066973203921e-39	4.24864922022572e-36
YJL026W	3433.71118039271	1.73835636982174	0.134470002972978	12.9274658391363	3.15032215338228e-38	3.32884040874061e-35
YDR343C	2288.63369106356	-3.12139262559967	0.273338929017373	-11.4194953379703	3.34168726461675e-30	3.02661389395288e-27
YPL061W	8389.37806302468	-3.10220062614506	0.278809612605278	-11.1265913580138	9.31289823276834e-29	7.38047184946891e-26
YLR076C	322.510435023868	-3.87588590374584	0.355712995407318	-10.8961043138378	1.20298240288231e-27	8.47434270474869e-25
YDL049C	1104.17468391544	-2.4524241772855	0.237550469477398	-10.323802696247	5.50006948500638e-25	3.48704405349404e-22
YJR047C	44.1666096987177	3.41154336007533	0.341557316188876	9.98820168205326	1.71667750791272e-23	9.89430490924239e-21
YEL070W	74.0286174621435	2.4456739813075	0.249635570462322	9.79697715665337	1.1600530392517e-22	6.12894689071315e-20
YPL058C	13926.8491494073	-3.66876249633257	0.382839547051027	-9.58302903812489	9.42397217151209e-22	4.59599873595282e-19
YMR319C	489.910085656283	2.43269333906043	0.254301615871822	9.56617334388706	1.10935872665493e-21	5.02381023356589e-19
YGL187C	4909.65298974943	-1.63798013011704	0.183385730924658	-8.93188429578518	4.18813389935303e-19	1.77018459479322e-16
YDR501W	263.880504265387	1.49986888480482	0.169661464453468	8.84036271663909	9.54083539953841e-19	3.78055602706709e-16
YEL071W	3832.73149963313	2.58628333728433	0.295139617248762	8.76291485837515	1.9026536632317e-18	7.09577895581706e-16
YPL201C	541.415366724	-2.45658889284841	0.281815062340243	-8.71702481921464	2.85607552390958e-18	1.00597326786593e-15
YLR089C	2251.12152102373	1.45824922473389	0.167490356683911	8.7064667698207	3.13493815726478e-18	1.04607936405572e-15
YML087C	563.355322633002	-2.12841092480603	0.245543398770809	-8.66816593506832	4.3913643814246e-18	1.3920625089116e-15
YPL033C	56.5293318118388	2.52161319399823	0.296819862583551	8.49543279229984	1.97196731845718e-17	5.95346323762788e-15
