baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
YDR345C	14227.9969044948	6.32922043281978	0.386748892959265	16.3651934059613	3.38949270304559e-60	2.14351518540603e-56
YEL021W	282.402676185564	6.0571806417398	0.47735122764939	12.6891485574826	6.79201274460871e-37	2.14763442984527e-33
YGL035C	329.801531597314	-4.91136747782417	0.440019093406952	-11.1617144606084	6.27692515763075e-29	1.32317582322856e-25
YCR013C	425.062433865232	-3.65336425382655	0.472645704689068	-7.72960426294351	1.07881421004517e-14	1.70560526608141e-11
YKL038W	283.785931776116	-3.50216239608632	0.478965711767647	-7.31192715896387	2.63337862760117e-13	3.33069728818996e-10
YLR076C	176.783982586429	-3.44869191603058	0.480075301540237	-7.18364786725344	6.78755500255671e-13	7.15408297269477e-10
YGL209W	480.854754972968	2.54405841146023	0.396322305557298	6.41916535049131	1.37023515726555e-10	1.23790959064962e-07
YIL139C	823.879673904827	2.99627023382432	0.50756327429466	5.90324474911649	3.56420899767156e-09	2.81750721265937e-06
YBR198C	3987.82817369759	2.91938961758783	0.498042636773295	5.86172629014635	4.58079663540066e-09	3.21877310247487e-06
YAL037C-A	226.472180348934	2.82663364120045	0.51008405432388	5.54150559547911	2.99881991338206e-08	1.89645371322281e-05
YLR368W	1129.42983049568	2.68497135708794	0.494826837969267	5.42608272442714	5.76042691499688e-08	3.31172180094911e-05
YMR011W	6940.09435807038	2.4843385976289	0.472709930897724	5.25552444584968	1.47603244652949e-07	7.18033014757883e-05
YOR009W	223.532242018549	2.71149424531554	0.514890640619119	5.2661556288053	1.39310198513374e-07	7.18033014757883e-05
YHL034W-A	52.2282024277074	-2.53552153151826	0.50394019586617	-5.03139370964488	4.86927040654966e-07	0.000205288440340134
YOR248W	44.8091584434682	2.69855700187215	0.535561828667783	5.03874036091192	4.68605663221427e-07	0.000205288440340134
YEL017C-A	357.473395357321	-2.0047733695644	0.411569018540968	-4.87105024734713	1.11006602542859e-06	0.000430782739037872
YKR075C	657.906240869755	2.03940412822219	0.419398442932335	4.86268884062411	1.15801811569321e-06	0.000430782739037872
YGL126W	1815.28548267352	2.44026099009774	0.50364592293038	4.84519158995567	1.26489557470765e-06	0.00044439997858062
YBL032W	2185.58689589605	2.3878633742922	0.494485668657082	4.8289839840599	1.37231444181052e-06	0.00045676402789525
YLL010C	1510.07223922232	2.31494328428544	0.480914078229393	4.81363176725559	1.48211797575151e-06	0.000468645703932627
YDL184C	413.354786567413	-2.24961688014908	0.468439363432981	-4.802365163471	1.56802404568307e-06	0.000472199241185702
YML122C	292.82527791001	2.45675648872796	0.515271431933964	4.76788802264281	1.86167202644545e-06	0.000535146086147319
YGR031W	1079.42715918935	2.34944708617326	0.498578059967093	4.71229537522835	2.44941991043675e-06	0.000645422146400083
YNL180C	1958.84865080688	2.26601017757423	0.480174276857478	4.71914112601832	2.36842474204514e-06	0.000645422146400083
YGR161C	624.746614144924	1.98627466095074	0.424080284759648	4.68372318245467	2.81710402814565e-06	0.000685206379768966
YMR175W	964.505259017726	-2.24534153556775	0.478582760164654	-4.69164734391028	2.71013984711919e-06	0.000685206379768966
Q0140	61.090229901881	2.46017585032224	0.529821232462508	4.64340743553786	3.42709570547482e-06	0.000774034044336528
YML047W-A	61.3304845293581	2.46648144209546	0.53076650343257	4.64701789985662	3.36767953602634e-06	0.000774034044336528
YOR047C	221.304136639133	1.88578253866834	0.410649648477965	4.59219323736869	4.38611952475097e-06	0.000956476547397418
YMR069W	185.637995967649	2.42485912344534	0.532053356913165	4.55754877201366	5.17540750182997e-06	0.00109097590138576
YLR285C-A	617.029435730268	2.23293331705908	0.492945770131776	4.52977477920577	5.90465955314558e-06	0.0012045505488417
