baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
YLR303W	212.029360286572	6.21698175590595	0.322750132569453	19.2625227026611	1.10844406397384e-82	7.00647492837866e-79
YGL035C	541.668504326234	-5.06991940625342	0.281677382148358	-17.9990291289455	1.98264030522648e-72	6.26613468466829e-69
YCR013C	703.153916802693	-3.32023136054878	0.300082534915347	-11.0643938724572	1.86720952941142e-28	3.93421047846987e-25
YLR076C	290.389076606559	-3.42200256909731	0.314914416344876	-10.8664525708779	1.66551353829588e-27	2.63192776889206e-24
YEL017C-A	595.140432092664	-1.70936979092083	0.168147019394849	-10.1659238270934	2.81441184154828e-24	3.55797945008534e-21
YGL209W	185.686483522673	-3.17978644958232	0.322702261065378	-9.85362308613669	6.61166772014903e-23	6.965391943177e-20
YHL034W-A	85.221563868947	-2.99910133164673	0.323241240258681	-9.27821378623171	1.72343433799898e-20	1.55626120721308e-17
YML132W	8.32005140404737	2.64685089401527	0.344369107179474	7.68608693066017	1.51703448854482e-14	1.19864687526148e-11
YDR510C-A	127.91714053338	-1.52563133202925	0.234090584768726	-6.5172690885305	7.15989177078118e-11	4.52576758831079e-08
YEL033W	762.656306400527	-1.7668637381313	0.270973700826066	-6.52042516578178	7.01083789263474e-11	4.52576758831079e-08
YDR413C	9.42224912567254	2.23436676626536	0.346825076558915	6.44234490894953	1.17641555621012e-10	6.76011157345835e-08
YNL043C	39.2320247672365	2.05752000746922	0.332744900221809	6.18347570796028	6.27053868239228e-10	3.04892884703089e-07
YPR044C	135.485155494751	-1.95977001658644	0.316299140044607	-6.19593849135996	5.79387511882303e-10	3.04892884703089e-07
YFL010W-A	221.18917111413	-1.20314289591772	0.203591322319822	-5.90959812141549	3.4294335378802e-09	1.54838924235291e-06
YOL086W-A	337.107623852027	-1.20017897341918	0.20951307046315	-5.72842052653833	1.01370023160679e-08	4.271732775991e-06
YDL184C	674.504161171701	-1.87265677073747	0.32850411739072	-5.70055798877598	1.1941590150331e-08	4.71767445876515e-06
YOR248W	38.1127714469319	1.89972111014467	0.346756455109062	5.47854576938494	4.28835667902941e-08	1.59451191577323e-05
YFR032C-A	3872.83735167457	-1.38932686241035	0.254534117802566	-5.45831291460898	4.80679982291506e-08	1.68798787114701e-05
YKR035C	22.3882215472618	-1.83455896558834	0.345794286873591	-5.30534781871333	1.12458355442093e-07	3.55424632374734e-05
YOR045W	944.04253356994	-1.2730272927964	0.239736923926526	-5.31010105554933	1.09564466479567e-07	3.55424632374734e-05
YBR126W-B	46.0037442695136	-1.78258017573082	0.342770909637011	-5.20050017552117	1.98752931451216e-07	5.98246323668159e-05
YPL234C	1949.92579313825	-1.0262801325003	0.198093174325575	-5.18079502736202	2.20942172980737e-07	6.34807034277836e-05
YJL152W	48.8266631246979	-1.61644206106306	0.315411126068658	-5.12487330808742	2.97737880871883e-07	8.18261367387467e-05
YGR018C	24.1878370606628	-1.70327272316743	0.334251343686178	-5.09578422148873	3.47300531778811e-07	9.14702775572444e-05
YBR230W-A	616.443587997025	-1.43425168720404	0.283345727537595	-5.06184335182447	4.15222132292706e-07	0.000104984763928888
YJL151C	1147.99721294309	-0.914724426001652	0.184500001370132	-4.95785593067064	7.12753841283457e-07	0.00017328142425972
YLR099W-A	327.002445695585	-1.03751034404378	0.209881903688863	-4.94330538178186	7.68090238815297e-07	0.000179818459242648
YDR412W	51.3418775729006	-1.63629725457139	0.332370843546239	-4.92310708458322	8.51808095202241e-07	0.000186706964164372
YGL198W	224.69800770988	-1.27729782153284	0.259857658252796	-4.915374940731	8.86127024985153e-07	0.000186706964164372
YJL188C	921.005743310992	-1.55979673077973	0.317309799526565	-4.91569038556954	8.84701247641111e-07	0.000186706964164372
YIL156W-B	498.549558598995	-1.12328872278702	0.231144082030051	-4.85969060043243	1.17569345566701e-06	0.000239727688170039
YDR115W	555.310735542595	-1.02039219123161	0.211731050864805	-4.81928459271264	1.44073913894289e-06	0.000284591003039312
YNL089C	14.5672504175403	-1.62217823663177	0.346828702168125	-4.67717413954228	2.90855249879701e-06	0.000557120010451391
YDR433W	29.1866696259443	1.58992477552291	0.344155839430069	4.61978148665403	3.84144396082955e-06	0.000714169625776576
YDR008C	32.9882390306789	-1.49642109980325	0.325280363799944	-4.60040404013933	4.21672239314968e-06	0.000761540064202833
YBL003C	3933.55361474588	-1.26227013874568	0.279503200142437	-4.51612052421016	6.29828263698652e-06	0.00110587345967755
YOL026C	361.635003292813	-0.943780604490502	0.210304693988493	-4.48768207019736	7.20022710362145e-06	0.00123007123032409
YNL149C	84.3569750881784	-1.53610513094588	0.342990404598204	-4.47856590258072	7.51461717975433e-06	0.00124999724192703
YJR085C	2193.57048263355	-0.937068643424823	0.210309867561436	-4.45565704686245	8.36366434725198e-06	0.00135555698305076
YJL138C	1911.19142842109	1.12770356358986	0.258706406501299	4.35900903592119	1.30652718837609e-05	0.00206463958943132
YDL133C-A	1700.30308612837	-1.49634831020228	0.344499620694428	-4.34354124160138	1.40204142310825e-05	0.00216153752084567
YBR302C	2.78610265406119	1.21797271603004	0.282086417120185	4.31772904368917	1.57642785837918e-05	0.00233547307127377
