baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
YLR076C	184.468672495865	-4.110875052829	0.300862850780438	-13.6636179646819	1.67452825678354e-42	1.05997638654398e-38
YGL209W	116.8926656663	-4.26804751371283	0.338602850397331	-12.6048776869554	1.98480274188215e-36	6.28190067805699e-33
YEL017C-A	436.879824131254	-1.39673585293013	0.123717060767694	-11.289759425766	1.47439670267707e-29	3.11097704264861e-26
YPL250C	486.950024626277	1.86686878822876	0.19327301670183	9.65923138204468	4.49221639105536e-22	7.10893243884511e-19
YPR001W	898.456484189816	1.63519775521673	0.185664357017376	8.80727879861022	1.28220500861437e-18	1.62327154090579e-15
YGL117W	1388.87333555093	1.61697744283774	0.197199433023505	8.19970634826828	2.4097494664318e-16	2.54228568708554e-13
YML131W	998.330968736023	1.58732773535245	0.194650755095405	8.15474738114651	3.49910491083117e-16	3.16419058365162e-13
YHL034W-A	60.3206852740245	-2.3104294389608	0.28872590868064	-8.00215487940977	1.22260466975415e-15	9.67385944942969e-13
YGL255W	819.815243437349	2.28011131171448	0.28994354855708	7.86398360322751	3.72106276858896e-15	2.61714748057424e-12
YOL119C	885.057710078262	1.02310128111183	0.133777881150721	7.64776114191217	2.0450863527604e-14	1.19877280312689e-11
YPR113W	845.838351116202	-1.11531534064848	0.145880818801184	-7.64538717162334	2.08317548726632e-14	1.19877280312689e-11
YOL058W	8452.06834647794	1.47318901987026	0.195264903066527	7.54456636463925	4.53794901823417e-14	2.39376810711852e-11
YLR342W-A	125.591649904888	1.31906578693073	0.176777564727627	7.46172620356604	8.53961980875703e-14	4.15813795303323e-11
YGR043C	1008.12766607157	1.42872791333208	0.192710126951674	7.4138704381133	1.22665760830325e-13	5.54624475754254e-11
YML132W	9.35539100243437	2.87211880319411	0.394173901122614	7.28642559797659	3.18286432877493e-13	1.34316874674302e-10
YHR018C	4594.39947550748	1.23529142776889	0.172050827058258	7.17980522901297	6.98108006771969e-13	2.7618898017916e-10
YNL043C	33.1300807624259	2.1858480018142	0.30482778913163	7.17076355814237	7.45806158427623e-13	2.7770311663805e-10
YER147C-A	102.328743077712	-1.61127061231262	0.225240044492923	-7.15357083124379	8.45491248740986e-13	2.9733108914058e-10
YKL058W	543.956344605713	-1.06788090776083	0.150717706486625	-7.08530492305227	1.38738477408477e-12	4.62218190524031e-10
YER069W	3604.31686162446	1.9017526930774	0.274334872646144	6.93223094364096	4.14254936141627e-12	1.31111687288825e-09
YMR107W	1750.01602848569	1.22700641551314	0.178825505865627	6.86147319742596	6.81539931298814e-12	2.05435607862928e-09
YJL143W	1003.92276181074	-1.16990969217186	0.171375456387459	-6.82658833903752	8.69577573433499e-12	2.5020118362882e-09
YCL048W-A	57.2917457416409	1.75376237415637	0.261664214190513	6.70233940694497	2.05108940073838e-11	5.64495474203216e-09
YJL151C	789.077572086054	-1.27052212053046	0.191201684022621	-6.64493164390827	3.03357828094408e-11	8.00106271599002e-09
YCR013C	503.857179078172	-1.93407715346043	0.293949099358255	-6.57963286052882	4.7161132859153e-11	1.19411988399375e-08
YIL156W-B	357.987350261535	-1.21250908192862	0.185696548184139	-6.52951868941734	6.59813784292421e-11	1.60639279021962e-08
YIL002W-A	268.732598337703	-1.37509307474246	0.210900180473869	-6.52011331452055	7.0254297028155e-11	1.64707296366008e-08
YJR094C	76.9514541522738	1.53852185190268	0.236731232650078	6.49902353263556	8.08430165867897e-11	1.82762962497992e-08
YBR136W	421.869204331369	1.01735503498176	0.157008222058994	6.47962903878691	9.19484013005353e-11	2.00701165597375e-08
YOR045W	644.543037906185	-1.53610729812763	0.238147150096661	-6.45024430275204	1.11669991590974e-10	2.35623682256955e-08
YHR071W	2764.65212107389	1.42465110534873	0.223531443827066	6.37338121633974	1.84905500417291e-10	3.77565102464985e-08
YCR107W	191.735272589435	1.05093517899236	0.165951312348385	6.33279221550301	2.40763707785389e-10	4.49650262859162e-08
YDR502C	1413.00624279136	-1.48359828944291	0.234118340393485	-6.33695885144844	2.34344544625902e-10	4.49650262859162e-08
YMR173W-A	341.383069436536	1.43893899841046	0.227237627284916	6.332309554554	2.41518308644732e-10	4.49650262859162e-08
YMR174C	406.291297711042	1.2883942437106	0.203779099846447	6.32250434260155	2.5735778906274e-10	4.65449944219185e-08
YER026C	1972.66088773041	-1.1180588155725	0.177076981689595	-6.31397036986089	2.71966031662391e-10	4.78206939006371e-08
YER019C-A	1148.26562847926	-1.17247610938616	0.187494972041227	-6.25337360581781	4.01679668128506e-10	6.87197918717146e-08
YJR130C	837.7119992051	0.835060308155977	0.134405433208615	6.21299517601978	5.19840459081685e-10	8.65944764733439e-08
YER031C	763.380382031172	-0.808885888583259	0.131075334357318	-6.17115258602503	6.7793956563238e-10	1.10034806421871e-07
YCL030C	6835.06269376179	1.18667299001024	0.193962181062393	6.11806375609126	9.47191728519027e-10	1.49893091038136e-07
YKL170W	18.7537378613259	-2.34816070546523	0.38477603149235	-6.10266886000645	1.0431181163944e-09	1.61047260409184e-07
YDR007W	407.331391988028	-0.932421246503208	0.153496694531558	-6.074536323722	1.24346487890178e-09	1.87407921034482e-07
YLR099W-A	241.326837920197	-0.998997181910514	0.165203084593005	-6.04708552731717	1.47489472394693e-09	2.17118223315908e-07
YBR302C	3.78568256345698	2.38236729772025	0.394360398242062	6.04109162162357	1.5307501993976e-09	2.202192900497e-07
YEL071W	1737.73210309219	1.27036141389747	0.210496528532563	6.03507061495767	1.58893189021105e-09	2.23509752556354e-07
YNR068C	169.860292289871	1.39999456639216	0.232557423882734	6.01999516084296	1.74422285305329e-09	2.40020231735377e-07
YGR161C	595.105352579969	1.27476588281958	0.21404820667071	5.95550835322191	2.59264655871381e-09	3.49179845035285e-07
YGR219W	11.4962537337838	-2.20830191313642	0.371131775525347	-5.95018281582197	2.67843150400201e-09	3.53218154590265e-07
YBL048W	198.172944906818	1.29079022607879	0.217858716005677	5.92489595892575	3.12495173070286e-09	4.03692743986716e-07
YMR175W-A	525.720367959121	2.02786263360856	0.343490321987701	5.9036965637744	3.55445664413374e-09	4.48743320247749e-07
YNL266W	26.0172278300532	1.587789845242	0.269076351019947	5.90088961450313	3.61546750910508e-09	4.48743320247749e-07
YBL075C	632.502787018962	1.43731202191793	0.243902194753651	5.8929851917473	3.79280408473233e-09	4.6170095877607e-07
YLR179C	1087.84490524534	-1.26715733620728	0.21610651831297	-5.8635775824779	4.52999038738868e-09	5.41034700984346e-07
YLR180W	1718.67312466097	-1.68957467890263	0.288416795533458	-5.85810086329258	4.6819028114917e-09	5.48823051791527e-07
YMR263W	188.665792807354	-0.902723643808384	0.155054106055057	-5.82199121826442	5.81506056023542e-09	6.69260606296186e-07
YNL135C	3434.80709336319	-0.861164608539108	0.148218538963162	-5.81010050809598	6.24353477401155e-09	7.05742412848091e-07
YJL159W	15852.8468061823	0.881006039600065	0.151823057998059	5.80284741472755	6.51981186388092e-09	7.24042264883617e-07
YDR510C-A	95.5099681419983	-1.12425365993338	0.193871039613428	-5.79897679496173	6.67207632461583e-09	7.28176605772727e-07
YDR231C	348.0230396795	-1.32197250779492	0.229144962398821	-5.76915370059091	7.96706157471704e-09	8.54771182507778e-07
YMR264W	712.452924177298	-0.610621084028296	0.106340405493223	-5.74213612592638	9.34896176883396e-09	9.86315466611983e-07
YMR303C	11904.5367353579	2.25755931620325	0.393820886766214	5.73245196500564	9.8989073733673e-09	1.02721448644943e-06
YML002W	276.335469267297	0.717748450371478	0.125279470150833	5.72917852787315	1.00918142465969e-08	1.03034168033804e-06
YPL277C	249.364849803677	1.59887026666211	0.279404175289187	5.72242796660882	1.05012373375649e-08	1.05512432296485e-06
YBL046W	286.892547245651	-0.688508866475212	0.120582869950818	-5.7098397704088	1.13082585635237e-08	1.09982436384727e-06
YBR047W	336.185499261685	1.16767445119957	0.204551416160393	5.70846427327577	1.14000100591402e-08	1.09982436384727e-06
YDR413C	7.77705986818177	2.20601925891994	0.386514969233758	5.70746137799846	1.14673630353744e-08	1.09982436384727e-06
YAL039C	799.86760816703	-0.743077723004984	0.130360229717524	-5.70018727809201	1.1967588088572e-08	1.13066914329344e-06
YOL086C	26469.1875640773	-0.86262020310514	0.151592347096433	-5.69039413682539	1.26746471856517e-08	1.17986053948787e-06
YFR032C-A	2772.31098596437	-1.34675822113075	0.237464908231795	-5.67139890756467	1.41636170524148e-08	1.29935791219979e-06
YJR073C	4412.34297252208	-1.07050723689381	0.189039495731332	-5.66287607122717	1.48856669066567e-08	1.34608959313052e-06
YDR354W	783.659244620844	1.16682033241935	0.206704069732522	5.64488320877879	1.65293418181384e-08	1.47367230575797e-06
YPL092W	1705.56073306198	1.28709212435103	0.229427391453143	5.61001943228692	2.02303897606389e-08	1.77858843312284e-06
YLR267W	389.79468606557	1.44481479724421	0.257876502494957	5.60273923085515	2.10990530786485e-08	1.82954802723076e-06
YER066C-A	50.4838770175584	-1.57155954539902	0.283801532134494	-5.53753016616648	3.06766869364374e-08	2.62410038253579e-06
YBL006C	285.326934861988	-1.24499963508172	0.224931464870486	-5.53501768104602	3.11196959673309e-08	2.62650233964273e-06
YBL113C	92.7179946388965	1.69102094396719	0.305886794221759	5.52825743350415	3.23427218780205e-08	2.65882375958272e-06
YGR181W	194.777667774242	-1.24285979262585	0.224764865603855	-5.52959996344077	3.20961863101016e-08	2.65882375958272e-06
YKL185W	1101.27235594677	0.982245118051505	0.178293954615583	5.5091330503567	3.60605274076721e-08	2.92645049346878e-06
YDR320C-A	364.881050689787	-1.18752093140829	0.216133973769314	-5.49437421011733	3.920982856434e-08	3.14174955458572e-06
YML102W	305.573344819825	-0.860515140044384	0.156895715471397	-5.48463122437058	4.14332829382582e-08	3.27840851248968e-06
YDL067C	1956.76188493519	-1.25074261260441	0.22836084601767	-5.47704492436341	4.32487446686222e-08	3.37980930558492e-06
YLR438C-A	726.509656452571	-0.916928808436138	0.168038196368162	-5.4566689494048	4.85149654320207e-08	3.74511867298403e-06
YCR010C	1114.31222532436	2.12184630833802	0.391455458067622	5.4204029209665	5.94648573386464e-08	4.53509092715219e-06
YJL088W	1360.19486541768	1.85630185684099	0.342683475563417	5.41695759852144	6.06217097196932e-08	4.56827883959117e-06
YER155C	1516.93281013808	0.956286252305947	0.17673121199239	5.41096415016452	6.26863217630671e-08	4.66828725600252e-06
YJR109C	8696.33465577876	1.62255422106698	0.300118891494795	5.40637149826047	6.43143308248297e-08	4.73383388512991e-06
YJL121C	1132.70146510732	-0.7167584720591	0.132737554865618	-5.39981674956074	6.67090031370039e-08	4.85365505583028e-06
YGL184C	84.4165588327149	1.26899219677461	0.235484208143165	5.38886325661003	7.09047276442808e-08	5.10030597713975e-06
YJR074W	578.458967015877	-0.877689069107233	0.163324049542792	-5.37391199620772	7.70464721189124e-08	5.41893520569684e-06
YMR019W	550.279475144969	0.66585837890628	0.123884735625878	5.37482180950137	7.66584548793784e-08	5.41893520569684e-06
YDL170W	624.785791046027	1.09239618377439	0.203537602715555	5.36704849226812	8.00355439546304e-08	5.56331486192498e-06
YDR322C-A	2471.21798646845	-1.31320438635765	0.244763102016372	-5.36520568475969	8.08570248494626e-08	5.56331486192498e-06
YER023W	1184.60231301473	-0.584243321618709	0.109204071812407	-5.35001407843415	8.79473899102713e-08	5.98609653905395e-06
YOL026C	270.612365602203	-0.898693744701537	0.168172472919799	-5.34388136832667	9.09771220721739e-08	6.12643811400916e-06
YEL044W	529.378665418138	-0.7560422646019	0.142062799164313	-5.32188770775554	1.02695960699911e-07	6.84279401295194e-06
YOR248W	38.2896271241355	2.05609977608658	0.387151246767939	5.3108437419524	1.09118860472843e-07	7.19502486242811e-06
YLR281C	24.3886808257271	-2.03977837325734	0.384923216832946	-5.29918249681103	1.16322323293042e-07	7.51347251474442e-06
YPR062W	1245.7415311525	-0.978219805997814	0.184596245218848	-5.29923999720627	1.16285699756439e-07	7.51347251474442e-06
YDL160C-A	123.881079718239	-0.929919486660476	0.175867471495179	-5.28761503622328	1.23921429435356e-07	7.92346109420003e-06
YLR024C	497.563562199091	0.848070188036096	0.160804703518795	5.27391406767511	1.33544456591247e-07	8.45336410222593e-06
YLR090W	602.082420784592	-0.643570134335659	0.122432637820978	-5.25652428788385	1.4680339678661e-07	9.20064853127961e-06
YFL038C	3104.27038768746	-0.643596036147874	0.122490627107405	-5.25424721340957	1.48631130435119e-07	9.22387309465006e-06
YDR040C	110.953271359258	1.06491176015788	0.202860070689965	5.24948924909629	1.52521500289141e-07	9.37340870708993e-06
YPL242C	625.445684365693	0.736144178358426	0.140366290124379	5.24445134017668	1.56748065788658e-07	9.54053131194429e-06
YKL018C-A	237.892129058677	-1.09406006404349	0.209011246446843	-5.234455478556	1.65471949183325e-07	9.97559465076619e-06
YLR262C-A	1111.16117029028	-1.03397303059126	0.197987943754661	-5.22240400593544	1.76615118059224e-07	1.0546921672782e-05
YOL089C	404.992074443939	0.626995688266067	0.120641861173915	5.19716524732822	2.02350476326961e-07	1.19708272443894e-05
YLR059C	559.889004105972	-0.692870663510087	0.133368087765866	-5.19517581092153	2.04526459933178e-07	1.19875230683057e-05
YML042W	993.14742619229	1.64414853914222	0.316866784606556	5.18876896858632	2.11688833895432e-07	1.22934891610834e-05
YLL022C	480.920135869035	-0.671123966583628	0.129416869723634	-5.18575335670531	2.15143385241976e-07	1.23805238961973e-05
YIR017C	5.05296481419353	2.03931326069497	0.394539168657871	5.16884867890869	2.3554050897601e-07	1.3312244837662e-05
YMR247C	588.882866302037	0.925133547540704	0.178960532214126	5.16948366265353	2.34741653868727e-07	1.3312244837662e-05
YBR230W-A	457.783888065395	-1.21187023251147	0.234665199887327	-5.16425201987062	2.41402271394191e-07	1.3522799804648e-05
YPL033C	30.4483573009409	1.38372143533729	0.269731509132967	5.12999552697855	2.89749063602721e-07	1.6088698005309e-05
YDR226W	4558.04526018089	-0.518954168266023	0.101946551245215	-5.09045339864188	3.5720835565399e-07	1.96619903590414e-05
YDL133C-A	1173.51176680233	-1.76588839387258	0.347100541519353	-5.08754145453881	3.62735114460731e-07	1.97940799529002e-05
YJR112W-A	275.979316977052	-0.88035541734683	0.173363051893418	-5.07810290446469	3.81222212943433e-07	2.06250992130934e-05
YPR129W	376.090909233138	-0.645520628402158	0.127310451272812	-5.07044490022961	3.96886811007982e-07	2.12906229972926e-05
YNL311C	426.165510146749	1.06836109021309	0.211109294643744	5.06070133963545	4.17717094168272e-07	2.22197412276064e-05
YDL064W	395.068030095779	-0.715605924930267	0.141648284335012	-5.05199147515116	4.37227219780667e-07	2.30637358434302e-05
YFR035C	217.018894487973	-0.962617518895121	0.190605078190381	-5.05032461902004	4.41059893010318e-07	2.30736291136803e-05
YOR093C	537.572577809804	0.601501330448707	0.119140465166551	5.04867367781253	4.4488790925247e-07	2.30831185702306e-05
YGL200C	1811.10594079854	-0.759654469263861	0.150847713208536	-5.03590311782646	4.75601079128243e-07	2.44760555356242e-05
YGR164W	9.39243380539621	-1.97014676960022	0.392563236994168	-5.01867364016436	5.2029452802801e-07	2.63477148993384e-05
YLL048C	2170.83042553776	0.96759095721197	0.192782520311162	5.01908033804219	5.19194350482215e-07	2.63477148993384e-05
YOR388C	204.929043488965	1.83974005068987	0.367131118534163	5.01112533864023	5.41126536348923e-07	2.71189381964278e-05
YPL111W	2296.5475196512	-1.12044707590733	0.223638848833743	-5.01007352591182	5.44092440907792e-07	2.71189381964278e-05
YJL188C	662.532335970654	-1.46065989008939	0.291659705681594	-5.00809629042142	5.49710335539906e-07	2.71848939372469e-05
YFL007W	1418.74100070045	0.891808799696042	0.178387922967013	4.99926668164052	5.75487623344031e-07	2.82178557126268e-05
YOR375C	18923.7530101081	-0.88491550388181	0.177056679267838	-4.99792217690459	5.79513624429934e-07	2.82178557126268e-05
YNL089C	9.65248803458778	-1.89315903369918	0.378972978719383	-4.99549872947802	5.86839102927949e-07	2.83564238285032e-05
YCR046C	579.361746862873	-1.21517840021194	0.243491924094864	-4.99063122823949	6.01822977592596e-07	2.88331093496316e-05
YKR064W	397.864975208783	0.669522863941574	0.134190279937148	4.98935440223511	6.05814145892734e-07	2.88331093496316e-05
YBL088C	755.421124673532	0.970458065577873	0.194606375158709	4.98677427595283	6.1395724837869e-07	2.90026073301277e-05
YDR412W	37.0779633774017	-1.52795823412868	0.306506979033532	-4.9850683300804	6.1939919155919e-07	2.90429398708865e-05
YER052C	2228.3606721005	1.53070766386243	0.308316806673803	4.96472339726167	6.87990526425407e-07	3.20219120020061e-05
YKL015W	711.621704689503	0.905309214170833	0.182935015390875	4.94880224125746	7.46715676961361e-07	3.45015345632512e-05
YJL037W	101.727414211046	-0.992568886185957	0.201200837742684	-4.93322442054319	8.08831311183485e-07	3.7100740578199e-05
YML009C	508.399598470575	-1.3324667657139	0.270387180305008	-4.92799534434592	8.30775963596886e-07	3.78331787738726e-05
YAL037C-A	133.665321651811	1.72939372516791	0.351260522281008	4.92339336609081	8.50562338380637e-07	3.84575685853531e-05
YBR268W	312.52326815497	-1.15699365566316	0.235287282074495	-4.91736589186679	8.77165087154587e-07	3.9101795786539e-05
YER040W	460.97061969807	0.858803815186052	0.174633900239207	4.91773827423938	8.75498586477252e-07	3.9101795786539e-05
YPL205C	46.3295681447695	-1.42375521612973	0.290866242512994	-4.89487952891657	9.83659678580679e-07	4.35424179399699e-05
YLR312W-A	478.837122121118	-0.863173167761633	0.176606827894416	-4.88754131452766	1.0210307340418e-06	4.48828093505874e-05
YLR253W	622.052676999178	-0.611274950992807	0.125175241652554	-4.88335347248228	1.04296660795156e-06	4.55308870919543e-05
YIL060W	6.71555681036498	-1.88386250713883	0.387185769712742	-4.86552620086345	1.14152686554288e-06	4.94922264307288e-05
YJL152W	33.8607006967147	-1.51516532391927	0.312318851655682	-4.85134123632623	1.22629351476155e-06	5.28057003295279e-05
YBR251W	524.191206139799	-0.743481119795837	0.153684737603079	-4.8377030236797	1.31348194212096e-06	5.6177977659633e-05
YDR524W-C	4541.47456744489	1.21363612388515	0.25237360560877	4.80888689194595	1.51773048526816e-06	6.40482264783163e-05
YFR047C	1506.2762778453	-0.697013944039363	0.144939227521944	-4.80900827164843	1.51680930618106e-06	6.40482264783163e-05
YPL271W	3103.52291779033	-1.12440805526652	0.233948821125346	-4.80621381145616	1.5381540046068e-06	6.4480230789146e-05
YOR391C	16.5301193579609	1.68571859121943	0.351036267418188	4.80212088516552	1.56993863495545e-06	6.53796813109735e-05
YLR146W-A	102.677321248788	-1.25873355163031	0.262364071139418	-4.79765977926694	1.60530144041377e-06	6.64154125347658e-05
YJL035C	113.175324964322	-0.86805348726131	0.181134106167455	-4.79232490019749	1.6485963788461e-06	6.77637342733496e-05
YIL151C	705.489192630531	0.606832606661411	0.126768951981457	4.7869182254514	1.69361799914968e-06	6.8868648768931e-05
YNL149C	57.5116734735886	-1.72281395630403	0.359932660642092	-4.78648965401101	1.69723684169877e-06	6.8868648768931e-05
YLR437C	164.732276652772	-0.981429113332448	0.205337806642538	-4.77958311418495	1.75659045048146e-06	7.08230417296027e-05
YOR304C-A	80.8754120125581	-1.15088422111955	0.24147687506792	-4.76602250545043	1.87898280664414e-06	7.52782352282114e-05
YLR149C-A	7.73903751340149	-1.84478443596969	0.387584707866962	-4.75969355479037	1.9388711293098e-06	7.71890204310128e-05
YML076C	446.37680725014	0.824026894828716	0.173557919286914	4.74784958366833	2.0559083897116e-06	8.13368756679653e-05
YNR041C	245.065662344442	-0.976679007778654	0.205952312867021	-4.74225802168716	2.11349200735039e-06	8.25827432501727e-05
YPL098C	467.529912945029	-0.897934210640461	0.189343579544106	-4.74235362404404	2.11249457489952e-06	8.25827432501727e-05
YOL077W-A	1398.93970421048	-1.2288040397143	0.259419241090802	-4.73674980524745	2.17173003520545e-06	8.43377369500031e-05
YJR085C	1646.02378014506	-0.854349141877537	0.180422542093571	-4.73526828723239	2.18765515255142e-06	8.44381531442103e-05
YBR117C	801.624071379821	1.77310106546171	0.374627023358621	4.73297694748614	2.21250625460559e-06	8.48797854039598e-05
YBR045C	151.792748323294	1.43977641303569	0.304734082540372	4.72469768078846	2.30457941158047e-06	8.78794438271348e-05
YBR126W-A	16.0995210005171	-1.84092706948702	0.389976872679339	-4.72060575500008	2.35143311976553e-06	8.88715752617903e-05
YML129C	397.910618775635	-1.48343486343601	0.31428837072878	-4.71998012524669	2.3586768789859e-06	8.88715752617903e-05
YDR442W	6.00266069491177	1.82475178989498	0.386864301777266	4.71677480065237	2.39612658010211e-06	8.92204779532137e-05
YMR176W	626.226904691353	0.71568407773275	0.151717638579819	4.71721076357399	2.39099963062249e-06	8.92204779532137e-05
YHR023W	830.994358368625	1.05644973669559	0.224189083680345	4.71231569063331	2.44917566174108e-06	9.06624674784855e-05
YLR110C	38223.6762219787	-0.948071052817364	0.201347743902328	-4.70862515984915	2.49393211798427e-06	9.13275363371978e-05
YOR376W	22.5515294592125	-1.46685327367932	0.311535915440665	-4.70845639612521	2.49599743859956e-06	9.13275363371978e-05
YNR072W	50.0593489307571	1.18340552686931	0.251711284193914	4.70144010690292	2.58333040490081e-06	9.39797785231158e-05
YLL058W	331.117240718866	0.763980749114809	0.162808548743697	4.69251003715729	2.69873290033027e-06	9.76170243376605e-05
YDR141C	772.093473678236	0.764324062894585	0.16402480488711	4.65980778590549	3.16504801948382e-06	0.000113190700357811
YDR180W	317.513148066957	0.847787777965864	0.181921428300379	4.660186465588	3.15923053396486e-06	0.000113190700357811
YER074W-A	398.317906599995	-0.883655738889134	0.189817785684571	-4.6552842016477	3.23534115603085e-06	0.000115054547852108
YPR133W-A	298.733396680994	-1.33530547604435	0.287136019776626	-4.65042831297562	3.31246372373544e-06	0.000117139080286287
YER107W-A	20.9803234694153	-1.59916174550041	0.344362455452818	-4.64383303167473	3.42003990172112e-06	0.000120271403210526
YJL158C	4763.8217016127	-0.72772638612782	0.157373802146235	-4.62419015238382	3.76064764840884e-06	0.000129239225587747
YKL147C	13.8311064032201	-1.71925109939337	0.37161842925698	-4.62638815526685	3.72097656280979e-06	0.000129239225587747
YNL297C	828.792327948755	0.838989867724155	0.181365287029376	4.62596719287446	3.72854319168554e-06	0.000129239225587747
YPL142C	104.916409554007	1.44575319852101	0.312711360613919	4.6232832593056	3.7771337652027e-06	0.000129239225587747
YPL174C	309.38038527955	0.62123118071368	0.134327139466335	4.62476297181459	3.75027011722545e-06	0.000129239225587747
YDR146C	342.109699435126	0.571923653913907	0.124245510861847	4.60317358709119	4.16101130129846e-06	0.000141608610415157
YAL037C-B	132.175459378978	1.47627435889912	0.320976450835344	4.59932295673749	4.23866240013072e-06	0.000143479855576618
YBR072W	6829.92943101737	1.59131975886548	0.346830360405538	4.5881789500919	4.47129285076611e-06	0.000150549381624199
YLR245C	82.9011987310881	-0.811657118691258	0.176990916350325	-4.58586878597043	4.52102483385708e-06	0.000150621511570081
YPR182W	249.584862169268	-0.8194879260867	0.178674512183185	-4.58648475416866	4.50771303337916e-06	0.000150621511570081
