baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
YDR345C	18424.3068351367	6.17393516343408	0.317872483723154	19.4226788400193	4.96322094718841e-84	3.07471537678322e-80
YLR303W	101.033638933503	6.55470052115378	0.356701826694279	18.3758535298213	2.05056796440209e-75	6.35163426973548e-72
YKL178C	337.019215379146	3.04697282604019	0.239523132298846	12.7209960758136	4.52060466766682e-37	9.33504863873197e-34
YPL187W	2773.70078551611	4.8316572065759	0.395130090436474	12.2280163508648	2.2025164624231e-34	3.41114737117778e-31
YCR097W	379.49074876334	-4.11929964352256	0.359951938245283	-11.4440268431491	2.51915438650945e-30	3.12123228488521e-27
YNL145W	709.054609036574	-3.97184588752292	0.367237203017987	-10.8154779931934	2.90772900069823e-27	3.00223019322092e-24
YDR461W	1022.90451274193	-3.91789568496776	0.363423240593244	-10.7805314777675	4.25420590819575e-27	3.76497222875324e-24
YHR094C	244.193033739333	2.5903795573161	0.243890260990297	10.6210864952051	2.37777288410877e-26	1.84128787713173e-23
YCR013C	484.372951148562	-3.59357155728349	0.351676681658378	-10.2183958866352	1.64032772977969e-24	1.12909225399835e-21
YGL032C	380.851934846571	-3.60485285263147	0.370866353807445	-9.72008599761822	2.47572315289298e-22	1.5337104932172e-19
YKL038W	323.55035126284	-3.38757788858555	0.362159698495533	-9.35382347251245	8.45352748517456e-21	4.76087297915058e-18
YFL026W	2074.18115921084	-3.35193309623671	0.367739920591371	-9.11495572970808	7.87025985261262e-20	4.06302164891127e-17
YIL015W	746.400501769823	-2.98649397105158	0.329014931638238	-9.0770773112976	1.11529386932232e-19	5.31480424650138e-17
YEL033W	504.350599986915	-2.66896501462932	0.320075061441282	-8.33855971974544	7.52008486029637e-17	3.32763755068115e-14
YLR076C	201.636287517242	-3.02541884686451	0.364181627582778	-8.30744501567927	9.77846681505134e-17	4.0385067946162e-14
YLR040C	223.631550350755	2.00580175604133	0.257628627146564	7.78563228107502	6.93654253143818e-15	2.68574256139122e-12
YKL209C	1030.09797875525	-2.3195738134551	0.33217824813245	-6.98291903969043	2.89109036340096e-12	1.05354734125111e-09
YGL209W	131.609157105901	-2.34114439448067	0.366003142092733	-6.39651447005201	1.58963775077825e-10	5.47100325892848e-08
YKR075C	919.993645222729	2.1714044858425	0.349975002245646	6.20445595230942	5.48864430829938e-10	1.78958692052182e-07
YDR133C	637.48566574468	-1.55405666682	0.259493462576363	-5.98880854797132	2.11383812085146e-09	6.5476135793374e-07
YGR138C	284.26942425982	2.08249518035557	0.351556449934792	5.92364378677121	3.1488515217369e-09	8.86687962598187e-07
YOR047C	187.934358112045	1.57588049639688	0.266027990533376	5.92373942770948	3.1470197950946e-09	8.86687962598187e-07
YPR044C	91.328071299612	-2.21198361537942	0.379030270760318	-5.83590226432912	5.35002516837958e-09	1.44101764861354e-06
YDR040C	94.4632045257519	1.36022325152329	0.24298421507496	5.59799018674386	2.16851023930502e-08	5.59746705520607e-06
YJL170C	52.2891222796517	-2.13622448909614	0.382219488864828	-5.58899938734316	2.28381759235655e-08	5.65929999385952e-06
YJR004C	385.311147153803	1.67241799081894	0.302110567317048	5.53578117333393	3.09844223476593e-08	7.38263447860575e-06
YML132W	3.1820815191051	1.6058187320414	0.304553102075523	5.27270522315412	1.34427384691292e-07	3.08436165986131e-05
YGL157W	151.598788425734	1.38215569910393	0.265266841421018	5.21043524211246	1.88398132522146e-07	4.16830868205248e-05
YHL034W-A	61.2409637805594	-1.89995290686466	0.372347969574993	-5.10262727908337	3.34970313825963e-07	7.15565894535118e-05
YIL057C	561.398928822302	-1.53764953106793	0.304899512991017	-5.04313541200451	4.57964916934493e-07	9.45697553469729e-05
YOR062C	199.228561545703	1.38086728743329	0.277512664930229	4.97587123737383	6.49548165588812e-07	0.000129804867284603
YDL198C	1138.87406215518	-1.10437344804766	0.223299711413242	-4.94570029248219	7.58706140388301e-07	0.000146880766865798
YAL038W	7942.15243381172	1.06871777623416	0.216442603945044	4.93764978222824	7.90696731658918e-07	0.000148435340988697
YPL250C	310.57527838573	1.50716910417856	0.306377963256754	4.91931302159454	8.68484859840412e-07	0.000158243050197393
YDR413C	5.41255445167037	1.82922664208353	0.380266747451987	4.81037759504463	1.5064543566141e-06	0.000266642421120696
YBR118W	7645.91343542702	0.888994992004095	0.186170855064094	4.7751566253377	1.79567441507627e-06	0.000307233333332557
YGL255W	519.508425020994	1.81263338547944	0.379943385116773	4.77079864128268	1.83496906106612e-06	0.000307233333332557
YNR002C	2041.91083434423	-1.68363895572162	0.363300976062567	-4.63428139932019	3.58179498416808e-06	0.000583926840182139
YBL113C	71.2172438225643	1.68543822988163	0.364907439917867	4.61881026668295	3.85946555132312e-06	0.000613061258729403
YPL201C	363.890710701547	-1.32650080555207	0.287924346617481	-4.60711579668661	4.08292654539387e-06	0.000632343248717876
YCL054W-A	36.4935944100193	-1.82168774391976	0.398004906666286	-4.57704845696081	4.71582254176926e-06	0.000712549284055135
YGL089C	87.848853599499	1.14771861445147	0.25460802916303	4.50778641280227	6.55074699356626e-06	0.000966235181551023
YHR210C	40.3552681551607	1.40780076786951	0.318073207320066	4.42602751652982	9.59842856523326e-06	0.00138284337120047
YDR322C-A	2480.23857938299	-1.0925326130156	0.247446832998167	-4.41522164490054	1.00906546972708e-05	0.00142071831476347
YMR011W	6434.31805060117	1.73547931081017	0.394038351432307	4.40434111172632	1.06105874785336e-05	0.00146072420954479
YFL030W	3017.99856743422	-1.34664624104758	0.306843381443176	-4.38870877616425	1.14025638820297e-05	0.00153562789672117
YMR303C	771.168276031946	-1.53965339929341	0.359974601851061	-4.27711675039352	1.89329519918755e-05	0.0024955242040355
