logFC	logCPM	PValue	FDR
YDR034C	-6.17487457872005	6.99886718926819	3.18900445506907e-248	1.80019301488649e-244
YBR296C	-4.78214911120011	9.32458871995616	4.86617566865395e-132	1.37347808247758e-128
YDL059C	-3.58313255837036	6.68786757055368	8.99837245702842e-110	1.69319375066418e-106
YGR035C	3.95249806376968	5.25981451219178	6.62284657655807e-89	9.34649223116758e-86
YFL026W	-3.33844529305692	5.32078389943217	3.88386599622799e-84	4.3848847097414e-81
YNL142W	3.21979356076375	8.17774809645068	6.92765895399092e-82	6.51777246587979e-79
YKR039W	2.95029955378782	8.16101335243142	4.18419868678169e-81	3.37425736955466e-78
YNL145W	-3.69434244648522	4.28975808706735	7.29382400272393e-72	5.14670456192207e-69
YFL055W	-2.12610068704656	7.26229923913808	6.15749038156535e-66	3.86211480043738e-63
YMR120C	2.37482385221073	8.70875232695934	9.96504652689667e-61	5.62526876443317e-58
YPL187W	3.94412127192338	4.97383149616879	1.24143884943992e-60	6.37083845917124e-58
YLR134W	2.99285521064553	6.20263022935652	2.91006802623721e-60	1.36894450067575e-57
YJR016C	3.09587373175815	9.77393704183567	3.99222699999053e-60	1.73354780114973e-57
YGL162W	3.46203295012792	7.57308737415192	3.39680104440029e-57	1.3696387068314e-54
YOL154W	2.2498412301037	6.69816702499172	6.2928077640344e-57	2.36819332186495e-54
YDR158W	2.91169682813398	8.91621965815963	2.96573125234527e-54	1.04634705746807e-51
YDR461W	-2.7500327613698	4.46709526641735	1.17287808998848e-52	3.89464518704997e-50
YLR237W	2.21774652528492	7.7245981040404	5.4993312247509e-52	1.72465137576216e-49
YBR020W	-2.55578910595646	7.69447640968709	1.94287827650793e-51	5.77239361625647e-49
YLL057C	-2.43031937380916	6.96888969345301	6.99482959538122e-51	1.97429065329635e-48
YNR067C	-2.06109318470082	5.58773661748477	1.69401324796096e-50	4.55366894511411e-48
YGL158W	5.01267664905975	6.22505252172808	5.01758870180857e-50	1.28746764644134e-47
YER175C	2.24967266302959	7.76569040387817	1.26318691394955e-49	3.10030005619356e-47
YHR018C	2.33687075531134	8.08380410655645	8.55380156273982e-49	2.0119254092361e-46
YOR247W	-2.4159038765058	5.03366727912102	2.92700649451995e-48	6.60918066462605e-46
YMR084W	-2.26929730232964	6.59042351805201	3.57640261621703e-47	7.76492029559428e-45
YGR055W	-2.22196107065189	7.9996707480554	5.86094920475663e-47	1.22537252817967e-44
YMR085W	-2.18379804838869	7.97076410173075	5.72249157619224e-45	1.15369517670018e-42
YOL058W	2.62365060669835	8.2363121566219	1.92538068548855e-44	3.74785309295962e-42
YLR004C	2.82911960448838	7.72398065060621	2.70769069896893e-44	5.01196592304215e-42
YJL158C	-2.38219608493079	5.02635010814804	2.75236392585132e-44	5.01196592304215e-42
YOR009W	2.45083191529444	4.65542863867018	4.23010029216185e-44	7.46216129664176e-42
YKL178C	2.14381828230878	5.49662112124422	2.45997210254833e-43	4.208043187541e-41
YGL009C	3.37363797333644	11.4353104071327	2.66471862431502e-43	4.42421665713479e-41
YHR020W	2.26452119120929	6.82758861009769	5.35286927148804e-43	8.6334134393e-41
YGL234W	1.86111565912073	8.07776357326006	7.40897776991555e-43	1.16176887531037e-40
YBR294W	-1.90941402641859	8.55867202224113	7.77855359875147e-43	1.18675500175546e-40
YFL029C	-1.61704753654213	6.58457307348612	1.47570738564719e-42	2.19220215578378e-40
YBR093C	-2.98022795961049	4.10339515065329	3.58134939460003e-42	5.1837736750044e-40
YJL132W	1.86071797790953	6.75758918075343	4.89118496773429e-42	6.90268478571502e-40
YDR035W	1.86538249029661	9.14213633007276	7.0143137675708e-42	9.6575124921798e-40
YLR081W	-2.85208152354218	8.27346867250004	1.51006619298783e-41	2.02960087128959e-39
YGR279C	-2.02944536311438	8.34905377610803	1.6618280146924e-41	2.18163235882293e-39
YMR108W	2.56357330415637	10.1923403608787	1.17787377430127e-40	1.51115851271151e-38
YJL088W	2.35948529267232	6.50794898985239	1.17823056128026e-39	1.47802478187268e-37
YHR092C	5.03607830839906	7.73301483710868	1.33980527197767e-39	1.64417407832912e-37
YCL030C	2.67757868116043	9.11992909400935	6.09576088059146e-39	7.32139790871038e-37
YOR108W	2.33724901633879	5.48198065263184	1.20704968932297e-37	1.41954072838086e-35
YFR053C	1.90620163777386	11.6066075566283	1.6009461615621e-37	1.84435532286083e-35
YHL016C	2.10091507688534	6.42502591009069	2.00307166628725e-37	2.26146791123831e-35
YBR018C	-2.26324662132862	6.16181944398841	1.33329566015684e-36	1.4757752944285e-34
YDR342C	2.27019177959932	8.68856233028113	2.02213870399602e-36	2.19518711231876e-34
YMR062C	2.14164931622861	7.73873390646877	7.74267963680432e-36	8.22046983873786e-34
YHR029C	2.84394354022414	6.0155784648906	7.86369125406279e-36	8.22046983873786e-34
YPR145W	2.62011866909566	7.98352922596577	2.16602573904947e-35	2.22313005398805e-33
YKL165C	1.86708947653666	5.10501164854568	3.18100348739304e-35	3.20656512255959e-33
YBL042C	-1.52510719526268	6.76695466974031	5.94847097293416e-35	5.89107344600234e-33
YDR127W	2.09232917751982	8.90935884409938	6.17060582458464e-35	6.00570170341039e-33
YGL202W	2.11270794885919	6.85066804086972	9.85851054619805e-35	9.43242237852339e-33
YLR286C	-1.65053718393317	6.88588290629514	1.7115192867718e-34	1.6102543956378e-32
YOR226C	1.96802338871299	4.82414843839696	1.8288096750739e-34	1.69239846160527e-32
YLR249W	1.98179313063307	10.0557749463221	4.70372466442194e-34	4.28266544042933e-32
YER075C	1.38215619541784	6.66149208646247	7.39061448458958e-34	6.62222520087432e-32
YPL058C	2.44211255954447	8.63244970421522	1.01569530885504e-33	8.95875002888549e-32
YOL055C	1.58735243267993	6.85538632691777	1.58766336487133e-33	1.37882456841518e-31
